seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k141_21971450||full	1.000	0.153	0.000	0.033	0.067	1.000	dsDNAphage	38395	7	43.300	1.700
k141_20606244||full	0.140	0.733	0.005	0.000	0.827	0.827	lavidaviridae	8524	0	28.600	14.300
k141_2559676||full	0.513	0.580	0.110	0.180	0.093	0.580	NCLDV	11264	1	12.500	0.000
k141_12289183||full	1.000	0.267	0.010	0.087	0.100	1.000	dsDNAphage	53299	4	33.300	1.000
k141_5348680||full	1.000	0.073	0.000	0.020	0.007	1.000	dsDNAphage	52274	3	25.900	1.200
k141_8159951||full	1.000	0.267	0.005	0.020	0.053	1.000	dsDNAphage	56937	12	31.700	1.000
k141_1203409||full	0.807	0.267	0.625	0.540	0.847	0.847	lavidaviridae	5205	0	16.700	0.000
k141_27629780||full	1.000	0.067	0.005	0.007	0.347	1.000	dsDNAphage	32293	4	34.300	2.900
k141_16522430||full	0.993	0.040	0.005	0.000	0.020	0.993	dsDNAphage	51317	3	20.000	1.400
k141_9632257||full	1.000	0.327	0.020	0.020	0.167	1.000	dsDNAphage	23909	7	38.200	0.000
k141_26305522||full	0.993	0.200	0.000	0.000	0.093	0.993	dsDNAphage	38104	5	32.100	1.900
k141_33282613||full	1.000	0.707	0.010	0.020	0.033	1.000	dsDNAphage	45399	2	28.600	1.400
k141_33282617||full	1.000	0.233	0.010	0.000	0.027	1.000	dsDNAphage	63952	4	30.100	1.400
k141_33282641||full	0.993	0.647	0.005	0.000	0.053	0.993	dsDNAphage	60091	5	20.500	1.200
k141_33282642||full	1.000	0.300	0.010	0.060	0.107	1.000	dsDNAphage	43991	6	42.400	0.000
k141_33282643||full	1.000	0.207	0.000	0.007	0.033	1.000	dsDNAphage	41949	5	37.100	1.600
k141_33282646||full	1.000	0.140	0.000	0.020	0.027	1.000	dsDNAphage	58608	4	13.500	0.900
k141_33282669||full	1.000	0.060	0.000	0.000	0.007	1.000	dsDNAphage	53945	8	30.600	6.100
k141_33282702||full	0.993	0.507	0.010	0.027	0.033	0.993	dsDNAphage	45598	2	23.200	1.400
k141_33282780||full	0.987	0.167	0.000	0.007	0.000	0.987	dsDNAphage	64048	1	11.100	2.000
k141_33282794||full	0.980	0.120	0.000	0.000	0.013	0.980	dsDNAphage	39056	3	18.500	6.200
k141_33282889||full	1.000	0.480	0.000	0.000	0.080	1.000	dsDNAphage	48283	4	25.000	0.000
k141_33283180||full	0.953	0.233	0.175	0.273	0.107	0.953	dsDNAphage	4928	1	11.100	0.000
k141_33283254||full	1.000	0.707	0.230	0.333	0.540	1.000	dsDNAphage	44505	4	33.700	0.000
k141_33283383||full	1.000	0.160	0.000	0.000	0.000	1.000	dsDNAphage	60815	4	28.800	2.700
k141_33283487||full	1.000	0.287	0.000	0.080	0.053	1.000	dsDNAphage	38697	4	33.300	3.000
k141_33283573||full	0.987	0.760	0.020	0.087	0.113	0.987	dsDNAphage	48923	5	23.700	0.000
k141_33284049||full	1.000	0.120	0.035	0.133	0.107	1.000	dsDNAphage	45230	2	19.200	0.000
k141_33284160||full	0.993	0.667	0.035	0.073	0.613	0.993	dsDNAphage	50804	7	28.400	0.000
k141_33284389||full	1.000	0.347	0.135	0.593	0.780	1.000	dsDNAphage	39432	3	33.800	0.000
k141_33284716||full	0.993	0.267	0.020	0.273	0.180	0.993	dsDNAphage	37406	5	48.300	0.000
k141_33285005||full	1.000	0.133	0.005	0.033	0.027	1.000	dsDNAphage	42754	3	33.800	1.500
k141_33285287||full	0.993	0.627	0.000	0.007	0.033	0.993	dsDNAphage	46375	1	27.800	3.700
k141_33285449||full	0.747	0.380	0.050	0.307	0.120	0.747	dsDNAphage	9422	0	20.000	0.000
k141_33285461||full	0.993	0.093	0.000	0.013	0.040	0.993	dsDNAphage	37698	6	34.500	3.400
k141_33285673||full	1.000	0.873	0.185	0.233	0.620	1.000	dsDNAphage	40320	7	42.900	0.000
k141_33285871||full	0.980	0.660	0.005	0.027	0.347	0.980	dsDNAphage	60117	2	34.700	2.800
k141_33287507||full	1.000	0.287	0.110	0.340	0.853	1.000	dsDNAphage	37600	1	23.100	0.000
k141_33288329||full	0.947	0.220	0.500	0.607	0.153	0.947	dsDNAphage	5178	0	11.100	0.000
k141_33288536||full	0.940	0.233	0.540	0.540	0.867	0.940	dsDNAphage	5731	0	44.400	0.000
k141_12499368||full	0.387	0.580	0.580	0.113	0.673	0.673	lavidaviridae	6876	0	12.500	0.000
k141_26387506||full	0.013	0.500	0.000	0.000	0.100	0.500	NCLDV	5485	0	16.700	0.000
k141_23610065||full	0.507	0.627	0.160	0.093	0.427	0.627	NCLDV	7608	0	50.000	0.000
k141_22221677||full	0.153	0.520	0.065	0.013	0.260	0.520	NCLDV	6181	0	20.000	0.000
k141_22222291||full	0.047	0.653	0.010	0.000	0.087	0.653	NCLDV	9045	0	14.300	0.000
k141_24999989||full	0.840	0.420	0.005	0.020	0.033	0.840	dsDNAphage	14682	2	11.800	0.000
k141_27777842||full	0.907	0.447	0.195	0.933	0.207	0.933	ssDNA	5047	0	37.500	0.000
k141_8334968||full	0.367	0.693	0.035	0.033	0.307	0.693	NCLDV	5330	0	33.300	0.000
k141_15279045||full	0.827	0.087	0.145	0.380	0.427	0.827	dsDNAphage	23108	0	21.400	0.000
k141_8335050||full	0.033	0.747	0.000	0.000	0.007	0.747	NCLDV	7734	0	14.300	0.000
k141_15279126||full	0.040	0.587	0.000	0.000	0.073	0.587	NCLDV	7056	0	16.700	0.000
k141_13890542||full	0.200	0.507	0.295	0.080	0.260	0.507	NCLDV	6324	0	25.000	0.000
k141_8336557||full	1.000	0.213	0.010	0.180	0.047	1.000	dsDNAphage	13601	1	9.400	0.000
k141_4170212||full	0.293	0.533	0.125	0.020	0.353	0.533	NCLDV	15089	0	25.000	0.000
k141_6947929||full	0.687	0.073	0.005	0.053	0.020	0.687	dsDNAphage	5252	0	71.400	28.600
k141_11114442||full	0.547	0.833	0.280	0.047	0.793	0.833	NCLDV	6394	0	33.300	0.000
k141_29168713||full	0.107	0.760	0.065	0.000	0.073	0.760	NCLDV	5934	0	20.000	0.000
k141_20836302||full	0.233	0.827	0.090	0.100	0.433	0.827	NCLDV	6031	0	50.000	0.000
k141_5560508||full	0.067	0.653	0.000	0.000	0.087	0.653	NCLDV	10828	0	12.500	0.000
k141_4171776||full	0.007	0.520	0.000	0.000	0.000	0.520	NCLDV	23401	0	5.900	0.000
k141_19448533||full	0.487	0.573	0.350	0.233	0.780	0.780	lavidaviridae	5174	0	40.000	0.000
k141_13893860||full	0.133	0.833	0.025	0.007	0.047	0.833	NCLDV	4752	0	25.000	0.000
k141_26393075||full	0.233	0.880	0.220	0.000	0.693	0.880	NCLDV	5890	0	20.000	0.000
k141_26393290||full	0.133	0.587	0.140	0.000	0.167	0.587	NCLDV	5334	0	20.000	0.000
k141_4172913||full	0.980	0.793	0.190	0.787	0.280	0.980	dsDNAphage	8852	1	46.200	0.000
k141_11117103||full	0.347	0.313	0.265	0.040	0.753	0.753	lavidaviridae	5411	0	16.700	0.000
k141_30560781||full	1.000	0.247	0.340	0.147	0.327	1.000	dsDNAphage	7398	1	23.100	0.000
k141_6951416||full	0.987	0.413	0.335	0.553	0.380	0.987	dsDNAphage	8399	2	50.000	0.000
k141_7742||full	0.393	0.407	0.465	0.387	0.980	0.980	lavidaviridae	4921	0	33.300	0.000
k141_31950361||full	0.020	0.727	0.045	0.000	0.187	0.727	NCLDV	5239	0	16.700	0.000
k141_12507281||full	1.000	0.440	0.105	0.220	0.280	1.000	dsDNAphage	11560	5	35.300	0.000
k141_11118417||full	0.333	0.880	0.210	0.680	0.907	0.907	lavidaviridae	7283	0	50.000	0.000
k141_13896500||full	0.847	0.107	0.000	0.007	0.013	0.847	dsDNAphage	12483	3	41.700	41.600
k141_11118918||full	1.000	0.220	0.035	0.060	0.200	1.000	dsDNAphage	43859	4	55.900	0.000
k141_5564067||full	0.200	0.627	0.230	0.007	0.180	0.627	NCLDV	5169	0	14.300	0.000
k141_8839||full	0.973	0.707	0.260	0.173	0.153	0.973	dsDNAphage	5213	2	44.400	0.000
k141_9165||full	0.087	0.513	0.000	0.000	0.027	0.513	NCLDV	9867	0	11.100	0.000
k141_26396044||full	1.000	0.067	0.005	0.007	0.007	1.000	dsDNAphage	29287	1	31.800	4.500
k141_8343395||full	0.880	0.320	0.005	0.007	0.067	0.880	dsDNAphage	6504	2	33.300	11.100
k141_9731704||full	0.153	0.613	0.370	0.000	0.627	0.627	lavidaviridae	5781	0	20.000	0.000
k141_12510056||full	0.507	0.033	0.005	0.007	0.233	0.507	dsDNAphage	5829	0	40.000	20.000
k141_20842484||full	0.733	0.047	0.110	0.053	0.067	0.733	dsDNAphage	6204	0	10.000	0.000
k141_9731875||full	0.047	0.553	0.050	0.000	0.040	0.553	NCLDV	12502	0	10.000	0.000
k141_4177725||full	0.093	0.913	0.080	0.000	0.420	0.913	NCLDV	5345	0	20.000	0.000
k141_18065939||full	0.867	0.387	0.020	0.013	0.027	0.867	dsDNAphage	10273	1	21.400	14.300
k141_13900174||full	1.000	0.667	0.025	0.073	0.140	1.000	dsDNAphage	32255	2	40.900	0.000
k141_27788214||full	1.000	0.580	0.035	0.500	0.520	1.000	dsDNAphage	9961	1	46.200	0.000
k141_25010015||full	0.307	0.520	0.275	0.020	0.487	0.520	NCLDV	5989	0	25.000	0.000
k141_31954979||full	0.780	0.487	0.055	0.107	0.367	0.780	dsDNAphage	6529	1	50.000	0.000
k141_29177380||full	0.053	0.540	0.000	0.007	0.040	0.540	NCLDV	6791	0	28.600	0.000
k141_13901088||full	0.100	0.953	0.035	0.007	0.033	0.953	NCLDV	7690	0	12.500	0.000
k141_5568417||full	0.867	0.727	0.190	0.800	0.720	0.867	dsDNAphage	5412	0	80.000	0.000
k141_20845305||full	0.547	0.800	0.375	0.520	0.727	0.800	NCLDV	8173	0	20.000	0.000
k141_16679523||full	0.107	0.600	0.000	0.000	0.033	0.600	NCLDV	11409	0	22.200	0.000
k141_4180549||full	1.000	0.173	0.120	0.380	0.387	1.000	dsDNAphage	7543	2	54.500	0.000
k141_5569544||full	0.267	0.913	0.230	0.027	0.593	0.913	NCLDV	8646	0	28.600	0.000
k141_2792263||full	0.080	0.513	0.045	0.000	0.180	0.513	NCLDV	9341	0	14.300	0.000
k141_8346985||full	0.860	0.293	0.005	0.013	0.087	0.860	dsDNAphage	7654	1	25.000	8.300
k141_4180890||full	0.080	0.587	0.005	0.000	0.133	0.587	NCLDV	7028	0	28.600	14.300
k141_19457662||full	1.000	0.853	0.625	0.887	0.813	1.000	dsDNAphage	5829	2	50.000	0.000
k141_2792722||full	0.033	0.667	0.000	0.000	0.013	0.667	NCLDV	11365	0	11.100	0.000
k141_15650||full	0.800	0.293	0.000	0.000	0.007	0.800	dsDNAphage	12459	1	23.500	11.800
k141_22236130||full	0.520	0.167	0.025	0.007	0.233	0.520	dsDNAphage	5614	0	33.300	0.000
k141_8348801||full	0.907	0.087	0.010	0.013	0.033	0.907	dsDNAphage	5421	1	42.900	14.300
k141_8349052||full	0.873	0.073	0.010	0.027	0.093	0.873	dsDNAphage	7616	0	30.800	7.700
k141_16640||full	0.180	0.807	0.000	0.000	0.033	0.807	NCLDV	6720	0	16.700	0.000
k141_18071011||full	0.127	0.753	0.145	0.007	0.360	0.753	NCLDV	8519	0	25.000	0.000
k141_19459623||full	0.013	0.553	0.000	0.000	0.000	0.553	NCLDV	10946	0	11.100	0.000
k141_6961357||full	0.367	0.420	0.130	0.180	0.727	0.727	lavidaviridae	5097	0	50.000	0.000
k141_9738019||full	0.093	0.620	0.000	0.000	0.040	0.620	NCLDV	7578	0	28.600	14.300
k141_15293914||full	0.927	0.033	0.000	0.020	0.020	0.927	dsDNAphage	5068	1	40.000	20.000
k141_18071755||full	0.080	0.793	0.050	0.000	0.420	0.793	NCLDV	5908	0	14.300	0.000
k141_9738357||full	0.860	0.473	0.045	0.220	0.053	0.860	dsDNAphage	6372	0	6.200	0.000
k141_27794062||full	0.340	0.667	0.170	0.067	0.420	0.667	NCLDV	5365	0	33.300	0.000
k141_11128409||full	0.587	0.053	0.000	0.000	0.007	0.587	dsDNAphage	12930	2	18.800	25.000
k141_18823||full	0.160	0.773	0.150	0.033	0.380	0.773	NCLDV	5360	0	16.700	0.000
k141_19461951||full	0.780	0.227	0.005	0.000	0.007	0.780	dsDNAphage	9408	1	18.200	9.100
k141_1407812||full	0.167	0.540	0.125	0.000	0.360	0.540	NCLDV	7674	0	14.300	0.000
k141_5574584||full	0.680	0.000	0.005	0.000	0.007	0.680	dsDNAphage	47302	4	25.000	25.000
k141_12519058||full	0.140	0.453	0.180	0.000	0.620	0.620	lavidaviridae	13536	0	11.100	0.000
k141_5574867||full	1.000	0.240	0.055	0.240	0.340	1.000	dsDNAphage	19488	5	67.900	0.000
k141_31962549||full	0.413	0.453	0.615	0.233	0.840	0.840	lavidaviridae	4936	0	33.300	0.000
k141_29184592||full	0.247	1.000	0.040	0.020	0.920	1.000	NCLDV	8620	1	22.200	11.100
k141_15296622||full	0.993	0.087	0.000	0.007	0.013	0.993	dsDNAphage	35588	4	30.900	1.800
k141_8353038||full	0.187	0.667	0.095	0.067	0.787	0.787	lavidaviridae	10919	0	28.600	0.000
k141_4187503||full	0.867	0.227	0.410	0.733	0.793	0.867	dsDNAphage	4998	0	42.900	0.000
k141_26407708||full	0.113	0.547	0.000	0.007	0.020	0.547	NCLDV	5937	0	25.000	0.000
k141_13909643||full	1.000	0.347	0.045	0.933	0.273	1.000	dsDNAphage	5084	3	75.000	0.000
k141_9742629||full	0.907	0.633	0.285	0.700	0.213	0.907	dsDNAphage	7672	0	23.100	0.000
k141_22019||full	0.993	0.527	0.115	0.407	0.480	0.993	dsDNAphage	7894	3	36.400	0.000
k141_18076760||full	0.980	0.100	0.000	0.000	0.087	0.980	dsDNAphage	9911	1	41.700	8.300
k141_22242288||full	0.033	0.720	0.000	0.000	0.073	0.720	NCLDV	5416	0	16.700	0.000
k141_29187029||full	1.000	0.140	0.125	0.360	0.433	1.000	dsDNAphage	6209	1	80.000	0.000
k141_23631886||full	0.120	0.620	0.030	0.000	0.120	0.620	NCLDV	6820	0	20.000	0.000
k141_13911023||full	0.140	0.500	0.050	0.000	0.120	0.500	NCLDV	5950	0	20.000	0.000
k141_1411361||full	0.120	0.520	0.110	0.013	0.413	0.520	NCLDV	8719	0	20.000	0.000
k141_20854793||full	0.253	0.587	0.035	0.020	0.133	0.587	NCLDV	12000	0	37.500	0.000
k141_20855251||full	0.980	0.120	0.465	0.860	0.080	0.980	dsDNAphage	5349	0	22.200	0.000
k141_22243557||full	0.547	0.407	0.445	0.127	0.680	0.680	lavidaviridae	6433	0	12.500	0.000
k141_8356079||full	0.053	0.513	0.000	0.000	0.007	0.513	NCLDV	6105	0	20.000	0.000
k141_8356480||full	0.233	0.653	0.000	0.020	0.133	0.653	NCLDV	8477	0	28.600	0.000
k141_9744940||full	0.247	0.707	0.145	0.280	0.367	0.707	NCLDV	4957	0	20.000	0.000
k141_15301521||full	0.027	0.567	0.000	0.000	0.040	0.567	NCLDV	14785	0	12.500	6.200
k141_22244929||full	0.053	0.627	0.000	0.000	0.000	0.627	NCLDV	7118	0	14.300	0.000
k141_8357567||full	0.613	0.167	0.135	0.000	0.087	0.613	dsDNAphage	10877	1	12.500	0.000
k141_8358215||full	0.927	0.400	0.305	0.220	0.127	0.927	dsDNAphage	19799	0	14.000	2.300
k141_1414399||full	0.960	0.253	0.220	0.147	0.020	0.960	dsDNAphage	37375	0	29.200	0.000
k141_13914157||full	0.147	0.687	0.005	0.007	0.027	0.687	NCLDV	7313	0	33.300	16.700
k141_29190686||full	0.027	0.673	0.005	0.000	0.107	0.673	NCLDV	6554	0	50.000	0.000
k141_12525477||full	0.433	0.320	0.480	0.027	0.653	0.653	lavidaviridae	5424	0	33.300	0.000
k141_11136695||full	0.947	0.153	0.170	0.167	0.127	0.947	dsDNAphage	6500	2	33.300	0.000
k141_18080770||full	0.980	0.387	0.200	0.327	0.573	0.980	dsDNAphage	15025	3	61.500	0.000
k141_8358762||full	0.753	0.707	0.370	0.700	0.807	0.807	lavidaviridae	5895	0	66.700	0.000
k141_11137040||full	0.120	0.627	0.035	0.000	0.160	0.627	NCLDV	9185	0	28.600	0.000
k141_2804611||full	0.073	0.600	0.040	0.007	0.447	0.600	NCLDV	5848	0	20.000	0.000
k141_22246807||full	0.053	0.673	0.000	0.000	0.000	0.673	NCLDV	7265	0	20.000	0.000
k141_4193441||full	0.787	0.760	0.535	0.833	0.600	0.833	ssDNA	5110	0	50.000	0.000
k141_31969455||full	0.120	0.340	0.405	0.000	0.533	0.533	lavidaviridae	9713	0	11.100	0.000
k141_29191434||full	1.000	0.400	0.170	0.413	0.627	1.000	dsDNAphage	6179	2	100.000	0.000
k141_18081755||full	0.007	0.647	0.000	0.000	0.000	0.647	NCLDV	8015	0	12.500	0.000
k141_26413981||full	0.053	0.693	0.000	0.000	0.000	0.693	NCLDV	5827	0	20.000	0.000
k141_31970341||full	0.207	1.000	0.095	0.013	0.773	1.000	NCLDV	10788	0	25.000	0.000
k141_1416650||full	0.147	0.813	0.045	0.013	0.253	0.813	NCLDV	4514	0	33.300	0.000
k141_25025877||full	0.160	0.553	0.410	0.000	0.120	0.553	NCLDV	7910	0	14.300	0.000
k141_4195397||full	0.447	0.540	0.215	0.007	0.140	0.540	NCLDV	5838	0	33.300	0.000
k141_22248898||full	0.987	0.240	0.495	0.407	0.327	0.987	dsDNAphage	4983	0	18.200	0.000
k141_15306369||full	0.667	0.740	0.510	0.107	0.893	0.893	lavidaviridae	5559	0	33.300	0.000
k141_15306448||full	0.073	0.513	0.015	0.013	0.093	0.513	NCLDV	6877	0	42.900	14.300
k141_20861654||full	0.027	0.560	0.000	0.000	0.033	0.560	NCLDV	5990	0	20.000	0.000
k141_13918586||full	0.167	0.587	0.235	0.013	0.473	0.587	NCLDV	7236	0	20.000	0.000
k141_16695356||full	0.147	0.520	0.000	0.000	0.013	0.520	NCLDV	6629	0	16.700	0.000
k141_23640008||full	0.300	0.773	0.015	0.007	0.067	0.773	NCLDV	7229	0	40.000	0.000
k141_11141342||full	0.887	0.553	0.645	0.747	0.600	0.887	dsDNAphage	7105	0	18.200	0.000
k141_25028526||full	0.993	0.087	0.010	0.047	0.060	0.993	dsDNAphage	5431	2	50.000	12.500
k141_31248||full	0.387	0.607	0.470	0.133	0.920	0.920	lavidaviridae	6795	0	12.500	0.000
k141_9752080||full	0.520	0.040	0.015	0.053	0.253	0.520	dsDNAphage	5994	0	66.700	0.000
k141_19474631||full	0.160	0.947	0.035	0.000	0.320	0.947	NCLDV	11189	0	25.000	0.000
k141_22251842||full	0.373	0.553	0.000	0.000	0.113	0.553	NCLDV	6778	0	16.700	0.000
k141_9752694||full	0.053	0.633	0.000	0.007	0.013	0.633	NCLDV	6512	0	33.300	16.700
k141_1420831||full	0.780	0.513	0.100	0.047	0.460	0.780	dsDNAphage	5012	0	50.000	0.000
k141_19475358||full	0.987	0.087	0.010	0.000	0.020	0.987	dsDNAphage	20952	1	36.400	4.500
k141_30585879||full	0.600	0.333	0.430	0.120	0.667	0.667	lavidaviridae	6495	0	20.000	0.000
k141_27809021||full	0.253	0.747	0.045	0.013	0.747	0.747	NCLDV	12235	0	15.400	7.700
k141_26419127||full	0.540	0.820	0.560	0.587	1.000	1.000	lavidaviridae	5760	0	33.300	0.000
k141_27809309||full	0.640	0.507	0.365	0.627	0.753	0.753	lavidaviridae	6000	0	33.300	0.000
k141_11143509||full	0.153	0.533	0.175	0.007	0.407	0.533	NCLDV	5921	0	16.700	0.000
k141_15310305||full	0.047	0.513	0.000	0.000	0.000	0.513	NCLDV	7146	0	20.000	0.000
k141_25030799||full	0.173	0.707	0.180	0.020	0.687	0.707	NCLDV	6222	0	33.300	0.000
k141_25031106||full	0.640	0.213	0.000	0.000	0.047	0.640	dsDNAphage	8524	1	30.000	10.000
k141_31976550||full	0.860	0.553	0.010	0.000	0.413	0.860	dsDNAphage	13286	1	36.400	9.100
k141_5588534||full	0.267	0.773	0.480	0.047	0.880	0.880	lavidaviridae	4603	0	33.300	0.000
k141_2811894||full	0.940	0.247	0.085	0.513	0.127	0.940	dsDNAphage	9476	0	10.000	0.000
k141_25031363||full	0.160	0.580	0.020	0.013	0.227	0.580	NCLDV	7078	0	40.000	20.000
k141_22254074||full	0.080	0.520	0.115	0.020	0.187	0.520	NCLDV	4801	0	20.000	0.000
k141_11144417||full	0.953	0.287	0.655	0.873	0.840	0.953	dsDNAphage	5976	0	50.000	0.000
k141_23644061||full	0.100	0.560	0.000	0.013	0.220	0.560	NCLDV	9903	0	37.500	25.000
k141_15311225||full	0.147	0.673	0.065	0.000	0.100	0.673	NCLDV	10986	0	22.200	0.000
k141_20866342||full	0.993	0.167	0.190	0.313	0.620	0.993	dsDNAphage	10559	1	17.400	0.000
k141_13923254||full	0.500	0.973	0.175	0.053	1.000	1.000	lavidaviridae	9477	0	27.300	0.000
k141_11144910||full	1.000	0.167	0.035	0.347	0.213	1.000	dsDNAphage	15149	1	24.300	0.000
k141_5589573||full	0.900	0.107	0.015	0.067	0.273	0.900	dsDNAphage	5672	0	38.500	7.700
k141_6978878||full	0.127	0.500	0.040	0.020	0.287	0.500	NCLDV	5862	0	40.000	0.000
k141_1423579||full	0.340	0.613	0.165	0.047	0.773	0.773	lavidaviridae	5441	0	40.000	0.000
k141_6979018||full	0.253	0.420	0.360	0.000	0.853	0.853	lavidaviridae	7864	0	16.700	0.000
k141_26421349||full	0.120	0.687	0.075	0.013	0.300	0.687	NCLDV	11198	0	9.100	0.000
k141_27811703||full	0.067	0.673	0.000	0.007	0.033	0.673	NCLDV	5264	0	20.000	0.000
k141_31978197||full	0.880	0.560	0.495	0.273	0.447	0.880	dsDNAphage	8724	0	16.700	0.000
k141_11145661||full	0.987	0.787	0.035	0.653	0.173	0.987	dsDNAphage	5971	0	35.700	0.000
k141_18090034||full	0.993	0.180	0.000	0.013	0.153	0.993	dsDNAphage	14253	5	66.700	6.700
k141_12534916||full	0.060	0.640	0.000	0.000	0.013	0.640	NCLDV	6097	0	16.700	0.000
k141_31978556||full	0.593	0.647	0.005	0.000	0.233	0.647	NCLDV	10654	0	27.300	0.000
k141_2813864||full	0.887	0.600	0.495	0.220	0.407	0.887	dsDNAphage	5095	0	14.300	0.000
k141_20867991||full	0.280	0.533	0.075	0.020	0.260	0.533	NCLDV	5146	0	25.000	0.000
k141_22256113||full	0.067	0.813	0.040	0.000	0.120	0.813	NCLDV	5926	0	16.700	0.000
k141_27812580||full	0.107	0.820	0.070	0.013	0.120	0.820	NCLDV	6197	0	16.700	0.000
k141_16701215||full	0.067	0.587	0.000	0.000	0.013	0.587	NCLDV	8815	0	25.000	0.000
k141_9757338||full	0.267	0.713	0.075	0.020	0.060	0.713	NCLDV	5600	0	25.000	0.000
k141_8369348||full	0.993	0.667	0.030	0.367	0.407	0.993	dsDNAphage	5852	1	36.400	0.000
k141_20868653||full	0.980	0.320	0.020	0.067	0.020	0.980	dsDNAphage	46112	7	24.800	3.000
k141_16701759||full	0.267	0.573	0.065	0.000	0.780	0.780	lavidaviridae	11379	0	18.200	9.100
k141_30590550||full	0.553	0.340	0.330	0.340	0.800	0.800	lavidaviridae	5952	0	66.700	0.000
k141_18091691||full	0.347	0.013	0.330	0.067	0.567	0.567	lavidaviridae	5357	0	20.000	0.000
k141_23647037||full	0.687	0.240	0.460	0.020	0.687	0.687	dsDNAphage	6462	0	11.100	0.000
k141_37693||full	0.747	0.553	0.100	0.040	0.360	0.747	dsDNAphage	5633	1	33.300	0.000
k141_23647385||full	0.287	0.620	0.025	0.033	0.027	0.620	NCLDV	5369	0	66.700	0.000
k141_11147946||full	0.087	0.667	0.000	0.027	0.067	0.667	NCLDV	8544	0	14.300	7.100
k141_20869584||full	0.187	0.513	0.055	0.033	0.200	0.513	NCLDV	6612	0	16.700	0.000
k141_11148107||full	0.733	0.100	0.060	0.000	0.053	0.733	dsDNAphage	6174	1	12.500	0.000
k141_30591457||full	1.000	0.200	0.000	0.033	0.013	1.000	dsDNAphage	43881	7	49.200	3.200
