seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k141_12882802||full	0.967	0.133	0.425	0.580	0.160	0.967	dsDNAphage	12893	0	13.000	0.000
k141_6830145||full	1.000	0.080	0.000	0.000	0.020	1.000	dsDNAphage	37916	4	37.200	2.300
k141_5467664||full	0.993	0.820	0.050	0.347	0.147	0.993	dsDNAphage	50815	3	22.200	0.000
k141_10051237||full	0.900	0.500	0.070	0.167	0.140	0.900	dsDNAphage	10838	0	3.700	0.000
k141_17668976||full	0.967	0.227	0.370	0.387	0.240	0.967	dsDNAphage	12977	0	13.600	0.000
k141_4083898||full	0.980	0.173	0.005	0.033	0.627	0.980	dsDNAphage	38486	5	18.900	1.900
k141_13491199||full	1.000	0.047	0.000	0.073	0.033	1.000	dsDNAphage	140317	9	46.400	1.300
k141_34853639||full	1.000	0.300	0.000	0.127	0.113	1.000	dsDNAphage	45581	7	39.200	1.400
k141_36480252||full	1.000	0.167	0.005	0.013	0.007	1.000	dsDNAphage	16657	1	7.100	3.600
k141_36480925||full	1.000	0.380	0.075	0.927	0.733	1.000	dsDNAphage	4906	2	57.100	0.000
k141_12171981||full	0.693	0.673	0.150	0.567	0.380	0.693	dsDNAphage	6699	0	8.300	0.000
k141_13694076||full	0.860	0.653	0.885	0.193	0.907	0.907	lavidaviridae	5563	0	20.000	0.000
k141_3043686||full	0.147	0.807	0.060	0.007	0.340	0.807	NCLDV	5771	0	20.000	0.000
k141_18260799||full	1.000	0.487	0.110	0.080	0.393	1.000	dsDNAphage	15222	5	52.600	0.000
k141_3411||full	0.147	0.520	0.145	0.000	0.140	0.520	NCLDV	7074	0	28.600	0.000
k141_34999369||full	1.000	0.440	0.055	0.067	0.440	1.000	dsDNAphage	49501	1	31.500	0.000
k141_22828005||full	0.220	0.553	0.005	0.007	0.073	0.553	NCLDV	5439	0	57.100	14.300
k141_35000287||full	0.947	0.153	0.480	0.673	0.313	0.947	dsDNAphage	6012	0	30.000	0.000
k141_7614428||full	0.527	0.567	0.675	0.013	0.340	0.675	RNA	5938	0	20.000	0.000
k141_31958492||full	0.927	0.427	0.050	0.887	0.680	0.927	dsDNAphage	5042	0	71.400	0.000
k141_33480656||full	0.120	0.873	0.015	0.000	0.093	0.873	NCLDV	8365	0	25.000	0.000
k141_35002793||full	0.067	0.627	0.000	0.000	0.013	0.627	NCLDV	9703	0	33.300	8.300
k141_33480766||full	0.400	0.533	0.080	0.373	0.653	0.653	lavidaviridae	6741	0	44.400	0.000
k141_18266883||full	1.000	0.453	0.065	0.827	0.393	1.000	dsDNAphage	10027	1	50.000	0.000
k141_15224294||full	0.907	0.813	0.080	0.160	0.220	0.907	dsDNAphage	7283	0	27.800	0.000
k141_1531156||full	0.113	0.947	0.135	0.020	0.433	0.947	NCLDV	5427	0	25.000	0.000
k141_25875799||full	0.787	0.940	0.045	0.107	0.320	0.940	NCLDV	4980	1	50.000	0.000
k141_21311363||full	0.880	0.513	0.170	0.920	0.973	0.973	lavidaviridae	10593	0	71.400	0.000
k141_4575716||full	0.073	0.627	0.030	0.000	0.093	0.627	NCLDV	7455	0	11.100	0.000
k141_7618351||full	0.020	0.507	0.130	0.000	0.067	0.507	NCLDV	5026	0	20.000	0.000
k141_14465||full	0.893	0.440	0.385	0.787	0.593	0.893	dsDNAphage	5677	0	70.000	0.000
k141_21314667||full	0.100	0.620	0.075	0.040	0.133	0.620	NCLDV	5856	0	25.000	0.000
k141_31965920||full	0.833	0.553	0.015	0.200	0.220	0.833	dsDNAphage	9083	0	33.300	0.000
k141_25881033||full	0.120	0.727	0.070	0.000	0.187	0.727	NCLDV	7544	0	14.300	0.000
k141_13708958||full	0.973	0.313	0.350	0.473	0.087	0.973	dsDNAphage	8252	0	18.200	0.000
k141_18275061||full	1.000	0.480	0.245	0.393	0.340	1.000	dsDNAphage	10465	3	44.400	0.000
k141_28925255||full	0.987	0.727	0.230	0.673	0.253	0.987	dsDNAphage	7402	2	70.000	0.000
k141_3060652||full	0.833	0.600	0.235	0.340	0.800	0.833	dsDNAphage	18759	0	77.800	0.000
k141_18275936||full	0.993	0.260	0.055	0.373	0.320	0.993	dsDNAphage	10297	2	42.900	0.000
k141_3061687||full	0.147	0.660	0.000	0.000	0.027	0.660	NCLDV	5772	0	33.300	0.000
k141_27404950||full	0.947	0.353	0.300	0.167	0.560	0.947	dsDNAphage	5660	1	60.000	0.000
k141_31970002||full	0.520	0.727	0.155	0.573	0.520	0.727	NCLDV	5752	0	66.700	0.000
k141_19800018||full	0.427	0.707	0.160	0.047	0.180	0.707	NCLDV	4892	0	50.000	0.000
k141_35015714||full	0.940	0.427	0.055	0.500	0.073	0.940	dsDNAphage	5320	0	25.000	0.000
k141_12193822||full	0.060	0.680	0.050	0.007	0.187	0.680	NCLDV	5114	0	25.000	0.000
k141_33493331||full	0.740	0.793	0.000	0.000	0.007	0.793	NCLDV	8550	0	42.900	14.300
k141_33493364||full	0.813	0.020	0.015	0.007	0.000	0.813	dsDNAphage	10448	0	12.500	6.200
k141_15237403||full	0.067	0.760	0.035	0.007	0.073	0.760	NCLDV	12916	0	10.000	0.000
k141_16758813||full	0.973	0.753	0.140	0.567	0.647	0.973	dsDNAphage	7928	1	33.300	0.000
k141_33494523||full	0.973	0.387	0.235	0.773	0.267	0.973	dsDNAphage	5930	0	35.700	0.000
k141_28931229||full	0.360	0.813	0.570	0.027	0.687	0.813	NCLDV	5356	0	25.000	0.000
k141_16759892||full	0.913	0.047	0.015	0.087	0.087	0.913	dsDNAphage	5587	0	30.800	7.700
k141_16759946||full	1.000	0.180	0.520	0.493	0.133	1.000	dsDNAphage	5857	0	11.800	0.000
k141_7630415||full	0.987	0.100	0.035	0.047	0.053	0.987	dsDNAphage	6823	2	20.000	10.000
k141_16761130||full	1.000	0.520	0.100	0.800	0.647	1.000	dsDNAphage	7644	3	75.000	0.000
k141_10675034||full	0.580	0.873	0.140	0.367	0.467	0.873	NCLDV	4479	0	25.000	0.000
k141_18283559||full	0.153	0.647	0.015	0.000	0.100	0.647	NCLDV	6123	0	40.000	20.000
k141_19806060||full	0.627	0.287	0.170	0.180	0.107	0.627	dsDNAphage	6128	0	66.700	0.000
k141_26477||full	1.000	0.313	0.135	0.100	0.340	1.000	dsDNAphage	15187	1	56.200	0.000
k141_31975989||full	1.000	0.427	0.185	0.567	0.627	1.000	dsDNAphage	12188	3	53.300	0.000
k141_30455151||full	0.093	0.907	0.090	0.000	0.447	0.907	NCLDV	6175	0	20.000	0.000
k141_10675967||full	0.107	0.993	0.110	0.013	0.493	0.993	NCLDV	6986	0	25.000	0.000
k141_30455411||full	0.427	0.607	0.155	0.053	0.187	0.607	NCLDV	4631	0	50.000	0.000
k141_3069781||full	0.027	0.533	0.000	0.000	0.000	0.533	NCLDV	15723	0	11.100	0.000
k141_1548739||full	0.293	0.213	0.595	0.033	0.333	0.595	RNA	5177	0	25.000	0.000
k141_22850591||full	0.413	0.380	0.525	0.033	0.647	0.647	lavidaviridae	5529	0	16.700	0.000
k141_25892760||full	0.787	0.713	0.110	0.160	0.240	0.787	dsDNAphage	5592	0	71.400	0.000
k141_6112864||full	0.280	0.600	0.170	0.067	0.160	0.600	NCLDV	6134	0	33.300	0.000
k141_33499328||full	0.320	0.793	0.035	0.007	0.193	0.793	NCLDV	6742	0	42.900	0.000
k141_21328528||full	0.673	0.327	0.180	0.027	0.240	0.673	dsDNAphage	5265	0	60.000	0.000
k141_30457936||full	0.927	0.147	0.335	0.080	0.127	0.927	dsDNAphage	6791	0	30.800	0.000
k141_15245161||full	0.993	0.360	0.145	0.620	0.093	0.993	dsDNAphage	9202	0	4.200	0.000
k141_10678985||full	0.680	0.307	0.040	0.000	0.173	0.680	dsDNAphage	5168	1	12.500	0.000
k141_1551652||full	0.260	0.740	0.185	0.013	0.713	0.740	NCLDV	5061	0	25.000	0.000
k141_22853489||full	0.320	0.780	0.000	0.000	0.040	0.780	NCLDV	5673	0	40.000	20.000
k141_13722287||full	0.640	0.087	0.010	0.047	0.013	0.640	dsDNAphage	4712	0	66.700	16.700
k141_33502104||full	0.953	0.133	0.275	0.553	0.040	0.953	dsDNAphage	9630	0	32.000	0.000
k141_31930||full	0.880	0.193	0.030	0.280	0.013	0.880	dsDNAphage	5047	0	7.700	0.000
k141_10681081||full	1.000	0.280	0.125	0.207	0.480	1.000	dsDNAphage	12418	3	92.900	0.000
k141_7637949||full	1.000	0.047	0.005	0.067	0.027	1.000	dsDNAphage	27050	1	11.900	3.400
k141_25897207||full	0.573	0.847	0.490	0.153	0.160	0.847	NCLDV	6144	0	9.100	0.000
k141_3075682||full	0.047	0.907	0.045	0.000	0.127	0.907	NCLDV	6136	0	16.700	0.000
k141_10683038||full	0.893	0.520	0.040	0.013	0.133	0.893	dsDNAphage	15897	1	12.500	0.000
k141_21333975||full	0.120	0.633	0.090	0.000	0.233	0.633	NCLDV	6391	0	20.000	0.000
k141_24379081||full	0.807	0.813	0.345	0.493	0.407	0.813	NCLDV	5994	0	80.000	0.000
k141_35029521||full	0.893	0.853	0.745	0.013	0.440	0.893	dsDNAphage	6168	1	20.000	0.000
k141_9164538||full	0.993	0.287	0.105	0.080	0.727	0.993	dsDNAphage	12832	1	57.100	0.000
k141_12208748||full	0.967	0.333	0.120	0.780	0.347	0.967	dsDNAphage	5629	0	88.900	0.000
k141_30465177||full	0.400	0.087	0.240	0.440	0.553	0.553	lavidaviridae	5597	0	50.000	0.000
k141_10687851||full	0.667	0.733	0.015	0.107	0.133	0.733	NCLDV	7485	0	6.700	0.000
k141_6124575||full	0.900	0.800	0.315	0.453	0.560	0.900	dsDNAphage	7134	0	50.000	0.000
k141_25904548||full	0.120	0.913	0.140	0.000	0.387	0.913	NCLDV	5788	0	16.700	0.000
k141_16776336||full	0.013	0.500	0.020	0.000	0.007	0.500	NCLDV	6174	0	16.700	0.000
k141_7646510||full	0.107	0.747	0.080	0.000	0.133	0.747	NCLDV	5659	0	25.000	0.000
k141_22866119||full	0.987	0.720	0.060	0.807	0.180	0.987	dsDNAphage	5219	3	50.000	0.000
k141_1565421||full	0.720	0.373	0.215	0.680	0.367	0.720	dsDNAphage	5010	0	100.000	0.000
k141_25908975||full	0.667	0.913	0.800	0.220	0.693	0.913	NCLDV	7946	0	25.000	0.000
k141_22867867||full	0.393	0.720	0.015	0.087	0.167	0.720	NCLDV	12050	0	50.000	0.000
k141_19825666||full	0.073	0.847	0.000	0.000	0.007	0.847	NCLDV	11535	0	14.300	7.100
k141_24389779||full	0.173	0.833	0.120	0.013	0.400	0.833	NCLDV	5315	0	20.000	0.000
k141_10693509||full	0.193	0.553	0.030	0.000	0.033	0.553	NCLDV	10940	0	9.100	0.000
k141_18303789||full	0.967	0.187	0.000	0.020	0.127	0.967	dsDNAphage	6497	2	50.000	16.700
k141_6129800||full	0.093	0.607	0.190	0.000	0.387	0.607	NCLDV	5359	0	16.700	0.000
k141_28952429||full	0.820	0.280	0.030	0.353	0.107	0.820	dsDNAphage	7039	0	44.400	0.000
k141_27433551||full	1.000	0.147	0.025	0.060	0.520	1.000	dsDNAphage	20763	13	62.100	6.900
k141_25910583||full	0.373	0.960	0.150	0.180	0.787	0.960	NCLDV	5557	0	50.000	0.000
k141_35042042||full	0.587	0.707	0.210	0.373	0.787	0.787	lavidaviridae	5442	0	33.300	0.000
k141_1568303||full	0.187	0.953	0.160	0.007	0.100	0.953	NCLDV	5198	0	16.700	0.000
k141_18307363||full	0.127	0.840	0.065	0.007	0.147	0.840	NCLDV	5411	0	14.300	0.000
k141_15265539||full	0.787	0.207	0.090	0.400	0.253	0.787	dsDNAphage	4916	0	12.500	0.000
k141_18309363||full	0.767	0.947	0.190	0.587	0.700	0.947	NCLDV	6165	0	10.000	0.000
k141_13742095||full	0.960	0.147	0.260	0.653	0.113	0.960	dsDNAphage	9201	0	8.700	0.000
k141_22875096||full	0.993	0.887	0.220	0.867	1.000	1.000	lavidaviridae	7301	0	50.000	0.000
k141_19832933||full	1.000	0.067	0.000	0.020	0.013	1.000	dsDNAphage	39205	1	27.400	1.600
k141_30480666||full	0.687	0.407	0.800	0.247	0.593	0.800	RNA	8307	0	25.000	0.000
k141_6137104||full	0.933	0.153	0.160	0.280	0.000	0.933	dsDNAphage	6396	0	9.500	4.800
k141_18311516||full	0.260	0.267	0.560	0.013	0.180	0.560	RNA	5587	0	25.000	0.000
k141_19834405||full	0.100	0.860	0.140	0.013	0.320	0.860	NCLDV	10099	0	16.700	0.000
k141_35048525||full	0.993	0.053	0.010	0.013	0.000	0.993	dsDNAphage	20828	3	25.800	3.200
k141_27441182||full	0.240	0.500	0.070	0.027	0.653	0.653	lavidaviridae	5271	0	25.000	0.000
k141_12226438||full	0.893	0.173	0.355	0.787	0.187	0.893	dsDNAphage	8648	0	26.700	0.000
k141_21352704||full	0.180	0.920	0.400	0.013	0.420	0.920	NCLDV	5237	0	25.000	0.000
k141_24399501||full	0.907	0.387	0.650	0.920	0.833	0.920	ssDNA	5039	0	50.000	0.000
k141_7659687||full	1.000	0.220	0.110	0.100	0.040	1.000	dsDNAphage	6175	2	30.800	0.000
k141_10703592||full	0.967	0.527	0.035	0.627	0.787	0.967	dsDNAphage	14920	2	26.100	0.000
k141_12229426||full	0.880	0.280	0.015	0.047	0.007	0.880	dsDNAphage	11045	0	4.500	0.000
k141_4623283||full	0.107	0.620	0.055	0.020	0.193	0.620	NCLDV	5038	0	14.300	0.000
k141_22880989||full	0.427	0.853	0.530	0.727	0.827	0.853	NCLDV	4302	0	50.000	0.000
k141_18316248||full	0.953	0.700	0.330	0.267	0.533	0.953	dsDNAphage	5692	1	20.000	0.000
k141_25921837||full	0.040	0.873	0.000	0.000	0.013	0.873	NCLDV	7145	0	28.600	14.300
k141_7662717||full	0.233	0.800	0.080	0.207	0.593	0.800	NCLDV	7649	0	50.000	16.700
k141_24403062||full	0.640	0.600	0.230	0.020	0.260	0.640	dsDNAphage	7261	0	33.300	0.000
k141_6142371||full	0.240	0.933	0.340	0.053	0.827	0.933	NCLDV	6522	0	40.000	0.000
k141_6142538||full	0.053	0.760	0.000	0.000	0.060	0.760	NCLDV	9158	0	25.000	12.500
k141_6143144||full	0.340	0.540	0.055	0.073	0.073	0.540	NCLDV	6157	0	11.100	0.000
k141_27447781||full	0.213	0.520	0.085	0.013	0.473	0.520	NCLDV	7998	0	28.600	0.000
k141_22883398||full	0.920	0.673	0.010	0.067	0.040	0.920	dsDNAphage	18400	0	33.300	0.000
k141_9189821||full	0.907	0.407	0.145	0.593	0.860	0.907	dsDNAphage	5445	0	80.000	0.000
k141_33529891||full	0.053	0.600	0.140	0.000	0.287	0.600	NCLDV	6873	0	16.700	0.000
k141_16796399||full	1.000	0.287	0.040	0.353	0.187	1.000	dsDNAphage	6492	2	53.800	0.000
k141_25925102||full	0.540	0.913	0.740	0.347	0.993	0.993	lavidaviridae	5527	0	16.700	0.000
k141_32011456||full	0.180	0.500	0.115	0.033	0.153	0.500	NCLDV	6173	0	25.000	0.000
k141_6146796||full	0.333	0.693	0.100	0.047	0.493	0.693	NCLDV	10869	0	42.900	0.000
k141_25927623||full	0.993	0.727	0.355	0.933	0.253	0.993	dsDNAphage	6600	2	50.000	0.000
k141_35059890||full	1.000	0.480	0.050	0.787	0.180	1.000	dsDNAphage	5853	1	41.700	0.000
k141_15280723||full	0.173	0.653	0.035	0.000	0.087	0.653	NCLDV	8869	0	11.100	0.000
k141_12237800||full	0.553	0.620	0.200	0.167	0.227	0.620	NCLDV	11016	0	66.700	0.000
k141_25929446||full	0.980	0.187	0.595	0.787	0.113	0.980	dsDNAphage	5311	0	12.500	0.000
k141_19847384||full	0.927	0.320	0.250	0.127	0.053	0.927	dsDNAphage	5070	0	27.300	0.000
k141_6149683||full	0.860	0.300	0.310	0.147	0.053	0.860	dsDNAphage	6194	0	30.000	0.000
k141_1586921||full	0.073	0.507	0.090	0.000	0.107	0.507	NCLDV	10172	0	18.200	0.000
k141_12239851||full	0.940	0.187	0.365	0.773	0.260	0.940	dsDNAphage	4584	0	42.900	0.000
k141_21364935||full	0.067	0.553	0.000	0.000	0.127	0.553	NCLDV	7681	0	28.600	14.300
k141_13757020||full	0.940	0.253	0.940	0.727	0.927	0.940	dsDNAphage	5528	0	14.300	0.000
k141_30494121||full	0.467	0.640	0.325	0.040	0.253	0.640	NCLDV	6638	0	33.300	0.000
k141_24413954||full	0.513	0.053	0.085	0.173	0.627	0.627	lavidaviridae	4803	0	14.300	0.000
k141_32017411||full	0.993	0.740	0.450	0.360	0.293	0.993	dsDNAphage	7108	0	18.200	0.000
k141_21367107||full	0.747	0.673	0.650	0.573	0.927	0.927	lavidaviridae	11497	0	11.100	0.000
k141_15285650||full	0.173	0.980	0.050	0.007	0.127	0.980	NCLDV	4808	0	12.500	0.000
k141_30496617||full	0.080	0.847	0.125	0.007	0.200	0.847	NCLDV	7029	0	20.000	0.000
k141_21367513||full	0.847	0.240	0.010	0.053	0.040	0.847	dsDNAphage	11530	0	30.000	5.000
k141_9199942||full	1.000	0.047	0.020	0.020	0.007	1.000	dsDNAphage	30996	2	22.000	2.400
k141_7674325||full	0.993	0.127	0.490	0.633	0.107	0.993	dsDNAphage	13753	1	15.800	0.000
k141_3114518||full	0.193	0.460	0.175	0.013	0.500	0.500	lavidaviridae	5263	0	16.700	0.000
k141_30497724||full	0.833	0.407	0.050	0.080	0.107	0.833	dsDNAphage	6403	0	27.300	0.000
k141_9201684||full	0.747	0.113	0.245	0.000	0.247	0.747	dsDNAphage	5320	0	20.000	0.000
k141_4639664||full	0.207	0.687	0.140	0.007	0.133	0.687	NCLDV	4868	0	16.700	0.000
k141_1593893||full	0.933	0.767	0.335	0.673	0.860	0.933	dsDNAphage	6012	0	50.000	0.000
k141_27462246||full	0.267	0.773	0.045	0.053	0.113	0.773	NCLDV	5026	0	50.000	0.000
k141_19855754||full	0.007	0.867	0.000	0.000	0.047	0.867	NCLDV	6385	0	20.000	0.000
k141_32022700||full	0.967	0.780	0.205	0.227	0.907	0.967	dsDNAphage	5763	1	27.300	0.000
k141_15291054||full	0.893	0.173	0.365	0.820	0.180	0.893	dsDNAphage	8637	0	23.500	0.000
k141_33544073||full	0.600	0.147	0.410	0.140	0.400	0.600	dsDNAphage	5072	0	25.000	0.000
k141_25939568||full	0.993	0.393	0.530	0.647	0.547	0.993	dsDNAphage	5212	1	50.000	0.000
k141_9206557||full	0.600	0.340	0.000	0.000	0.053	0.600	dsDNAphage	16611	0	34.600	7.700
k141_3120936||full	1.000	0.667	0.100	0.093	0.180	1.000	dsDNAphage	17295	4	34.600	3.800
k141_21374410||full	0.407	0.893	0.035	0.027	0.233	0.893	NCLDV	7637	0	50.000	0.000
k141_19859007||full	0.953	0.233	0.075	0.587	0.193	0.953	dsDNAphage	5706	0	30.000	0.000
k141_24422651||full	0.107	0.887	0.170	0.020	0.347	0.887	NCLDV	6232	0	16.700	0.000
k141_18337378||full	0.180	0.813	0.040	0.000	0.100	0.813	NCLDV	8717	0	12.500	0.000
k141_16814535||full	0.227	0.567	0.150	0.093	0.120	0.567	NCLDV	9511	0	33.300	0.000
k141_24425033||full	0.467	0.280	0.550	0.040	0.680	0.680	lavidaviridae	8511	0	33.300	0.000
k141_28985787||full	0.647	0.247	0.185	0.287	0.067	0.647	dsDNAphage	5204	0	7.100	0.000
k141_15296629||full	0.967	0.433	0.050	0.407	0.300	0.967	dsDNAphage	8598	0	50.000	0.000
k141_22904762||full	1.000	0.540	0.175	0.613	0.213	1.000	dsDNAphage	20212	8	53.300	0.000
k141_9211417||full	1.000	0.713	0.185	0.440	0.787	1.000	dsDNAphage	8285	2	63.600	0.000
k141_21378801||full	0.987	0.133	0.015	0.000	0.560	0.987	dsDNAphage	11601	5	50.000	6.200
k141_27470353||full	0.713	0.767	0.045	0.027	0.013	0.767	NCLDV	6576	0	16.700	0.000
k141_12255759||full	1.000	0.213	0.060	0.273	0.093	1.000	dsDNAphage	17682	1	11.800	0.000
k141_4650075||full	0.107	0.853	0.025	0.000	0.353	0.853	NCLDV	7142	0	16.700	0.000
k141_3128202||full	0.100	0.953	0.075	0.013	0.593	0.953	NCLDV	6676	0	25.000	0.000
k141_4650725||full	0.433	0.920	0.025	0.007	0.547	0.920	NCLDV	5059	0	33.300	0.000
k141_10730748||full	0.693	0.267	0.490	0.240	0.540	0.693	dsDNAphage	5170	0	33.300	0.000
k141_27473142||full	0.940	0.460	0.790	0.113	0.540	0.940	dsDNAphage	12967	1	16.700	0.000
k141_9216800||full	0.733	0.667	0.585	0.360	0.147	0.733	dsDNAphage	7366	0	6.700	0.000
k141_18345445||full	0.953	0.113	0.440	0.740	0.200	0.953	dsDNAphage	12589	0	10.000	0.000
k141_19868937||full	0.273	0.807	0.215	0.113	0.780	0.807	NCLDV	7856	0	25.000	0.000
k141_16822522||full	0.820	0.633	0.095	0.073	0.060	0.820	dsDNAphage	18464	0	21.200	0.000
k141_7691133||full	1.000	0.313	0.195	0.253	0.553	1.000	dsDNAphage	26526	9	77.800	0.000
k141_21384666||full	0.560	0.793	0.110	0.213	0.420	0.793	NCLDV	6771	0	60.000	0.000
k141_6170234||full	0.067	0.853	0.095	0.040	0.227	0.853	NCLDV	4993	0	25.000	0.000
k141_28994163||full	0.660	0.420	0.575	0.560	0.967	0.967	lavidaviridae	6061	0	40.000	0.000
k141_22912314||full	0.587	0.260	0.345	0.213	0.180	0.587	dsDNAphage	5000	0	60.000	0.000
k141_19871122||full	0.680	0.127	0.175	0.073	0.260	0.680	dsDNAphage	5460	0	40.000	0.000
k141_28995059||full	0.960	0.420	0.045	0.400	0.100	0.960	dsDNAphage	5593	0	10.500	0.000
k141_10735901||full	0.993	0.033	0.000	0.007	0.007	0.993	dsDNAphage	10535	3	46.200	7.700
k141_4656430||full	0.060	0.760	0.000	0.007	0.140	0.760	NCLDV	5749	0	25.000	0.000
k141_18350144||full	0.333	0.607	0.445	0.027	0.807	0.807	lavidaviridae	9818	0	10.000	0.000
k141_18350254||full	0.940	0.220	0.320	0.100	0.013	0.940	dsDNAphage	23940	0	6.800	0.000
k141_15307672||full	0.987	0.273	0.050	0.253	0.340	0.987	dsDNAphage	15953	3	52.000	0.000
k141_19873951||full	0.073	0.553	0.015	0.000	0.020	0.553	NCLDV	5344	0	20.000	0.000
k141_10738198||full	0.980	0.433	0.110	0.700	0.280	0.980	dsDNAphage	5589	0	30.000	0.000
k141_7695888||full	1.000	0.133	0.245	0.427	0.220	1.000	dsDNAphage	10054	4	42.100	0.000
k141_19875102||full	0.087	0.947	0.180	0.000	0.093	0.947	NCLDV	6296	0	14.300	0.000
k141_27484068||full	0.907	0.120	0.010	0.020	0.033	0.907	dsDNAphage	6032	1	33.300	11.100
k141_4662557||full	0.740	0.973	0.240	0.847	0.987	0.987	lavidaviridae	5795	0	37.500	0.000
k141_35091456||full	0.913	0.133	0.390	0.213	0.127	0.913	dsDNAphage	5820	0	40.000	0.000
k141_19878769||full	0.793	0.187	0.000	0.180	0.027	0.793	dsDNAphage	5628	0	16.700	5.600
k141_25959594||full	0.827	0.613	0.120	0.860	0.233	0.860	ssDNA	6304	0	18.800	0.000
k141_1616106||full	0.613	0.387	0.065	0.000	0.127	0.613	dsDNAphage	6337	1	20.000	0.000
k141_3142124||full	0.867	0.120	0.015	0.007	0.027	0.867	dsDNAphage	5175	1	33.300	16.700
k141_30524574||full	0.540	0.713	0.700	0.067	0.767	0.767	lavidaviridae	5208	0	25.000	0.000
k141_9229469||full	0.860	0.233	0.030	0.113	0.007	0.860	dsDNAphage	5773	0	8.300	0.000
k141_3143923||full	0.193	0.927	0.025	0.000	0.153	0.927	NCLDV	5789	0	33.300	16.700
k141_10745464||full	0.820	0.413	0.060	0.333	0.347	0.820	dsDNAphage	6938	0	50.000	0.000
k141_22924048||full	0.787	0.120	0.735	0.113	0.160	0.787	dsDNAphage	6039	0	11.100	0.000
k141_18359253||full	0.393	0.227	0.185	0.060	0.560	0.560	lavidaviridae	5749	0	40.000	0.000
k141_16834963||full	0.627	0.613	0.035	0.120	0.027	0.627	dsDNAphage	5776	0	11.100	0.000
k141_7703675||full	1.000	0.540	0.275	0.993	0.660	1.000	dsDNAphage	5363	1	100.000	0.000
k141_24447646||full	0.867	0.600	0.270	0.253	0.160	0.867	dsDNAphage	15030	0	40.000	0.000
k141_12276524||full	0.647	0.560	0.220	0.240	0.700	0.700	lavidaviridae	5768	0	40.000	0.000
k141_13791382||full	0.947	0.847	0.170	0.520	0.693	0.947	dsDNAphage	6024	1	28.600	0.000
k141_3147884||full	0.520	0.073	0.305	0.047	0.080	0.520	dsDNAphage	7825	0	22.200	0.000
k141_27493242||full	0.793	0.087	0.145	0.020	0.393	0.793	dsDNAphage	5633	1	20.000	0.000
