seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
k141_2566642||full	0.153	0.540	0.180	0.007	0.160	0.540	NCLDV	5957	0	20.000	0.000
k141_3201971||full	0.213	0.593	0.030	0.027	0.187	0.593	NCLDV	5373	0	33.300	0.000
k141_665542||full	0.253	0.540	0.020	0.013	0.180	0.540	NCLDV	8288	0	33.300	0.000
k141_2886115||full	0.427	0.233	0.225	0.000	0.507	0.507	lavidaviridae	5391	0	14.300	0.000
k141_33288||full	0.493	0.607	0.455	0.033	0.347	0.607	NCLDV	6795	0	33.300	0.000
k141_3363438||full	0.053	0.547	0.005	0.000	0.260	0.547	NCLDV	11105	0	18.200	9.100
k141_1302173||full	0.173	0.520	0.030	0.007	0.180	0.520	NCLDV	5191	0	40.000	0.000
k141_2570687||full	0.140	0.647	0.155	0.013	0.553	0.647	NCLDV	5517	0	20.000	0.000
k141_3206075||full	0.053	0.587	0.000	0.000	0.000	0.587	NCLDV	7546	0	25.000	0.000
k141_193189||full	0.653	0.307	0.175	0.167	0.607	0.653	dsDNAphage	5062	0	20.000	0.000
k141_36968||full	0.813	0.467	0.645	0.167	0.467	0.813	dsDNAphage	11975	0	11.100	0.000
k141_1939266||full	0.680	0.733	0.195	0.193	0.113	0.733	NCLDV	4945	0	66.700	0.000
k141_3367124||full	0.360	0.587	0.030	0.060	0.373	0.587	NCLDV	7990	0	37.500	0.000
k141_2891639||full	0.353	0.747	0.140	0.087	0.520	0.747	NCLDV	5730	0	50.000	0.000
k141_2575233||full	0.853	0.240	0.625	0.147	0.220	0.853	dsDNAphage	7571	0	7.700	0.000
k141_2099144||full	0.900	0.427	0.515	0.093	0.327	0.900	dsDNAphage	11732	0	12.500	0.000
k141_2419270||full	0.807	1.000	0.100	0.647	0.980	1.000	NCLDV	5816	0	75.000	0.000
k141_3533799||full	0.227	0.693	0.095	0.073	0.107	0.693	NCLDV	5152	0	33.300	0.000
k141_1474634||full	0.620	0.680	0.760	0.080	0.453	0.760	RNA	5648	0	14.300	0.000
k141_1474757||full	0.907	0.627	0.055	0.000	0.280	0.907	dsDNAphage	15649	1	25.000	0.000
k141_2425103||full	0.480	0.880	0.210	0.080	0.127	0.880	NCLDV	5118	0	20.000	0.000
k141_2108920||full	0.687	0.360	0.335	0.113	0.040	0.687	dsDNAphage	5026	0	14.300	0.000
k141_2586357||full	0.687	0.647	0.595	0.140	0.320	0.687	dsDNAphage	6999	0	14.300	0.000
k141_3697451||full	0.080	0.820	0.040	0.007	0.147	0.820	NCLDV	5086	0	20.000	0.000
k141_3382691||full	0.167	0.820	0.120	0.027	0.487	0.820	NCLDV	6270	0	25.000	0.000
k141_1321790||full	0.073	0.967	0.155	0.000	0.180	0.967	NCLDV	8071	0	12.500	0.000
k141_1479782||full	0.273	0.913	0.205	0.013	0.247	0.913	NCLDV	5251	0	33.300	0.000
k141_1165640||full	0.507	0.673	0.615	0.107	0.833	0.833	lavidaviridae	6084	0	11.100	0.000
k141_3387556||full	0.133	0.800	0.130	0.013	0.373	0.800	NCLDV	5892	0	20.000	0.000
k141_2117901||full	0.233	0.727	0.135	0.047	0.440	0.727	NCLDV	5374	0	40.000	0.000
k141_216173||full	0.887	0.213	0.000	0.047	0.327	0.887	dsDNAphage	7144	2	18.200	9.100
k141_2436752||full	0.087	0.560	0.035	0.013	0.387	0.560	NCLDV	6823	0	22.200	0.000
k141_63563||full	0.107	0.740	0.245	0.027	0.187	0.740	NCLDV	5237	0	25.000	0.000
k141_1174526||full	0.533	0.713	0.340	0.333	0.820	0.820	lavidaviridae	7286	0	33.300	0.000
k141_1012825||full	0.913	0.293	0.195	0.593	0.193	0.913	dsDNAphage	8031	0	58.300	0.000
k141_221939||full	1.000	0.040	0.015	0.140	0.380	1.000	dsDNAphage	5215	2	75.000	12.500
k141_1491436||full	0.113	0.907	0.145	0.007	0.387	0.907	NCLDV	6475	0	20.000	0.000
k141_1493634||full	0.153	0.667	0.000	0.000	0.007	0.667	NCLDV	5923	0	28.600	14.300
k141_1018096||full	0.480	0.753	0.340	0.800	0.980	0.980	lavidaviridae	5142	0	50.000	0.000
k141_3558079||full	1.000	0.413	0.260	0.447	0.720	1.000	dsDNAphage	7120	2	77.800	0.000
k141_1019548||full	0.573	0.873	0.245	0.300	0.993	0.993	lavidaviridae	5070	0	20.000	0.000
k141_3559112||full	0.080	0.940	0.080	0.033	0.287	0.940	NCLDV	6243	0	33.300	0.000
k141_3085532||full	0.287	0.720	0.470	0.007	0.260	0.720	NCLDV	5068	0	25.000	0.000
k141_2449149||full	1.000	0.193	0.095	0.193	0.420	1.000	dsDNAphage	9643	2	63.600	0.000
k141_3720017||full	0.740	0.413	0.005	0.000	0.047	0.740	dsDNAphage	16009	1	27.300	9.100
k141_391244||full	0.060	0.560	0.070	0.013	0.133	0.560	NCLDV	5198	0	25.000	0.000
k141_3410279||full	0.733	0.387	0.535	0.087	0.200	0.733	dsDNAphage	5510	0	14.300	0.000
k141_1983533||full	0.493	0.287	0.025	0.000	0.500	0.500	lavidaviridae	9221	0	33.300	11.100
k141_2937081||full	0.953	0.580	0.155	0.333	0.720	0.953	dsDNAphage	6411	1	33.300	0.000
k141_241445||full	0.160	0.100	0.290	0.027	0.667	0.667	lavidaviridae	5286	0	20.000	0.000
k141_90820||full	0.013	0.627	0.000	0.000	0.133	0.627	NCLDV	8030	0	25.000	12.500
k141_3420718||full	0.680	0.700	0.145	0.013	0.700	0.700	NCLDV	16131	0	18.200	0.000
k141_3422178||full	1.000	0.247	0.260	0.900	0.440	1.000	dsDNAphage	5180	4	100.000	0.000
k141_3738737||full	0.200	0.893	0.175	0.040	0.700	0.893	NCLDV	4947	0	33.300	0.000
k141_3739904||full	0.587	0.573	0.070	0.020	0.627	0.627	lavidaviridae	7734	0	25.000	0.000
k141_3265759||full	0.427	0.767	0.080	0.027	0.360	0.767	NCLDV	5157	0	40.000	0.000
k141_3266146||full	0.533	0.993	0.385	0.133	0.987	0.993	NCLDV	6724	0	16.700	0.000
k141_254869||full	0.120	0.933	0.185	0.007	0.473	0.933	NCLDV	5028	0	20.000	0.000
k141_3429173||full	0.947	0.400	0.360	0.113	0.140	0.947	dsDNAphage	7243	0	22.200	0.000
k141_1212133||full	0.920	0.233	0.185	0.147	0.547	0.920	dsDNAphage	18365	0	16.000	0.000
k141_2799221||full	0.633	0.853	0.540	0.713	0.967	0.967	lavidaviridae	3528	0	33.300	0.000
k141_1691094||full	0.800	0.107	0.335	0.200	0.033	0.800	dsDNAphage	5646	0	6.700	0.000
k141_2642690||full	1.000	0.613	0.195	0.380	0.287	1.000	dsDNAphage	5603	1	28.600	0.000
k141_3123363||full	0.987	0.353	0.475	0.760	0.920	0.987	dsDNAphage	5507	1	50.000	0.000
k141_1850514||full	1.000	0.127	0.055	0.793	0.153	1.000	dsDNAphage	6193	0	37.500	0.000
k141_1382392||full	0.140	0.660	0.005	0.000	0.227	0.660	NCLDV	5585	0	33.300	16.700
k141_587019||full	0.107	0.800	0.120	0.013	0.487	0.800	NCLDV	5812	0	25.000	0.000
k141_270317||full	0.147	0.527	0.180	0.087	0.267	0.527	NCLDV	5106	0	33.300	0.000
k141_1384825||full	0.373	0.907	0.090	0.047	0.607	0.907	NCLDV	7719	0	37.500	0.000
k141_1384983||full	0.287	0.520	0.265	0.033	0.727	0.727	lavidaviridae	4709	0	40.000	0.000
k141_3760819||full	0.167	0.560	0.050	0.007	0.073	0.560	NCLDV	5485	0	11.100	0.000
k141_2492881||full	0.707	0.667	0.275	0.073	0.827	0.827	lavidaviridae	5205	0	11.100	0.000
k141_1702139||full	0.080	0.740	0.150	0.000	0.213	0.740	NCLDV	5001	0	16.700	0.000
k141_2335374||full	0.227	0.520	0.415	0.287	0.720	0.720	lavidaviridae	5561	0	33.300	0.000
k141_2494417||full	0.233	0.760	0.140	0.013	0.533	0.760	NCLDV	7434	0	28.600	0.000
k141_2812289||full	0.100	0.627	0.000	0.000	0.027	0.627	NCLDV	5537	0	16.700	0.000
k141_911179||full	0.740	0.813	0.645	1.000	0.933	1.000	ssDNA	7234	0	100.000	0.000
k141_277758||full	0.280	0.820	0.115	0.020	0.407	0.820	NCLDV	6224	0	33.300	0.000
k141_2026213||full	0.060	0.887	0.085	0.000	0.420	0.887	NCLDV	5591	0	20.000	0.000
k141_2977845||full	0.020	0.840	0.000	0.000	0.000	0.840	NCLDV	6153	0	20.000	0.000
k141_1073387||full	0.073	0.667	0.160	0.020	0.820	0.820	lavidaviridae	6106	0	16.700	0.000
k141_2661037||full	0.507	0.253	0.270	0.680	0.247	0.680	ssDNA	5538	0	100.000	0.000
k141_1399305||full	0.007	0.593	0.000	0.000	0.007	0.593	NCLDV	5516	0	16.700	0.000
k141_3459290||full	0.207	0.747	0.220	0.027	0.600	0.747	NCLDV	6945	0	22.200	0.000
k141_2826081||full	0.920	0.460	0.000	0.000	0.000	0.920	dsDNAphage	8105	2	33.300	22.200
k141_3780489||full	0.053	0.647	0.090	0.000	0.220	0.647	NCLDV	5639	0	25.000	0.000
k141_3149426||full	1.000	0.300	0.235	0.453	0.167	1.000	dsDNAphage	9108	2	22.700	0.000
k141_2353997||full	0.860	0.193	0.425	0.067	0.107	0.860	dsDNAphage	13863	0	11.100	0.000
k141_138811||full	0.273	0.407	0.380	0.027	0.553	0.553	lavidaviridae	5678	0	20.000	0.000
k141_775525||full	0.820	0.567	0.610	0.373	0.873	0.873	lavidaviridae	7803	0	33.300	0.000
k141_1886446||full	0.173	0.520	0.005	0.013	0.227	0.520	NCLDV	5515	0	33.300	16.700
k141_2050761||full	0.987	0.407	0.105	0.480	0.947	0.987	dsDNAphage	6527	2	57.100	0.000
k141_1734043||full	0.287	0.547	0.010	0.053	0.027	0.547	NCLDV	5055	0	60.000	20.000
k141_3164229||full	0.067	0.887	0.195	0.000	0.087	0.887	NCLDV	5134	0	33.300	0.000
k141_624912||full	0.567	0.340	0.610	0.007	0.353	0.610	RNA	6214	0	16.700	0.000
k141_2209634||full	0.180	0.553	0.010	0.000	0.147	0.553	NCLDV	5713	0	33.300	16.700
k141_627745||full	0.273	0.707	0.000	0.007	0.453	0.707	NCLDV	6149	0	40.000	20.000
k141_2213062||full	0.387	0.047	0.160	0.073	0.540	0.540	lavidaviridae	5426	0	33.300	0.000
k141_1957897||lt2gene	nan	nan	nan	nan	nan	nan	lavidaviridae	5017	1	50.000	0.000
