,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
31,AB626962,Unassigned,Unassigned,Unassigned,104_0,Clustered,33,VC_104_0,33,0.7342,1.0,0.7342,0,0,0,1.0
32,AB626963,Unassigned,Unassigned,Unassigned,104_0,Clustered,33,VC_104_0,33,0.7342,1.0,0.7342,0,0,0,1.0
33,AB647160,Unassigned,Unassigned,Unassigned,108_0,Clustered,32,VC_108_0,32,0.8827,1.0,0.8827,0,0,0,1.0
34,AB712291,Unassigned,Unassigned,Unassigned,117_0,Clustered,36,VC_117_0,36,0.8415,1.0,0.8415,0,0,0,1.0
35,AB716666,Unassigned,Unassigned,Unassigned,123_0,Clustered,100,VC_123_0,100,0.9746,1.0,0.9746,0,0,0,1.0
36,AB720063,Unassigned,Unassigned,Unassigned,125_0,Clustered,10,VC_125_0,10,0.464,1.0,0.464,0,0,0,0.7556
37,AB720064,Unassigned,Unassigned,Unassigned,128_0,Clustered,14,VC_128_0,14,1.0,0.0,0.0,0,0,0,1.0
38,AB731695,Unassigned,Unassigned,Unassigned,108_0,Clustered,32,VC_108_0,32,0.8827,1.0,0.8827,0,0,0,1.0
39,AB746912,Unassigned,Unassigned,Unassigned,129_0,Clustered,3,VC_129_0,3,0.7116,0.98422987,0.7004,0,0,0,1.0
40,AB757800,Unassigned,Unassigned,Unassigned,131_0,Clustered,10,VC_131_0,10,0.8563,1.0,0.8563,0,0,0,1.0
41,AB757801,Unassigned,Unassigned,Unassigned,131_0,Clustered,10,VC_131_0,10,0.8563,1.0,0.8563,0,0,0,1.0
42,AB767244,Unassigned,Unassigned,Unassigned,133_0,Clustered,3,VC_133_0,3,0.1078,0.99658594,0.1074,0,0,0,1.0
43,AB775548,Unassigned,Unassigned,Unassigned,138_0,Clustered,17,VC_138_0,17,0.8718,1.0,0.8718,0,0,0,1.0
44,AB775549,Unassigned,Unassigned,Unassigned,141_0,Clustered,20,VC_141_0,20,0.7517,1.0,0.7517,0,0,0,1.0
45,AB797215,Unassigned,Unassigned,Unassigned,143_1,Clustered,19,VC_143_1,19,0.2196,1.0,0.2196,0,0,0,0.9883
46,AB828698,Unassigned,Unassigned,Unassigned,57_0,Clustered,7,VC_57_0,7,0.7128,1.0,0.7128,0,0,0,1.0
47,AB853330,Unassigned,Unassigned,Unassigned,158_12,Clustered,3,VC_158_12,3,0.0082,0.91143615,0.0075,0,0,0,1.0
48,AB853331,Unassigned,Unassigned,Unassigned,158_29,Clustered/Singleton,1,VC_158_29,1,0.0,0.0,0.0,0,0,0,1.0
49,AB854109,Unassigned,Unassigned,Unassigned,163_0,Clustered,5,VC_163_0,5,0.251,0.99999963,0.251,0,0,0,1.0
50,AB863625,Unassigned,Unassigned,Unassigned,170_0,Clustered,3,VC_170_0,3,0.5048,0.99640095,0.503,0,0,0,1.0
51,AB897757,Unassigned,Unassigned,Unassigned,174_3,Clustered,5,VC_174_3,5,0.0499,0.99946384,0.0499,0,0,0,1.0
52,AB903967,Unassigned,Unassigned,Unassigned,158_13,Clustered/Singleton,1,VC_158_13,1,0.0,0.0,0.0,0,0,0,1.0
53,AB910392,Unassigned,Unassigned,Unassigned,179_0,Clustered,3,VC_179_0,3,0.6218,0.99665067,0.6197,0,0,0,1.0
54,AB910393,Unassigned,Unassigned,Unassigned,188_0,Clustered,3,VC_188_0,3,0.9676,0.98667114,0.9547,0,0,0,1.0
55,AB910602,Unassigned,Unassigned,Unassigned,192_0,Clustered,5,VC_192_0,5,0.7467,0.99771292,0.745,0,0,0,1.0
56,AB916497,Unassigned,Unassigned,Unassigned,194_0,Clustered,4,VC_194_0,4,0.2108,0.99997227,0.2108,0,0,0,1.0
57,AB920995,Unassigned,Unassigned,Unassigned,74_0,Clustered,24,VC_74_0,24,0.6354,1.0,0.6354,0,0,0,1.0
58,AB930182,Unassigned,Unassigned,Unassigned,91_0,Clustered,22,VC_91_0,22,0.3203,1.0,0.3203,0,0,0,0.7835
59,AB931172,Unassigned,Unassigned,Unassigned,57_0,Clustered,7,VC_57_0,7,0.7128,1.0,0.7128,0,0,0,1.0
60,AB937974,Unassigned,Unassigned,Unassigned,54_0,Clustered,82,VC_54_0,82,0.9493,1.0,0.9493,0,0,0,1.0
61,AB971354,Unassigned,Unassigned,Unassigned,205_0,Clustered,14,VC_205_0,14,0.9978,0.99729968,0.9951,0,0,0,1.0
62,AB981169,Unassigned,Unassigned,Unassigned,1_0,Clustered,54,VC_1_0,54,0.8559,1.0,0.8559,0,0,0,1.0
63,AB983711,Unassigned,Unassigned,Unassigned,74_0,Clustered,24,VC_74_0,24,0.6354,1.0,0.6354,0,0,0,1.0
64,AC171169,Unassigned,Unassigned,Unassigned,206_33,Clustered/Singleton,1,VC_206_33,1,0.0,0.0,0.0,0,0,0,1.0
65,ACSJ01000017,Unassigned,Unassigned,Unassigned,212_0,Clustered/Singleton,1,VC_212_0,1,0.0,0.0,0.0,0,0,0,1.0
66,AF009630,Unassigned,Unassigned,Unassigned,220_0,Clustered,102,VC_220_0,102,0.406,1.0,0.406,0,0,0,0.787
67,AF011378,Unassigned,Unassigned,Unassigned,220_0,Clustered,102,VC_220_0,102,0.406,1.0,0.406,0,0,0,0.787
68,AF020713,Unassigned,Unassigned,Unassigned,203_2,Clustered/Singleton,1,VC_203_2,1,0.0,0.0,0.0,0,0,0,1.0
69,AF022214,Unassigned,Unassigned,Unassigned,231_1,Clustered,19,VC_231_1,19,0.4176,1.0,0.4176,0,0,0,1.0
70,AF059242,Unassigned,Unassigned,Unassigned,205_0,Clustered,14,VC_205_0,14,0.9978,0.99729968,0.9951,0,0,0,1.0
71,AF059243,Unassigned,Unassigned,Unassigned,205_0,Clustered,14,VC_205_0,14,0.9978,0.99729968,0.9951,0,0,0,1.0
72,AF063097,Unassigned,Unassigned,Unassigned,242_0,Clustered,64,VC_242_0,64,0.9574,1.0,0.9574,0,0,0,1.0
73,AF065411,Unassigned,Unassigned,Unassigned,246_0,Clustered,2,VC_246_0,2,0.9689,0.33333333,0.323,0,0,0,1.0
74,AF083977,Unassigned,Unassigned,Unassigned,52_0,Clustered,9,VC_52_0,9,0.5586,1.0,0.5586,0,0,0,1.0
75,AF085222,Unassigned,Unassigned,Unassigned,268_0,Clustered,122,VC_268_0,122,0.7466,1.0,0.7466,0,0,0,0.9984
76,AF109874,Unassigned,Unassigned,Unassigned,271_0,Clustered,41,VC_271_0,41,0.5506,1.0,0.5506,0,0,0,1.0
77,AF115102,Unassigned,Unassigned,Unassigned,268_0,Clustered,122,VC_268_0,122,0.7466,1.0,0.7466,0,0,0,0.9984
78,AF115103,Unassigned,Unassigned,Unassigned,268_0,Clustered,122,VC_268_0,122,0.7466,1.0,0.7466,0,0,0,0.9984
79,AF125163,Unassigned,Unassigned,Unassigned,5_0,Clustered,28,VC_5_0,28,0.9091,1.0,0.9091,0,0,0,1.0
80,AF125520,Unassigned,Unassigned,Unassigned,42_1,Clustered,35,VC_42_1,35,0.4219,1.0,0.4219,0,0,0,1.0
81,AF133242,Unassigned,Unassigned,Unassigned,289_0,Clustered,2,VC_289_0,2,1.0,0.0,0.0,0,0,0,1.0
82,AF145054,Unassigned,Unassigned,Unassigned,268_0,Clustered,122,VC_268_0,122,0.7466,1.0,0.7466,0,0,0,0.9984
83,AF155037,Unassigned,Unassigned,Unassigned,290_0,Clustered,3,VC_290_0,3,1.0,0.0,0.0,0,0,0,1.0
84,AF157835,Unassigned,Unassigned,Unassigned,31_0,Clustered,10,VC_31_0,10,0.5323,1.0,0.5323,0,0,0,1.0
85,AF158101,Unassigned,Unassigned,Unassigned,296_103,Clustered,11,VC_296_103,11,0.0267,1.0,0.0267,0,0,0,1.0
86,AF158600,Unassigned,Unassigned,Unassigned,269_0,Clustered,46,VC_269_0,46,0.5234,1.0,0.5234,0,0,0,1.0
87,AF165214,Unassigned,Unassigned,Unassigned,191_0,Clustered,2,VC_191_0,2,0.0441,0.91298902,0.0402,0,0,0,1.0
88,AF176025,Unassigned,Unassigned,Unassigned,276_0,Clustered,13,VC_276_0,13,0.3706,1.0,0.3706,0,0,0,1.0
89,AF176027,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
90,AF176028,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
91,AF176029,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
92,AF176030,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
93,AF176031,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
94,AF176032,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
95,AF176033,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
96,AF176034,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
97,AF189021,Unassigned,Unassigned,Unassigned,318_0,Clustered,11,VC_318_0,11,0.7263,1.0,0.7263,0,0,0,1.0
98,AF191797,Unassigned,Unassigned,Unassigned,324_0,Clustered,2,VC_324_0,2,1.0,0.0,0.0,0,0,0,1.0
99,AF195902,Unassigned,Unassigned,Unassigned,326_0,Clustered,10,VC_326_0,10,0.7647,1.0,0.7647,0,0,0,1.0
100,AF217253,Unassigned,Unassigned,Unassigned,30_1,Clustered,48,VC_30_1,48,0.6087,1.0,0.6087,0,0,0,0.9273
101,AF222060,Unassigned,Unassigned,Unassigned,328_0,Clustered,33,VC_328_0,33,0.874,1.0,0.874,0,0,0,1.0
102,AF227250,Unassigned,Unassigned,Unassigned,333_0,Clustered,14,VC_333_0,14,0.9121,1.0,0.9121,0,0,0,1.0
103,AF232233,Unassigned,Unassigned,Unassigned,200_0,Clustered,24,VC_200_0,24,0.7079,1.0,0.7079,0,0,0,1.0
104,AF234172,Unassigned,Unassigned,Unassigned,262_0,Clustered,14,VC_262_0,14,0.8772,1.0,0.8772,0,0,0,0.967
105,AF234173,Unassigned,Unassigned,Unassigned,262_0,Clustered,14,VC_262_0,14,0.8772,1.0,0.8772,0,0,0,0.967
106,AF242738,Unassigned,Unassigned,Unassigned,277_1,Clustered,10,VC_277_1,10,0.1491,1.0,0.1491,0,0,0,0.9556
107,AF271693,Unassigned,Unassigned,Unassigned,346_32,Clustered,2,VC_346_32,2,0.0045,0.91506502,0.0041,0,0,0,1.0
108,AF274751,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
109,AF299300,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
110,AF299301,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
111,AF299302,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
112,AF299303,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
113,AF299304,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
114,AF299305,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
115,AF299306,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
116,AF299307,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
117,AF299308,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
118,AF299309,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
119,AF299310,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
120,AF299311,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
121,AF299312,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
122,AF299313,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
123,AF299314,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
124,AF301375,Unassigned,Unassigned,Unassigned,246_0,Clustered,2,VC_246_0,2,0.9689,0.33333333,0.323,0,0,0,1.0
125,AF304433,Unassigned,Unassigned,Unassigned,271_0,Clustered,41,VC_271_0,41,0.5506,1.0,0.5506,0,0,0,1.0
126,AF306496,Unassigned,Unassigned,Unassigned,347_0,Clustered,12,VC_347_0,12,0.8927,1.0,0.8927,0,0,0,1.0
127,AF320576,Unassigned,Unassigned,Unassigned,349_7,Clustered,13,VC_349_7,13,0.0683,1.0,0.0683,0,0,0,0.9615
128,AF323668,Unassigned,Unassigned,Unassigned,278_0,Clustered,7,VC_278_0,7,0.2194,1.0,0.2194,0,0,0,1.0
129,AF323669,Unassigned,Unassigned,Unassigned,276_0,Clustered,13,VC_276_0,13,0.3706,1.0,0.3706,0,0,0,1.0
130,AF323671,Unassigned,Unassigned,Unassigned,358_0,Clustered,9,VC_358_0,9,0.9421,0.99999542,0.9421,0,0,0,1.0
131,AF334111,Unassigned,Unassigned,Unassigned,241_0,Clustered,2,VC_241_0,2,0.3333,0.0,0.0,0,0,0,1.0
132,AF335538,Unassigned,Unassigned,Unassigned,32_0,Clustered,15,VC_32_0,15,0.1864,1.0,0.1864,0,0,0,0.819
133,AF338467,Unassigned,Unassigned,Unassigned,359_0,Clustered,32,VC_359_0,32,0.9861,1.0,0.9861,0,0,0,1.0
134,AF349457,Unassigned,Unassigned,Unassigned,271_0,Clustered,41,VC_271_0,41,0.5506,1.0,0.5506,0,0,0,1.0
135,AF399011,Unassigned,Unassigned,Unassigned,367_0,Clustered,24,VC_367_0,24,0.5337,1.0,0.5337,0,0,0,1.0
136,AF424781,Unassigned,Unassigned,Unassigned,9_0,Clustered,39,VC_9_0,39,0.4935,1.0,0.4935,0,0,0,1.0
137,AF424782,Unassigned,Unassigned,Unassigned,8_0,Clustered,69,VC_8_0,69,0.8286,1.0,0.8286,0,0,0,0.9275
138,AF424783,Unassigned,Unassigned,Unassigned,7_0,Clustered,29,VC_7_0,29,0.3942,1.0,0.3942,0,0,0,0.9951
139,AF440571,Unassigned,Unassigned,Unassigned,375_0,Clustered,7,VC_375_0,7,0.8381,1.0,0.8381,0,0,0,1.0
140,AF440695,Unassigned,Unassigned,Unassigned,379_0,Clustered,3,VC_379_0,3,0.6741,0.99793602,0.6727,0,0,0,1.0
141,AF447491,Unassigned,Unassigned,Unassigned,381_0,Clustered,6,VC_381_0,6,0.5436,1.0,0.5436,0,0,0,1.0
142,AF452449,Unassigned,Unassigned,Unassigned,15_0,Clustered,12,VC_15_0,12,0.6275,1.0,0.6275,0,0,0,1.0
143,AF453500,Unassigned,Unassigned,Unassigned,15_0,Clustered,12,VC_15_0,12,0.6275,1.0,0.6275,0,0,0,1.0
144,AF454431,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
145,AF489521,Unassigned,Unassigned,Unassigned,276_0,Clustered,13,VC_276_0,13,0.3706,1.0,0.3706,0,0,0,1.0
146,AF493143,Unassigned,Unassigned,Unassigned,140_0,Clustered,44,VC_140_0,44,0.8884,1.0,0.8884,0,0,0,1.0
147,AF503408,Unassigned,Unassigned,Unassigned,262_0,Clustered,14,VC_262_0,14,0.8772,1.0,0.8772,0,0,0,0.967
148,AF513032,Unassigned,Unassigned,Unassigned,104_0,Clustered,33,VC_104_0,33,0.7342,1.0,0.7342,0,0,0,1.0
149,AF513033,Unassigned,Unassigned,Unassigned,104_0,Clustered,33,VC_104_0,33,0.7342,1.0,0.7342,0,0,0,1.0
150,AF527608,Unassigned,Unassigned,Unassigned,30_1,Clustered,48,VC_30_1,48,0.6087,1.0,0.6087,0,0,0,0.9273
151,AF547430,Unassigned,Unassigned,Unassigned,396_1,Clustered,53,VC_396_1,53,0.1667,1.0,0.1667,0,0,0,0.6161
152,AF547987,Unassigned,Unassigned,Unassigned,32_0,Clustered,15,VC_32_0,15,0.1864,1.0,0.1864,0,0,0,0.819
153,AJ006589,Unassigned,Unassigned,Unassigned,398_0,Clustered,10,VC_398_0,10,0.7356,1.0,0.7356,0,0,0,1.0
154,AJ131519,Unassigned,Unassigned,Unassigned,325_0,Clustered,2,VC_325_0,2,0.3299,0.89984466,0.2968,0,0,0,1.0
155,AJ242593,Unassigned,Unassigned,Unassigned,403_0,Clustered,10,VC_403_0,10,0.7608,1.0,0.7608,0,0,0,1.0
156,AJ245616,Unassigned,Unassigned,Unassigned,276_0,Clustered,13,VC_276_0,13,0.3706,1.0,0.3706,0,0,0,1.0
157,AJ251789,Unassigned,Unassigned,Unassigned,313_0,Clustered,18,VC_313_0,18,0.589,1.0,0.589,0,0,0,0.8366
158,AJ251805,Unassigned,Unassigned,Unassigned,409_0,Clustered,54,VC_409_0,54,0.8942,1.0,0.8942,0,0,0,1.0
159,AJ278322,Unassigned,Unassigned,Unassigned,431_0,Clustered,3,VC_431_0,3,0.3309,0.99653389,0.3297,0,0,0,1.0
160,AJ298298,Unassigned,Unassigned,Unassigned,47_0,Clustered,13,VC_47_0,13,0.352,1.0,0.352,0,0,0,1.0
161,AJ302074,Unassigned,Unassigned,Unassigned,436_0,Clustered,39,VC_436_0,39,0.8434,1.0,0.8434,0,0,0,1.0
162,AJ312240,Unassigned,Unassigned,Unassigned,404_0,Clustered,6,VC_404_0,6,0.4968,1.0,0.4968,0,0,0,0.8
163,AJ318471,Unassigned,Unassigned,Unassigned,409_0,Clustered,54,VC_409_0,54,0.8942,1.0,0.8942,0,0,0,1.0
164,AJ344259,Unassigned,Unassigned,Unassigned,374_0,Clustered,22,VC_374_0,22,0.9599,1.0,0.9599,0,0,0,1.0
165,AJ414696,Unassigned,Unassigned,Unassigned,374_0,Clustered,22,VC_374_0,22,0.9599,1.0,0.9599,0,0,0,1.0
166,AJ505558,Unassigned,Unassigned,Unassigned,446_0,Clustered,49,VC_446_0,49,0.949,1.0,0.949,0,0,0,1.0
167,AJ536073,Unassigned,Unassigned,Unassigned,447_0,Clustered,7,VC_447_0,7,0.9041,0.9996286,0.9038,0,0,0,1.0
168,AJ550940,Unassigned,Unassigned,Unassigned,398_0,Clustered,10,VC_398_0,10,0.7356,1.0,0.7356,0,0,0,1.0
169,AJ556162,Unassigned,Unassigned,Unassigned,37_0,Clustered,14,VC_37_0,14,0.1739,1.0,0.1739,0,0,0,0.978
170,AJ560763,Unassigned,Unassigned,Unassigned,448_0,Clustered,2,VC_448_0,2,0.1868,0.91328243,0.1706,0,0,0,1.0
171,AJ609634,Unassigned,Unassigned,Unassigned,156_1,Clustered,3,VC_156_1,3,0.1337,0.99704483,0.1333,0,0,0,1.0
172,AJ630128,Unassigned,Unassigned,Unassigned,454_5,Clustered,2,VC_454_5,2,0.0168,0.87570406,0.0147,0,0,0,1.0
173,AJ635161,Unassigned,Unassigned,Unassigned,463_0,Clustered,4,VC_463_0,4,1.0,0.0,0.0,0,0,0,1.0
174,AJ748296,Unassigned,Unassigned,Unassigned,374_0,Clustered,22,VC_374_0,22,0.9599,1.0,0.9599,0,0,0,1.0
175,AJ783769,Unassigned,Unassigned,Unassigned,467_0,Clustered,3,VC_467_0,3,0.6372,0.98333333,0.6266,0,0,0,1.0
176,AJ842011,Unassigned,Unassigned,Unassigned,470_0,Clustered,3,VC_470_0,3,0.513,0.3,0.1539,0,0,0,1.0
177,AJ854042,Unassigned,Unassigned,Unassigned,376_0,Clustered,2,VC_376_0,2,0.3499,0.86666667,0.3033,0,0,0,1.0
178,AJ875026,Unassigned,Unassigned,Unassigned,374_0,Clustered,22,VC_374_0,22,0.9599,1.0,0.9599,0,0,0,1.0
179,AJ888457,Unassigned,Unassigned,Unassigned,471_0,Clustered,3,VC_471_0,3,0.8338,0.99705882,0.8314,0,0,0,1.0
180,AJ969242,Unassigned,Unassigned,Unassigned,289_0,Clustered,2,VC_289_0,2,1.0,0.0,0.0,0,0,0,1.0
181,AM076770,Unassigned,Unassigned,Unassigned,475_0,Clustered,16,VC_475_0,16,0.9439,1.0,0.9439,0,0,0,1.0
182,AM084414,Unassigned,Unassigned,Unassigned,476_0,Clustered,113,VC_476_0,113,0.982,1.0,0.982,0,0,0,1.0
183,AM084415,Unassigned,Unassigned,Unassigned,477_0,Clustered,59,VC_477_0,59,0.7818,1.0,0.7818,0,0,0,1.0
184,AM087120,Unassigned,Unassigned,Unassigned,375_0,Clustered,7,VC_375_0,7,0.8381,1.0,0.8381,0,0,0,1.0
185,AM087121,Unassigned,Unassigned,Unassigned,375_0,Clustered,7,VC_375_0,7,0.8381,1.0,0.8381,0,0,0,1.0
186,AM087122,Unassigned,Unassigned,Unassigned,375_0,Clustered,7,VC_375_0,7,0.8381,1.0,0.8381,0,0,0,1.0
187,AM087123,Unassigned,Unassigned,Unassigned,375_0,Clustered,7,VC_375_0,7,0.8381,1.0,0.8381,0,0,0,1.0
188,AM156909,Unassigned,Unassigned,Unassigned,482_0,Clustered,62,VC_482_0,62,0.9217,1.0,0.9217,0,0,0,1.0
189,AM183667,Unassigned,Unassigned,Unassigned,410_0,Clustered,53,VC_410_0,53,0.7873,1.0,0.7873,0,0,0,1.0
190,AM265638,Unassigned,Unassigned,Unassigned,446_0,Clustered,49,VC_446_0,49,0.949,1.0,0.949,0,0,0,1.0
191,AM419438,Unassigned,Unassigned,Unassigned,378_0,Clustered,3,VC_378_0,3,0.3622,0.85357143,0.3092,0,0,0,1.0
192,AM749121,Unassigned,Unassigned,Unassigned,489_0,Clustered,4,VC_489_0,4,0.7824,0.99994584,0.7824,0,0,0,1.0
193,AM749441,Unassigned,Unassigned,Unassigned,178_0,Clustered,26,VC_178_0,26,0.744,1.0,0.744,0,0,0,1.0
194,AM910650,Unassigned,Unassigned,Unassigned,499_0,Clustered,54,VC_499_0,54,0.9472,1.0,0.9472,0,0,0,1.0
195,AM910651,Unassigned,Unassigned,Unassigned,446_0,Clustered,49,VC_446_0,49,0.949,1.0,0.949,0,0,0,1.0
196,AP000363,Unassigned,Unassigned,Unassigned,42_1,Clustered,35,VC_42_1,35,0.4219,1.0,0.4219,0,0,0,1.0
197,AP000422,Unassigned,Unassigned,Unassigned,42_1,Clustered,35,VC_42_1,35,0.4219,1.0,0.4219,0,0,0,1.0
