filename,Genome,dsDNAphage,NCLDV,RNA,ssDNA,lavidaviridae,max_score,max_score_group,length,hallmark,viral,cellular
Ettinger,Ettinger_c_000000031835,0.907,0.773,0.115,0.373,0.467,0.907,dsDNAphage,5973,0,83.3,0
Ettinger,Ettinger_c_000000032738,0.4,0.853,0.645,0.12,0.8,0.853,NCLDV,5572,0,16.7,0
Ettinger,Ettinger_c_000000033367,0.553,0.167,0,0,0.067,0.553,dsDNAphage,5308,0,28.6,14.3
Ettinger,Ettinger_c_000000033761,0.76,0.053,0.015,0,0.22,0.76,dsDNAphage,6335,1,28.6,14.3
Ettinger,Ettinger_c_000000034469,0.053,0.927,0.005,0,0.127,0.927,NCLDV,13933,0,33.3,13.3
Ettinger,Ettinger_c_000000036284,0.807,0.913,0.2,0.653,0.893,0.913,NCLDV,8211,0,75,0
Ettinger,Ettinger_c_000000036570,0.32,0.38,0.04,0.04,0.547,0.547,lavidaviridae,4819,0,14.3,0
Ettinger,Ettinger_c_000000038187,0.133,0.813,0.06,0,0.22,0.813,NCLDV,5317,0,20,0
Ettinger,Ettinger_c_000000039684,0.133,0.713,0.17,0.007,0.507,0.713,NCLDV,8679,0,16.7,0
Ettinger,Ettinger_c_000000039909,0.993,0.267,0.03,0.073,0.313,0.993,dsDNAphage,20711,5,61.1,5.6
Ettinger,Ettinger_c_000000043415,0.747,0.42,0.105,0.14,0.907,0.907,lavidaviridae,11555,0,36.4,0
Ettinger,Ettinger_c_000000043974,0.113,0.687,0.13,0.007,0.453,0.687,NCLDV,9174,0,16.7,0
Ettinger,Ettinger_c_000000044829,0.667,0.16,0.01,0.007,0.567,0.667,dsDNAphage,11788,0,46.7,6.7
Ettinger,Ettinger_c_000000046106,0.727,0.107,0.205,0.66,0.773,0.773,lavidaviridae,8232,0,100,0
Ettinger,Ettinger_c_000000052535,0.34,0.487,0.46,0.02,0.607,0.607,lavidaviridae,8995,0,12.5,0
Ettinger,Ettinger_c_000000052723,0.187,0.913,0.01,0.007,0.533,0.913,NCLDV,8735,0,37.5,12.5
Ettinger,Ettinger_c_000000054211,0.34,0.527,0.025,0.073,0.287,0.527,NCLDV,8830,0,20,10
Ettinger,Ettinger_c_000000054215,0.633,0.973,0.085,0.527,0.913,0.973,NCLDV,5754,0,75,0
Ettinger,Ettinger_c_000000057104,1,0.113,0.125,0.58,0.427,1,dsDNAphage,13180,5,100,0
Ettinger,Ettinger_c_000000057613,0.62,0.84,0.075,0.113,0.967,0.967,lavidaviridae,6012,0,33.3,0
Ettinger,Ettinger_c_000000057791,0.1,0.407,0.07,0,0.593,0.593,lavidaviridae,10858,0,25,0
Ettinger,Ettinger_c_000000058152,0.107,0.48,0.19,0,0.64,0.64,lavidaviridae,11724,0,22.2,0
Ettinger,Ettinger_c_000000061447,0.487,0.92,0.25,0.98,0.913,0.98,ssDNA,1660,0,33.3,0
Ettinger,Ettinger_c_000000062240,0.267,0.673,0.095,0.113,0.393,0.673,NCLDV,7397,0,50,0
Ettinger,Ettinger_c_000000063537,0.413,0.54,0.13,0.06,0.327,0.54,NCLDV,7817,0,50,0
Ettinger,Ettinger_c_000000063648,0.933,0.167,0.295,0.853,0.453,0.933,dsDNAphage,8709,0,25,0
Ettinger,Ettinger_c_000000064377,0.973,0.16,0.2,0.427,0.153,0.973,dsDNAphage,12374,0,35,0
Ettinger,Ettinger_c_000000064975,0.547,0.293,0.155,0.227,0.707,0.707,lavidaviridae,5856,0,60,0
Ettinger,Ettinger_c_000000065067,0.54,0.06,0.09,0.647,0.393,0.647,ssDNA,5679,0,35.7,0
Ettinger,Ettinger_c_000000066087,0.527,0.28,0.33,0.207,0.92,0.92,lavidaviridae,9408,0,33.3,0
Ettinger,Ettinger_c_000000067023,0.353,0.853,0.1,0.007,0.193,0.853,NCLDV,7130,0,10,0
Ettinger,Ettinger_c_000000067081,0.28,0.78,0.195,0.033,0.747,0.78,NCLDV,6560,0,14.3,0
Ettinger,Ettinger_c_000000069096,0.1,0.513,0.095,0.047,0.307,0.513,NCLDV,7533,0,33.3,0
Ettinger,Ettinger_c_000000072374,0.98,0.093,0,0,0,0.98,dsDNAphage,19326,8,43.5,30.4
Ettinger,Ettinger_c_000000072560,0.213,0.6,0.115,0.033,0.52,0.6,NCLDV,6475,0,25,0
Ettinger,Ettinger_c_000000073931,0.88,0.353,0.185,0.2,0.34,0.88,dsDNAphage,9872,0,46.7,0
Ettinger,Ettinger_c_000000074705,0.153,0.847,0.08,0.04,0.127,0.847,NCLDV,5005,0,25,0
Ettinger,Ettinger_c_000000076907,1,0.213,0.34,0.633,0.433,1,dsDNAphage,5279,1,33.3,0
Ettinger,Ettinger_c_000000078678,0.473,0.927,0.045,0.48,0.707,0.927,NCLDV,2743,1,66.7,0
Ettinger,Ettinger_c_000000079204,0.413,0.24,0.18,0.113,0.533,0.533,lavidaviridae,7394,0,33.3,0
Ettinger,Ettinger_c_000000080041,0.433,0.527,0.2,0.033,0.427,0.527,NCLDV,7981,0,36.4,0
Ettinger,Ettinger_c_000000080392,0.18,0.513,0.305,0.007,0.7,0.7,lavidaviridae,6374,0,16.7,0
Ettinger,Ettinger_c_000000080399,0.293,0.713,0.05,0.02,0.307,0.713,NCLDV,6007,0,25,0
Ettinger,Ettinger_c_000000080577,0.7,0.547,0.11,0,0.22,0.7,dsDNAphage,6284,1,14.3,0
Ettinger,Ettinger_c_000000080648,0.453,0.747,0.045,0.06,0.72,0.747,NCLDV,25610,0,60,10
Ettinger,Ettinger_c_000000081015,0.947,0.8,0.12,0.28,0.94,0.947,dsDNAphage,11978,4,62.5,0
Ettinger,Ettinger_c_000000083870,0.787,0.76,0.53,0.453,0.647,0.787,dsDNAphage,4730,0,10,0
Ettinger,Ettinger_c_000000086240,0.153,0.507,0.03,0.013,0.22,0.507,NCLDV,7214,0,33.3,16.7
Ettinger,Ettinger_c_000000087002,0.813,0.787,0.5,0.213,0.953,0.953,lavidaviridae,10817,0,28.6,0
Ettinger,Ettinger_c_000000088005,0.373,0.727,0.395,0.153,0.787,0.787,lavidaviridae,8639,0,16.7,0
Ettinger,Ettinger_c_000000088180,0.327,0.98,0.19,0.053,0.3,0.98,NCLDV,5662,0,33.3,0
Ettinger,Ettinger_c_000000091230,0.92,0.18,0,0.007,0.207,0.92,dsDNAphage,7776,1,37.5,12.5
Ettinger,Ettinger_c_000000093374,0.213,0.76,0.065,0.02,0.567,0.76,NCLDV,8281,0,42.9,0
Ettinger,Ettinger_c_000000094056,0.413,0.513,0.725,0.033,0.8,0.8,lavidaviridae,8948,0,14.3,0
Ettinger,Ettinger_c_000000095594,0.86,0.347,0.125,0.173,0.147,0.86,dsDNAphage,7104,0,60,0
Ettinger,Ettinger_c_000000095732,0.94,0.867,0.275,0.753,0.887,0.94,dsDNAphage,10674,0,80,0
Ettinger,Ettinger_c_000000096161,0.973,0.58,0.12,0.593,0.12,0.973,dsDNAphage,7170,0,20,0
Ettinger,Ettinger_c_000000096769,0.78,0.407,0.065,0.1,0.54,0.78,dsDNAphage,6933,0,20,0
Ettinger,Ettinger_c_000000097399,0.587,0.04,0,0,0.013,0.587,dsDNAphage,6889,1,25,12.5
Ettinger,Ettinger_c_000000097555,1,0.807,0.425,0.973,0.98,1,dsDNAphage,6486,1,71.4,0
Ettinger,Ettinger_c_000000098432,0.18,0.727,0.065,0,0.18,0.727,NCLDV,10866,0,28.6,0
Ettinger,Ettinger_c_000000100056,0.14,0.62,0.205,0.013,0.56,0.62,NCLDV,6610,0,20,0
Ettinger,Ettinger_c_000000100736,0.067,0.613,0,0,0.04,0.613,NCLDV,5562,0,20,0
Ettinger,Ettinger_c_000000101933,0.753,0.673,0.075,0.48,0.813,0.813,lavidaviridae,5257,0,14.3,0
Ettinger,Ettinger_c_000000102296,0.867,0.053,0.005,0.02,0.033,0.867,dsDNAphage,6508,2,33.3,66.7
Ettinger,Ettinger_c_000000102873,0.72,0.367,0.09,0.133,0.127,0.72,dsDNAphage,4971,0,10,0
Ettinger,Ettinger_c_000000103319,0.2,0.333,0.115,0.007,0.533,0.533,lavidaviridae,6281,0,14.3,0
Ettinger,Ettinger_c_000000103653,0.487,0.207,0.42,0.213,0.56,0.56,lavidaviridae,4860,0,25,0
Ettinger,Ettinger_c_000000104979,0.607,0.5,0.215,0.047,0.493,0.607,dsDNAphage,5933,0,33.3,0
Ettinger,Ettinger_c_000000105084,0.667,1,0.105,0.073,0.94,1,NCLDV,26925,1,32.3,6.5
Ettinger,Ettinger_c_000000105133,0.94,0.033,0,0,0.04,0.94,dsDNAphage,9011,1,55.6,33.3
Ettinger,Ettinger_c_000000105953,0.593,0.333,0.685,0.2,1,1,lavidaviridae,5539,0,25,0
Ettinger,Ettinger_c_000000107020,0.987,0.167,0.005,0,0.033,0.987,dsDNAphage,11389,6,61.5,7.7
Ettinger,Ettinger_c_000000107433,0.827,0.893,0.01,0,0.193,0.893,NCLDV,9611,0,33.3,16.7
Ettinger,Ettinger_c_000000107496,0.22,0.9,0.06,0.02,0.267,0.9,NCLDV,7954,0,33.3,0
Ettinger,Ettinger_c_000000107826,0.187,0.313,0.185,0.013,0.613,0.613,lavidaviridae,20073,0,10.5,0
Ettinger,Ettinger_c_000000108167,0.667,0.007,0.005,0,0,0.667,dsDNAphage,20144,2,25,37.5
Ettinger,Ettinger_c_000000109276,0.287,0.913,0.035,0.04,0.3,0.913,NCLDV,5867,0,33.3,0
Ettinger,Ettinger_c_000000109383,0.987,0.067,0,0,0.027,0.987,dsDNAphage,8541,1,58.3,16.7
Ettinger,Ettinger_c_000000110907,0.98,0.473,0.395,0.887,0.967,0.98,dsDNAphage,11009,0,38.9,0
Ettinger,Ettinger_c_000000113014,0.047,0.553,0.03,0,0.28,0.553,NCLDV,12853,0,22.2,11.1
Ettinger,Ettinger_c_000000113600,0.627,0.687,0.165,0.227,0.587,0.687,NCLDV,5431,0,28.6,0
Ettinger,Ettinger_c_000000114509,0.947,0.927,0.08,0.4,0.9,0.947,dsDNAphage,6045,3,75,0
Ettinger,Ettinger_c_000000114528,1,0.28,0.145,0.653,0.233,1,dsDNAphage,10202,2,46.7,0
Ettinger,Ettinger_c_000000115437,0.993,0.213,0.015,0,0.007,0.993,dsDNAphage,22347,4,29,6.5
Ettinger,Ettinger_c_000000118560,0.78,0.193,0.52,0.34,0.2,0.78,dsDNAphage,5215,0,14.3,0
Ettinger,Ettinger_c_000000118651,0.22,0.8,0.27,0.047,0.62,0.8,NCLDV,5548,0,25,0
Ettinger,Ettinger_c_000000124353,0.793,NA,0.785,0.46,0.52,0.793,dsDNAphage,5573,1,50,0
Ettinger,Ettinger_c_000000126005,0.113,0.593,0,0,0.027,0.593,NCLDV,7767,0,28.6,14.3
Ettinger,Ettinger_c_000000126699,0.407,0.58,0.165,0.18,0.707,0.707,lavidaviridae,5018,0,50,0
Ettinger,Ettinger_c_000000126788,0.033,0.787,0.065,0,0.173,0.787,NCLDV,32451,0,24,4
Ettinger,Ettinger_c_000000128912,0.553,0.28,0.285,0.053,0.587,0.587,lavidaviridae,7082,0,40,0
Ettinger,Ettinger_c_000000130601,0.087,0.64,0.085,0,0.213,0.64,NCLDV,9440,0,14.3,0
Ettinger,Ettinger_c_000000131982,0.313,0.547,0.07,0.02,0.473,0.547,NCLDV,8508,0,28.6,0
Ettinger,Ettinger_c_000000133365,0.6,0.327,0.355,0.013,0.727,0.727,lavidaviridae,6209,0,14.3,0
Ettinger,Ettinger_c_000000133629,0.16,0.673,0.125,0.007,0.36,0.673,NCLDV,11690,0,12.5,0
Ettinger,Ettinger_c_000000133810,0.413,0.567,0,0.007,0,0.567,NCLDV,5779,1,40,20
Ettinger,Ettinger_c_000000135951,0.2,0.353,0.1,0,0.62,0.62,lavidaviridae,8876,1,22.2,0
Ettinger,Ettinger_c_000000136259,0.513,0.953,0.595,0.647,0.987,0.987,lavidaviridae,6565,0,33.3,0
Ettinger,Ettinger_c_000000137271,0.613,0.98,0.275,0.373,0.987,0.987,lavidaviridae,11308,0,23.1,0
Ettinger,Ettinger_c_000000138834,0.04,0.607,0,0,0.067,0.607,NCLDV,27766,0,29.4,17.6
Ettinger,Ettinger_c_000000140990,0.867,0.427,0.58,0.267,0.7,0.867,dsDNAphage,4892,0,14.3,0
Ettinger,Ettinger_c_000000141126,0.667,0.013,0,0,0.013,0.667,dsDNAphage,16576,1,28.6,21.4
Ettinger,Ettinger_c_000000142548,0.18,0.86,0.125,0.013,0.667,0.86,NCLDV,15770,0,28.6,0
Ettinger,Ettinger_c_000000143671,0.767,0.293,0.025,0.027,0.12,0.767,dsDNAphage,10077,0,8.3,0
Ettinger,Ettinger_c_000000144364,0.193,0.373,0.125,0,0.633,0.633,lavidaviridae,5107,0,25,0
Ettinger,Ettinger_c_000000144851,0.387,0.6,0.175,0.78,0.44,0.78,ssDNA,3453,0,40,0
Ettinger,Ettinger_c_000000145358,0.24,0.753,0.085,0.047,0.473,0.753,NCLDV,19444,0,33.3,0
Ettinger,Ettinger_c_000000145541,0.127,0.207,0.13,0.007,0.607,0.607,lavidaviridae,5586,0,20,0
Ettinger,Ettinger_c_000000147296,0.547,0.253,0.07,0.127,0.327,0.547,dsDNAphage,8101,0,71.4,0
Ettinger,Ettinger_c_000000147451,0.687,0.447,0.005,0,0.053,0.687,dsDNAphage,8438,1,28.6,14.3
Ettinger,Ettinger_c_000000148203,0.9,0.593,0.31,0.193,0.933,0.933,lavidaviridae,8431,0,10,0
Ettinger,Ettinger_c_000000148543,0.113,0.367,0.115,0.013,0.527,0.527,lavidaviridae,5302,0,25,0
Ettinger,Ettinger_c_000000148650,0.567,0.513,0.395,0.307,0.887,0.887,lavidaviridae,8445,0,33.3,0
Ettinger,Ettinger_c_000000149576,0.173,0.58,0.29,0.007,0.24,0.58,NCLDV,6803,0,16.7,0
Ettinger,Ettinger_c_000000152049,0.18,0.727,0.195,0.087,0.593,0.727,NCLDV,5679,0,33.3,0
Ettinger,Ettinger_c_000000153673,0.98,0.927,0.285,0.86,0.973,0.98,dsDNAphage,5165,0,40,0
Ettinger,Ettinger_c_000000154804,1,0.44,0.285,0.8,0.967,1,dsDNAphage,12828,2,52.6,0
Ettinger,Ettinger_c_000000154940,0.967,0.273,0.01,0.02,0.253,0.967,dsDNAphage,5054,3,57.1,14.3
Ettinger,Ettinger_c_000000156065,0.113,0.847,0.28,0.033,0.807,0.847,NCLDV,6452,0,16.7,0
Ettinger,Ettinger_c_000000156474,0.98,0.3,0.035,0.12,0.073,0.98,dsDNAphage,17140,1,15.6,0
Ettinger,Ettinger_c_000000159889,1,0.087,0,0.013,0.18,1,dsDNAphage,48243,4,55.8,1.9
Ettinger,Ettinger_c_000000160033,0.3,0.833,0.125,0.047,0.48,0.833,NCLDV,14911,0,37.5,0
Ettinger,Ettinger_c_000000160556,0.753,0.753,0.04,0.027,0.26,0.753,dsDNAphage,19748,1,7.1,0
Ettinger,Ettinger_c_000000164088,0.7,0.127,0.28,0.093,0.44,0.7,dsDNAphage,8637,0,33.3,0
Ettinger,Ettinger_c_000000165989,0.96,0.74,0.255,0.08,0.94,0.96,dsDNAphage,16043,2,33.3,0
Ettinger,Ettinger_c_000000168081,0.293,0.893,0.01,0.007,0.633,0.893,NCLDV,14324,0,30.8,7.7
Ettinger,Ettinger_c_000000170150,0.153,0.24,0.115,0.007,0.64,0.64,lavidaviridae,12699,0,22.2,0
Ettinger,Ettinger_c_000000173016,0.027,0.567,0,0,0.033,0.567,NCLDV,5524,0,20,0
Ettinger,Ettinger_c_000000173440,0.273,0.18,0.015,0.013,0.527,0.527,lavidaviridae,6327,0,22.2,11.1
Ettinger,Ettinger_c_000000175403,0.18,0.207,0.01,0.013,0.753,0.753,lavidaviridae,8639,0,28.6,14.3
Ettinger,Ettinger_c_000000176917,0.707,0.107,0.035,0,0.08,0.707,dsDNAphage,10407,1,16.7,8.3
Ettinger,Ettinger_c_000000177003,0.647,0.06,0,0,0,0.647,dsDNAphage,10761,2,27.3,27.3
Ettinger,Ettinger_c_000000177213,0.46,0.507,0.205,0.62,0.907,0.907,lavidaviridae,6907,0,50,0
Ettinger,Ettinger_c_000000177479,1,0.193,0.01,0.027,0.04,1,dsDNAphage,17334,1,17.2,0
Ettinger,Ettinger_c_000000178332,0.947,0.453,0.05,0.287,0.107,0.947,dsDNAphage,7248,0,15.8,0
Ettinger,Ettinger_c_000000178719,0.227,0.707,0.005,0,0.073,0.707,NCLDV,8555,0,14.3,0
Ettinger,Ettinger_c_000000179089,0.933,0.747,0.295,0.12,0.767,0.933,dsDNAphage,5184,1,50,0
Ettinger,Ettinger_c_000000179118,0.313,0.473,0.135,0.067,0.5,0.5,lavidaviridae,9263,0,33.3,0
Ettinger,Ettinger_c_000000179837,0.067,0.693,0,0,0.007,0.693,NCLDV,7287,0,33.3,16.7
Ettinger,Ettinger_c_000000180005,0.293,0.953,0.165,0.067,0.953,0.953,NCLDV,10698,0,40,0
Ettinger,Ettinger_c_000000181023,0.98,0.367,0.23,0.433,0.613,0.98,dsDNAphage,6483,0,46.2,0
Ettinger,Ettinger_c_000000181633,0.333,0.633,0.595,0.187,0.94,0.94,lavidaviridae,6395,0,25,0
Ettinger,Ettinger_c_000000181913,0.5,0.513,0.245,0.053,0.373,0.513,NCLDV,6888,0,40,0
Ettinger,Ettinger_c_000000182043,0.2,0.18,0.545,0.013,0.313,0.545,RNA,7012,0,25,0
Ettinger,Ettinger_c_000000183925,0.247,0.867,0.045,0.027,0.207,0.867,NCLDV,6269,0,33.3,0
Ettinger,Ettinger_c_000000184070,0.7,0.527,0.205,0.247,0.66,0.7,dsDNAphage,9978,0,33.3,0
Ettinger,Ettinger_c_000000185085,0.833,0.667,0.235,0.167,0.713,0.833,dsDNAphage,6566,0,14.3,0
Ettinger,Ettinger_c_000000185687,0.24,0.867,0,0.007,0.127,0.867,NCLDV,5244,0,60,0
Ettinger,Ettinger_c_000000186988,0.727,0.133,0.02,0.02,0.307,0.727,dsDNAphage,5717,0,50,12.5
Ettinger,Ettinger_c_000000187284,0.127,0.533,0.18,0.02,0.467,0.533,NCLDV,5222,0,16.7,0
Ettinger,Ettinger_c_000000187590,0.747,0.2,0.135,0.873,0.587,0.873,ssDNA,10083,0,19,0
Ettinger,Ettinger_c_000000187674,0.373,0.693,0.24,0,0.107,0.693,NCLDV,9605,0,14.3,0
Ettinger,Ettinger_c_000000187680,0.08,0.88,0.06,0,0.313,0.88,NCLDV,5563,0,14.3,0
Ettinger,Ettinger_c_000000188314,0.94,0.9,0.54,0.393,0.987,0.987,lavidaviridae,4935,0,33.3,0
Ettinger,Ettinger_c_000000189001,0.367,0.627,0.35,0,0.393,0.627,NCLDV,10573,0,9.1,0
Ettinger,Ettinger_c_000000189762,0.96,0.127,0.585,0.28,0.147,0.96,dsDNAphage,5860,0,13.3,0
Ettinger,Ettinger_c_000000190642,0.64,0.907,0,0,0.027,0.907,NCLDV,6097,0,14.3,0
Ettinger,Ettinger_c_000000190692,0.08,0.973,0.06,0.013,0.36,0.973,NCLDV,5353,0,14.3,0
Ettinger,Ettinger_c_000000191256,0.213,0.367,0.055,0.02,0.56,0.56,lavidaviridae,17607,0,25,12.5
Ettinger,Ettinger_c_000000191581,0.067,0.587,0,0,0.007,0.587,NCLDV,6574,0,25,0
Ettinger,Ettinger_c_000000192747,0.547,0.207,0.005,0.12,0.347,0.547,dsDNAphage,10197,0,75,25
Ettinger,Ettinger_c_000000193884,1,0.127,0.19,0.64,0.433,1,dsDNAphage,5575,5,71.4,0
Ettinger,Ettinger_c_000000194836,0.107,0.64,0.2,0.027,0.387,0.64,NCLDV,11569,0,20,0
Ettinger,Ettinger_c_000000194876,0.08,0.607,0,0,0.06,0.607,NCLDV,23107,0,16.7,0
Ettinger,Ettinger_c_000000195716,0.927,0.893,0.045,0.027,0.307,0.927,dsDNAphage,7399,1,28.6,0
Ettinger,Ettinger_c_000000196992,0.253,0.693,0.24,0.013,0.8,0.8,lavidaviridae,6422,0,20,0
