Genome,VC.Status,Realm,Kingdom,Phylum,Class,Order,Family,VC
Ettinger_c_000000432939,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,977_0
Ettinger_c_000000436806,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,176_0
Ettinger_c_000000442342,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,915_0
Ettinger_c_000000462987,Clustered,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polintoviricetes,Orthopolintovirales,Adintoviridae,796_0
Ettinger_c_000000467238,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,980_0
Ettinger_c_000000471989,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,982_0
Ettinger_c_000000504227,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,954_0
Ettinger_c_000000507251,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,986_0
Ettinger_c_000000525581,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,987_0
Ettinger_c_000000532943,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000536048,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,990_0
Ettinger_c_000000542335,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,992_0
Ettinger_c_000000593499,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,937_0
Ettinger_c_000000604066,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,131_0
Ettinger_c_000000615121,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,959_0
Ettinger_c_000000684282,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,998_0
Ettinger_c_000000687705,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,806_0
Ettinger_c_000000694172,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1000_0
Ettinger_c_000000711315,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,991_0
Ettinger_c_000000712784,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000720254,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1002_0
Ettinger_c_000000727044,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,360_0
Ettinger_c_000000729059,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,978_0
Ettinger_c_000000758887,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1002_0
Ettinger_c_000000760503,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1005_0
Ettinger_c_000000760615,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000776983,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1007_0
Ettinger_c_000000812157,Clustered,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polintoviricetes,Orthopolintovirales,Adintoviridae,796_0
Ettinger_c_000000812627,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1008_0
Ettinger_c_000000822854,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1012_0
Ettinger_c_000000854736,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000856677,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,686_0
Ettinger_c_000000940267,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,806_0
Ettinger_c_000000944506,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000947170,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1017_0
Ettinger_c_000000979767,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000000986227,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1020_0
Ettinger_c_000001001771,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Unclassified,Unclassified,Unclassified,796_0
Ettinger_c_000001013051,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,965_0
Ettinger_c_000001015950,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1023_0
Ettinger_c_000001017547,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,915_0
Ettinger_c_000001063827,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,969_0
Ettinger_c_000001064625,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,24_0
Ettinger_c_000001071526,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,974_0
Ettinger_c_000001071809,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1027_0
Ettinger_c_000001098813,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,981_0
Ettinger_c_000001102666,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,974_0
Ettinger_c_000001111184,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1031_0
Ettinger_c_000001111701,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,957_0
Ettinger_c_000001149698,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000001154888,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,977_0
Ettinger_c_000001164932,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,937_0
Ettinger_c_000001168137,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000001189539,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1033_0
Ettinger_c_000001200735,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1035_0
Ettinger_c_000001211539,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Unclassified,Unclassified,939_0
Ettinger_c_000001213198,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,794_0
Ettinger_c_000001213533,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000001217857,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1038_0
Ettinger_c_000001229508,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1039_0
Ettinger_c_000001236139,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Unclassified,1035_0
Ettinger_c_000001263604,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1045_0
Ettinger_c_000001289780,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1047_0
Ettinger_c_000001312527,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,794_0
Ettinger_c_000001320968,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,974_0
Ettinger_c_000001347707,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1048_0
Ettinger_c_000001361446,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,952_0
Ettinger_c_000001364723,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1049_0
Ettinger_c_000001373356,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000001377763,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,949_0
Ettinger_c_000001436577,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,931_0
Ettinger_c_000001450892,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1050_0
Ettinger_c_000001459538,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,1027_0
Ettinger_c_000001491361,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,991_0
Ettinger_c_000001554881,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1052_0
Ettinger_c_000001574546,Clustered/Singleton,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,953_0
Ettinger_c_000001578124,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,794_0
Ettinger_c_000001581803,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,922_0
Ettinger_c_000001593857,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,132_0
Ettinger_c_000001618046,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,176_0
Ettinger_c_000001640380,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,949_0
Ettinger_c_000001649145,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000001666552,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1001_0
Ettinger_c_000001677096,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,990_0
Ettinger_c_000001678367,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,515_0
Ettinger_c_000001691912,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,994_0
Ettinger_c_000001692375,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1006_0
Ettinger_c_000001699973,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1059_0
Ettinger_c_000001722804,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000001727243,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1006_0
Ettinger_c_000001742291,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1061_0
Ettinger_c_000001743182,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,664_0
Ettinger_c_000001746325,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1062_0
Ettinger_c_000001768041,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,968_0
Ettinger_c_000001787408,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1063_0
Ettinger_c_000001788670,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1064_0
Ettinger_c_000001790261,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1065_0
Ettinger_c_000001799225,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000001812975,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000001813335,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,263_0
Ettinger_c_000001831247,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,974_0
Ettinger_c_000001860385,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,933_0
Ettinger_c_000001872687,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,954_0
Ettinger_c_000001895351,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000001922815,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1066_0
Ettinger_c_000001953769,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Unclassified,1070_0
Ettinger_c_000001959273,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1071_0
Ettinger_c_000001975669,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,997_0
Ettinger_c_000001977285,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,933_0
Ettinger_c_000001984050,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,175_0
Ettinger_c_000001987066,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1022_0
Ettinger_c_000002005160,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000002014163,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000002027994,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,959_0
Ettinger_c_000002051851,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,991_0
Ettinger_c_000002062866,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Unclassified,1073_0
Ettinger_c_000002077076,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1004_0
Ettinger_c_000002080369,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,263_0
Ettinger_c_000002113992,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1075_0
Ettinger_c_000002119211,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1057_0
Ettinger_c_000002126830,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,968_0
Ettinger_c_000002131896,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1076_0
Ettinger_c_000002137851,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1076_0
Ettinger_c_000002140092,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1077_0
Ettinger_c_000002140485,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,960_0
Ettinger_c_000002148135,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,688_0
Ettinger_c_000002181255,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,954_0
Ettinger_c_000002188630,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1079_0
Ettinger_c_000002202080,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000002205716,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1080_0
Ettinger_c_000002222226,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,974_0
Ettinger_c_000002241029,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1081_0
Ettinger_c_000002323943,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1076_0
Ettinger_c_000002339837,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1073_0
Ettinger_c_000002380230,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1082_0
Ettinger_c_000002383395,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,175_0
Ettinger_c_000002388025,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1083_0
Ettinger_c_000002401007,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,997_0
Ettinger_c_000002423809,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000002433283,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000002474358,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1027_0
Ettinger_c_000002508243,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1085_0
Ettinger_c_000002565205,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1084_0
Ettinger_c_000002595852,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1087_0
Ettinger_c_000002599501,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,806_0
Ettinger_c_000002614552,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000002630397,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1002_0
Ettinger_c_000002635804,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1071_0
Ettinger_c_000002639113,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000002669373,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1089_0
Ettinger_c_000002688985,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1065_0
Ettinger_c_000002704483,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,926_0
Ettinger_c_000002753131,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Unclassified,1007_0
Ettinger_c_000002764315,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1090_0
Ettinger_c_000002775664,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1066_0
Ettinger_c_000002775867,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1020_0
Ettinger_c_000002792840,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1091_0
Ettinger_c_000002802777,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1080_0
Ettinger_c_000002848494,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,986_0
Ettinger_c_000002851255,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,917_0
Ettinger_c_000002867124,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1095_0
