Genome,VIRSorter category,Circular,Prophage,Gene count,Strand switches,potential AMG count,Transposase present,Possible Non-Viral Contig,Viral hypothetical genes,Viral genes with host benefits,Viral genes with unknown function,Viral replication genes,Viral genes with viral benefits,Viral structure genes
Ettinger_c_000000052535,2,FALSE,FALSE,8,4,0,FALSE,0,7,1,0,0,0,0
Ettinger_c_000000052723,2,FALSE,FALSE,8,4,0,FALSE,0,8,0,0,0,0,0
Ettinger_c_000000054211,2,FALSE,FALSE,15,5,0,FALSE,0.06666666666666667,14,1,0,0,0,0
Ettinger_c_000000054215,2,FALSE,FALSE,4,1,0,FALSE,0.5,0,3,0,0,1,0
Ettinger_c_000000057104,1,FALSE,FALSE,15,0,0,FALSE,0,3,1,9,0,0,2
Ettinger_c_000000057613,2,FALSE,FALSE,9,2,0,FALSE,0,9,0,0,0,0,0
Ettinger_c_000000057791,2,FALSE,FALSE,8,4,0,FALSE,0,7,1,0,0,0,0
Ettinger_c_000000058152,2,FALSE,FALSE,9,4,0,FALSE,0,7,0,2,0,0,0
Ettinger_c_000000061447,2,FALSE,FALSE,6,3,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000062240,2,FALSE,FALSE,6,2,0,FALSE,0.16666666666666666,4,1,1,0,0,0
Ettinger_c_000000063537,2,FALSE,FALSE,9,2,0,FALSE,0,8,1,0,0,0,0
Ettinger_c_000000063648,2,FALSE,FALSE,20,0,0,FALSE,0,16,1,3,0,0,0
Ettinger_c_000000064377,2,FALSE,FALSE,20,0,0,FALSE,0,19,0,1,0,0,0
Ettinger_c_000000064975,2,FALSE,FALSE,5,1,0,FALSE,0,4,0,1,0,0,0
Ettinger_c_000000065067,2,FALSE,FALSE,14,7,0,FALSE,0,14,0,0,0,0,0
Ettinger_c_000000065829,2,FALSE,FALSE,8,0,0,FALSE,0.125,6,2,0,0,0,0
Ettinger_c_000000066087,2,FALSE,FALSE,3,1,0,FALSE,0,3,0,0,0,0,0
Ettinger_c_000000067023,2,FALSE,FALSE,10,1,0,FALSE,0,10,0,0,0,0,0
Ettinger_c_000000067081,2,FALSE,FALSE,7,3,0,FALSE,0.14285714285714285,6,1,0,0,0,0
Ettinger_c_000000069096,2,FALSE,FALSE,6,5,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000072374,1,FALSE,FALSE,17,0,0,FALSE,0,9,3,4,0,0,1
Ettinger_c_000000072560,2,FALSE,FALSE,4,2,0,FALSE,0,3,1,0,0,0,0
Ettinger_c_000000073931,2,FALSE,FALSE,15,0,0,FALSE,0.13333333333333333,8,2,5,0,0,0
Ettinger_c_000000074705,2,FALSE,FALSE,5,3,0,FALSE,0.2,4,1,0,0,0,0
Ettinger_c_000000076907,1,FALSE,FALSE,6,0,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000078678,1,FALSE,FALSE,5,2,0,FALSE,0,4,1,0,0,0,0
Ettinger_c_000000079204,2,FALSE,FALSE,3,1,0,FALSE,0.3333333333333333,2,1,0,0,0,0
Ettinger_c_000000080041,2,FALSE,FALSE,11,0,1,FALSE,0.3636363636363637,6,4,1,0,0,0
Ettinger_c_000000080392,2,FALSE,FALSE,6,2,0,FALSE,0,5,1,0,0,0,0
Ettinger_c_000000080399,2,FALSE,FALSE,9,4,0,FALSE,0,9,0,0,0,0,0
Ettinger_c_000000080577,1,FALSE,FALSE,7,3,0,FALSE,0,6,0,1,0,0,0
Ettinger_c_000000080648,2,FALSE,FALSE,10,5,0,FALSE,0,8,0,2,0,0,0
Ettinger_c_000000081015,1,FALSE,FALSE,8,2,0,FALSE,0,3,0,5,0,0,0
Ettinger_c_000000083870,2,FALSE,FALSE,10,0,0,FALSE,0,9,1,0,0,0,0
Ettinger_c_000000086240,2,FALSE,FALSE,6,3,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000087002,2,FALSE,FALSE,7,1,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000088005,2,FALSE,FALSE,6,2,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000088180,2,FALSE,FALSE,5,0,0,FALSE,0.4,3,2,0,0,0,0
Ettinger_c_000000089825,1,FALSE,FALSE,16,0,0,FALSE,0,9,2,4,0,0,1
Ettinger_c_000000091230,1,FALSE,FALSE,8,4,0,FALSE,0.125,7,1,0,0,0,0
Ettinger_c_000000093374,2,FALSE,FALSE,7,2,1,FALSE,0,5,0,2,0,0,0
Ettinger_c_000000094056,2,FALSE,FALSE,7,2,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000095594,2,FALSE,FALSE,10,0,1,FALSE,0,7,2,1,0,0,0
Ettinger_c_000000095732,2,FALSE,FALSE,5,0,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000096161,2,FALSE,FALSE,20,1,0,FALSE,0,19,0,1,0,0,0
Ettinger_c_000000096769,2,FALSE,FALSE,10,1,0,FALSE,0,8,2,0,0,0,0
Ettinger_c_000000097399,1,FALSE,FALSE,8,2,0,FALSE,0,6,1,1,0,0,0
Ettinger_c_000000097555,1,FALSE,FALSE,7,0,0,FALSE,0.14285714285714285,5,1,1,0,0,0
Ettinger_c_000000098432,2,FALSE,FALSE,7,3,0,FALSE,0.14285714285714285,5,1,1,0,0,0
Ettinger_c_000000100056,2,FALSE,FALSE,7,3,0,FALSE,0,6,1,0,0,0,0
Ettinger_c_000000100736,2,FALSE,FALSE,7,3,0,TRUE,0.2857142857142857,5,2,0,0,0,0
Ettinger_c_000000101933,2,FALSE,FALSE,6,1,0,FALSE,0,5,1,0,0,0,0
Ettinger_c_000000102296,2,FALSE,FALSE,9,0,0,FALSE,0,5,1,3,0,0,0
Ettinger_c_000000102873,2,FALSE,FALSE,10,1,0,FALSE,0,10,0,0,0,0,0
Ettinger_c_000000103319,2,FALSE,FALSE,7,2,0,FALSE,0.14285714285714285,6,1,0,0,0,0
Ettinger_c_000000103653,2,FALSE,FALSE,4,2,0,FALSE,0,4,0,0,0,0,0
Ettinger_c_000000104979,2,FALSE,FALSE,6,0,0,FALSE,0,5,0,0,1,0,0
Ettinger_c_000000105084,1,FALSE,FALSE,31,13,0,FALSE,0.03225806451612903,29,1,0,1,0,0
Ettinger_c_000000105133,1,FALSE,FALSE,7,0,0,FALSE,0,4,2,0,1,0,0
Ettinger_c_000000105953,2,FALSE,FALSE,4,2,0,FALSE,0,4,0,0,0,0,0
Ettinger_c_000000107020,1,FALSE,FALSE,13,0,0,FALSE,0.07692307692307693,6,4,2,0,0,1
Ettinger_c_000000107496,2,FALSE,FALSE,6,2,1,FALSE,0.16666666666666666,3,1,2,0,0,0
Ettinger_c_000000107826,2,FALSE,FALSE,19,8,0,FALSE,0,19,0,0,0,0,0
Ettinger_c_000000108167,2,FALSE,FALSE,24,6,2,FALSE,0.125,20,3,0,0,1,0
Ettinger_c_000000109276,2,FALSE,FALSE,15,7,0,FALSE,0,15,0,0,0,0,0
Ettinger_c_000000109383,1,FALSE,FALSE,7,0,1,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000110907,2,FALSE,FALSE,18,1,0,FALSE,0,12,3,1,1,1,0
Ettinger_c_000000113014,2,FALSE,FALSE,12,8,0,FALSE,0,12,0,0,0,0,0
Ettinger_c_000000114528,1,FALSE,FALSE,15,0,0,FALSE,0,13,0,2,0,0,0
Ettinger_c_000000115437,1,FALSE,FALSE,31,0,1,FALSE,0.03225806451612903,25,1,5,0,0,0
Ettinger_c_000000118560,2,FALSE,FALSE,7,0,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000118651,2,FALSE,FALSE,4,0,0,FALSE,0,3,1,0,0,0,0
Ettinger_c_000000124353,1,FALSE,FALSE,2,0,0,FALSE,0,2,0,0,0,0,0
Ettinger_c_000000125767,1,FALSE,FALSE,16,0,0,FALSE,0,12,4,0,0,0,0
Ettinger_c_000000126005,2,FALSE,FALSE,7,1,0,FALSE,0.2857142857142857,5,2,0,0,0,0
Ettinger_c_000000126699,2,FALSE,FALSE,4,2,0,FALSE,0.25,2,2,0,0,0,0
Ettinger_c_000000126788,2,FALSE,FALSE,30,14,0,FALSE,0,30,0,0,0,0,0
Ettinger_c_000000127381,1,FALSE,FALSE,59,4,0,FALSE,0,43,4,6,4,0,2
Ettinger_c_000000128912,2,FALSE,FALSE,5,0,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000130601,2,FALSE,FALSE,7,2,0,FALSE,0,6,0,1,0,0,0
Ettinger_c_000000131982,2,FALSE,FALSE,10,2,0,FALSE,0,10,0,0,0,0,0
Ettinger_c_000000133365,2,FALSE,FALSE,7,1,0,FALSE,0,6,0,0,1,0,0
Ettinger_c_000000133629,2,FALSE,FALSE,8,0,0,FALSE,0,7,0,1,0,0,0
Ettinger_c_000000133810,1,FALSE,FALSE,11,2,0,TRUE,0.09090909090909093,9,1,0,1,0,0
Ettinger_c_000000135951,1,FALSE,FALSE,9,3,0,FALSE,0.1111111111111111,8,1,0,0,0,0
Ettinger_c_000000136259,2,FALSE,FALSE,9,5,0,FALSE,0,8,1,0,0,0,0
Ettinger_c_000000137271,2,FALSE,FALSE,13,4,0,FALSE,0,12,0,1,0,0,0
Ettinger_c_000000138834,2,FALSE,FALSE,19,6,1,FALSE,0,18,1,0,0,0,0
Ettinger_c_000000140990,2,FALSE,FALSE,7,0,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000141126,1,FALSE,FALSE,14,3,1,FALSE,0.07142857142857142,12,2,0,0,0,0
Ettinger_c_000000142548,2,FALSE,FALSE,8,4,0,FALSE,0,8,0,0,0,0,0
Ettinger_c_000000143671,2,FALSE,FALSE,12,1,0,FALSE,0,12,0,0,0,0,0
Ettinger_c_000000144364,2,FALSE,FALSE,4,2,0,FALSE,0.25,3,1,0,0,0,0
Ettinger_c_000000144851,2,FALSE,FALSE,7,2,0,FALSE,0.14285714285714285,6,1,0,0,0,0
Ettinger_c_000000145358,2,FALSE,FALSE,22,11,0,FALSE,0,18,1,2,1,0,0
Ettinger_c_000000145541,2,FALSE,FALSE,5,4,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000147296,2,FALSE,FALSE,7,2,1,FALSE,0.14285714285714285,6,1,0,0,0,0
Ettinger_c_000000147451,1,FALSE,FALSE,7,3,0,FALSE,0.14285714285714285,6,1,0,0,0,0
Ettinger_c_000000148203,2,FALSE,FALSE,10,2,0,FALSE,0,10,0,0,0,0,0
Ettinger_c_000000148543,2,FALSE,FALSE,4,1,0,FALSE,0,3,1,0,0,0,0
Ettinger_c_000000148650,2,FALSE,FALSE,3,2,0,FALSE,0,2,1,0,0,0,0
Ettinger_c_000000149576,2,FALSE,FALSE,7,2,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000152049,2,FALSE,FALSE,3,1,0,FALSE,0,2,1,0,0,0,0
Ettinger_c_000000153673,2,FALSE,FALSE,10,1,0,FALSE,0,7,0,3,0,0,0
Ettinger_c_000000154804,1,FALSE,FALSE,19,0,0,FALSE,0,8,2,8,1,0,0
Ettinger_c_000000154940,1,FALSE,FALSE,7,2,0,FALSE,0,5,1,1,0,0,0
Ettinger_c_000000156065,2,FALSE,FALSE,6,3,0,FALSE,0.16666666666666666,5,1,0,0,0,0
Ettinger_c_000000156474,1,FALSE,FALSE,32,5,0,FALSE,0,29,1,2,0,0,0
Ettinger_c_000000159889,1,FALSE,FALSE,52,8,1,FALSE,0,33,7,11,0,0,1
Ettinger_c_000000160033,2,FALSE,FALSE,8,3,0,FALSE,0.125,6,1,1,0,0,0
Ettinger_c_000000160556,1,FALSE,FALSE,14,8,0,FALSE,0,14,0,0,0,0,0
Ettinger_c_000000164088,2,FALSE,FALSE,6,0,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000165989,1,FALSE,FALSE,12,2,0,FALSE,0,10,1,1,0,0,0
Ettinger_c_000000168081,2,FALSE,FALSE,14,7,0,FALSE,0.14285714285714285,12,2,0,0,0,0
Ettinger_c_000000170150,2,FALSE,FALSE,9,2,1,FALSE,0.1111111111111111,7,2,0,0,0,0
Ettinger_c_000000173016,2,FALSE,FALSE,7,2,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000173440,2,FALSE,FALSE,9,3,0,TRUE,0,8,0,0,1,0,0
Ettinger_c_000000175403,2,FALSE,FALSE,7,4,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000176917,1,FALSE,FALSE,12,0,0,FALSE,0.25,8,3,1,0,0,0
Ettinger_c_000000177003,1,FALSE,FALSE,5,0,0,FALSE,0,2,1,2,0,0,0
Ettinger_c_000000177213,2,FALSE,FALSE,4,2,0,FALSE,0.25,3,1,0,0,0,0
Ettinger_c_000000177479,1,FALSE,FALSE,29,3,0,FALSE,0,25,2,2,0,0,0
Ettinger_c_000000178332,2,FALSE,FALSE,19,3,0,FALSE,0.05263157894736842,16,2,1,0,0,0
Ettinger_c_000000178719,2,FALSE,FALSE,16,7,0,FALSE,0,16,0,0,0,0,0
Ettinger_c_000000179089,1,FALSE,FALSE,4,0,0,FALSE,0.25,2,2,0,0,0,0
Ettinger_c_000000179118,2,FALSE,FALSE,6,2,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000179837,2,FALSE,FALSE,8,3,0,FALSE,0,8,0,0,0,0,0
Ettinger_c_000000180005,2,FALSE,FALSE,5,2,0,FALSE,0,3,1,1,0,0,0
Ettinger_c_000000181023,2,FALSE,FALSE,13,0,0,FALSE,0,8,0,5,0,0,0
Ettinger_c_000000181633,2,FALSE,FALSE,4,3,0,FALSE,0,4,0,0,0,0,0
Ettinger_c_000000181913,2,FALSE,FALSE,5,0,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000182043,2,FALSE,FALSE,8,0,0,FALSE,0,8,0,0,0,0,0
Ettinger_c_000000183925,2,FALSE,FALSE,6,1,1,FALSE,0,5,0,1,0,0,0
Ettinger_c_000000184070,2,FALSE,FALSE,6,1,0,FALSE,0,4,2,0,0,0,0
Ettinger_c_000000185085,2,FALSE,FALSE,7,1,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000185687,2,FALSE,FALSE,6,3,0,FALSE,0.16666666666666666,4,2,0,0,0,0
Ettinger_c_000000187284,2,FALSE,FALSE,6,1,0,FALSE,0,5,0,1,0,0,0
Ettinger_c_000000187590,2,FALSE,FALSE,21,4,0,FALSE,0.04761904761904761,17,1,3,0,0,0
Ettinger_c_000000187674,2,FALSE,FALSE,16,4,0,FALSE,0,16,0,0,0,0,0
Ettinger_c_000000187680,2,FALSE,FALSE,8,5,0,FALSE,0,7,0,1,0,0,0
Ettinger_c_000000188314,2,FALSE,FALSE,3,2,0,FALSE,0,3,0,0,0,0,0
Ettinger_c_000000189001,2,FALSE,FALSE,12,5,0,FALSE,0,12,0,0,0,0,0
Ettinger_c_000000189762,2,FALSE,FALSE,15,0,0,FALSE,0,14,0,1,0,0,0
Ettinger_c_000000190642,2,FALSE,FALSE,8,1,0,FALSE,0,7,0,1,0,0,0
Ettinger_c_000000190692,2,FALSE,FALSE,8,4,0,FALSE,0,8,0,0,0,0,0
Ettinger_c_000000191256,2,FALSE,FALSE,8,5,0,FALSE,0,8,0,0,0,0,0
Ettinger_c_000000191581,2,FALSE,FALSE,6,1,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000192747,2,FALSE,FALSE,4,0,0,FALSE,0,4,0,0,0,0,0
Ettinger_c_000000193884,1,FALSE,FALSE,7,0,0,FALSE,0,4,1,1,0,0,1
Ettinger_c_000000194836,2,FALSE,FALSE,6,5,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000194876,2,FALSE,FALSE,35,16,0,FALSE,0.02857142857142857,33,2,0,0,0,0
Ettinger_c_000000195716,1,FALSE,FALSE,14,7,0,FALSE,0,14,0,0,0,0,0
Ettinger_c_000000196992,2,FALSE,FALSE,7,1,0,FALSE,0.14285714285714285,6,1,0,0,0,0
Ettinger_c_000000197377,2,FALSE,FALSE,9,5,0,FALSE,0,7,0,2,0,0,0
Ettinger_c_000000197582,2,FALSE,FALSE,4,0,0,FALSE,0,4,0,0,0,0,0
Ettinger_c_000000197906,2,FALSE,FALSE,3,0,0,FALSE,0,3,0,0,0,0,0
Ettinger_c_000000198225,2,FALSE,FALSE,4,1,0,FALSE,0.25,3,1,0,0,0,0
Ettinger_c_000000199065,2,FALSE,FALSE,7,3,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000204886,2,FALSE,FALSE,8,2,0,FALSE,0.125,7,1,0,0,0,0
Ettinger_c_000000207538,2,FALSE,FALSE,4,2,0,FALSE,0,4,0,0,0,0,0
Ettinger_c_000000207588,2,FALSE,FALSE,10,4,0,FALSE,0.1,9,1,0,0,0,0
Ettinger_c_000000207598,2,FALSE,FALSE,5,0,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000207602,2,FALSE,FALSE,9,0,0,FALSE,0,9,0,0,0,0,0
Ettinger_c_000000210952,2,FALSE,FALSE,4,1,0,FALSE,0,4,0,0,0,0,0
Ettinger_c_000000211020,2,FALSE,FALSE,7,1,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000212738,2,FALSE,FALSE,5,1,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000216313,2,FALSE,FALSE,4,3,0,FALSE,0,2,0,2,0,0,0
Ettinger_c_000000216572,2,FALSE,FALSE,7,4,0,FALSE,0,6,0,1,0,0,0
Ettinger_c_000000216925,2,FALSE,FALSE,5,2,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000217591,2,FALSE,FALSE,9,7,0,FALSE,0.2222222222222222,6,2,1,0,0,0
Ettinger_c_000000219025,2,FALSE,FALSE,7,0,0,FALSE,0.2857142857142857,5,2,0,0,0,0
Ettinger_c_000000219224,2,FALSE,FALSE,5,1,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000219234,2,FALSE,FALSE,13,4,0,FALSE,0,13,0,0,0,0,0
Ettinger_c_000000220388,2,FALSE,FALSE,4,1,0,FALSE,0,4,0,0,0,0,0
Ettinger_c_000000220425,2,FALSE,FALSE,3,0,0,FALSE,0.3333333333333333,2,1,0,0,0,0
Ettinger_c_000000222958,2,FALSE,FALSE,7,0,0,FALSE,0.14285714285714285,4,1,2,0,0,0
Ettinger_c_000000223631,2,FALSE,FALSE,5,0,0,FALSE,0,4,0,1,0,0,0
Ettinger_c_000000223811,2,FALSE,FALSE,5,2,0,FALSE,0.2,4,1,0,0,0,0
Ettinger_c_000000223952,2,FALSE,FALSE,11,6,0,FALSE,0,9,0,2,0,0,0
Ettinger_c_000000225629,2,FALSE,FALSE,6,2,0,FALSE,0.16666666666666666,5,1,0,0,0,0
Ettinger_c_000000226263,1,FALSE,FALSE,13,3,0,TRUE,0,11,0,2,0,0,0
Ettinger_c_000000226749,2,FALSE,FALSE,4,1,0,FALSE,0,3,0,1,0,0,0
Ettinger_c_000000230925,2,FALSE,FALSE,7,1,1,FALSE,0.14285714285714285,5,1,1,0,0,0
Ettinger_c_000000231455,2,FALSE,FALSE,5,0,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000231766,2,FALSE,FALSE,11,4,0,FALSE,0,11,0,0,0,0,0
Ettinger_c_000000232319,2,FALSE,FALSE,6,2,0,FALSE,0,5,1,0,0,0,0
Ettinger_c_000000232484,2,FALSE,FALSE,8,2,0,FALSE,0,8,0,0,0,0,0
Ettinger_c_000000232505,2,FALSE,FALSE,7,2,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000232771,2,FALSE,FALSE,5,1,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000233975,2,FALSE,FALSE,10,4,1,FALSE,0.1,7,1,2,0,0,0
Ettinger_c_000000233995,2,FALSE,FALSE,5,2,0,FALSE,0,4,0,1,0,0,0
Ettinger_c_000000235485,2,FALSE,FALSE,11,5,0,FALSE,0,11,0,0,0,0,0
Ettinger_c_000000235513,2,FALSE,FALSE,7,4,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000236168,2,FALSE,FALSE,5,1,0,FALSE,0.2,4,1,0,0,0,0
Ettinger_c_000000236226,1,FALSE,FALSE,5,1,0,FALSE,0.2,3,1,1,0,0,0
Ettinger_c_000000236494,2,FALSE,FALSE,9,1,0,FALSE,0,9,0,0,0,0,0
Ettinger_c_000000237852,2,FALSE,FALSE,11,5,2,FALSE,0,9,0,2,0,0,0
Ettinger_c_000000238670,2,FALSE,FALSE,11,6,0,FALSE,0,11,0,0,0,0,0
Ettinger_c_000000238753,2,FALSE,FALSE,6,1,0,FALSE,0.3333333333333333,4,2,0,0,0,0
Ettinger_c_000000239255,2,FALSE,FALSE,4,1,0,FALSE,0.25,3,1,0,0,0,0
Ettinger_c_000000240028,2,FALSE,FALSE,7,4,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000240103,2,FALSE,FALSE,5,0,1,FALSE,0.6,2,3,0,0,0,0
Ettinger_c_000000240400,2,FALSE,FALSE,8,5,0,FALSE,0,8,0,0,0,0,0
Ettinger_c_000000240767,2,FALSE,FALSE,3,0,0,FALSE,0,3,0,0,0,0,0
Ettinger_c_000000241119,2,FALSE,FALSE,7,1,1,FALSE,0.14285714285714285,6,1,0,0,0,0
Ettinger_c_000000241135,2,FALSE,FALSE,5,2,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000242361,2,FALSE,FALSE,7,3,0,FALSE,0,6,0,0,1,0,0
Ettinger_c_000000242600,2,FALSE,FALSE,10,5,0,FALSE,0,10,0,0,0,0,0
Ettinger_c_000000242776,2,FALSE,FALSE,7,1,0,FALSE,0.14285714285714285,4,2,1,0,0,0
Ettinger_c_000000242838,2,FALSE,FALSE,3,0,0,FALSE,0,3,0,0,0,0,0
Ettinger_c_000000243871,2,FALSE,FALSE,6,3,0,FALSE,0,6,0,0,0,0,0
Ettinger_c_000000245547,2,FALSE,FALSE,4,1,0,FALSE,0,4,0,0,0,0,0
Ettinger_c_000000248166,2,FALSE,FALSE,3,1,0,FALSE,0,3,0,0,0,0,0
Ettinger_c_000000249041,2,FALSE,FALSE,7,1,0,FALSE,0,7,0,0,0,0,0
Ettinger_c_000000250227,2,FALSE,FALSE,6,4,0,FALSE,0.16666666666666666,4,1,1,0,0,0
Ettinger_c_000000251677,1,FALSE,FALSE,5,1,0,FALSE,0,4,0,1,0,0,0
Ettinger_c_000000253210,2,FALSE,FALSE,14,5,0,FALSE,0,14,0,0,0,0,0
Ettinger_c_000000253501,2,FALSE,FALSE,5,2,0,FALSE,0,5,0,0,0,0,0
Ettinger_c_000000254646,2,FALSE,FALSE,11,2,0,FALSE,0,11,0,0,0,0,0
Ettinger_c_000000254726,2,FALSE,FALSE,22,5,0,FALSE,0,22,0,0,0,0,0
Ettinger_c_000000255022,2,FALSE,FALSE,5,3,0,FALSE,0.2,4,1,0,0,0,0
Ettinger_c_000000255300,2,FALSE,FALSE,8,5,0,FALSE,0,7,1,0,0,0,0
Ettinger_c_000000256375,1,FALSE,FALSE,8,3,0,FALSE,0,7,0,1,0,0,0
Ettinger_c_000000258151,2,FALSE,FALSE,4,2,0,FALSE,0,4,0,0,0,0,0
Ettinger_c_000000259330,2,FALSE,FALSE,3,1,0,FALSE,0,3,0,0,0,0,0
Ettinger_c_000000259780,2,FALSE,FALSE,7,0,0,TRUE,0,5,0,1,1,0,0
Ettinger_c_000000259970,2,FALSE,FALSE,11,3,0,FALSE,0,11,0,0,0,0,0
Ettinger_c_000000260037,2,FALSE,FALSE,8,1,0,FALSE,0,7,0,1,0,0,0
Ettinger_c_000000260163,2,FALSE,FALSE,7,3,0,FALSE,0,7,0,0,0,0,0
