	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with host benefits	Viral genes with unknown function	Viral structure genes	Viral replication genes	Viral genes with viral benefits
k141_1061047__full-cat_2	2	False	False	5	2	2	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1062045__full-cat_2	2	False	False	19	8	0	False	0.0	19.0	0.0	0.0	0.0	0.0	0.0
k141_1067818__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1068060__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1069509__full-cat_2	2	False	False	10	3	0	False	0.1	8.0	2.0	0.0	0.0	0.0	0.0
k141_1080221__full-cat_2	2	False	False	5	2	1	False	0.0	4.0	0.0	0.0	0.0	1.0	0.0
k141_108176__0_partial-cat_1	1	False	False	18	1	0	False	0.0	13.0	1.0	1.0	0.0	2.0	1.0
k141_1081793__full-cat_1	1	False	False	12	2	0	False	0.0	10.0	1.0	1.0	0.0	0.0	0.0
k141_1082578__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_1083205__full-cat_2	2	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_108626__full-cat_2	2	False	False	4	3	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1089431__full-cat_2	2	False	False	14	1	0	False	0.0	11.0	2.0	1.0	0.0	0.0	0.0
k141_1091174__full-cat_2	2	False	False	10	1	0	True	0.1	7.0	1.0	2.0	0.0	0.0	0.0
k141_1091904__full-cat_2	2	False	False	3	0	0	False	0.6666666666666666	1.0	2.0	0.0	0.0	0.0	0.0
k141_109245__full-cat_1	1	False	False	13	5	2	False	0.0	12.0	0.0	1.0	0.0	0.0	0.0
k141_1094291__full-cat_2	2	False	False	11	6	0	False	0.0	10.0	0.0	1.0	0.0	0.0	0.0
k141_109459__0_partial_1-cat_1	1	False	False	16	0	0	False	0.0	8.0	3.0	4.0	1.0	0.0	0.0
k141_109514__full-cat_1	1	False	False	10	3	0	True	0.0	9.0	1.0	0.0	0.0	0.0	0.0
k141_1096085__full-cat_1	1	False	False	11	0	0	False	0.0	10.0	0.0	0.0	0.0	1.0	0.0
k141_1097427__full-cat_1	1	False	False	13	0	0	False	0.0	11.0	0.0	1.0	0.0	1.0	0.0
k141_1100015__full-cat_2	2	False	False	15	0	0	False	0.0	12.0	0.0	3.0	0.0	0.0	0.0
k141_1101262__full-cat_2	2	False	False	17	7	2	True	0.058823529411764705	14.0	2.0	1.0	0.0	0.0	0.0
k141_1106095__full-cat_2	2	False	False	10	2	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_1106153__full-cat_2	2	False	False	9	3	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_1107327__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_110828__full-cat_1	1	False	False	10	0	0	False	0.0	8.0	2.0	0.0	0.0	0.0	0.0
k141_1109049__full-cat_2	2	False	False	17	1	0	False	0.0	17.0	0.0	0.0	0.0	0.0	0.0
k141_1110198__full-cat_1	1	False	False	6	0	0	False	0.0	3.0	1.0	2.0	0.0	0.0	0.0
k141_1114531__full-cat_2	2	False	False	16	1	0	False	0.0	13.0	0.0	3.0	0.0	0.0	0.0
k141_1118246__full-cat_1	1	False	False	53	4	1	False	0.03773584905660377	32.0	8.0	11.0	1.0	1.0	0.0
k141_1120050__full-cat_2	2	False	False	2	1	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_1122457__full-cat_1	1	False	False	62	7	0	False	0.0	41.0	4.0	13.0	2.0	2.0	0.0
k141_1123548__full-cat_1	1	False	False	5	0	0	False	0.0	3.0	0.0	1.0	0.0	1.0	0.0
k141_1124231__full-cat_2	2	False	False	5	3	0	False	0.2	4.0	1.0	0.0	0.0	0.0	0.0
k141_1125415__full-cat_2	2	False	False	8	0	3	False	0.125	7.0	1.0	0.0	0.0	0.0	0.0
k141_1133735__full-cat_2	2	False	False	7	2	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
k141_1134543__full-cat_2	2	False	False	22	2	1	False	0.045454545454545456	18.0	3.0	1.0	0.0	0.0	0.0
k141_1135119__full-cat_2	2	False	False	8	0	0	False	0.0	7.0	0.0	0.0	0.0	1.0	0.0
k141_1135219__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1137643__full-cat_2	2	False	False	8	5	0	False	0.125	7.0	1.0	0.0	0.0	0.0	0.0
k141_1139161__full-cat_1	1	False	False	25	0	0	False	0.0	20.0	0.0	3.0	0.0	2.0	0.0
k141_1142441__full-cat_2	2	False	False	8	5	0	False	0.125	7.0	1.0	0.0	0.0	0.0	0.0
k141_1142887__full-cat_1	1	False	False	8	2	0	False	0.0	5.0	2.0	0.0	0.0	1.0	0.0
k141_1147314__full-cat_2	2	False	False	8	2	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1151664__full-cat_2	2	False	False	14	6	0	False	0.0	14.0	0.0	0.0	0.0	0.0	0.0
k141_1153042__full-cat_2	2	False	False	9	5	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_1154828__full-cat_1	1	False	False	10	1	0	False	0.0	9.0	1.0	0.0	0.0	0.0	0.0
k141_1162137__full-cat_2	2	False	False	3	1	0	False	0.0	2.0	0.0	1.0	0.0	0.0	0.0
k141_1162922__full-cat_2	2	False	False	4	1	0	False	0.0	2.0	0.0	2.0	0.0	0.0	0.0
k141_1165946__full-cat_2	2	False	False	11	3	0	False	0.0	11.0	0.0	0.0	0.0	0.0	0.0
k141_1168308__full-cat_1	1	False	False	7	2	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
k141_1168325__full-cat_2	2	False	False	18	6	1	True	0.05555555555555555	16.0	1.0	1.0	0.0	0.0	0.0
k141_1168493__full-cat_1	1	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1168555__full-cat_1	1	False	False	49	0	0	False	0.04081632653061224	28.0	7.0	5.0	2.0	5.0	2.0
k141_1168847__full-cat_1	1	False	False	12	0	0	False	0.0	9.0	3.0	0.0	0.0	0.0	0.0
k141_1170394__full-cat_2	2	False	False	12	5	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k141_1175707__full-cat_1	1	False	False	7	0	0	False	0.0	4.0	0.0	1.0	1.0	1.0	0.0
k141_1176642__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_1177297__full-cat_1	1	False	False	6	3	0	False	0.16666666666666666	5.0	1.0	0.0	0.0	0.0	0.0
k141_1178502__full-cat_1	1	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1187574__full-cat_1	1	False	False	5	0	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
k141_1190908__full-cat_2	2	False	False	7	3	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_1192194__full-cat_1	1	False	False	20	0	0	False	0.0	12.0	2.0	4.0	1.0	1.0	0.0
k141_119488__full-cat_1	1	False	False	8	0	0	False	0.0	7.0	0.0	1.0	0.0	0.0	0.0
k141_1195552__full-cat_2	2	False	False	6	2	1	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_1197508__full-cat_1	1	False	False	24	0	0	False	0.0	23.0	0.0	1.0	0.0	0.0	0.0
k141_1198250__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1199743__full-cat_2	2	False	False	13	2	0	False	0.0	11.0	1.0	1.0	0.0	0.0	0.0
k141_1203882__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
k141_1208935__full-cat_2	2	False	False	6	3	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
k141_1209158__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	5.0	1.0	1.0	0.0	0.0	0.0
k141_121204__full-cat_2	2	False	False	14	6	0	False	0.07142857142857142	13.0	1.0	0.0	0.0	0.0	0.0
k141_1212555__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1212688__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
k141_1218683__full-cat_2	2	False	False	2	1	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_1219122__full-cat_2	2	False	False	14	5	0	False	0.0	14.0	0.0	0.0	0.0	0.0	0.0
k141_1219897__full-cat_2	2	False	False	9	2	0	True	0.1111111111111111	6.0	2.0	0.0	0.0	1.0	0.0
k141_1223513__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1226166__full-cat_1	1	False	False	9	0	0	False	0.1111111111111111	6.0	1.0	0.0	1.0	1.0	0.0
k141_1226372__full-cat_2	2	False	False	6	0	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
k141_1228420__full-cat_2	2	False	False	9	3	0	False	0.1111111111111111	8.0	1.0	0.0	0.0	0.0	0.0
k141_1230224__full-cat_1	1	False	False	8	0	0	False	0.0	5.0	2.0	0.0	1.0	0.0	0.0
k141_1232712__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1233203__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1233257__full-cat_1	1	False	False	7	0	0	False	0.0	4.0	0.0	2.0	1.0	0.0	0.0
k141_1235640__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1241200__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1242001__full-cat_2	2	False	False	9	4	0	False	0.1111111111111111	8.0	1.0	0.0	0.0	0.0	0.0
k141_1243328__full-cat_2	2	False	False	15	4	0	False	0.06666666666666667	9.0	1.0	5.0	0.0	0.0	0.0
k141_1243610__full-cat_1	1	False	False	28	0	1	False	0.0	25.0	1.0	2.0	0.0	0.0	0.0
k141_1247801__full-cat_2	2	False	False	4	2	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
k141_1248263__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1255110__full-cat_2	2	False	False	8	4	0	False	0.25	5.0	3.0	0.0	0.0	0.0	0.0
k141_1256380__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1259406__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1262159__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	5.0	1.0	0.0	0.0	0.0	0.0
k141_1264712__full-cat_2	2	False	False	18	1	0	False	0.0	12.0	3.0	3.0	0.0	0.0	0.0
k141_1265478__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1267290__full_1-cat_1	1	False	False	5	0	0	False	0.0	2.0	0.0	3.0	0.0	0.0	0.0
k141_12693__full-cat_2	2	False	False	12	3	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k141_1269544__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
k141_1274666__full-cat_1	1	False	False	23	0	0	False	0.043478260869565216	18.0	1.0	4.0	0.0	0.0	0.0
k141_1276511__full-cat_1	1	False	False	7	0	0	False	0.0	4.0	1.0	1.0	0.0	1.0	0.0
k141_1280539__full-cat_2	2	False	False	7	5	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_128188__full-cat_1	1	False	False	21	0	0	False	0.047619047619047616	18.0	2.0	1.0	0.0	0.0	0.0
k141_1285452__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1288331__full-cat_1	1	False	False	16	1	0	False	0.0	10.0	0.0	4.0	0.0	2.0	0.0
k141_12883__full-cat_2	2	False	False	13	1	1	False	0.0	11.0	1.0	0.0	0.0	1.0	0.0
k141_1288533__full-cat_1	1	False	False	5	0	0	False	0.0	3.0	0.0	2.0	0.0	0.0	0.0
k141_129113__full-cat_2	2	False	False	4	0	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
k141_129984__full-cat_2	2	False	False	5	4	0	False	0.0	3.0	1.0	1.0	0.0	0.0	0.0
k141_1300104__full-cat_2	2	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1300457__full-cat_1	1	False	False	12	2	0	False	0.0	11.0	0.0	1.0	0.0	0.0	0.0
k141_1308412__full-cat_2	2	False	False	8	1	1	False	0.0	6.0	1.0	1.0	0.0	0.0	0.0
k141_1312122__full-cat_2	2	False	False	11	2	0	False	0.0	8.0	0.0	3.0	0.0	0.0	0.0
k141_1313254__full-cat_1	1	False	False	47	4	0	False	0.0	40.0	0.0	6.0	0.0	1.0	0.0
k141_131523__full-cat_2	2	False	False	6	4	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1315539__full-cat_1	1	False	False	71	4	0	False	0.014084507042253521	58.0	4.0	6.0	2.0	1.0	0.0
k141_1317261__full-cat_1	1	False	False	14	1	0	False	0.0	11.0	0.0	3.0	0.0	0.0	0.0
k141_131890__full-cat_1	1	False	False	7	0	0	False	0.0	5.0	2.0	0.0	0.0	0.0	0.0
k141_1320339__full-cat_1	1	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1327315__full-cat_1	1	False	False	101	4	3	False	0.039603960396039604	69.0	6.0	26.0	0.0	0.0	0.0
k141_1327411__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1329869__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1333913__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1336664__full-cat_1	1	False	False	9	2	0	True	0.0	6.0	1.0	1.0	0.0	1.0	0.0
k141_133685__full-cat_2	2	False	False	5	3	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1341417__full-cat_2	2	False	False	5	2	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_1344582__full-cat_2	2	False	False	2	1	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_1351377__full-cat_2	2	False	False	7	1	0	True	0.0	6.0	0.0	0.0	0.0	1.0	0.0
k141_1356983__full-cat_2	2	False	False	9	0	0	False	0.0	8.0	1.0	0.0	0.0	0.0	0.0
k141_1357388__full-cat_2	2	False	False	5	0	0	False	0.0	3.0	0.0	2.0	0.0	0.0	0.0
k141_1358633__full-cat_2	2	False	False	10	2	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_1358855__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1359370__full-cat_1	1	False	False	7	0	0	False	0.0	3.0	3.0	1.0	0.0	0.0	0.0
k141_1359484__full-cat_1	1	False	False	6	1	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
k141_1361114__full-cat_2	2	False	False	34	0	0	False	0.029411764705882353	29.0	1.0	4.0	0.0	0.0	0.0
k141_1363599__full-cat_2	2	False	False	5	2	0	False	0.0	3.0	0.0	1.0	0.0	1.0	0.0
k141_136527__full-cat_2	2	False	False	7	0	0	False	0.2857142857142857	5.0	2.0	0.0	0.0	0.0	0.0
k141_136834__full-cat_2	2	False	False	4	1	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
k141_1373071__full-cat_2	2	False	False	22	3	0	False	0.045454545454545456	20.0	1.0	0.0	0.0	1.0	0.0
k141_1374280__full-cat_1	1	False	False	18	0	0	False	0.0	15.0	0.0	1.0	1.0	1.0	0.0
k141_1377819__full-cat_1	1	False	False	5	0	0	False	0.0	2.0	2.0	0.0	1.0	0.0	0.0
k141_1378658__full-cat_2	2	False	False	19	10	0	False	0.0	19.0	0.0	0.0	0.0	0.0	0.0
k141_1382234__full-cat_2	2	False	False	6	3	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_1383261__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_138359__full-cat_2	2	False	False	4	2	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
k141_1384232__full-cat_2	2	False	False	6	4	0	False	0.16666666666666666	5.0	1.0	0.0	0.0	0.0	0.0
k141_1388091__full-cat_2	2	False	False	5	3	0	False	0.0	2.0	2.0	1.0	0.0	0.0	0.0
k141_1389520__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_138983__full-cat_2	2	False	False	5	1	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_1391814__full-cat_2	2	False	False	7	3	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
k141_1393422__full-cat_1	1	False	False	3	1	0	False	0.0	2.0	0.0	1.0	0.0	0.0	0.0
k141_1394123__full-cat_1	1	False	False	7	4	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
k141_1394157__full-cat_1	1	False	False	40	2	0	False	0.0	32.0	1.0	5.0	1.0	1.0	0.0
k141_1395775__full-cat_2	2	False	False	10	0	0	False	0.0	9.0	0.0	1.0	0.0	0.0	0.0
k141_1397732__full-cat_2	2	False	False	9	2	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_1401260__full-cat_1	1	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1404723__full-cat_2	2	False	False	9	4	0	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
k141_1405146__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1407186__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_141077__full-cat_2	2	False	False	14	0	0	False	0.0	9.0	2.0	3.0	0.0	0.0	0.0
k141_1416028__full-cat_1	1	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1416435__full-cat_1	1	False	False	27	2	0	False	0.037037037037037035	10.0	7.0	8.0	0.0	1.0	1.0
k141_1420156__full-cat_2	2	False	False	11	0	0	False	0.0	8.0	0.0	2.0	0.0	0.0	1.0
k141_1420260__full-cat_1	1	False	False	19	0	0	False	0.0	15.0	1.0	2.0	0.0	1.0	0.0
k141_1420468__full-cat_2	2	False	False	9	3	0	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
k141_1423114__full-cat_2	2	False	False	7	0	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
k141_1424178__full-cat_2	2	False	False	9	1	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_142489__full-cat_1	1	False	False	19	0	0	False	0.05263157894736842	14.0	1.0	4.0	0.0	0.0	0.0
k141_1425482__full-cat_2	2	False	False	16	2	0	False	0.0	16.0	0.0	0.0	0.0	0.0	0.0
k141_1426496__full-cat_1	1	False	False	19	1	1	False	0.0	14.0	2.0	3.0	0.0	0.0	0.0
k141_1428744__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1429890__full-cat_2	2	False	False	5	2	0	False	0.0	3.0	0.0	2.0	0.0	0.0	0.0
k141_1430047__full-cat_2	2	False	False	7	0	0	False	0.0	5.0	2.0	0.0	0.0	0.0	0.0
k141_1430906__full-cat_2	2	False	False	11	5	0	False	0.09090909090909091	10.0	1.0	0.0	0.0	0.0	0.0
k141_1431804__full-cat_1	1	False	False	12	0	0	False	0.0	8.0	1.0	1.0	1.0	1.0	0.0
k141_1432922__full-cat_1	1	False	False	15	1	0	False	0.0	12.0	1.0	0.0	1.0	1.0	0.0
k141_1434047__full-cat_1	1	False	False	37	1	0	False	0.02702702702702703	31.0	1.0	5.0	0.0	0.0	0.0
k141_1437150__full-cat_1	1	False	False	10	0	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_1437887__full-cat_2	2	False	False	11	6	0	False	0.0	11.0	0.0	0.0	0.0	0.0	0.0
k141_1439961__full-cat_2	2	False	False	15	1	0	False	0.06666666666666667	13.0	1.0	1.0	0.0	0.0	0.0
k141_1441064__full-cat_2	2	False	False	9	0	0	False	0.1111111111111111	7.0	1.0	1.0	0.0	0.0	0.0
k141_1441503__full-cat_2	2	False	False	10	3	2	True	0.0	8.0	0.0	1.0	0.0	1.0	0.0
k141_1445597__full-cat_2	2	False	False	5	2	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
k141_1446369__full-cat_2	2	False	False	24	1	0	False	0.08333333333333333	18.0	3.0	3.0	0.0	0.0	0.0
k141_1447884__full-cat_2	2	False	False	10	2	0	True	0.1	8.0	1.0	0.0	1.0	0.0	0.0
k141_1449584__full-cat_2	2	False	False	12	6	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k141_145112__full-cat_2	2	False	False	5	0	0	False	0.2	4.0	1.0	0.0	0.0	0.0	0.0
k141_1451964__full-cat_2	2	False	False	53	2	0	False	0.03773584905660377	45.0	4.0	4.0	0.0	0.0	0.0
k141_1453170__full-cat_2	2	False	False	20	1	0	False	0.0	19.0	0.0	1.0	0.0	0.0	0.0
k141_1453458__full-cat_2	2	False	False	17	1	0	False	0.058823529411764705	13.0	2.0	2.0	0.0	0.0	0.0
k141_1453621__full-cat_1	1	False	False	8	2	0	True	0.0	4.0	0.0	2.0	0.0	2.0	0.0
k141_1455183__full-cat_1	1	False	False	12	0	0	False	0.0	10.0	1.0	1.0	0.0	0.0	0.0
k141_1456183__full-cat_2	2	False	False	18	3	0	False	0.05555555555555555	11.0	3.0	4.0	0.0	0.0	0.0
k141_1456341__full-cat_2	2	False	False	5	2	0	False	0.0	3.0	1.0	1.0	0.0	0.0	0.0
k141_1456845__full-cat_1	1	False	False	16	0	0	False	0.0	14.0	0.0	2.0	0.0	0.0	0.0
k141_1457349__full-cat_1	1	False	False	4	2	1	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1458332__full-cat_1	1	False	False	20	1	0	False	0.0	17.0	0.0	3.0	0.0	0.0	0.0
k141_1458819__full-cat_1	1	False	False	21	2	0	False	0.0	16.0	2.0	2.0	1.0	0.0	0.0
k141_146256__full-cat_2	2	False	False	8	4	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1463513__0_partial_1-cat_1	1	False	False	16	0	0	False	0.0	8.0	3.0	4.0	1.0	0.0	0.0
k141_1463599__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
k141_1465438__full-cat_2	2	False	False	24	11	0	False	0.0	24.0	0.0	0.0	0.0	0.0	0.0
k141_1467435__full-cat_1	1	False	False	8	4	0	True	0.0	6.0	0.0	1.0	0.0	1.0	0.0
k141_1468105__full-cat_2	2	False	False	15	1	0	False	0.0	13.0	1.0	1.0	0.0	0.0	0.0
k141_1472661__full-cat_2	2	False	False	10	1	0	False	0.1	7.0	1.0	2.0	0.0	0.0	0.0
k141_1475713__full-cat_2	2	False	False	8	7	1	False	0.125	7.0	1.0	0.0	0.0	0.0	0.0
k141_1476974__full_1-cat_1	1	False	False	16	0	0	False	0.0625	12.0	2.0	2.0	0.0	0.0	0.0
k141_1477215__full-cat_2	2	False	False	35	4	0	False	0.0	34.0	0.0	1.0	0.0	0.0	0.0
k141_1479161__full-cat_2	2	False	False	21	5	0	False	0.09523809523809523	18.0	2.0	1.0	0.0	0.0	0.0
k141_1482228__full-cat_1	1	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
