	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral replication genes	Viral genes with host benefits	Viral structure genes	Viral genes with viral benefits
k141_1109385__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_111172__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
k141_1118141__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1118233__full-cat_2	2	False	False	10	1	0	False	0.1	9.0	0.0	0.0	1.0	0.0	0.0
k141_1126376__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1132491__full-cat_1	1	False	False	8	3	1	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1139857__full-cat_2	2	False	False	8	2	0	True	0.0	6.0	0.0	2.0	0.0	0.0	0.0
k141_1144507__full-cat_1	1	False	False	9	0	0	False	0.0	7.0	2.0	0.0	0.0	0.0	0.0
k141_1145532__full-cat_1	1	False	False	31	0	0	False	0.03225806451612903	28.0	2.0	0.0	1.0	0.0	0.0
k141_1146582__full-cat_1	1	False	False	37	0	0	False	0.05405405405405406	27.0	3.0	3.0	2.0	2.0	0.0
k141_1148968__full-cat_2	2	False	False	10	0	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_1160466__full-cat_1	1	False	False	24	1	0	False	0.0	19.0	4.0	1.0	0.0	0.0	0.0
k141_1165871__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1169106__full-cat_2	2	False	False	9	0	0	False	0.1111111111111111	7.0	0.0	1.0	1.0	0.0	0.0
k141_1169415__full-cat_2	2	False	False	3	2	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1174375__full-cat_2	2	False	False	8	2	0	True	0.0	7.0	0.0	1.0	0.0	0.0	0.0
k141_1180089__full-cat_2	2	False	False	8	0	0	False	0.0	6.0	0.0	2.0	0.0	0.0	0.0
k141_1199114__full-cat_2	2	False	False	36	4	0	False	0.0	36.0	0.0	0.0	0.0	0.0	0.0
k141_1200335__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1202328__full-cat_1	1	False	False	7	0	0	False	0.0	4.0	0.0	0.0	0.0	3.0	0.0
k141_1202644__full-cat_2	2	False	False	8	2	1	False	0.125	5.0	1.0	0.0	2.0	0.0	0.0
k141_1211888__full-cat_2	2	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_1223304__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1227046__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1227864__full-cat_2	2	False	False	12	1	0	False	0.0	9.0	3.0	0.0	0.0	0.0	0.0
k141_1232516__full-cat_1	1	False	False	13	0	0	False	0.0	5.0	2.0	4.0	2.0	0.0	0.0
k141_1233133__full-cat_2	2	False	False	12	0	0	False	0.08333333333333333	11.0	0.0	0.0	1.0	0.0	0.0
k141_1235351__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_124323__full-cat_2	2	False	False	10	2	0	False	0.0	9.0	0.0	1.0	0.0	0.0	0.0
k141_1250060__full-cat_1	1	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1254846__full-cat_1	1	False	False	26	1	0	False	0.0	17.0	3.0	0.0	0.0	6.0	0.0
k141_1255800__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_1262779__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_126691__full-cat_1	1	False	False	5	0	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_1268811__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1281414__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1295538__full-cat_2	2	False	False	8	1	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1296817__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1304024__full-cat_1	1	False	False	9	0	0	False	0.0	8.0	1.0	0.0	0.0	0.0	0.0
k141_1310419__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1314204__full-cat_2	2	False	False	14	2	0	False	0.07142857142857142	8.0	4.0	1.0	1.0	0.0	0.0
k141_1326277__full-cat_2	2	False	False	11	3	1	False	0.0	10.0	0.0	1.0	0.0	0.0	0.0
k141_1333450__full-cat_1	1	False	False	12	0	0	False	0.0	11.0	0.0	0.0	0.0	1.0	0.0
k141_1335406__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1339029__full-cat_2	2	False	False	8	3	0	False	0.125	7.0	0.0	0.0	1.0	0.0	0.0
k141_1340609__full-cat_2	2	False	False	8	1	0	False	0.125	6.0	0.0	0.0	1.0	1.0	0.0
k141_1344825__full-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_1350556__full-cat_2	2	False	False	5	3	0	False	0.0	3.0	2.0	0.0	0.0	0.0	0.0
k141_1354404__full-cat_2	2	False	False	10	2	0	False	0.0	9.0	1.0	0.0	0.0	0.0	0.0
k141_1359692__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	0.0	1.0	0.0	0.0	0.0	0.0
k141_135988__full-cat_2	2	False	False	6	3	0	True	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1363179__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	5.0	0.0	0.0	1.0	0.0	0.0
k141_1368589__full-cat_1	1	False	False	10	0	0	False	0.0	6.0	4.0	0.0	0.0	0.0	0.0
k141_1369653__full-cat_2	2	False	False	13	0	0	False	0.0	2.0	10.0	1.0	0.0	0.0	0.0
k141_1372544__full-cat_2	2	False	False	9	5	0	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
k141_1373072__full-cat_1	1	False	False	98	12	2	False	0.02040816326530612	95.0	1.0	0.0	2.0	0.0	0.0
k141_1373400__full-cat_2	2	False	False	9	1	0	False	0.0	8.0	0.0	0.0	0.0	1.0	0.0
k141_1381711__full-cat_2	2	False	False	7	1	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_1381769__full-cat_1	1	False	False	6	0	0	False	0.16666666666666666	5.0	0.0	0.0	1.0	0.0	0.0
k141_1381941__full-cat_1	1	False	False	10	0	0	False	0.0	5.0	4.0	0.0	0.0	1.0	0.0
k141_1386066__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	5.0	0.0	0.0	1.0	0.0	0.0
k141_1389565__full-cat_1	1	False	False	28	1	1	False	0.0	19.0	9.0	0.0	0.0	0.0	0.0
k141_1395273__full-cat_2	2	False	False	15	0	0	False	0.0	12.0	3.0	0.0	0.0	0.0	0.0
k141_1400646__full-cat_2	2	False	False	7	4	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_140294__full-cat_2	2	False	False	7	3	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_1406801__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	5.0	0.0	0.0	1.0	0.0	0.0
k141_1408364__full-cat_1	1	False	False	5	0	0	False	0.0	3.0	0.0	1.0	0.0	1.0	0.0
k141_1410312__full-cat_2	2	False	False	12	3	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k141_1412684__full-cat_2	2	False	False	7	1	4	False	0.5714285714285714	2.0	1.0	0.0	4.0	0.0	0.0
k141_142126__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1422248__full-cat_2	2	False	False	3	2	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_142295__full-cat_2	2	False	False	11	1	0	False	0.0	10.0	1.0	0.0	0.0	0.0	0.0
k141_1428695__full-cat_2	2	False	False	10	5	0	False	0.1	9.0	0.0	0.0	1.0	0.0	0.0
k141_1433758__full-cat_1	1	False	False	5	1	0	True	0.4	3.0	0.0	0.0	2.0	0.0	0.0
k141_1434688__full-cat_2	2	False	False	3	2	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1435813__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1437209__full-cat_1	1	False	False	56	9	2	False	0.017857142857142856	44.0	7.0	0.0	1.0	4.0	0.0
k141_1451500__full-cat_2	2	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1455200__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	4.0	0.0	1.0	1.0	0.0	0.0
k141_1462922__full-cat_2	2	False	False	3	0	0	False	0.0	2.0	1.0	0.0	0.0	0.0	0.0
k141_1464671__full-cat_1	1	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1476656__full-cat_1	1	False	False	15	6	0	False	0.0	10.0	4.0	1.0	0.0	0.0	0.0
k141_149076__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1491474__full-cat_2	2	False	False	7	1	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
k141_1497085__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1508536__full-cat_1	1	False	False	95	4	0	False	0.031578947368421054	79.0	9.0	2.0	4.0	1.0	0.0
k141_1510793__full-cat_1	1	False	False	14	0	0	False	0.0	5.0	5.0	0.0	0.0	4.0	0.0
k141_1511109__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1512061__full-cat_2	2	False	False	13	6	0	False	0.0	11.0	0.0	2.0	0.0	0.0	0.0
k141_1513745__full-cat_2	2	False	False	8	2	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1516007__full-cat_2	2	False	False	6	2	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_1524313__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	5.0	0.0	0.0	1.0	0.0	0.0
k141_1530375__full-cat_2	2	False	False	9	1	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_1536851__full-cat_2	2	False	False	11	5	0	False	0.0	9.0	2.0	0.0	0.0	0.0	0.0
k141_153771__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_15492__full-cat_1	1	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1550799__full-cat_2	2	False	False	11	4	1	False	0.09090909090909091	10.0	0.0	0.0	1.0	0.0	0.0
k141_158083__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1581076__full-cat_1	1	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_159104__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_159254__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	4.0	1.0	0.0	1.0	0.0	0.0
k141_1594662__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1599452__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_160509__full-cat_1	1	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_162258__full-cat_2	2	False	False	13	3	2	False	0.0	12.0	1.0	0.0	0.0	0.0	0.0
k141_1627918__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1629337__full-cat_2	2	False	False	8	4	1	False	0.0	5.0	2.0	1.0	0.0	0.0	0.0
k141_1632716__full-cat_1	1	False	False	20	0	1	False	0.0	16.0	3.0	0.0	0.0	1.0	0.0
k141_1632794__full-cat_2	2	False	False	5	0	0	False	0.2	4.0	0.0	0.0	1.0	0.0	0.0
k141_1634935__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1638171__full-cat_1	1	False	False	32	5	0	False	0.0	27.0	5.0	0.0	0.0	0.0	0.0
k141_164133__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1642006__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1642519__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1644479__full-cat_2	2	False	False	9	4	1	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_1645949__full-cat_2	2	False	False	9	2	0	False	0.1111111111111111	8.0	0.0	0.0	1.0	0.0	0.0
k141_1646273__full-cat_2	2	False	False	8	1	0	False	0.125	6.0	0.0	1.0	1.0	0.0	0.0
k141_1648663__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_164903__full-cat_1	1	False	False	23	3	0	False	0.0	20.0	1.0	1.0	1.0	0.0	0.0
k141_1649301__full-cat_2	2	False	False	7	2	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_1650284__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1651049__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1653709__full-cat_2	2	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1654577__full-cat_1	1	False	False	3	1	0	False	0.0	2.0	1.0	0.0	0.0	0.0	0.0
k141_1659121__full-cat_2	2	False	False	9	3	0	False	0.0	8.0	1.0	0.0	0.0	0.0	0.0
k141_1659498__full-cat_2	2	False	False	3	1	0	False	0.0	1.0	1.0	1.0	0.0	0.0	0.0
k141_1665590__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1665697__full-cat_1	1	False	False	15	2	0	False	0.0	15.0	0.0	0.0	0.0	0.0	0.0
k141_1673106__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	5.0	0.0	0.0	1.0	0.0	0.0
k141_1673186__full-cat_2	2	False	False	9	3	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_1677133__full-cat_2	2	False	False	13	1	0	False	0.0	11.0	1.0	1.0	0.0	0.0	0.0
k141_1678810__full-cat_2	2	False	False	14	4	3	False	0.07142857142857142	11.0	2.0	0.0	1.0	0.0	0.0
k141_168942__full-cat_2	2	False	False	11	0	0	False	0.0	8.0	3.0	0.0	0.0	0.0	0.0
k141_1703226__full-cat_2	2	False	False	16	2	0	False	0.0	16.0	0.0	0.0	0.0	0.0	0.0
k141_1707017__full-cat_1	1	False	False	7	2	0	False	0.14285714285714285	5.0	1.0	0.0	1.0	0.0	0.0
k141_1708772__full-cat_2	2	False	False	11	2	0	False	0.0	11.0	0.0	0.0	0.0	0.0	0.0
k141_1714686__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1721923__full-cat_2	2	False	False	7	4	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_1725133__full-cat_2	2	False	False	4	2	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1728948__full-cat_2	2	False	False	6	3	0	True	0.0	4.0	0.0	2.0	0.0	0.0	0.0
k141_1731948__full-cat_2	2	False	False	8	4	1	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
k141_1735073__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1739521__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1740041__full-cat_1	1	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1741099__full-cat_2	2	False	False	5	3	0	False	0.2	4.0	0.0	0.0	1.0	0.0	0.0
k141_1743317__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1743923__full-cat_2	2	False	False	11	1	0	False	0.18181818181818182	9.0	0.0	0.0	2.0	0.0	0.0
k141_1752007__full-cat_2	2	False	False	8	1	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1753740__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1754410__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	0.0	1.0	0.0	0.0	0.0	0.0
k141_1761093__full-cat_2	2	False	False	6	0	0	True	0.0	3.0	0.0	3.0	0.0	0.0	0.0
k141_1767438__full-cat_2	2	False	False	29	4	0	False	0.0	24.0	2.0	1.0	2.0	0.0	0.0
k141_1770693__full-cat_2	2	False	False	16	0	0	False	0.0	14.0	2.0	0.0	0.0	0.0	0.0
k141_1770871__full-cat_2	2	False	False	5	0	0	False	0.2	2.0	1.0	1.0	1.0	0.0	0.0
k141_1773242__full-cat_2	2	False	False	7	1	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1777029__full-cat_1	1	False	False	10	0	0	False	0.0	9.0	0.0	0.0	0.0	1.0	0.0
k141_1779221__full-cat_2	2	False	False	6	1	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_1780141__full-cat_2	2	False	False	9	2	0	False	0.0	8.0	1.0	0.0	0.0	0.0	0.0
k141_1786313__full-cat_2	2	False	False	25	0	0	False	0.0	25.0	0.0	0.0	0.0	0.0	0.0
k141_1788672__full_1-cat_2	2	False	False	8	2	0	False	0.0	6.0	0.0	1.0	0.0	1.0	0.0
k141_1797910__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	6.0	0.0	0.0	1.0	0.0	0.0
k141_1807925__full-cat_2	2	False	False	12	1	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k141_1815947__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1817069__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	5.0	1.0	0.0	1.0	0.0	0.0
k141_1825633__full-cat_2	2	False	False	14	2	0	False	0.0	14.0	0.0	0.0	0.0	0.0	0.0
k141_1826629__full-cat_2	2	False	False	14	7	0	False	0.0	12.0	1.0	1.0	0.0	0.0	0.0
k141_1832693__full-cat_2	2	False	False	11	0	0	False	0.0	10.0	1.0	0.0	0.0	0.0	0.0
k141_1846384__full-cat_1	1	False	False	11	0	0	False	0.0	9.0	2.0	0.0	0.0	0.0	0.0
k141_1848573__full-cat_2	2	False	False	5	3	0	False	0.0	4.0	0.0	0.0	0.0	1.0	0.0
k141_1849296__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1852389__full-cat_2	2	False	False	5	3	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1871069__full-cat_2	2	False	False	9	3	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_1881666__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_1885377__full-cat_2	2	False	False	4	2	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
k141_1889026__full-cat_1	1	False	False	22	3	0	False	0.0	19.0	1.0	1.0	1.0	0.0	0.0
k141_1891645__full-cat_2	2	False	False	6	1	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_1897908__full-cat_2	2	False	False	8	3	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1904334__full-cat_2	2	False	False	35	1	0	False	0.0	32.0	3.0	0.0	0.0	0.0	0.0
k141_1912450__full-cat_2	2	False	False	9	3	0	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
k141_1914915__full-cat_2	2	False	False	3	0	0	False	0.0	2.0	1.0	0.0	0.0	0.0	0.0
k141_1941920__full-cat_2	2	False	False	9	0	1	False	0.4444444444444444	4.0	1.0	0.0	4.0	0.0	0.0
k141_1958749__full-cat_2	2	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_1965119__full-cat_2	2	False	False	3	2	0	False	0.3333333333333333	2.0	0.0	0.0	1.0	0.0	0.0
k141_1966594__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1967578__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	6.0	0.0	0.0	1.0	0.0	0.0
k141_1970153__full-cat_2	2	False	False	15	1	0	False	0.0	12.0	3.0	0.0	0.0	0.0	0.0
k141_197083__full-cat_2	2	False	False	7	0	0	False	0.14285714285714285	5.0	1.0	0.0	1.0	0.0	0.0
k141_1976444__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_1976452__full-cat_2	2	False	False	14	2	0	False	0.0	14.0	0.0	0.0	0.0	0.0	0.0
k141_197888__full-cat_2	2	False	False	4	0	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
k141_1984145__full-cat_2	2	False	False	4	0	0	False	0.25	3.0	0.0	0.0	1.0	0.0	0.0
k141_1985492__full-cat_2	2	False	False	6	0	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
k141_2000915__full-cat_1	1	False	False	7	0	0	False	0.0	5.0	1.0	1.0	0.0	0.0	0.0
k141_2003557__full-cat_2	2	False	False	7	1	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_2008121__full-cat_2	2	False	False	4	1	0	True	0.0	3.0	0.0	1.0	0.0	0.0	0.0
k141_2008289__full-cat_1	1	False	False	108	2	2	True	0.05555555555555555	83.0	9.0	2.0	8.0	6.0	0.0
k141_2012951__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_2020285__full-cat_1	1	False	False	14	1	0	False	0.0	8.0	6.0	0.0	0.0	0.0	0.0
k141_2024549__full-cat_2	2	False	False	8	0	2	False	0.5	4.0	0.0	0.0	4.0	0.0	0.0
k141_2032176__full-cat_1	1	False	False	46	20	0	False	0.021739130434782608	44.0	0.0	1.0	1.0	0.0	0.0
k141_2047880__full-cat_2	2	False	False	6	2	0	False	0.3333333333333333	4.0	0.0	0.0	2.0	0.0	0.0
k141_2048020__full-cat_2	2	False	False	7	4	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_2067088__full-cat_2	2	False	False	5	2	0	False	0.0	3.0	2.0	0.0	0.0	0.0	0.0
k141_2069615__full-cat_2	2	False	False	14	6	2	False	0.0	13.0	0.0	1.0	0.0	0.0	0.0
k141_2070522__full-cat_2	2	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_2072652__full-cat_2	2	False	False	2	0	0	False	0.0	1.0	1.0	0.0	0.0	0.0	0.0
k141_2073406__full-cat_2	2	False	False	7	1	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_2075864__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_2079623__full-cat_2	2	False	False	6	1	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_2080304__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_2091804__full-cat_2	2	False	False	2	1	0	False	0.0	1.0	1.0	0.0	0.0	0.0	0.0
k141_2093540__full-cat_2	2	False	False	5	1	0	False	0.6	1.0	0.0	1.0	3.0	0.0	0.0
k141_2095516__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_2096649__full-cat_1	1	False	False	28	2	1	False	0.0	22.0	1.0	0.0	0.0	5.0	0.0
k141_2104037__full-cat_1	1	False	False	27	3	1	False	0.0	21.0	2.0	0.0	1.0	3.0	0.0
k141_2113018__full-cat_2	2	False	False	9	3	0	False	0.0	7.0	2.0	0.0	0.0	0.0	0.0
k141_2119565__full-cat_2	2	False	False	10	0	0	False	0.0	9.0	1.0	0.0	0.0	0.0	0.0
k141_2122570__full-cat_2	2	False	False	11	1	0	False	0.0	7.0	3.0	1.0	0.0	0.0	0.0
k141_2126615__full-cat_2	2	False	False	12	1	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k141_2129544__full-cat_2	2	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_2130779__full-cat_2	2	False	False	9	0	0	False	0.1111111111111111	8.0	0.0	0.0	1.0	0.0	0.0
k141_2144506__full-cat_2	2	False	False	12	1	1	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
