	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral structure genes	Viral genes with host benefits	Viral replication genes	Viral genes with viral benefits
c_000002062866__full-cat_1	1	False	False	13	6	1	False	0.0	12	1.0	0.0	0.0	0.0	0.0
c_000002063505__full-cat_1	1	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002065551__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000002066477__full-cat_2	2	False	False	12	7	0	False	0.0	12	0.0	0.0	0.0	0.0	0.0
c_000002068171__full-cat_2	2	False	False	3	0	0	False	0.0	2	1.0	0.0	0.0	0.0	0.0
c_000002070494__full-cat_2	2	False	False	11	0	0	False	0.0	10	1.0	0.0	0.0	0.0	0.0
c_000002071093__full-cat_2	2	False	False	9	2	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000002072962__full-cat_2	2	False	False	7	3	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002075404__full-cat_2	2	False	False	5	3	0	False	0.2	4	0.0	0.0	1.0	0.0	0.0
c_000002077076__full-cat_2	2	False	False	17	7	0	False	0.11764705882352941	15	0.0	0.0	2.0	0.0	0.0
c_000002081288__full-cat_1	1	False	False	6	2	0	False	0.0	5	1.0	0.0	0.0	0.0	0.0
c_000002083567__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000002084474__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000002085621__full-cat_2	2	False	False	28	0	0	False	0.0	27	1.0	0.0	0.0	0.0	0.0
c_000002086258__full-cat_2	2	False	False	7	0	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002087974__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000002088755__full-cat_2	2	False	False	9	6	1	False	0.1111111111111111	6	1.0	1.0	1.0	0.0	0.0
c_000002088957__full-cat_1	1	False	False	7	0	0	False	0.0	6	1.0	0.0	0.0	0.0	0.0
c_000002089240__full-cat_2	2	False	False	7	3	0	False	0.0	6	1.0	0.0	0.0	0.0	0.0
c_000002093119__full-cat_2	2	False	False	27	0	0	False	0.037037037037037035	21	4.0	0.0	1.0	1.0	0.0
c_000002095736__full-cat_2	2	False	False	5	3	0	False	0.0	4	0.0	0.0	1.0	0.0	0.0
c_000002096113__full-cat_1	1	False	False	11	0	0	False	0.0	3	5.0	2.0	1.0	0.0	0.0
c_000002096158__full-cat_2	2	False	False	7	1	0	False	0.0	6	1.0	0.0	0.0	0.0	0.0
c_000002096599__full-cat_2	2	False	False	14	3	0	False	0.07142857142857142	13	0.0	0.0	1.0	0.0	0.0
c_000002097911__full-cat_2	2	False	False	7	1	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002098056__full-cat_1	1	False	False	8	3	0	False	0.0	7	0.0	0.0	1.0	0.0	0.0
c_000002098703__full-cat_1	1	False	False	4	2	0	True	0.25	2	0.0	0.0	1.0	1.0	0.0
c_000002099745__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002104760__full-cat_1	1	False	False	8	1	0	False	0.0	5	1.0	0.0	2.0	0.0	0.0
c_000002106101__full-cat_2	2	False	False	3	0	0	False	0.0	2	1.0	0.0	0.0	0.0	0.0
c_000002106314__full-cat_1	1	False	False	9	3	1	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000002107227__full-cat_1	1	False	False	7	3	1	False	0.0	4	3.0	0.0	0.0	0.0	0.0
c_000002107353__full-cat_2	2	False	False	13	5	0	True	0.0	13	0.0	0.0	0.0	0.0	0.0
c_000002107941__full-cat_2	2	False	False	9	1	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000002108044__full-cat_2	2	False	False	8	4	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000002108665__full-cat_2	2	False	False	7	0	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002109723__full-cat_2	2	False	False	8	0	0	False	0.0	7	1.0	0.0	0.0	0.0	0.0
c_000002110555__full-cat_2	2	False	False	6	3	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002111002__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000002111518__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000002113588__full-cat_2	2	False	False	8	3	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000002113992__full-cat_2	2	False	False	10	4	1	False	0.3	7	0.0	0.0	3.0	0.0	0.0
c_000002114219__full-cat_1	1	False	False	14	0	0	False	0.0	13	0.0	0.0	1.0	0.0	0.0
c_000002115248__full-cat_2	2	False	False	11	4	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
c_000002116464__full-cat_1	1	False	False	8	3	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000002117137__full-cat_2	2	False	False	12	1	0	False	0.0	11	1.0	0.0	0.0	0.0	0.0
c_000002117161__full-cat_2	2	False	False	13	9	0	False	0.0	13	0.0	0.0	0.0	0.0	0.0
c_000002119211__full-cat_1	1	False	False	13	2	0	True	0.15384615384615385	8	0.0	0.0	5.0	0.0	0.0
c_000002119955__full-cat_2	2	False	False	6	3	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002120591__full-cat_1	1	False	False	5	1	0	False	0.6	2	0.0	0.0	3.0	0.0	0.0
c_000002120715__full-cat_1	1	False	False	8	0	0	False	0.0	5	1.0	2.0	0.0	0.0	0.0
c_000002120781__full-cat_2	2	False	False	6	2	0	False	0.3333333333333333	3	1.0	0.0	2.0	0.0	0.0
c_000002120820__full-cat_2	2	False	False	8	3	0	False	0.0	7	1.0	0.0	0.0	0.0	0.0
c_000002121900__full-cat_2	2	False	False	7	2	0	False	0.0	6	1.0	0.0	0.0	0.0	0.0
c_000002125592__full-cat_2	2	False	False	11	7	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
c_000002126830__full-cat_1	1	False	False	21	10	0	False	0.0	19	1.0	0.0	1.0	0.0	0.0
c_000002129460__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000002131896__full-cat_2	2	False	False	10	1	0	False	0.1	8	1.0	0.0	1.0	0.0	0.0
c_000002133012__full-cat_2	2	False	False	8	2	0	False	0.0	7	1.0	0.0	0.0	0.0	0.0
c_000002133877__full-cat_1	1	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002133970__full-cat_2	2	False	False	9	3	0	False	0.1111111111111111	8	0.0	0.0	1.0	0.0	0.0
c_000002134435__full-cat_2	2	False	False	10	2	2	False	0.1	9	0.0	0.0	1.0	0.0	0.0
c_000002134467__full-cat_2	2	False	False	8	2	0	False	0.375	5	0.0	0.0	3.0	0.0	0.0
c_000002135296__full-cat_2	2	False	False	9	3	1	False	0.0	8	1.0	0.0	0.0	0.0	0.0
c_000002135500__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002137851__full-cat_2	2	False	False	16	3	0	False	0.0625	14	1.0	0.0	1.0	0.0	0.0
c_000002139697__full-cat_2	2	False	False	5	3	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000002140092__full-cat_1	1	False	False	77	5	1	False	0.03896103896103896	63	6.0	0.0	8.0	0.0	0.0
c_000002140485__full-cat_1	1	False	False	17	10	0	False	0.058823529411764705	16	0.0	0.0	1.0	0.0	0.0
c_000002141044__full-cat_2	2	False	False	3	0	0	False	0.3333333333333333	2	0.0	0.0	1.0	0.0	0.0
c_000002143029__full-cat_2	2	False	False	9	3	0	False	0.1111111111111111	7	1.0	0.0	1.0	0.0	0.0
c_000002145840__full-cat_1	1	False	False	6	3	0	False	0.0	5	1.0	0.0	0.0	0.0	0.0
c_000002147113__full-cat_2	2	False	False	5	3	0	False	0.0	4	1.0	0.0	0.0	0.0	0.0
c_000002147745__full-cat_2	2	False	False	8	5	0	False	0.25	6	0.0	0.0	2.0	0.0	0.0
c_000002148135__full-cat_1	1	False	False	60	6	0	False	0.03333333333333333	37	14.0	7.0	2.0	0.0	0.0
c_000002149558__full-cat_2	2	False	False	10	6	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
c_000002151700__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000002155586__full-cat_2	2	False	False	11	2	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
c_000002156716__full-cat_2	2	False	False	9	2	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000002158928__full-cat_2	2	False	False	8	2	0	False	0.125	7	0.0	0.0	1.0	0.0	0.0
c_000002159217__full-cat_2	2	False	False	4	2	0	False	0.0	3	0.0	0.0	1.0	0.0	0.0
c_000002163092__full-cat_2	2	False	False	5	2	0	False	0.2	4	0.0	0.0	1.0	0.0	0.0
c_000002163962__full-cat_2	2	False	False	5	1	0	False	0.0	3	0.0	0.0	2.0	0.0	0.0
c_000002166599__full-cat_1	1	False	False	6	0	0	False	0.0	3	1.0	2.0	0.0	0.0	0.0
c_000002167390__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002170461__full-cat_2	2	False	False	7	4	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002170617__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000002170781__full-cat_1	1	False	False	19	0	0	False	0.0	15	3.0	1.0	0.0	0.0	0.0
c_000002173598__full-cat_2	2	False	False	7	1	0	False	0.0	5	0.0	0.0	2.0	0.0	0.0
c_000002174266__full-cat_1	1	False	False	12	4	1	False	0.08333333333333333	11	0.0	0.0	1.0	0.0	0.0
c_000002175302__full-cat_2	2	False	False	4	1	0	False	0.0	3	0.0	0.0	1.0	0.0	0.0
c_000002175317__full-cat_2	2	False	False	13	8	0	False	0.0	13	0.0	0.0	0.0	0.0	0.0
c_000002179428__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000002179638__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002179980__full-cat_2	2	False	False	8	5	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000002180771__full-cat_1	1	False	False	7	3	0	False	0.14285714285714285	5	1.0	0.0	1.0	0.0	0.0
c_000002181255__full-cat_2	2	False	False	11	6	0	False	0.09090909090909091	9	0.0	0.0	2.0	0.0	0.0
c_000002181749__full-cat_2	2	False	False	2	1	0	False	0.0	2	0.0	0.0	0.0	0.0	0.0
c_000002182459__full-cat_2	2	False	False	6	2	2	False	0.16666666666666666	5	0.0	0.0	1.0	0.0	0.0
c_000002183438__full-cat_2	2	False	False	12	2	1	False	0.16666666666666666	10	0.0	0.0	2.0	0.0	0.0
c_000002184204__full-cat_2	2	False	False	8	1	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000002186345__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000002187680__full-cat_2	2	False	False	17	4	0	False	0.0	16	0.0	0.0	1.0	0.0	0.0
c_000002188630__full-cat_2	2	False	False	11	1	0	False	0.09090909090909091	9	1.0	0.0	1.0	0.0	0.0
c_000002190242__full-cat_2	2	False	False	8	1	0	False	0.0	7	0.0	0.0	1.0	0.0	0.0
c_000002190608__full-cat_2	2	False	False	9	4	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000002191853__full-cat_2	2	False	False	8	0	0	False	0.0	6	2.0	0.0	0.0	0.0	0.0
c_000002193206__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002197387__full-cat_2	2	False	False	7	4	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002198816__full-cat_2	2	False	False	28	12	0	False	0.03571428571428571	26	1.0	0.0	1.0	0.0	0.0
c_000002199531__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000002200238__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	5	0.0	0.0	1.0	0.0	0.0
c_000002200356__full-cat_2	2	False	False	5	0	0	False	0.6	2	0.0	0.0	3.0	0.0	0.0
c_000002202555__full-cat_2	2	False	False	8	2	0	True	0.0	7	0.0	0.0	0.0	1.0	0.0
c_000002203310__full-cat_2	2	False	False	6	2	0	False	0.3333333333333333	3	1.0	0.0	2.0	0.0	0.0
c_000002203764__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000002205155__full-cat_2	2	False	False	14	3	0	False	0.07142857142857142	13	0.0	0.0	1.0	0.0	0.0
c_000002205716__full-cat_1	1	False	False	14	0	0	False	0.0	14	0.0	0.0	0.0	0.0	0.0
c_000002208992__full-cat_2	2	False	False	7	1	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002210627__full-cat_2	2	False	False	6	3	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002211124__full-cat_1	1	False	False	8	0	0	False	0.0	6	1.0	1.0	0.0	0.0	0.0
c_000002213622__full-cat_2	2	False	False	9	4	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000002214325__full-cat_2	2	False	False	5	3	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000002215289__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002215870__full-cat_2	2	False	False	8	2	1	False	0.25	6	0.0	0.0	2.0	0.0	0.0
c_000002222226__full-cat_1	1	False	False	13	0	0	False	0.0	10	0.0	3.0	0.0	0.0	0.0
c_000002224247__full-cat_2	2	False	False	5	1	0	False	0.0	4	0.0	0.0	1.0	0.0	0.0
c_000002226440__full-cat_1	1	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000002233630__full-cat_2	2	False	False	5	2	0	False	0.0	4	1.0	0.0	0.0	0.0	0.0
c_000002236371__full-cat_2	2	False	False	15	1	0	False	0.0	12	2.0	0.0	1.0	0.0	0.0
c_000002238244__full-cat_2	2	False	False	6	3	0	False	0.0	5	1.0	0.0	0.0	0.0	0.0
c_000002238973__full-cat_2	2	False	False	8	4	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000002241029__full-cat_2	2	False	False	12	2	0	False	0.08333333333333333	9	0.0	0.0	3.0	0.0	0.0
c_000002242436__full-cat_2	2	False	False	8	3	0	False	0.125	7	0.0	0.0	1.0	0.0	0.0
c_000002242668__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000002245812__full-cat_2	2	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002251404__full-cat_2	2	False	False	19	6	0	True	0.0	18	0.0	0.0	1.0	0.0	0.0
c_000002251408__full-cat_2	2	False	False	4	3	0	False	0.25	2	1.0	0.0	1.0	0.0	0.0
c_000002251707__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002252740__full-cat_2	2	False	False	16	6	1	False	0.0625	13	0.0	0.0	2.0	0.0	1.0
c_000002259791__full-cat_2	2	False	False	12	2	0	False	0.0	8	0.0	0.0	4.0	0.0	0.0
c_000002259850__full-cat_1	1	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000002260005__full-cat_2	2	False	False	4	1	0	False	0.25	3	0.0	0.0	1.0	0.0	0.0
c_000002261605__full-cat_2	2	False	False	14	6	0	False	0.0	13	1.0	0.0	0.0	0.0	0.0
c_000002262054__full-cat_2	2	False	False	2	0	0	False	0.5	1	0.0	0.0	1.0	0.0	0.0
c_000002263086__full-cat_2	2	False	False	3	0	0	False	0.3333333333333333	2	0.0	0.0	1.0	0.0	0.0
c_000002264101__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000002265275__full-cat_2	2	False	False	9	1	0	False	0.0	8	0.0	0.0	1.0	0.0	0.0
c_000002265554__full-cat_2	2	False	False	5	3	0	False	0.2	4	0.0	0.0	1.0	0.0	0.0
c_000002268907__full-cat_1	1	False	False	5	2	0	False	0.4	3	0.0	0.0	2.0	0.0	0.0
c_000002270883__full-cat_2	2	False	False	6	3	0	False	0.0	5	1.0	0.0	0.0	0.0	0.0
c_000002271249__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002273781__full-cat_2	2	False	False	7	5	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002274456__full-cat_1	1	False	False	26	11	1	True	0.11538461538461539	20	0.0	0.0	5.0	1.0	0.0
c_000002275131__full-cat_2	2	False	False	6	3	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002279969__full-cat_2	2	False	False	8	4	0	False	0.0	7	1.0	0.0	0.0	0.0	0.0
c_000002280356__full-cat_1	1	False	False	4	2	0	False	0.5	2	0.0	0.0	2.0	0.0	0.0
c_000002281347__full-cat_2	2	False	False	13	0	0	False	0.15384615384615385	8	1.0	0.0	3.0	1.0	0.0
c_000002281855__full-cat_2	2	False	False	5	1	0	False	0.0	4	0.0	0.0	1.0	0.0	0.0
c_000002283336__full-cat_2	2	False	False	9	1	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000002283786__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000002284705__full-cat_2	2	False	False	6	3	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002286755__full-cat_2	2	False	False	23	5	0	False	0.0	23	0.0	0.0	0.0	0.0	0.0
c_000002288595__full-cat_2	2	False	False	9	1	0	True	0.3333333333333333	6	0.0	0.0	3.0	0.0	0.0
c_000002290773__full-cat_2	2	False	False	7	1	0	False	0.0	5	2.0	0.0	0.0	0.0	0.0
c_000002292985__full-cat_2	2	False	False	9	1	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000002292989__full-cat_2	2	False	False	6	2	0	False	0.0	4	1.0	0.0	1.0	0.0	0.0
c_000002293156__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	4	0.0	0.0	2.0	0.0	0.0
c_000002294476__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000002296425__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	5	0.0	0.0	1.0	0.0	0.0
c_000002296736__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002296974__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000002297767__full-cat_2	2	False	False	5	1	0	False	0.2	3	0.0	0.0	2.0	0.0	0.0
c_000002300686__full-cat_1	1	False	False	9	0	0	False	0.0	7	2.0	0.0	0.0	0.0	0.0
c_000002301720__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000002302753__full-cat_2	2	False	False	3	0	0	False	0.0	2	1.0	0.0	0.0	0.0	0.0
c_000002306061__full-cat_2	2	False	False	7	1	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002310945__full-cat_2	2	False	False	5	3	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000002312308__full-cat_2	2	False	False	9	6	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000002313895__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002314767__full-cat_2	2	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002317634__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002319114__full-cat_2	2	False	False	9	2	0	True	0.0	8	0.0	0.0	0.0	1.0	0.0
c_000002319278__full-cat_2	2	False	False	2	0	0	False	0.0	2	0.0	0.0	0.0	0.0	0.0
c_000002319528__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5	0.0	0.0	1.0	0.0	0.0
c_000002319722__full-cat_2	2	False	False	8	5	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000002323284__full-cat_2	2	False	False	7	0	0	False	0.14285714285714285	6	0.0	0.0	1.0	0.0	0.0
c_000002323595__full-cat_2	2	False	False	4	2	0	False	0.25	3	0.0	0.0	1.0	0.0	0.0
c_000002323943__full-cat_2	2	False	False	31	11	0	False	0.06451612903225806	27	2.0	0.0	2.0	0.0	0.0
c_000002325493__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000002326009__full-cat_2	2	False	False	9	2	0	False	0.0	6	3.0	0.0	0.0	0.0	0.0
c_000002329073__full-cat_2	2	False	False	5	0	0	False	0.4	2	1.0	0.0	2.0	0.0	0.0
c_000002329755__full-cat_2	2	False	False	17	2	1	True	0.058823529411764705	15	0.0	0.0	2.0	0.0	0.0
c_000002329810__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	5	0.0	0.0	1.0	0.0	0.0
c_000002330020__full-cat_2	2	False	False	3	0	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000002331490__full-cat_2	2	False	False	7	3	0	False	0.0	6	1.0	0.0	0.0	0.0	0.0
c_000002334401__full-cat_2	2	False	False	8	5	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000002334862__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002336469__full-cat_2	2	False	False	9	1	0	False	0.0	8	1.0	0.0	0.0	0.0	0.0
c_000002339837__full-cat_2	2	False	False	14	3	0	False	0.0	13	1.0	0.0	0.0	0.0	0.0
c_000002340244__full-cat_2	2	False	False	5	1	0	False	0.0	4	1.0	0.0	0.0	0.0	0.0
c_000002341130__full-cat_2	2	False	False	8	2	0	False	0.0	7	1.0	0.0	0.0	0.0	0.0
c_000002343700__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000002344568__full-cat_2	2	False	False	18	8	0	False	0.0	18	0.0	0.0	0.0	0.0	0.0
c_000002345760__full-cat_1	1	False	False	9	0	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000002350302__full-cat_2	2	False	False	9	5	0	False	0.0	8	0.0	0.0	1.0	0.0	0.0
c_000002352205__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000002352953__full-cat_2	2	False	False	5	3	0	False	0.0	4	0.0	0.0	1.0	0.0	0.0
c_000002353220__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000002353810__full-cat_2	2	False	False	6	3	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002355574__full-cat_2	2	False	False	6	1	0	False	0.0	5	0.0	0.0	0.0	1.0	0.0
c_000002355603__full-cat_1	1	False	False	15	2	0	False	0.0	12	1.0	2.0	0.0	0.0	0.0
c_000002356970__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000002358640__full-cat_2	2	False	False	3	0	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
