gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
k141_277206__full-cat_1_69	k141_277206__full-cat_1							1	MK
k141_277206__full-cat_1_70	k141_277206__full-cat_1							1	MK
k141_2961401__full-cat_1_8	k141_2961401__full-cat_1	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
k141_3019296__full-cat_2_4	k141_3019296__full-cat_2							3	MKF
k141_3094175__full-cat_2_6	k141_3094175__full-cat_2							3	MKEF
k141_3118595__full-cat_2_6	k141_3118595__full-cat_2	K17828	dihydroorotate dehydrogenase [EC:1.3.1.14] [RN:R01869]	MISC	Information systems	Nucleotide	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	3	MF
k141_3493512__full-cat_2_2	k141_3493512__full-cat_2							3	MKF
k141_3493512__full-cat_2_6	k141_3493512__full-cat_2	GT17	GT17 beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.144).	carbon utilization	CAZY		GlycosylTransferases	3	MKF
k141_3577242__full-cat_2_48	k141_3577242__full-cat_2							3	MKF
k141_3622965__full-cat_1_2	k141_3622965__full-cat_1	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	MF
k141_364380__full-cat_1_5	k141_364380__full-cat_1							2	MK
k141_3669054__full-cat_1_3	k141_3669054__full-cat_1							1	MKF
k141_3722246__full-cat_1_49	k141_3722246__full-cat_1							2	MK
k141_3722246__full-cat_1_52	k141_3722246__full-cat_1							2	MK
k141_3722246__full-cat_1_54	k141_3722246__full-cat_1							2	MK
k141_3776694__full-cat_2_2	k141_3776694__full-cat_2	K01945	phosphoribosylamine--glycine ligase [EC:6.3.4.13] [RN:R04144]	MISC	Information systems	Nucleotide	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	3	MF
k141_3827810__full-cat_2_3	k141_3827810__full-cat_2							3	MKF
k141_3839443__full-cat_2_5	k141_3839443__full-cat_2	K01591	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23] [RN:R00965]	MISC	Information systems	Nucleotide	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	2	MTF
k141_3839443__full-cat_2_8	k141_3839443__full-cat_2	M26	Catlytic type: Metallo; cleaves the heavy chain of human IgA1 at the Pro227-Thr228 bond; tightly associated with the bacterial cell surface	Organic Nitrogen	Peptidase		Endopeptidases	2	MT
k141_3839443__full-cat_2_22	k141_3839443__full-cat_2	U69	Self-processing occurs at the Ser846|+|Ala bond.	Organic Nitrogen	Peptidase		Self-processing peptidases	2	MT
k141_3839443__full-cat_2_22	k141_3839443__full-cat_2	PL1	PL1 pectate lyase (EC 4.2.2.2); exo-pectate lyase (EC 4.2.2.9); pectin lyase (EC 4.2.2.10).	carbon utilization	CAZY	Pectin Backbone Cleavage	Polysaccharide Lyases	2	MT
k141_3839443__full-cat_2_24	k141_3839443__full-cat_2	I39	interact with endopeptidases regardless of catalytic type	Organic Nitrogen	Peptidase		Mammalian alpha-macroglobulin and other large homologous proteins that interact with endopeptidases regardless of catalytic type	2	MT
k141_3839443__full-cat_2_27	k141_3839443__full-cat_2	GH31	GH31 alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); alpha-mannosidase (EC 3.2.1.24); alpha-1,3-glucosidase (EC 3.2.1.84); sucrase-isomaltase (EC 3.2.1.48) (EC 3.2.1.10); alpha-xylosidase (EC 3.2.1.177); alpha-glucan lyase (EC 4.2.2.13); isomaltosyltransferase (EC 2.4.1.-); oligosaccharide alpha-1,4-glucosyltransferase (EC 2.4.1.161); sulfoquinovosidase (EC 3.2.1.-)	carbon utilization	CAZY	Xyloglucan Oligo Cleavage (Hemicellulose), Xylan Oligo Cleavage (Hemicellulose), Alpha-galactans Oligo Cleavage, Alpha-galactans Oligo Cleavage, Mucin Oligo Cleavage	Glycoside Hydrolases	2	MT
k141_3842728__full-cat_2_3	k141_3842728__full-cat_2							3	MKF
k141_3855533__full-cat_2_2	k141_3855533__full-cat_2							3	MKF
k141_3966706__full-cat_1_16	k141_3966706__full-cat_1							1	MK
k141_3966706__full-cat_1_19	k141_3966706__full-cat_1							1	MK
k141_3966706__full-cat_1_23	k141_3966706__full-cat_1							1	MK
k141_3974782__full-cat_1_19	k141_3974782__full-cat_1							2	MK
k141_3974782__full-cat_1_21	k141_3974782__full-cat_1							2	MK
k141_3974782__full-cat_1_23	k141_3974782__full-cat_1							2	MK
k141_3974782__full-cat_1_25	k141_3974782__full-cat_1							2	MK
k141_4023592__full-cat_1_2	k141_4023592__full-cat_1							2	MKF
k141_4023592__full-cat_1_11	k141_4023592__full-cat_1							2	MK
k141_4028217__full-cat_1_4	k141_4028217__full-cat_1							2	MKF
k141_4028217__full-cat_1_5	k141_4028217__full-cat_1							2	MKF
k141_4029247__full-cat_1_3	k141_4029247__full-cat_1	PL9	PL9 pectate lyase (EC 4.2.2.2); exopolygalacturonate lyase (EC 4.2.2.9); thiopeptidoglycan lyase (EC 4.2.2.-).	carbon utilization	CAZY	Pectin Backbone Cleavage	Polysaccharide Lyases	2	MF
k141_4029247__full-cat_1_3	k141_4029247__full-cat_1	CE8	CE8 pectin methylesterase (EC 3.1.1.11).	carbon utilization	CAZY	Pectin Oligo Cleavage	Carbohydrate Esterases	2	MF
k141_4108618__full-cat_2_4	k141_4108618__full-cat_2							3	MKF
k141_4132309__full-cat_2_4	k141_4132309__full-cat_2							3	MKF
k141_4230449__full-cat_1_3	k141_4230449__full-cat_1							2	MKF
k141_4245611__full-cat_2_7	k141_4245611__full-cat_2							3	MKF
k141_4288790__full-cat_1_14	k141_4288790__full-cat_1	K02935	large subunit ribosomal protein L7/L12	MISC	Information systems		Ribosome, bacteria	2	M
k141_4319455__full-cat_1_4	k141_4319455__full-cat_1	K00088	IMP dehydrogenase [EC:1.1.1.205] [RN:R01130]	MISC	Information systems	Nucleotide	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	2	MF
k141_4359107__full-cat_2_3	k141_4359107__full-cat_2	K09690	ABC-2.LPSE.P; lipopolysaccharide transport system permease protein	Transporters			Lipopolysaccharide transport system	3	MF
k141_4359107__full-cat_2_5	k141_4359107__full-cat_2							3	MK
k141_4359107__full-cat_2_7	k141_4359107__full-cat_2							3	MK
k141_4359107__full-cat_2_9	k141_4359107__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MK
k141_4359107__full-cat_2_9	k141_4359107__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MK
k141_4428018__full-cat_1_3	k141_4428018__full-cat_1							2	MKF
k141_4556158__full-cat_1_28	k141_4556158__full-cat_1							1	MK
k141_4556158__full-cat_1_49	k141_4556158__full-cat_1	GT9	GT9 lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); heptosyltransferase (EC 2.4.-.-).	carbon utilization	CAZY		GlycosylTransferases	1	M
k141_4556158__full-cat_1_50	k141_4556158__full-cat_1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	1	M
k141_4556158__full-cat_1_52	k141_4556158__full-cat_1							1	MK
k141_4556158__full-cat_1_55	k141_4556158__full-cat_1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	1	M
k141_4556158__full-cat_1_69	k141_4556158__full-cat_1							2	MK
k141_4574868__full-cat_1_28	k141_4574868__full-cat_1	PL1	PL1 pectate lyase (EC 4.2.2.2); exo-pectate lyase (EC 4.2.2.9); pectin lyase (EC 4.2.2.10).	carbon utilization	CAZY	Pectin Backbone Cleavage	Polysaccharide Lyases	2	M
k141_4574868__full-cat_1_31	k141_4574868__full-cat_1	GH16	GH16 xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103); endo-1,3-beta-glucanase / laminarinase (EC 3.2.1.39); endo-1,3(4)-beta-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); beta-agarase (EC 3.2.1.81); kappa;-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151); endo-beta-1,3-galactanase (EC 3.2.1.181); [retaining] beta-porphyranase (EC 3.2.1.178); hyaluronidase (EC 3.2.1.35); endo-beta-1,4-galactosidase (EC 3.2.1.-); chitin beta-1,6-glucanosyltransferase (EC 2.4.1.-); beta-transglycosidase (EC 2.4.1.-); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-galactanase (EC 3.2.1.181)	carbon utilization	CAZY	Amorphous Cellulose Oligo Cleavage, Xyloglucan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Oligo Cleavage (Hemicellulose), Sulf-Polysachharides Backbone Cleavage	Glycoside Hydrolases	2	MKE
k141_45941__full-cat_1_7	k141_45941__full-cat_1							2	MKF
k141_4598298__full-cat_1_52	k141_4598298__full-cat_1	GH5	GH5 endo-beta-1,4-glucanase / cellulase (EC 3.2.1.4); endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (EC 3.2.1.21); beta-mannosidase (EC 3.2.1.25); beta-glucosylceramidase (EC 3.2.1.45); glucan beta-1,3-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); exo-beta-1,4-glucanase / cellodextrinase (EC 3.2.1.74); glucan endo-1,6-beta-glucosidase (EC 3.2.1.75); mannan endo-beta-1,4-mannosidase (EC 3.2.1.78); cellulose beta-1,4-cellobiosidase (EC 3.2.1.91); steryl beta-glucosidase (EC 3.2.1.104); endoglycoceramidase (EC 3.2.1.123); chitosanase (EC 3.2.1.132); beta-primeverosidase (EC 3.2.1.149); xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151); endo-beta-1,6-galactanase (EC 3.2.1.164); hesperidin 6-O-alpha-L-rhamnosyl-beta-glucosidase (EC 3.2.1.168); beta-1,3-mannanase (EC 3.2.1.-); arabinoxylan-specific endo-beta-1,4-xylanase (EC 3.2.1.-); mannan transglycosylase (EC 2.4.1.-); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-glucanase / laminarinase (EC 3.2.1.39); beta-N-acetylhexosaminidase (EC 3.2.1.52); chitosanase (EC 3.2.1.132); beta-D-galactofuranosidase (EC 3.2.1.146);	carbon utilization	CAZY	Amorphous Cellulose Backbone Cleavage, Amorphous Cellulose Oligo Cleavage, Xyloglucan Backbone Cleavage (Hemicellulose), Xylan Backbone Cleavage (Hemicellulose), Beta-mannan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose), Chitin Oligo Cleavage	Glycoside Hydrolases	2	MKE
k141_4598298__full-cat_1_91	k141_4598298__full-cat_1							2	MK
k141_4598298__full-cat_1_157	k141_4598298__full-cat_1	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	M
k141_460464__full-cat_1_5	k141_460464__full-cat_1	K01886	QARS; glutaminyl-tRNA synthetase [EC:6.1.1.18]	MISC	Information systems		Aminoacyl-tRNA biosynthesis, eukaryotes	2	MKF
k141_4613493__full-cat_2_13	k141_4613493__full-cat_2							3	MKF
k141_4613493__full-cat_2_14	k141_4613493__full-cat_2							3	MKF
k141_471008__full-cat_1_26	k141_471008__full-cat_1							2	MK
k141_4736981__full-cat_2_2	k141_4736981__full-cat_2	K11381	2-oxoisovalerate dehydrogenase [EC:1.2.4.4] [RN:R07601 R07602]	Organic Nitrogen	Amino Acid		Leucine degradation, leucine => acetoacetate + acetyl-CoA	3	MKF
k141_4736981__full-cat_2_9	k141_4736981__full-cat_2	K00290	saccharopine dehydrogenase, L-lysine forming [EC:1.5.1.7] [RN:R00715]	Organic Nitrogen	Amino Acid		Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	3	MKF
k141_4736981__full-cat_2_9	k141_4736981__full-cat_2	K00290	saccharopine dehydrogenase [EC:1.5.1.7] [RN:R00715]	Organic Nitrogen	Amino Acid		Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	3	MKF
k141_475803__full-cat_1_12	k141_475803__full-cat_1	K01886	QARS; glutaminyl-tRNA synthetase [EC:6.1.1.18]	MISC	Information systems		Aminoacyl-tRNA biosynthesis, eukaryotes	2	MKF
k141_4800659__full-cat_1_7	k141_4800659__full-cat_1							2	MKF
k141_4835336__full-cat_2_4	k141_4835336__full-cat_2							3	MKF
k141_4922611__full-cat_1_7	k141_4922611__full-cat_1	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	MF
k141_4925699__full-cat_2_3	k141_4925699__full-cat_2							3	MKF
k141_5109305__full-cat_2_3	k141_5109305__full-cat_2	PL1	PL1 pectate lyase (EC 4.2.2.2); exo-pectate lyase (EC 4.2.2.9); pectin lyase (EC 4.2.2.10).	carbon utilization	CAZY	Pectin Backbone Cleavage	Polysaccharide Lyases	3	MF
k141_5109305__full-cat_2_4	k141_5109305__full-cat_2	GH105	GH105 unsaturated rhamnogalacturonyl hydrolase (EC 3.2.1.172); d-4,5-unsaturated beta-glucuronyl hydrolase (EC 3.2.1.-); d-4,5-unsaturated alpha-galacturonidase (EC 3.2.1.-)	carbon utilization	CAZY	Pectin Oligo Cleavage	Glycoside Hydrolases	3	MF
k141_5225502__full-cat_2_4	k141_5225502__full-cat_2	K01733	threonine synthase [EC:4.2.3.1] [RN:R01466]	Organic Nitrogen	Amino Acid		Threonine biosynthesis, aspartate => homoserine => threonine	3	MKF
