	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral structure genes	Viral replication genes	Viral genes with host benefits	Viral genes with viral benefits
k141_13857049__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	5.0	0.0	0.0	0.0	1.0	0.0
k141_13861103__full-cat_1	1	False	False	38	0	0	False	0.02631578947368421	36.0	0.0	0.0	1.0	1.0	0.0
k141_13863088__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_13867315__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5.0	0.0	0.0	0.0	1.0	0.0
k141_15213097__full-cat_1	1	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_15224131__full-cat_1	1	False	False	9	0	0	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
k141_15231247__full-cat_2	2	False	False	5	2	0	False	0.0	3.0	1.0	0.0	0.0	0.0	1.0
k141_15232222__full-cat_1	1	False	False	13	0	0	False	0.0	8.0	2.0	2.0	0.0	0.0	1.0
k141_15237368__full-cat_1	1	False	False	32	2	0	False	0.0	28.0	1.0	0.0	1.0	0.0	2.0
k141_15254385__full-cat_1	1	False	False	38	1	0	False	0.0	32.0	4.0	2.0	0.0	0.0	0.0
k141_15266456__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_16083424__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k141_16626724__full-cat_2	2	False	False	5	2	0	False	0.4	3.0	0.0	0.0	0.0	2.0	0.0
k141_16638332__full-cat_2	2	False	False	7	2	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_16651246__full-cat_1	1	False	False	13	1	0	False	0.07692307692307693	10.0	1.0	1.0	0.0	1.0	0.0
k141_16653678__full-cat_1	1	False	False	5	0	0	False	0.0	3.0	0.0	2.0	0.0	0.0	0.0
k141_16674516__lt2gene-cat_1	1	False	False	2	1	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_18013905__full-cat_2	2	False	False	7	0	0	False	0.14285714285714285	4.0	1.0	0.0	1.0	1.0	0.0
k141_18014745__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_18026950__full-cat_2	2	False	False	6	4	0	False	0.16666666666666666	5.0	0.0	0.0	0.0	1.0	0.0
k141_18028843__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_18044073__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_19413830__full-cat_2	2	False	False	12	5	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k141_19415136__full-cat_2	2	False	False	18	2	0	False	0.05555555555555555	16.0	1.0	0.0	0.0	1.0	0.0
k141_19437423__full-cat_1	1	False	False	26	0	1	False	0.0	22.0	4.0	0.0	0.0	0.0	0.0
k141_19440990__full-cat_2	2	False	False	8	4	0	True	0.125	5.0	0.0	0.0	2.0	1.0	0.0
k141_19661575__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	1.0	1.0	0.0	0.0	0.0	0.0
k141_20800443__full-cat_2	2	False	False	40	13	0	False	0.0	39.0	1.0	0.0	0.0	0.0	0.0
k141_20806762__full-cat_2	2	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_20826610__full-cat_2	2	False	False	6	2	2	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_21563908__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k141_22167205__full-cat_1	1	False	False	40	2	1	False	0.0	31.0	8.0	0.0	0.0	0.0	1.0
k141_22169914__full-cat_1	1	False	False	12	0	0	False	0.0	9.0	2.0	1.0	0.0	0.0	0.0
k141_22176956__full-cat_2	2	False	False	9	2	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_22177835__full-cat_1	1	False	False	64	7	1	False	0.015625	53.0	5.0	2.0	1.0	1.0	2.0
k141_22178729__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_22183579__full-cat_2	2	False	False	12	2	3	False	0.16666666666666666	10.0	0.0	0.0	0.0	2.0	0.0
k141_22205299__full-cat_2	2	False	False	6	3	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_22208883__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_22932049__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_22940485__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_23545256__full-cat_2	2	False	False	11	2	0	False	0.0	10.0	1.0	0.0	0.0	0.0	0.0
k141_23565698__full-cat_1	1	False	False	14	1	0	False	0.0	13.0	1.0	0.0	0.0	0.0	0.0
k141_23575811__full-cat_2	2	False	False	8	4	0	False	0.25	6.0	0.0	0.0	0.0	2.0	0.0
k141_23576490__full-cat_2	2	False	False	8	1	0	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
k141_23580106__full-cat_1	1	False	False	12	0	0	False	0.0	7.0	1.0	2.0	2.0	0.0	0.0
k141_23580378__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	5.0	0.0	0.0	0.0	1.0	0.0
k141_23582049__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_23584924__full-cat_2	2	False	False	7	4	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_23606538__full-cat_2	2	False	False	5	0	0	False	0.2	4.0	0.0	0.0	0.0	1.0	0.0
k141_23606991__full-cat_2	2	False	False	17	2	1	False	0.11764705882352941	15.0	0.0	0.0	0.0	2.0	0.0
k141_24939430__full-cat_2	2	False	False	3	0	0	False	0.3333333333333333	2.0	0.0	0.0	0.0	1.0	0.0
k141_24942218__full-cat_2	2	False	False	10	5	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_24950150__full-cat_2	2	False	False	5	1	0	False	0.2	4.0	0.0	0.0	0.0	1.0	0.0
k141_24958699__full-cat_2	2	False	False	14	0	0	False	0.0	13.0	1.0	0.0	0.0	0.0	0.0
k141_24969628__full-cat_2	2	False	False	4	3	0	False	0.25	3.0	0.0	0.0	0.0	1.0	0.0
k141_24970764__full-cat_2	2	False	False	7	4	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_24971457__full-cat_2	2	False	False	15	0	0	False	0.0	12.0	3.0	0.0	0.0	0.0	0.0
k141_24989323__full-cat_2	2	False	False	8	0	0	False	0.0	6.0	2.0	0.0	0.0	0.0	0.0
k141_24995198__full-cat_2	2	False	False	12	8	0	False	0.16666666666666666	10.0	0.0	0.0	0.0	2.0	0.0
k141_24997474__full-cat_2	2	False	False	12	5	0	False	0.0	11.0	0.0	0.0	1.0	0.0	0.0
k141_24997847__full-cat_2	2	False	False	4	1	0	False	0.25	3.0	0.0	0.0	0.0	1.0	0.0
k141_26330396__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_26335778__full-cat_2	2	False	False	19	0	0	False	0.0	18.0	1.0	0.0	0.0	0.0	0.0
k141_26337214__full-cat_2	2	False	False	8	4	2	False	0.25	6.0	0.0	0.0	0.0	2.0	0.0
k141_26351349__full-cat_1	1	False	False	23	3	0	False	0.043478260869565216	13.0	6.0	3.0	0.0	1.0	0.0
k141_26358469__full-cat_1	1	False	False	5	0	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
k141_26358889__full-cat_2	2	False	False	7	4	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_26359986__full-cat_2	2	False	False	9	1	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_26360815__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_26362346__full-cat_1	1	False	False	14	0	0	False	0.0	14.0	0.0	0.0	0.0	0.0	0.0
k141_26365347__full-cat_2	2	False	False	8	2	0	False	0.125	7.0	0.0	0.0	0.0	1.0	0.0
k141_26371477__full-cat_1	1	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_26372210__full-cat_2	2	False	False	6	2	0	False	0.0	5.0	0.0	0.0	1.0	0.0	0.0
k141_26387137__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5.0	0.0	0.0	0.0	1.0	0.0
k141_26536307__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_2740691__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_2747641__full-cat_1	1	False	False	68	5	0	False	0.014705882352941176	57.0	8.0	1.0	1.0	1.0	0.0
k141_27488244__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k141_2757690__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_2763820__full-cat_1	1	False	False	30	3	0	False	0.03333333333333333	24.0	4.0	0.0	0.0	1.0	1.0
k141_2768272__full-cat_1	1	False	False	17	0	0	False	0.0	6.0	5.0	6.0	0.0	0.0	0.0
k141_2770012__full-cat_2	2	False	False	5	0	0	True	0.0	4.0	0.0	0.0	1.0	0.0	0.0
k141_2772005__full-cat_1	1	False	False	15	1	0	False	0.0	14.0	1.0	0.0	0.0	0.0	0.0
k141_27735476__full-cat_2	2	False	False	3	2	0	False	0.3333333333333333	2.0	0.0	0.0	0.0	1.0	0.0
k141_27737981__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_27739725__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_27745736__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_27746473__full-cat_1	1	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_27749278__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_27754709__full-cat_2	2	False	False	15	0	1	False	0.0	14.0	1.0	0.0	0.0	0.0	0.0
k141_27772672__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_28643118__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k141_29124280__full-cat_2	2	False	False	9	3	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_29132248__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	0.0	0.0	1.0	0.0	0.0
k141_29135560__full-cat_2	2	False	False	6	1	0	True	0.0	5.0	0.0	0.0	1.0	0.0	0.0
k141_29142659__full-cat_1	1	False	False	14	0	0	False	0.07142857142857142	11.0	0.0	1.0	1.0	1.0	0.0
k141_29147411__full-cat_1	1	False	False	32	2	0	False	0.0	26.0	5.0	1.0	0.0	0.0	0.0
k141_29155715__full-cat_1	1	False	False	13	4	0	False	0.0	12.0	1.0	0.0	0.0	0.0	0.0
k141_29159290__full-cat_2	2	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_2941827__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k141_30106965__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k141_30493262__full-cat_1	1	False	False	12	0	0	False	0.08333333333333333	10.0	1.0	0.0	0.0	1.0	0.0
k141_30495736__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_30496775__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	0.0	0.0	1.0	0.0	0.0
k141_30505531__full-cat_2	2	False	False	8	2	0	False	0.125	6.0	0.0	0.0	1.0	1.0	0.0
k141_30505914__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_30511015__full-cat_2	2	False	False	6	2	0	False	0.0	4.0	0.0	0.0	2.0	0.0	0.0
k141_30526697__full-cat_2	2	False	False	20	1	0	False	0.0	19.0	0.0	0.0	1.0	0.0	0.0
k141_30528515__full-cat_2	2	False	False	8	4	0	False	0.125	7.0	0.0	0.0	0.0	1.0	0.0
k141_30532382__full-cat_2	2	False	False	8	0	0	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
k141_30532909__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_30536830__full-cat_2	2	False	False	5	2	0	False	0.2	4.0	0.0	0.0	0.0	1.0	0.0
k141_30540077__full-cat_2	2	False	False	6	0	0	False	0.0	4.0	2.0	0.0	0.0	0.0	0.0
k141_30541434__full-cat_2	2	False	False	5	2	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
k141_30543423__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_30547379__full-cat_2	2	False	False	7	2	1	True	0.2857142857142857	5.0	0.0	0.0	0.0	2.0	0.0
k141_30785507__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k141_31882941__full-cat_2	2	False	False	9	1	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_31884668__full-cat_2	2	False	False	6	1	0	False	0.0	4.0	2.0	0.0	0.0	0.0	0.0
k141_31886621__full-cat_2	2	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_31887443__full-cat_2	2	False	False	6	0	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_31896854__full-cat_2	2	False	False	8	0	0	False	0.0	7.0	0.0	0.0	1.0	0.0	0.0
k141_31904783__full-cat_1	1	False	False	16	5	0	False	0.0	9.0	4.0	2.0	1.0	0.0	0.0
k141_31905893__full-cat_2	2	False	False	10	4	0	False	0.3	7.0	0.0	0.0	0.0	3.0	0.0
k141_31906200__full-cat_2	2	False	False	5	1	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_31907379__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_31909568__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_31910219__full-cat_1	1	False	False	21	5	0	False	0.0	18.0	3.0	0.0	0.0	0.0	0.0
k141_31914928__full-cat_2	2	False	False	38	7	0	False	0.0	29.0	8.0	0.0	1.0	0.0	0.0
k141_31922768__full-cat_1	1	False	False	9	4	2	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_31941866__full-cat_1	1	False	False	9	0	0	False	0.0	5.0	2.0	1.0	1.0	0.0	0.0
k141_31955765__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_32931869__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_33276836__full-cat_2	2	False	False	4	0	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
k141_4115951__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_4121201__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_4129898__full-cat_2	2	False	False	9	1	0	False	0.0	8.0	1.0	0.0	0.0	0.0	0.0
k141_4143503__full-cat_1	1	False	False	21	9	3	False	0.09523809523809523	17.0	2.0	0.0	0.0	2.0	0.0
k141_4149172__full-cat_1	1	False	False	10	0	0	False	0.0	7.0	1.0	2.0	0.0	0.0	0.0
k141_4151386__full-cat_1	1	False	False	21	5	0	False	0.0	16.0	2.0	0.0	2.0	0.0	1.0
k141_4157103__full-cat_2	2	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_4159340__full-cat_1	1	False	False	12	0	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k141_4159507__full_1-cat_1	1	False	False	1	0	0	False	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k141_4547229__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_5506674__full-cat_2	2	False	False	4	1	0	False	0.0	2.0	1.0	0.0	1.0	0.0	0.0
k141_5543069__full-cat_1	1	False	False	54	0	0	False	0.0	50.0	4.0	0.0	0.0	0.0	0.0
k141_5545311__full-cat_2	2	False	False	30	3	0	False	0.06666666666666667	25.0	1.0	2.0	0.0	2.0	0.0
k141_5553974__full-cat_2	2	False	False	7	2	0	False	0.0	6.0	0.0	0.0	1.0	0.0	0.0
k141_6227014__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k141_6903398__full-cat_1	1	False	False	14	0	0	False	0.0	14.0	0.0	0.0	0.0	0.0	0.0
k141_6913829__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_6937884__full-cat_2	2	False	False	7	3	0	True	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_797050__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k141_8305442__full-cat_2	2	False	False	9	3	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_8312441__full-cat_1	1	False	False	9	0	0	False	0.0	3.0	3.0	3.0	0.0	0.0	0.0
k141_8323809__full-cat_2	2	False	False	13	3	0	False	0.0	12.0	0.0	0.0	1.0	0.0	0.0
k141_8328028__full-cat_2	2	False	False	21	5	0	False	0.09523809523809523	19.0	0.0	0.0	0.0	2.0	0.0
k141_8331706__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	6.0	0.0	0.0	0.0	1.0	0.0
k141_8332479__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_8784564__lt2gene-cat_1	1	False	False	1	0	0	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k141_9687133__full-cat_2	2	False	False	10	2	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_9690970__full-cat_2	2	False	False	23	1	0	False	0.0	21.0	2.0	0.0	0.0	0.0	0.0
k141_9691298__full-cat_1	1	False	False	18	1	0	False	0.0	14.0	3.0	0.0	1.0	0.0	0.0
k141_9704324__full-cat_2	2	False	False	5	2	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_9704855__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_9710158__full-cat_2	2	False	False	26	2	1	False	0.3076923076923077	10.0	8.0	0.0	0.0	8.0	0.0
k141_9721160__full-cat_2	2	False	False	13	2	0	False	0.0	11.0	0.0	2.0	0.0	0.0	0.0
