	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral replication genes	Viral genes with host benefits	Viral genes with viral benefits	Viral structure genes
c_000005043595__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005051163__full-cat_2	2	False	False	4	0	0	False	0.5	2.0	0.0	0.0	2.0	0.0	0.0
c_000005052940__full-cat_2	2	False	False	8	1	1	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000005053734__full-cat_2	2	False	False	4	1	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
c_000005056970__full-cat_1	1	False	False	5	2	0	False	0.0	2.0	2.0	1.0	0.0	0.0	0.0
c_000005062981__full-cat_2	2	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005066142__full-cat_2	2	False	False	6	2	1	False	0.3333333333333333	4.0	0.0	0.0	2.0	0.0	0.0
c_000005070482__full-cat_2	2	False	False	78	8	3	False	0.05128205128205128	65.0	5.0	2.0	4.0	2.0	0.0
c_000005073305__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000005077799__full-cat_2	2	False	False	8	4	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000005078256__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	4.0	1.0	0.0	1.0	0.0	0.0
c_000005078560__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005079052__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005080829__full-cat_2	2	False	False	10	5	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
c_000005081292__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005085824__full-cat_2	2	False	False	15	3	3	False	0.26666666666666666	10.0	1.0	0.0	4.0	0.0	0.0
c_000005086348__full-cat_2	2	False	False	7	1	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005088521__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005089605__full-cat_2	2	False	False	7	0	2	False	0.7142857142857143	2.0	0.0	0.0	5.0	0.0	0.0
c_000005091111__full-cat_2	2	False	False	6	0	0	True	0.3333333333333333	3.0	1.0	0.0	2.0	0.0	0.0
c_000005091580__full-cat_2	2	False	False	6	1	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
c_000005094496__full-cat_2	2	False	False	11	0	0	False	0.0	11.0	0.0	0.0	0.0	0.0	0.0
c_000005097265__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005097649__full-cat_2	2	False	False	3	1	0	False	0.0	2.0	1.0	0.0	0.0	0.0	0.0
c_000005101706__full-cat_2	2	False	False	13	5	0	False	0.0	12.0	1.0	0.0	0.0	0.0	0.0
c_000005105527__full-cat_2	2	False	False	7	4	0	False	0.14285714285714285	6.0	0.0	0.0	1.0	0.0	0.0
c_000005105735__full-cat_1	1	False	False	7	1	0	False	0.14285714285714285	6.0	0.0	0.0	1.0	0.0	0.0
c_000005109108__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005109199__full-cat_2	2	False	False	5	1	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
c_000005115856__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005116146__full-cat_1	1	False	False	16	1	0	False	0.0	15.0	1.0	0.0	0.0	0.0	0.0
c_000005118000__full-cat_2	2	False	False	11	2	2	False	0.45454545454545453	6.0	0.0	0.0	5.0	0.0	0.0
c_000005118225__full-cat_2	2	False	False	20	10	0	False	0.0	18.0	2.0	0.0	0.0	0.0	0.0
c_000005120957__full-cat_1	1	False	False	30	2	0	False	0.03333333333333333	24.0	2.0	0.0	1.0	0.0	3.0
c_000005122647__full-cat_1	1	False	False	6	0	0	False	0.0	4.0	1.0	0.0	0.0	0.0	1.0
c_000005123363__full-cat_1	1	False	False	9	1	0	True	0.0	5.0	3.0	0.0	0.0	0.0	1.0
c_000005125414__full-cat_2	2	False	False	4	1	0	False	0.0	2.0	2.0	0.0	0.0	0.0	0.0
c_000005126781__full-cat_2	2	False	False	4	1	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
c_000005126818__full-cat_2	2	False	False	11	4	0	False	0.0	9.0	1.0	1.0	0.0	0.0	0.0
c_000005132923__full-cat_2	2	False	False	9	0	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c_000005134096__full-cat_2	2	False	False	3	0	0	False	0.3333333333333333	0.0	1.0	1.0	1.0	0.0	0.0
c_000005135678__full-cat_1	1	False	False	44	1	0	False	0.0	28.0	15.0	1.0	0.0	0.0	0.0
c_000005136979__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005137705__full-cat_2	2	False	False	7	1	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005139510__full-cat_2	2	False	False	8	1	1	False	0.125	7.0	0.0	0.0	1.0	0.0	0.0
c_000005140260__full-cat_2	2	False	False	8	4	1	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000005140646__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	0.0	0.0	0.0	1.0	0.0
c_000005140760__full-cat_2	2	False	False	5	3	0	False	0.2	4.0	0.0	0.0	1.0	0.0	0.0
c_000005141096__full-cat_2	2	False	False	4	2	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005143602__full-cat_2	2	False	False	18	8	0	False	0.0	16.0	2.0	0.0	0.0	0.0	0.0
c_000005145102__full-cat_2	2	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000005148994__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005155376__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000005157795__full-cat_2	2	False	False	3	1	0	False	0.0	2.0	1.0	0.0	0.0	0.0	0.0
c_000005163485__full-cat_2	2	False	False	12	0	0	False	0.0	10.0	1.0	1.0	0.0	0.0	0.0
c_000005165458__full-cat_2	2	False	False	3	1	0	False	0.0	2.0	0.0	1.0	0.0	0.0	0.0
c_000005167483__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005168026__full-cat_2	2	False	False	9	4	0	False	0.0	8.0	1.0	0.0	0.0	0.0	0.0
c_000005170659__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005175789__full-cat_1	1	False	False	40	21	0	False	0.0	36.0	2.0	1.0	0.0	0.0	1.0
c_000005177833__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005178550__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005178586__full-cat_2	2	False	False	9	5	1	False	0.0	8.0	0.0	0.0	0.0	0.0	1.0
c_000005182290__full-cat_2	2	False	False	14	4	0	False	0.07142857142857142	13.0	0.0	0.0	1.0	0.0	0.0
c_000005189090__full-cat_2	2	False	False	6	3	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
c_000005190969__full-cat_2	2	False	False	12	2	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
c_000005195800__full-cat_1	1	False	False	12	4	0	False	0.0	11.0	1.0	0.0	0.0	0.0	0.0
c_000005196240__full-cat_2	2	False	False	6	0	0	False	0.6666666666666666	2.0	0.0	0.0	4.0	0.0	0.0
c_000005198141__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005198180__full-cat_2	2	False	False	12	1	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
c_000005199403__full-cat_2	2	False	False	5	1	0	False	0.2	3.0	1.0	0.0	1.0	0.0	0.0
c_000005201965__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005206336__full-cat_2	2	False	False	9	2	0	False	0.1111111111111111	4.0	3.0	1.0	1.0	0.0	0.0
c_000005206771__full-cat_1	1	False	False	33	11	7	False	0.24242424242424243	23.0	2.0	0.0	8.0	0.0	0.0
c_000005206802__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005207119__full-cat_2	2	False	False	4	0	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
c_000005207700__full-cat_2	2	False	False	9	1	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c_000005212529__full-cat_2	2	False	False	7	0	0	False	0.14285714285714285	6.0	0.0	0.0	1.0	0.0	0.0
c_000005212765__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005217700__full-cat_2	2	False	False	9	2	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c_000005218811__lt2gene-cat_1	1	False	False	2	0	0	False	0.0	1.0	1.0	0.0	0.0	0.0	0.0
c_000005220799__full-cat_2	2	False	False	10	3	0	False	0.1	8.0	1.0	0.0	1.0	0.0	0.0
c_000005220944__full-cat_2	2	False	False	9	0	0	False	0.1111111111111111	8.0	0.0	0.0	1.0	0.0	0.0
c_000005220973__full-cat_2	2	False	False	15	3	0	False	0.0	14.0	0.0	1.0	0.0	0.0	0.0
c_000005221974__full-cat_1	1	False	False	15	1	0	False	0.06666666666666667	12.0	2.0	0.0	1.0	0.0	0.0
c_000005223004__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005224695__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005225405__full-cat_2	2	False	False	7	0	1	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005227601__full-cat_2	2	False	False	2	1	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000005228437__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000005229421__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005231889__full-cat_2	2	False	False	11	5	2	False	0.09090909090909091	9.0	1.0	0.0	1.0	0.0	0.0
c_000005239224__full-cat_2	2	False	False	4	0	0	False	0.25	3.0	0.0	0.0	1.0	0.0	0.0
c_000005239848__full-cat_2	2	False	False	8	1	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000005240837__full-cat_1	1	False	False	10	0	0	False	0.0	6.0	2.0	1.0	0.0	0.0	1.0
c_000005241584__full-cat_2	2	False	False	8	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	1.0
c_000005241587__full-cat_1	1	False	False	10	0	0	False	0.0	9.0	0.0	1.0	0.0	0.0	0.0
c_000005243353__full-cat_1	1	False	False	10	2	0	False	0.0	8.0	1.0	1.0	0.0	0.0	0.0
c_000005243888__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005245398__full-cat_1	1	False	False	13	4	0	False	0.0	11.0	2.0	0.0	0.0	0.0	0.0
c_000005247575__full-cat_2	2	False	False	8	3	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000005249317__full-cat_2	2	False	False	4	2	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005249621__full-cat_1	1	False	False	3	2	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000005252458__full-cat_1	1	False	False	31	1	0	False	0.06451612903225806	18.0	8.0	3.0	2.0	0.0	0.0
c_000005253157__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005254026__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005254922__full-cat_2	2	False	False	3	1	0	False	0.0	2.0	0.0	1.0	0.0	0.0	0.0
c_000005256255__full-cat_2	2	False	False	5	0	0	False	0.2	4.0	0.0	0.0	1.0	0.0	0.0
c_000005256676__full-cat_2	2	False	False	10	4	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
c_000005259239__full-cat_1	1	False	False	7	0	0	False	0.0	4.0	1.0	2.0	0.0	0.0	0.0
c_000005261255__full-cat_2	2	False	False	6	3	0	False	0.3333333333333333	4.0	0.0	0.0	2.0	0.0	0.0
c_000005261540__full-cat_1	1	False	False	10	4	0	True	0.2	8.0	0.0	0.0	2.0	0.0	0.0
c_000005265372__full-cat_2	2	False	False	6	3	0	False	0.3333333333333333	4.0	0.0	0.0	2.0	0.0	0.0
c_000005266154__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005266526__full-cat_2	2	False	False	8	1	0	False	0.25	6.0	0.0	0.0	2.0	0.0	0.0
c_000005267411__full-cat_2	2	False	False	8	4	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000005267761__full-cat_2	2	False	False	6	0	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
c_000005270868__full-cat_2	2	False	False	6	4	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
c_000005271946__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005272055__full-cat_2	2	False	False	9	0	0	False	0.0	6.0	2.0	1.0	0.0	0.0	0.0
c_000005273085__full-cat_2	2	False	False	6	3	0	False	0.3333333333333333	4.0	0.0	0.0	2.0	0.0	0.0
c_000005275340__full-cat_2	2	False	False	9	4	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c_000005280135__full-cat_2	2	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000005281184__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005282619__full-cat_2	2	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000005285402__full-cat_1	1	False	False	5	1	0	False	0.0	2.0	3.0	0.0	0.0	0.0	0.0
c_000005288020__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005289194__full-cat_2	2	False	False	5	3	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005289623__full-cat_2	2	False	False	4	2	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005292189__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	5.0	0.0	0.0	1.0	0.0	0.0
c_000005296336__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000005296372__full-cat_2	2	False	False	15	6	0	False	0.0	15.0	0.0	0.0	0.0	0.0	0.0
c_000005302527__full-cat_2	2	False	False	5	2	0	False	0.2	3.0	0.0	1.0	1.0	0.0	0.0
c_000005305079__full-cat_2	2	False	False	6	2	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
c_000005307593__full-cat_1	1	False	False	9	2	1	False	0.1111111111111111	7.0	1.0	0.0	1.0	0.0	0.0
c_000005308971__full-cat_2	2	False	False	16	3	0	False	0.125	14.0	0.0	0.0	2.0	0.0	0.0
c_000005310823__full-cat_2	2	False	False	6	4	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005313549__full-cat_2	2	False	False	5	1	0	False	0.2	4.0	0.0	0.0	1.0	0.0	0.0
c_000005317341__full-cat_2	2	False	False	7	4	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005320219__full-cat_2	2	False	False	7	3	1	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005322244__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5.0	0.0	0.0	1.0	0.0	0.0
c_000005323214__full-cat_1	1	False	False	33	10	0	False	0.0	33.0	0.0	0.0	0.0	0.0	0.0
c_000005324437__full-cat_2	2	False	False	3	1	0	False	0.3333333333333333	2.0	0.0	0.0	1.0	0.0	0.0
c_000005324733__full-cat_2	2	False	False	5	0	0	False	0.2	4.0	0.0	0.0	1.0	0.0	0.0
c_000005326451__full-cat_2	2	False	False	7	4	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005329223__full-cat_2	2	False	False	9	0	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c_000005329482__full-cat_1	1	False	False	42	6	1	False	0.0	28.0	2.0	5.0	0.0	1.0	6.0
c_000005330112__full-cat_2	2	False	False	5	2	0	False	0.2	3.0	1.0	0.0	1.0	0.0	0.0
c_000005331124__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005332780__full-cat_2	2	False	False	10	4	0	False	0.1	9.0	0.0	0.0	1.0	0.0	0.0
c_000005335601__full-cat_2	2	False	False	8	0	0	False	0.0	7.0	0.0	1.0	0.0	0.0	0.0
c_000005338731__full-cat_1	1	False	False	12	0	0	False	0.0	8.0	1.0	1.0	0.0	0.0	2.0
c_000005338969__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005350021__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005353453__full-cat_2	2	False	False	12	8	1	False	0.16666666666666666	9.0	0.0	1.0	2.0	0.0	0.0
c_000005355030__full-cat_2	2	False	False	4	3	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005357104__full-cat_2	2	False	False	8	0	0	False	0.0	4.0	4.0	0.0	0.0	0.0	0.0
c_000005357776__full-cat_2	2	False	False	5	2	0	False	0.2	4.0	0.0	0.0	1.0	0.0	0.0
c_000005357955__full-cat_2	2	False	False	15	3	0	False	0.0	15.0	0.0	0.0	0.0	0.0	0.0
c_000005358385__full-cat_2	2	False	False	8	4	0	False	0.125	7.0	0.0	0.0	1.0	0.0	0.0
c_000005359622__full-cat_2	2	False	False	9	1	0	True	0.1111111111111111	6.0	1.0	1.0	1.0	0.0	0.0
c_000005361367__full-cat_1	1	False	False	5	1	0	False	0.0	3.0	2.0	0.0	0.0	0.0	0.0
c_000005361798__full-cat_2	2	False	False	8	4	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000005362988__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005367741__full-cat_2	2	False	False	6	1	0	False	0.0	5.0	0.0	0.0	0.0	1.0	0.0
c_000005369333__full-cat_2	2	False	False	4	1	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
c_000005369878__full-cat_1	1	False	False	4	0	0	False	0.0	2.0	1.0	1.0	0.0	0.0	0.0
c_000005370976__full-cat_2	2	False	False	5	1	0	False	0.4	3.0	0.0	0.0	2.0	0.0	0.0
c_000005373427__full-cat_2	2	False	False	3	0	0	False	0.3333333333333333	2.0	0.0	0.0	1.0	0.0	0.0
c_000005375425__full-cat_2	2	False	False	4	0	0	False	0.25	3.0	0.0	0.0	1.0	0.0	0.0
c_000005377710__full-cat_1	1	False	False	3	0	0	False	0.3333333333333333	2.0	0.0	0.0	1.0	0.0	0.0
c_000005384916__full-cat_2	2	False	False	6	2	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
c_000005387093__full-cat_1	1	False	False	10	3	2	False	0.0	8.0	1.0	0.0	0.0	0.0	1.0
c_000005388560__full-cat_2	2	False	False	6	4	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005388918__full-cat_2	2	False	False	3	2	0	False	0.3333333333333333	2.0	0.0	0.0	1.0	0.0	0.0
c_000005389406__full-cat_2	2	False	False	27	10	0	False	0.0	27.0	0.0	0.0	0.0	0.0	0.0
c_000005389438__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005393143__full-cat_2	2	False	False	8	2	0	True	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000005399931__full-cat_2	2	False	False	11	1	0	False	0.09090909090909091	7.0	3.0	0.0	1.0	0.0	0.0
c_000005402241__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005403911__full-cat_2	2	False	False	8	4	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000005407021__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005407104__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005409341__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	5.0	0.0	0.0	1.0	0.0	0.0
c_000005410286__full-cat_2	2	False	False	7	3	0	False	0.2857142857142857	5.0	0.0	0.0	2.0	0.0	0.0
c_000005411196__full-cat_2	2	False	False	3	2	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000005411571__full-cat_2	2	False	False	4	3	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000005415229__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	5.0	0.0	0.0	1.0	0.0	0.0
c_000005419260__full-cat_2	2	False	False	7	1	0	False	0.0	4.0	2.0	0.0	0.0	1.0	0.0
c_000005421137__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000005424065__full-cat_2	2	False	False	4	2	0	False	0.5	1.0	0.0	1.0	2.0	0.0	0.0
c_000005427144__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000005427644__full-cat_2	2	False	False	12	5	0	False	0.08333333333333333	10.0	1.0	0.0	1.0	0.0	0.0
c_000005434008__full-cat_2	2	False	False	4	2	0	True	0.0	2.0	1.0	1.0	0.0	0.0	0.0
c_000005434086__full-cat_2	2	False	False	4	0	0	False	0.25	2.0	1.0	0.0	1.0	0.0	0.0
c_000005438447__full-cat_2	2	False	False	8	0	0	False	0.25	6.0	0.0	0.0	2.0	0.0	0.0
c_000005440874__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000005448536__full-cat_2	2	False	False	9	5	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
