	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral genes with host benefits	Viral hypothetical genes	Viral genes with unknown function	Viral genes with viral benefits	Viral replication genes	Viral structure genes
c_000000942384__full-cat_1	1	False	False	7	0	0	False	0.0	2.0	4.0	1.0	0.0	0.0	0.0
c_000000945592__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	7.0	1.0	0.0	0.0	0.0
c_000000946043__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000000947170__full-cat_2	2	False	False	13	4	0	False	0.07692307692307693	1.0	12.0	0.0	0.0	0.0	0.0
c_000000948192__full-cat_2	2	False	False	3	2	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000000951947__full-cat_2	2	False	False	10	4	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000000952437__full-cat_2	2	False	False	6	2	0	True	0.0	0.0	5.0	1.0	0.0	0.0	0.0
c_000000954497__full-cat_2	2	False	False	10	2	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000000955004__full-cat_2	2	False	False	5	2	0	False	0.4	2.0	3.0	0.0	0.0	0.0	0.0
c_000000957724__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000000957880__full-cat_2	2	False	False	4	1	0	False	0.0	1.0	3.0	0.0	0.0	0.0	0.0
c_000000959340__full-cat_2	2	False	False	5	3	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000000959719__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	3.0	2.0	0.0	0.0	0.0
c_000000961916__full-cat_1	1	False	False	6	4	0	False	0.16666666666666666	1.0	4.0	1.0	0.0	0.0	0.0
c_000000962001__full-cat_2	2	False	False	9	6	0	False	0.1111111111111111	2.0	7.0	0.0	0.0	0.0	0.0
c_000000963606__full-cat_2	2	False	False	8	2	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000000965326__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	4.0	2.0	1.0	0.0	0.0
c_000000965829__full-cat_2	2	False	False	9	2	0	False	0.0	1.0	8.0	0.0	0.0	0.0	0.0
c_000000967222__full-cat_2	2	False	False	13	5	0	False	0.0	0.0	13.0	0.0	0.0	0.0	0.0
c_000000970875__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000000971483__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000000971535__full-cat_2	2	False	False	9	6	1	False	0.0	1.0	8.0	0.0	0.0	0.0	0.0
c_000000971718__full-cat_2	2	False	False	9	4	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000000973200__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000000973703__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000000973812__full-cat_1	1	False	False	17	2	0	False	0.0	1.0	14.0	2.0	0.0	0.0	0.0
c_000000975412__full-cat_2	2	False	False	6	0	0	False	0.0	1.0	5.0	0.0	0.0	0.0	0.0
c_000000976219__full-cat_2	2	False	False	8	0	0	False	0.125	1.0	6.0	1.0	0.0	0.0	0.0
c_000000976302__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000000976350__full-cat_2	2	False	False	7	4	0	True	0.0	0.0	5.0	1.0	0.0	1.0	0.0
c_000000976553__full-cat_2	2	False	False	13	0	0	False	0.15384615384615385	3.0	8.0	2.0	0.0	0.0	0.0
c_000000978476__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000000978597__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000000979574__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000000982269__full-cat_1	1	False	False	6	2	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000000982986__full-cat_2	2	False	False	8	2	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000000983403__full-cat_2	2	False	False	9	1	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000000984506__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000000984774__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000000984966__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	1.0	4.0	1.0	0.0	0.0	0.0
c_000000986227__full-cat_1	1	False	False	24	1	0	False	0.08333333333333333	4.0	18.0	2.0	0.0	0.0	0.0
c_000000986345__full-cat_2	2	False	False	10	3	0	False	0.0	2.0	8.0	0.0	0.0	0.0	0.0
c_000000989162__full-cat_2	2	False	False	8	3	1	False	0.0	0.0	7.0	1.0	0.0	0.0	0.0
c_000000990517__full-cat_2	2	False	False	8	3	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000000991312__full-cat_2	2	False	False	15	6	0	False	0.0	0.0	15.0	0.0	0.0	0.0	0.0
c_000000991974__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000000992242__full-cat_2	2	False	False	12	3	0	False	0.16666666666666666	2.0	10.0	0.0	0.0	0.0	0.0
c_000000993299__full-cat_1	1	False	False	7	3	0	False	0.0	1.0	5.0	1.0	0.0	0.0	0.0
c_000000993585__full-cat_2	2	False	False	6	1	0	False	0.3333333333333333	2.0	4.0	0.0	0.0	0.0	0.0
c_000000996446__full-cat_1	1	False	False	11	0	0	False	0.0	0.0	9.0	0.0	0.0	2.0	0.0
c_000000996642__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000000998075__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	2.0	1.0	0.0	0.0	0.0
c_000000998872__full-cat_2	2	False	False	9	5	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000000999209__full-cat_1	1	False	False	24	0	0	False	0.0	0.0	22.0	2.0	0.0	0.0	0.0
c_000001000684__full-cat_1	1	False	False	44	6	0	False	0.06818181818181818	3.0	37.0	4.0	0.0	0.0	0.0
c_000001001105__full-cat_2	2	False	False	9	1	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001001771__full-cat_2	2	False	False	17	0	0	False	0.0	1.0	16.0	0.0	0.0	0.0	0.0
c_000001003219__full-cat_2	2	False	False	20	8	0	False	0.0	0.0	20.0	0.0	0.0	0.0	0.0
c_000001003571__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001004019__full-cat_2	2	False	False	14	0	0	False	0.07142857142857142	2.0	11.0	1.0	0.0	0.0	0.0
c_000001004573__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001005694__full-cat_2	2	False	False	6	4	1	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001006365__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001011174__full-cat_2	2	False	False	14	3	0	False	0.0	0.0	13.0	1.0	0.0	0.0	0.0
c_000001012313__full-cat_1	1	False	False	9	0	0	False	0.0	2.0	5.0	2.0	0.0	0.0	0.0
c_000001013051__full-cat_2	2	False	False	13	3	0	False	0.0	2.0	10.0	1.0	0.0	0.0	0.0
c_000001013237__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001014282__full-cat_2	2	False	False	4	0	0	False	0.25	2.0	2.0	0.0	0.0	0.0	0.0
c_000001015661__full-cat_2	2	False	False	6	4	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001015950__full-cat_1	1	False	False	14	0	0	False	0.0	1.0	13.0	0.0	0.0	0.0	0.0
c_000001017208__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	1.0	5.0	1.0	0.0	0.0	0.0
c_000001017547__full-cat_1	1	False	False	73	2	0	False	0.0	3.0	55.0	14.0	0.0	1.0	0.0
c_000001019056__full-cat_2	2	False	False	15	6	0	False	0.06666666666666667	1.0	14.0	0.0	0.0	0.0	0.0
c_000001019791__full-cat_1	1	False	False	14	6	0	False	0.07142857142857142	1.0	13.0	0.0	0.0	0.0	0.0
c_000001020452__full-cat_2	2	False	False	20	10	0	False	0.0	0.0	20.0	0.0	0.0	0.0	0.0
c_000001022169__full-cat_1	1	False	False	9	2	0	False	0.0	2.0	7.0	0.0	0.0	0.0	0.0
c_000001023324__full-cat_2	2	False	False	10	5	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000001024696__full-cat_2	2	False	False	7	1	0	True	0.2857142857142857	2.0	5.0	0.0	0.0	0.0	0.0
c_000001024860__full-cat_2	2	False	False	10	2	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000001025860__full-cat_1	1	False	False	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
c_000001026383__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	1.0	4.0	1.0	0.0	0.0	0.0
c_000001029730__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001031472__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001032600__full-cat_2	2	False	False	2	1	0	False	0.5	1.0	1.0	0.0	0.0	0.0	0.0
c_000001032744__full-cat_2	2	False	False	5	1	1	False	0.2	1.0	4.0	0.0	0.0	0.0	0.0
c_000001033311__full-cat_2	2	False	False	10	5	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000001038120__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001038350__full-cat_2	2	False	False	10	3	0	False	0.1	2.0	6.0	2.0	0.0	0.0	0.0
c_000001040022__full-cat_1	1	False	False	6	0	0	False	0.0	0.0	4.0	2.0	0.0	0.0	0.0
c_000001042076__full-cat_2	2	False	False	9	4	0	False	0.0	1.0	8.0	0.0	0.0	0.0	0.0
c_000001042869__full-cat_2	2	False	False	5	1	1	False	0.0	0.0	4.0	0.0	0.0	1.0	0.0
c_000001043371__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000001043795__full-cat_2	2	False	False	12	1	0	False	0.08333333333333333	1.0	11.0	0.0	0.0	0.0	0.0
c_000001044656__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001045210__full-cat_2	2	False	False	9	5	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001047445__full-cat_2	2	False	False	8	2	0	False	0.0	1.0	7.0	0.0	0.0	0.0	0.0
c_000001047978__full-cat_2	2	False	False	7	4	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000001048772__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000001051988__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001051991__full-cat_2	2	False	False	11	3	0	False	0.0	0.0	11.0	0.0	0.0	0.0	0.0
c_000001054510__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001055138__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001055668__full-cat_2	2	False	False	9	3	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001057106__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001057557__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001059191__full-cat_2	2	False	False	5	3	0	False	0.2	1.0	4.0	0.0	0.0	0.0	0.0
c_000001060249__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001061005__full-cat_1	1	False	False	10	2	1	False	0.2	2.0	6.0	2.0	0.0	0.0	0.0
c_000001063087__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001063827__full-cat_1	1	False	False	14	0	0	False	0.0	0.0	14.0	0.0	0.0	0.0	0.0
c_000001064211__full-cat_2	2	False	False	4	1	0	False	0.0	1.0	2.0	1.0	0.0	0.0	0.0
c_000001065248__full-cat_1	1	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001065681__full-cat_2	2	False	False	5	1	0	False	0.4	2.0	3.0	0.0	0.0	0.0	0.0
c_000001068250__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001068804__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001068927__full-cat_2	2	False	False	10	0	0	False	0.0	1.0	7.0	1.0	0.0	0.0	1.0
c_000001069542__full-cat_1	1	False	False	13	1	1	False	0.0	1.0	11.0	0.0	0.0	0.0	1.0
c_000001070050__full-cat_2	2	False	False	7	1	0	True	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001071526__full-cat_2	2	False	False	16	1	0	False	0.0	1.0	14.0	0.0	0.0	0.0	1.0
c_000001071809__full-cat_2	2	False	False	11	5	0	False	0.09090909090909091	1.0	8.0	2.0	0.0	0.0	0.0
c_000001072230__full-cat_1	1	False	False	5	4	0	False	0.2	1.0	4.0	0.0	0.0	0.0	0.0
c_000001073936__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001078502__full-cat_2	2	False	False	9	2	0	False	0.1111111111111111	1.0	8.0	0.0	0.0	0.0	0.0
c_000001080860__full-cat_2	2	False	False	4	1	1	False	0.0	0.0	3.0	1.0	0.0	0.0	0.0
c_000001081172__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	1.0	6.0	0.0	0.0	0.0	0.0
c_000001083365__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001083623__full-cat_2	2	False	False	8	2	0	False	0.0	1.0	7.0	0.0	0.0	0.0	0.0
c_000001086163__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001086210__full-cat_2	2	False	False	8	1	0	False	0.0	1.0	7.0	0.0	0.0	0.0	0.0
c_000001087239__full-cat_1	1	False	False	45	5	0	False	0.044444444444444446	5.0	28.0	10.0	0.0	1.0	1.0
c_000001089336__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001090168__full-cat_2	2	False	False	9	5	0	False	0.0	0.0	7.0	2.0	0.0	0.0	0.0
c_000001092528__full-cat_1	1	False	False	7	2	3	False	0.14285714285714285	1.0	3.0	3.0	0.0	0.0	0.0
c_000001093167__full-cat_2	2	False	False	15	6	3	False	0.0	1.0	14.0	0.0	0.0	0.0	0.0
c_000001095986__full-cat_2	2	False	False	7	2	1	False	0.2857142857142857	2.0	5.0	0.0	0.0	0.0	0.0
c_000001097202__full-cat_1	1	False	False	11	2	0	False	0.0	0.0	10.0	0.0	0.0	0.0	1.0
c_000001098813__full-cat_2	2	False	False	24	8	3	False	0.08333333333333333	2.0	22.0	0.0	0.0	0.0	0.0
c_000001099129__full-cat_2	2	False	False	7	2	1	False	0.0	1.0	6.0	0.0	0.0	0.0	0.0
c_000001099452__full-cat_2	2	False	False	8	2	0	False	0.0	0.0	6.0	2.0	0.0	0.0	0.0
c_000001100034__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001102469__full-cat_2	2	False	False	4	2	0	False	0.0	1.0	3.0	0.0	0.0	0.0	0.0
c_000001102666__full-cat_1	1	False	False	18	1	0	False	0.0	1.0	16.0	1.0	0.0	0.0	0.0
c_000001103168__full-cat_1	1	False	False	6	2	0	False	0.0	1.0	5.0	0.0	0.0	0.0	0.0
c_000001105617__full-cat_1	1	False	False	11	4	2	True	0.09090909090909091	2.0	9.0	0.0	0.0	0.0	0.0
c_000001106203__full-cat_2	2	False	False	16	1	0	False	0.0	1.0	14.0	1.0	0.0	0.0	0.0
c_000001106767__full-cat_2	2	False	False	9	3	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001107502__full-cat_2	2	False	False	9	4	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001107549__full-cat_1	1	False	False	7	0	1	False	0.0	0.0	5.0	2.0	0.0	0.0	0.0
c_000001107670__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	3.0	0.0	0.0	1.0	0.0
c_000001108111__full-cat_2	2	False	False	8	3	0	False	0.125	1.0	7.0	0.0	0.0	0.0	0.0
c_000001108336__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001108680__full-cat_2	2	False	False	3	2	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001109780__full-cat_1	1	False	False	14	0	0	False	0.0	0.0	13.0	0.0	0.0	0.0	1.0
c_000001109994__full-cat_2	2	False	False	11	1	1	False	0.0	2.0	7.0	2.0	0.0	0.0	0.0
c_000001110473__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001111184__full-cat_1	1	False	False	14	4	0	False	0.21428571428571427	3.0	10.0	1.0	0.0	0.0	0.0
c_000001111908__full-cat_2	2	False	False	7	4	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001114935__full-cat_2	2	False	False	7	0	0	False	0.0	2.0	5.0	0.0	0.0	0.0	0.0
c_000001118757__full-cat_2	2	False	False	8	1	0	False	0.0	1.0	7.0	0.0	0.0	0.0	0.0
c_000001118770__full-cat_2	2	False	False	13	1	0	False	0.0	1.0	11.0	1.0	0.0	0.0	0.0
c_000001121387__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001121591__full-cat_2	2	False	False	11	7	0	False	0.0	0.0	10.0	1.0	0.0	0.0	0.0
c_000001123072__full-cat_2	2	False	False	10	0	0	False	0.2	2.0	7.0	1.0	0.0	0.0	0.0
c_000001123222__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000001124287__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001126867__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	1.0	4.0	1.0	0.0	0.0	0.0
c_000001126997__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001128140__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001128500__full-cat_2	2	False	False	2	1	0	False	0.0	0.0	2.0	0.0	0.0	0.0	0.0
c_000001129882__full-cat_2	2	False	False	16	8	0	False	0.0	0.0	16.0	0.0	0.0	0.0	0.0
c_000001131643__full-cat_2	2	False	False	5	4	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001131768__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001138429__full-cat_2	2	False	False	8	2	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001138949__full-cat_2	2	False	False	14	6	1	False	0.21428571428571427	3.0	10.0	1.0	0.0	0.0	0.0
c_000001139078__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000001140092__full-cat_2	2	False	False	10	0	0	False	0.0	1.0	6.0	3.0	0.0	0.0	0.0
c_000001140586__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001141387__full-cat_1	1	False	False	13	0	0	False	0.0	3.0	9.0	0.0	0.0	1.0	0.0
c_000001141542__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001142027__full-cat_2	2	False	False	9	3	0	False	0.1111111111111111	1.0	8.0	0.0	0.0	0.0	0.0
