	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with host benefits	Viral genes with unknown function	Viral replication genes	Viral genes with viral benefits	Viral structure genes
c_000000030623__full-cat_1	1	False	False	10	4	0	False	0.0	8.0	0.0	1.0	1.0	0.0	0.0
c_000000031835__full-cat_2	2	False	False	6	1	0	False	0.0	2.0	1.0	2.0	0.0	1.0	0.0
c_000000032738__full-cat_2	2	False	False	9	0	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c_000000033367__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	5.0	1.0	1.0	0.0	0.0	0.0
c_000000033761__full-cat_1	1	False	False	7	3	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
c_000000034469__full-cat_2	2	False	False	16	6	2	False	0.125	14.0	2.0	0.0	0.0	0.0	0.0
c_000000036284__full-cat_2	2	False	False	4	1	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
c_000000036570__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000038187__full-cat_2	2	False	False	7	1	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000039684__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000039909__full-cat_1	1	False	False	18	0	0	False	0.05555555555555555	12.0	2.0	4.0	0.0	0.0	0.0
c_000000043415__full-cat_2	2	False	False	11	1	0	False	0.09090909090909091	10.0	1.0	0.0	0.0	0.0	0.0
c_000000044829__full-cat_2	2	False	False	15	3	0	False	0.0	9.0	1.0	3.0	1.0	1.0	0.0
c_000000046106__full-cat_2	2	False	False	2	1	0	False	0.0	1.0	1.0	0.0	0.0	0.0	0.0
c_000000052535__full-cat_2	2	False	False	8	4	0	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
c_000000052723__full-cat_2	2	False	False	8	4	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000000054211__full-cat_2	2	False	False	15	5	0	False	0.06666666666666667	14.0	1.0	0.0	0.0	0.0	0.0
c_000000054215__full-cat_2	2	False	False	4	1	0	False	0.5	0.0	3.0	0.0	0.0	1.0	0.0
c_000000057104__full-cat_1	1	False	False	15	0	0	False	0.0	3.0	1.0	9.0	0.0	0.0	2.0
c_000000057613__full-cat_2	2	False	False	9	2	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c_000000057791__full-cat_2	2	False	False	8	4	0	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
c_000000058152__full-cat_2	2	False	False	9	4	0	False	0.0	7.0	0.0	2.0	0.0	0.0	0.0
c_000000061447__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000062240__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	4.0	1.0	1.0	0.0	0.0	0.0
c_000000063537__full-cat_2	2	False	False	9	2	0	False	0.0	8.0	1.0	0.0	0.0	0.0	0.0
c_000000063648__full-cat_2	2	False	False	20	0	0	False	0.0	16.0	1.0	3.0	0.0	0.0	0.0
c_000000064377__full-cat_2	2	False	False	20	0	0	False	0.0	19.0	0.0	1.0	0.0	0.0	0.0
c_000000064975__full-cat_2	2	False	False	5	1	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
c_000000065067__full-cat_2	2	False	False	14	7	0	False	0.0	14.0	0.0	0.0	0.0	0.0	0.0
c_000000065829__full-cat_2	2	False	False	8	0	0	False	0.125	6.0	2.0	0.0	0.0	0.0	0.0
c_000000066087__full-cat_2	2	False	False	3	1	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000000067023__full-cat_2	2	False	False	10	1	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
c_000000067081__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
c_000000069096__full-cat_2	2	False	False	6	5	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000072374__full_1-cat_1	1	False	False	17	0	0	False	0.0	9.0	3.0	4.0	0.0	0.0	1.0
c_000000072560__full-cat_2	2	False	False	4	2	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
c_000000073931__full-cat_2	2	False	False	15	0	0	False	0.13333333333333333	8.0	2.0	5.0	0.0	0.0	0.0
c_000000074705__full-cat_2	2	False	False	5	3	0	False	0.2	4.0	1.0	0.0	0.0	0.0	0.0
c_000000076907__full-cat_1	1	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000078678__full-cat_1	1	False	False	5	2	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
c_000000079204__full-cat_2	2	False	False	3	1	0	False	0.3333333333333333	2.0	1.0	0.0	0.0	0.0	0.0
c_000000080041__full-cat_2	2	False	False	11	0	1	False	0.36363636363636365	6.0	4.0	1.0	0.0	0.0	0.0
c_000000080392__full-cat_2	2	False	False	6	2	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
c_000000080399__full-cat_2	2	False	False	9	4	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c_000000080577__full-cat_1	1	False	False	7	3	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
c_000000080648__full-cat_2	2	False	False	10	5	0	False	0.0	8.0	0.0	2.0	0.0	0.0	0.0
c_000000081015__full-cat_1	1	False	False	8	2	0	False	0.0	3.0	0.0	5.0	0.0	0.0	0.0
c_000000083870__full-cat_2	2	False	False	10	0	0	False	0.0	9.0	1.0	0.0	0.0	0.0	0.0
c_000000086240__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000087002__full-cat_2	2	False	False	7	1	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000088005__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000088180__full-cat_2	2	False	False	5	0	0	False	0.4	3.0	2.0	0.0	0.0	0.0	0.0
c_000000089825__0_partial_1-cat_1	1	False	False	16	0	0	False	0.0	9.0	2.0	4.0	0.0	0.0	1.0
c_000000091230__full-cat_1	1	False	False	8	4	0	False	0.125	7.0	1.0	0.0	0.0	0.0	0.0
c_000000093374__full-cat_2	2	False	False	7	2	1	False	0.0	5.0	0.0	2.0	0.0	0.0	0.0
c_000000094056__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000095594__full-cat_2	2	False	False	10	0	1	False	0.0	7.0	2.0	1.0	0.0	0.0	0.0
c_000000095732__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000000096161__full-cat_2	2	False	False	20	1	0	False	0.0	19.0	0.0	1.0	0.0	0.0	0.0
c_000000096769__full-cat_2	2	False	False	10	1	0	False	0.0	8.0	2.0	0.0	0.0	0.0	0.0
c_000000097399__full-cat_1	1	False	False	8	2	0	False	0.0	6.0	1.0	1.0	0.0	0.0	0.0
c_000000097555__full-cat_1	1	False	False	7	0	0	False	0.14285714285714285	5.0	1.0	1.0	0.0	0.0	0.0
c_000000098432__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	5.0	1.0	1.0	0.0	0.0	0.0
c_000000100056__full-cat_2	2	False	False	7	3	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
c_000000100736__full-cat_2	2	False	False	7	3	0	True	0.2857142857142857	5.0	2.0	0.0	0.0	0.0	0.0
c_000000101933__full-cat_2	2	False	False	6	1	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
c_000000102296__full-cat_2	2	False	False	9	0	0	False	0.0	5.0	1.0	3.0	0.0	0.0	0.0
c_000000102873__full-cat_2	2	False	False	10	1	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
c_000000103319__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
c_000000103653__full-cat_2	2	False	False	4	2	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000000104979__full-cat_2	2	False	False	6	0	0	False	0.0	5.0	0.0	0.0	1.0	0.0	0.0
c_000000105084__full-cat_1	1	False	False	31	13	0	False	0.03225806451612903	29.0	1.0	0.0	1.0	0.0	0.0
c_000000105133__full_1-cat_1	1	False	False	7	0	0	False	0.0	4.0	2.0	0.0	1.0	0.0	0.0
c_000000105953__full-cat_2	2	False	False	4	2	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000000107020__full-cat_1	1	False	False	13	0	0	False	0.07692307692307693	6.0	4.0	2.0	0.0	0.0	1.0
c_000000107496__full-cat_2	2	False	False	6	2	1	False	0.16666666666666666	3.0	1.0	2.0	0.0	0.0	0.0
c_000000107826__full-cat_2	2	False	False	19	8	0	False	0.0	19.0	0.0	0.0	0.0	0.0	0.0
c_000000108167__full-cat_2	2	False	False	24	6	2	False	0.125	20.0	3.0	0.0	0.0	1.0	0.0
c_000000109276__full-cat_2	2	False	False	15	7	0	False	0.0	15.0	0.0	0.0	0.0	0.0	0.0
c_000000109383__full_1-cat_1	1	False	False	7	0	1	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000110907__full-cat_2	2	False	False	18	1	0	False	0.0	12.0	3.0	1.0	1.0	1.0	0.0
c_000000113014__full-cat_2	2	False	False	12	8	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
c_000000114528__full-cat_1	1	False	False	15	0	0	False	0.0	13.0	0.0	2.0	0.0	0.0	0.0
c_000000115437__full-cat_1	1	False	False	31	0	1	False	0.03225806451612903	25.0	1.0	5.0	0.0	0.0	0.0
c_000000118560__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000118651__full-cat_2	2	False	False	4	0	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
c_000000124353__full-cat_1	1	False	False	2	0	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
c_000000125767__0_partial_1-cat_1	1	False	False	16	0	0	False	0.0	12.0	4.0	0.0	0.0	0.0	0.0
c_000000126005__full-cat_2	2	False	False	7	1	0	False	0.2857142857142857	5.0	2.0	0.0	0.0	0.0	0.0
c_000000126699__full-cat_2	2	False	False	4	2	0	False	0.25	2.0	2.0	0.0	0.0	0.0	0.0
c_000000126788__full-cat_2	2	False	False	30	14	0	False	0.0	30.0	0.0	0.0	0.0	0.0	0.0
c_000000127381__full-cat_1	1	False	False	59	4	0	False	0.0	43.0	4.0	6.0	4.0	0.0	2.0
c_000000128912__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000000130601__full-cat_2	2	False	False	7	2	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
c_000000131982__full-cat_2	2	False	False	10	2	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
c_000000133365__full-cat_2	2	False	False	7	1	0	False	0.0	6.0	0.0	0.0	1.0	0.0	0.0
c_000000133629__full-cat_2	2	False	False	8	0	0	False	0.0	7.0	0.0	1.0	0.0	0.0	0.0
c_000000133810__full-cat_1	1	False	False	11	2	0	True	0.09090909090909091	9.0	1.0	0.0	1.0	0.0	0.0
c_000000135951__full-cat_1	1	False	False	9	3	0	False	0.1111111111111111	8.0	1.0	0.0	0.0	0.0	0.0
c_000000136259__full-cat_2	2	False	False	9	5	0	False	0.0	8.0	1.0	0.0	0.0	0.0	0.0
c_000000137271__full-cat_2	2	False	False	13	4	0	False	0.0	12.0	0.0	1.0	0.0	0.0	0.0
c_000000138834__full-cat_2	2	False	False	19	6	1	False	0.0	18.0	1.0	0.0	0.0	0.0	0.0
c_000000140990__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000141126__full-cat_1	1	False	False	14	3	1	False	0.07142857142857142	12.0	2.0	0.0	0.0	0.0	0.0
c_000000142548__full-cat_2	2	False	False	8	4	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000000143671__full-cat_2	2	False	False	12	1	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
c_000000144364__full-cat_2	2	False	False	4	2	0	False	0.25	3.0	1.0	0.0	0.0	0.0	0.0
c_000000144851__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
c_000000145358__full-cat_2	2	False	False	22	11	0	False	0.0	18.0	1.0	2.0	1.0	0.0	0.0
c_000000145541__full-cat_2	2	False	False	5	4	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000000147296__full-cat_2	2	False	False	7	2	1	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
c_000000147451__full-cat_1	1	False	False	7	3	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
c_000000148203__full-cat_2	2	False	False	10	2	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
c_000000148543__full-cat_2	2	False	False	4	1	0	False	0.0	3.0	1.0	0.0	0.0	0.0	0.0
c_000000148650__full-cat_2	2	False	False	3	2	0	False	0.0	2.0	1.0	0.0	0.0	0.0	0.0
c_000000149576__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000152049__full-cat_2	2	False	False	3	1	0	False	0.0	2.0	1.0	0.0	0.0	0.0	0.0
c_000000153673__full-cat_2	2	False	False	10	1	0	False	0.0	7.0	0.0	3.0	0.0	0.0	0.0
c_000000154804__full-cat_1	1	False	False	19	0	0	False	0.0	8.0	2.0	8.0	1.0	0.0	0.0
c_000000154940__full-cat_1	1	False	False	7	2	0	False	0.0	5.0	1.0	1.0	0.0	0.0	0.0
c_000000156065__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	5.0	1.0	0.0	0.0	0.0	0.0
c_000000156474__full-cat_1	1	False	False	32	5	0	False	0.0	29.0	1.0	2.0	0.0	0.0	0.0
c_000000159889__full-cat_1	1	False	False	52	8	1	False	0.0	33.0	7.0	11.0	0.0	0.0	1.0
c_000000160033__full-cat_2	2	False	False	8	3	0	False	0.125	6.0	1.0	1.0	0.0	0.0	0.0
c_000000160556__full-cat_1	1	False	False	14	8	0	False	0.0	14.0	0.0	0.0	0.0	0.0	0.0
c_000000164088__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000165989__full-cat_1	1	False	False	12	2	0	False	0.0	10.0	1.0	1.0	0.0	0.0	0.0
c_000000168081__full-cat_2	2	False	False	14	7	0	False	0.14285714285714285	12.0	2.0	0.0	0.0	0.0	0.0
c_000000170150__full-cat_2	2	False	False	9	2	1	False	0.1111111111111111	7.0	2.0	0.0	0.0	0.0	0.0
c_000000173016__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000173440__full-cat_2	2	False	False	9	3	0	True	0.0	8.0	0.0	0.0	1.0	0.0	0.0
c_000000175403__full-cat_2	2	False	False	7	4	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000176917__full-cat_1	1	False	False	12	0	0	False	0.25	8.0	3.0	1.0	0.0	0.0	0.0
c_000000177003__full_1-cat_1	1	False	False	5	0	0	False	0.0	2.0	1.0	2.0	0.0	0.0	0.0
c_000000177213__full-cat_2	2	False	False	4	2	0	False	0.25	3.0	1.0	0.0	0.0	0.0	0.0
c_000000177479__full-cat_1	1	False	False	29	3	0	False	0.0	25.0	2.0	2.0	0.0	0.0	0.0
c_000000178332__full-cat_2	2	False	False	19	3	0	False	0.05263157894736842	16.0	2.0	1.0	0.0	0.0	0.0
c_000000178719__full-cat_2	2	False	False	16	7	0	False	0.0	16.0	0.0	0.0	0.0	0.0	0.0
c_000000179089__full-cat_1	1	False	False	4	0	0	False	0.25	2.0	2.0	0.0	0.0	0.0	0.0
c_000000179118__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000179837__full-cat_2	2	False	False	8	3	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000000180005__full-cat_2	2	False	False	5	2	0	False	0.0	3.0	1.0	1.0	0.0	0.0	0.0
c_000000181023__full-cat_2	2	False	False	13	0	0	False	0.0	8.0	0.0	5.0	0.0	0.0	0.0
c_000000181633__full-cat_2	2	False	False	4	3	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000000181913__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000000182043__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000000183925__full-cat_2	2	False	False	6	1	1	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
c_000000184070__full-cat_2	2	False	False	6	1	0	False	0.0	4.0	2.0	0.0	0.0	0.0	0.0
c_000000185085__full-cat_2	2	False	False	7	1	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000185687__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	4.0	2.0	0.0	0.0	0.0	0.0
c_000000187284__full-cat_2	2	False	False	6	1	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
c_000000187590__full-cat_2	2	False	False	21	4	0	False	0.047619047619047616	17.0	1.0	3.0	0.0	0.0	0.0
c_000000187674__full-cat_2	2	False	False	16	4	0	False	0.0	16.0	0.0	0.0	0.0	0.0	0.0
c_000000187680__full-cat_2	2	False	False	8	5	0	False	0.0	7.0	0.0	1.0	0.0	0.0	0.0
c_000000188314__full-cat_2	2	False	False	3	2	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000000189001__full-cat_2	2	False	False	12	5	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
c_000000189762__full-cat_2	2	False	False	15	0	0	False	0.0	14.0	0.0	1.0	0.0	0.0	0.0
c_000000190642__full-cat_2	2	False	False	8	1	0	False	0.0	7.0	0.0	1.0	0.0	0.0	0.0
c_000000190692__full-cat_2	2	False	False	8	4	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000000191256__full-cat_2	2	False	False	8	5	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000000191581__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000192747__full-cat_2	2	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000000193884__full-cat_1	1	False	False	7	0	0	False	0.0	4.0	1.0	1.0	0.0	0.0	1.0
c_000000194836__full-cat_2	2	False	False	6	5	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
c_000000194876__full-cat_2	2	False	False	35	16	0	False	0.02857142857142857	33.0	2.0	0.0	0.0	0.0	0.0
c_000000195716__full-cat_1	1	False	False	14	7	0	False	0.0	14.0	0.0	0.0	0.0	0.0	0.0
c_000000196992__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
c_000000197377__full-cat_2	2	False	False	9	5	0	False	0.0	7.0	0.0	2.0	0.0	0.0	0.0
c_000000197582__full-cat_2	2	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000000197906__full-cat_2	2	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
c_000000198225__full-cat_2	2	False	False	4	1	0	False	0.25	3.0	1.0	0.0	0.0	0.0	0.0
c_000000199065__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000204886__full-cat_2	2	False	False	8	2	0	False	0.125	7.0	1.0	0.0	0.0	0.0	0.0
c_000000207538__full-cat_2	2	False	False	4	2	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000000207588__full-cat_2	2	False	False	10	4	0	False	0.1	9.0	1.0	0.0	0.0	0.0	0.0
c_000000207598__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000000207602__full-cat_2	2	False	False	9	0	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c_000000210952__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000000211020__full-cat_2	2	False	False	7	1	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000212738__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000000216313__full-cat_2	2	False	False	4	3	0	False	0.0	2.0	0.0	2.0	0.0	0.0	0.0
c_000000216572__full-cat_2	2	False	False	7	4	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
c_000000216925__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000000217591__full-cat_2	2	False	False	9	7	0	False	0.2222222222222222	6.0	2.0	1.0	0.0	0.0	0.0
c_000000219025__full-cat_2	2	False	False	7	0	0	False	0.2857142857142857	5.0	2.0	0.0	0.0	0.0	0.0
c_000000219224__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000000219234__full-cat_2	2	False	False	13	4	0	False	0.0	13.0	0.0	0.0	0.0	0.0	0.0
c_000000220388__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
c_000000220425__full-cat_2	2	False	False	3	0	0	False	0.3333333333333333	2.0	1.0	0.0	0.0	0.0	0.0
c_000000222958__full-cat_2	2	False	False	7	0	0	False	0.14285714285714285	4.0	1.0	2.0	0.0	0.0	0.0
c_000000223631__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
c_000000223811__full-cat_2	2	False	False	5	2	0	False	0.2	4.0	1.0	0.0	0.0	0.0	0.0
c_000000223952__full-cat_2	2	False	False	11	6	0	False	0.0	9.0	0.0	2.0	0.0	0.0	0.0
c_000000225629__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	5.0	1.0	0.0	0.0	0.0	0.0
c_000000226263__full-cat_1	1	False	False	13	3	0	True	0.0	11.0	0.0	2.0	0.0	0.0	0.0
c_000000226749__full-cat_2	2	False	False	4	1	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
c_000000230925__full-cat_2	2	False	False	7	1	1	False	0.14285714285714285	5.0	1.0	1.0	0.0	0.0	0.0
c_000000231455__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000000231766__full-cat_2	2	False	False	11	4	0	False	0.0	11.0	0.0	0.0	0.0	0.0	0.0
c_000000232319__full-cat_2	2	False	False	6	2	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
c_000000232484__full-cat_2	2	False	False	8	2	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
c_000000232505__full_1-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000232771__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
c_000000233975__full-cat_2	2	False	False	10	4	1	False	0.1	7.0	1.0	2.0	0.0	0.0	0.0
c_000000233995__full-cat_2	2	False	False	5	2	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
c_000000235485__full-cat_2	2	False	False	11	5	0	False	0.0	11.0	0.0	0.0	0.0	0.0	0.0
c_000000235513__full-cat_2	2	False	False	7	4	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000236168__full-cat_2	2	False	False	5	1	0	False	0.2	4.0	1.0	0.0	0.0	0.0	0.0
c_000000236226__full_1-cat_1	1	False	False	5	1	0	False	0.2	3.0	1.0	1.0	0.0	0.0	0.0
c_000000236494__full-cat_2	2	False	False	9	1	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c_000000237852__full-cat_2	2	False	False	11	5	2	False	0.0	9.0	0.0	2.0	0.0	0.0	0.0
c_000000238670__full-cat_2	2	False	False	11	6	0	False	0.0	11.0	0.0	0.0	0.0	0.0	0.0
c_000000238753__full-cat_2	2	False	False	6	1	0	False	0.3333333333333333	4.0	2.0	0.0	0.0	0.0	0.0
c_000000239255__full-cat_2	2	False	False	4	1	0	False	0.25	3.0	1.0	0.0	0.0	0.0	0.0
c_000000240028__full-cat_2	2	False	False	7	4	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
c_000000240103__full-cat_2	2	False	False	5	0	1	False	0.6	2.0	3.0	0.0	0.0	0.0	0.0
c_000000240400__full-cat_2	2	False	False	8	5	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
