	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral genes with host benefits	Viral replication genes	Viral structure genes	Viral genes with viral benefits
c_000003460209__full-cat_2	2	False	False	11	0	0	False	0.0	7	3.0	0.0	0.0	1.0	0.0
c_000003460966__full-cat_2	2	False	False	9	0	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000003464315__full-cat_2	2	False	False	9	2	0	False	0.4444444444444444	5	0.0	4.0	0.0	0.0	0.0
c_000003466282__full-cat_2	2	False	False	5	1	0	False	0.2	4	0.0	1.0	0.0	0.0	0.0
c_000003466434__full-cat_1	1	False	False	8	1	0	False	0.0	6	2.0	0.0	0.0	0.0	0.0
c_000003470275__full-cat_2	2	False	False	11	2	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
c_000003473165__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003476885__full-cat_2	2	False	False	6	3	0	True	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003477814__full-cat_2	2	False	False	9	4	0	False	0.0	8	1.0	0.0	0.0	0.0	0.0
c_000003477855__full-cat_1	1	False	False	9	0	0	False	0.0	7	1.0	0.0	1.0	0.0	0.0
c_000003479964__full-cat_2	2	False	False	7	1	0	False	0.0	6	1.0	0.0	0.0	0.0	0.0
c_000003480991__full-cat_1	1	False	False	7	2	1	False	0.2857142857142857	5	0.0	2.0	0.0	0.0	0.0
c_000003482281__full-cat_2	2	False	False	4	0	0	False	0.25	3	0.0	1.0	0.0	0.0	0.0
c_000003482724__full-cat_2	2	False	False	7	1	2	False	0.0	6	1.0	0.0	0.0	0.0	0.0
c_000003484461__full-cat_1	1	False	False	30	1	0	False	0.0	25	3.0	0.0	1.0	1.0	0.0
c_000003490259__full-cat_1	1	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003494552__full-cat_2	2	False	False	15	1	0	False	0.0	10	4.0	0.0	0.0	1.0	0.0
c_000003500290__full-cat_2	2	False	False	7	2	1	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000003502674__full-cat_2	2	False	False	6	2	0	True	0.0	5	0.0	0.0	0.0	1.0	0.0
c_000003505276__full-cat_2	2	False	False	5	1	0	False	0.2	4	0.0	1.0	0.0	0.0	0.0
c_000003505874__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003509135__full-cat_2	2	False	False	9	3	0	False	0.2222222222222222	7	0.0	2.0	0.0	0.0	0.0
c_000003509340__full-cat_2	2	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003515406__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5	0.0	1.0	0.0	0.0	0.0
c_000003516391__full-cat_2	2	False	False	8	4	0	False	0.0	7	1.0	0.0	0.0	0.0	0.0
c_000003516521__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	6	0.0	1.0	0.0	0.0	0.0
c_000003516856__full-cat_2	2	False	False	7	3	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000003517388__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003517867__full-cat_2	2	False	False	6	2	0	False	0.0	5	1.0	0.0	0.0	0.0	0.0
c_000003518902__full-cat_2	2	False	False	3	0	0	False	0.0	1	0.0	0.0	2.0	0.0	0.0
c_000003521611__full-cat_2	2	False	False	9	4	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000003525908__full-cat_2	2	False	False	33	6	1	True	0.06060606060606061	29	1.0	2.0	0.0	1.0	0.0
c_000003526006__full-cat_2	2	False	False	9	3	0	False	0.0	7	1.0	0.0	1.0	0.0	0.0
c_000003526461__full-cat_2	2	False	False	10	6	0	False	0.2	8	0.0	2.0	0.0	0.0	0.0
c_000003526717__full-cat_2	2	False	False	10	4	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
c_000003527173__full-cat_2	2	False	False	7	6	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000003529797__full-cat_2	2	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003530910__full-cat_1	1	False	False	6	1	1	False	0.16666666666666666	5	0.0	1.0	0.0	0.0	0.0
c_000003532131__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003534575__full-cat_2	2	False	False	18	2	0	False	0.0	13	5.0	0.0	0.0	0.0	0.0
c_000003534990__full-cat_2	2	False	False	9	3	0	False	0.2222222222222222	7	0.0	2.0	0.0	0.0	0.0
c_000003539203__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003541352__full-cat_1	1	False	False	5	0	0	False	0.0	2	3.0	0.0	0.0	0.0	0.0
c_000003542940__full-cat_2	2	False	False	5	1	0	False	0.2	4	0.0	1.0	0.0	0.0	0.0
c_000003543865__full-cat_2	2	False	False	7	1	0	False	0.2857142857142857	5	0.0	2.0	0.0	0.0	0.0
c_000003545933__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000003547165__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003547488__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003548220__full-cat_2	2	False	False	14	9	0	False	0.0	12	1.0	0.0	1.0	0.0	0.0
c_000003548229__full-cat_2	2	False	False	6	1	0	False	0.0	5	1.0	0.0	0.0	0.0	0.0
c_000003548448__full-cat_2	2	False	False	12	6	1	False	0.0	10	1.0	0.0	1.0	0.0	0.0
c_000003549697__full-cat_1	1	False	False	4	0	0	False	0.5	2	0.0	2.0	0.0	0.0	0.0
c_000003551523__full-cat_1	1	False	False	3	0	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000003553948__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	5	0.0	1.0	1.0	0.0	0.0
c_000003554408__full-cat_2	2	False	False	8	3	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000003556219__full-cat_2	2	False	False	11	0	0	False	0.0	10	0.0	0.0	0.0	0.0	1.0
c_000003556640__full-cat_2	2	False	False	9	1	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000003558295__full-cat_2	2	False	False	2	0	0	False	0.0	2	0.0	0.0	0.0	0.0	0.0
c_000003559315__full-cat_2	2	False	False	11	4	0	False	0.09090909090909091	9	0.0	1.0	1.0	0.0	0.0
c_000003559963__full-cat_2	2	False	False	8	1	0	False	0.0	7	0.0	0.0	1.0	0.0	0.0
c_000003560344__full-cat_2	2	False	False	5	1	0	False	0.2	4	0.0	1.0	0.0	0.0	0.0
c_000003561006__full-cat_2	2	False	False	14	5	0	False	0.0	14	0.0	0.0	0.0	0.0	0.0
c_000003563944__full-cat_1	1	False	False	8	3	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000003565652__full-cat_2	2	False	False	7	3	0	False	0.0	5	1.0	0.0	1.0	0.0	0.0
c_000003569683__full-cat_2	2	False	False	6	4	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003570610__full-cat_2	2	False	False	7	4	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000003572207__full-cat_2	2	False	False	5	2	0	False	0.0	4	1.0	0.0	0.0	0.0	0.0
c_000003576328__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	6	0.0	1.0	0.0	0.0	0.0
c_000003577009__full-cat_2	2	False	False	3	0	0	False	0.0	1	0.0	0.0	0.0	0.0	2.0
c_000003578148__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	5	0.0	1.0	0.0	0.0	0.0
c_000003578271__full-cat_2	2	False	False	13	0	0	False	0.0	8	4.0	0.0	0.0	1.0	0.0
c_000003578907__full-cat_2	2	False	False	24	14	0	False	0.0	24	0.0	0.0	0.0	0.0	0.0
c_000003580537__full-cat_2	2	False	False	9	1	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000003581068__full-cat_1	1	False	False	7	2	0	False	0.0	4	1.0	0.0	0.0	2.0	0.0
c_000003581425__full-cat_2	2	False	False	12	4	0	False	0.25	9	0.0	3.0	0.0	0.0	0.0
c_000003581747__full-cat_1	1	False	False	7	0	0	False	0.0	4	3.0	0.0	0.0	0.0	0.0
c_000003582704__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000003583892__full-cat_2	2	False	False	11	5	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
c_000003583955__full-cat_2	2	False	False	8	2	2	False	0.125	7	0.0	1.0	0.0	0.0	0.0
c_000003584756__full-cat_2	2	False	False	2	0	0	False	0.0	2	0.0	0.0	0.0	0.0	0.0
c_000003585518__full-cat_2	2	False	False	5	0	0	False	0.2	3	0.0	1.0	1.0	0.0	0.0
c_000003587151__full-cat_2	2	False	False	7	5	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000003587931__full-cat_2	2	False	False	14	6	0	False	0.0	14	0.0	0.0	0.0	0.0	0.0
c_000003588342__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003588707__full-cat_2	2	False	False	5	2	0	False	0.2	4	0.0	1.0	0.0	0.0	0.0
c_000003589302__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003591041__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000003593577__full-cat_2	2	False	False	4	1	0	False	0.0	3	0.0	0.0	0.0	0.0	1.0
c_000003594140__full-cat_2	2	False	False	8	0	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000003598371__full-cat_1	1	False	False	16	2	2	False	0.1875	13	0.0	3.0	0.0	0.0	0.0
c_000003602682__full-cat_2	2	False	False	16	2	0	False	0.0	16	0.0	0.0	0.0	0.0	0.0
c_000003604408__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003605448__full-cat_1	1	False	False	11	1	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
c_000003605691__full-cat_1	1	False	False	14	0	0	False	0.0	9	2.0	0.0	0.0	3.0	0.0
c_000003608254__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003609295__full-cat_2	2	False	False	5	1	0	False	0.2	4	0.0	1.0	0.0	0.0	0.0
c_000003610927__full-cat_2	2	False	False	15	2	0	False	0.0	15	0.0	0.0	0.0	0.0	0.0
c_000003612472__full-cat_1	1	False	False	4	0	0	False	0.25	2	0.0	1.0	1.0	0.0	0.0
c_000003614360__full-cat_2	2	False	False	4	1	0	False	0.25	2	1.0	1.0	0.0	0.0	0.0
c_000003615531__full-cat_2	2	False	False	9	4	0	False	0.1111111111111111	8	0.0	1.0	0.0	0.0	0.0
c_000003615820__full-cat_2	2	False	False	3	0	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000003615833__full-cat_2	2	False	False	5	0	0	False	0.6	2	0.0	3.0	0.0	0.0	0.0
c_000003616081__full-cat_2	2	False	False	3	1	0	False	0.0	2	1.0	0.0	0.0	0.0	0.0
c_000003616957__full-cat_1	1	False	False	7	0	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000003621824__full-cat_1	1	False	False	18	8	0	False	0.1111111111111111	15	1.0	2.0	0.0	0.0	0.0
c_000003624085__full-cat_2	2	False	False	3	0	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000003626184__full-cat_2	2	False	False	4	0	0	False	0.25	2	1.0	1.0	0.0	0.0	0.0
c_000003626582__full-cat_2	2	False	False	11	1	0	False	0.0	8	2.0	0.0	1.0	0.0	0.0
c_000003628097__full-cat_2	2	False	False	9	0	0	False	0.0	7	2.0	0.0	0.0	0.0	0.0
c_000003628111__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	4	0.0	1.0	1.0	0.0	0.0
c_000003629255__full-cat_2	2	False	False	6	2	0	True	0.0	5	0.0	0.0	1.0	0.0	0.0
c_000003629763__full-cat_2	2	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003629915__full-cat_1	1	False	False	5	0	0	False	0.0	4	1.0	0.0	0.0	0.0	0.0
c_000003636046__full-cat_2	2	False	False	9	1	3	False	0.2222222222222222	6	0.0	2.0	1.0	0.0	0.0
c_000003638070__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003638470__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	6	0.0	1.0	0.0	0.0	0.0
c_000003638695__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003641290__full-cat_1	1	False	False	46	8	0	False	0.0	42	0.0	0.0	2.0	2.0	0.0
c_000003642956__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003647251__full-cat_2	2	False	False	6	3	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003647275__full-cat_2	2	False	False	10	0	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
c_000003648355__full-cat_2	2	False	False	9	4	0	False	0.1111111111111111	8	0.0	1.0	0.0	0.0	0.0
c_000003651727__full-cat_2	2	False	False	4	3	0	False	0.25	3	0.0	1.0	0.0	0.0	0.0
c_000003652101__full-cat_2	2	False	False	10	3	0	False	0.1	9	0.0	1.0	0.0	0.0	0.0
c_000003654909__full-cat_2	2	False	False	14	5	0	False	0.0	14	0.0	0.0	0.0	0.0	0.0
c_000003659689__full-cat_2	2	False	False	11	0	0	True	0.09090909090909091	9	0.0	1.0	1.0	0.0	0.0
c_000003659819__full-cat_2	2	False	False	11	1	0	False	0.0	10	1.0	0.0	0.0	0.0	0.0
c_000003661246__full-cat_1	1	False	False	6	5	0	False	0.16666666666666666	5	0.0	1.0	0.0	0.0	0.0
c_000003662597__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003662622__full-cat_2	2	False	False	5	2	0	False	0.0	4	1.0	0.0	0.0	0.0	0.0
c_000003665629__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	6	0.0	1.0	0.0	0.0	0.0
c_000003666875__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003667375__full-cat_1	1	False	False	11	2	0	False	0.0	10	1.0	0.0	0.0	0.0	0.0
c_000003669130__full-cat_1	1	False	False	7	0	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000003671237__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003671798__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000003672115__full-cat_2	2	False	False	8	5	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000003672279__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003673200__full-cat_2	2	False	False	10	0	0	False	0.2	8	0.0	2.0	0.0	0.0	0.0
c_000003674973__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003677103__full-cat_1	1	False	False	11	0	0	False	0.0	9	0.0	0.0	2.0	0.0	0.0
c_000003678633__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000003680045__full-cat_2	2	False	False	9	3	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000003680351__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	5	0.0	1.0	0.0	0.0	0.0
c_000003681118__full-cat_2	2	False	False	23	2	0	False	0.043478260869565216	19	2.0	1.0	0.0	0.0	1.0
c_000003681447__full-cat_2	2	False	False	6	1	1	False	0.3333333333333333	3	0.0	2.0	0.0	1.0	0.0
c_000003681596__full-cat_1	1	False	False	13	0	0	False	0.0	7	0.0	0.0	3.0	3.0	0.0
c_000003682343__full-cat_2	2	False	False	13	3	3	False	0.0	12	1.0	0.0	0.0	0.0	0.0
c_000003683881__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	6	0.0	1.0	0.0	0.0	0.0
c_000003683963__full-cat_2	2	False	False	7	1	0	False	0.0	6	0.0	0.0	1.0	0.0	0.0
c_000003688319__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003689193__full-cat_2	2	False	False	4	0	0	False	0.0	3	1.0	0.0	0.0	0.0	0.0
c_000003694400__full-cat_1	1	False	False	14	7	2	True	0.07142857142857142	12	0.0	1.0	1.0	0.0	0.0
c_000003696665__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003696715__full-cat_2	2	False	False	4	1	0	False	0.0	3	0.0	0.0	0.0	1.0	0.0
c_000003698099__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003703713__full-cat_2	2	False	False	7	0	0	False	0.0	5	2.0	0.0	0.0	0.0	0.0
c_000003704947__full-cat_2	2	False	False	9	0	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000003705594__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5	0.0	1.0	0.0	0.0	0.0
c_000003707869__full-cat_1	1	False	False	9	1	0	False	0.0	6	2.0	0.0	1.0	0.0	0.0
c_000003713810__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003718476__full-cat_2	2	False	False	4	1	0	False	0.25	3	0.0	1.0	0.0	0.0	0.0
c_000003721229__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003724029__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	6	0.0	1.0	0.0	0.0	0.0
c_000003725609__full-cat_2	2	False	False	9	4	0	False	0.1111111111111111	8	0.0	1.0	0.0	0.0	0.0
c_000003725772__full-cat_2	2	False	False	3	0	0	False	0.0	2	0.0	0.0	1.0	0.0	0.0
c_000003727387__full-cat_1	1	False	False	13	5	2	True	0.07692307692307693	11	0.0	1.0	1.0	0.0	0.0
c_000003727609__full-cat_2	2	False	False	23	9	0	False	0.0	23	0.0	0.0	0.0	0.0	0.0
c_000003729049__full-cat_2	2	False	False	4	1	0	False	0.25	3	0.0	1.0	0.0	0.0	0.0
c_000003730712__full-cat_1	1	False	False	16	1	0	False	0.0	12	2.0	0.0	1.0	1.0	0.0
c_000003733059__full-cat_2	2	False	False	5	2	0	False	0.0	4	0.0	0.0	1.0	0.0	0.0
c_000003735719__full-cat_2	2	False	False	4	1	0	False	0.5	2	0.0	2.0	0.0	0.0	0.0
c_000003741194__full-cat_1	1	False	False	4	1	0	False	0.25	3	0.0	1.0	0.0	0.0	0.0
c_000003742216__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003743481__full-cat_2	2	False	False	2	0	0	False	0.0	2	0.0	0.0	0.0	0.0	0.0
c_000003743941__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003746812__full-cat_2	2	False	False	6	3	0	False	0.5	3	0.0	3.0	0.0	0.0	0.0
c_000003748832__full-cat_2	2	False	False	11	2	1	False	0.0	10	1.0	0.0	0.0	0.0	0.0
c_000003749102__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003751709__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003753542__full-cat_1	1	False	False	26	5	0	False	0.0	24	2.0	0.0	0.0	0.0	0.0
c_000003754383__full-cat_2	2	False	False	5	4	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003755291__full-cat_1	1	False	False	6	2	0	False	0.0	5	1.0	0.0	0.0	0.0	0.0
c_000003756680__full-cat_1	1	False	False	6	4	0	False	0.0	4	2.0	0.0	0.0	0.0	0.0
c_000003757381__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003757744__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003758144__full-cat_1	1	False	False	12	0	0	False	0.0	7	1.0	0.0	1.0	3.0	0.0
c_000003759475__full-cat_1	1	False	False	9	3	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000003760013__full-cat_1	1	False	False	4	0	0	False	0.0	3	1.0	0.0	0.0	0.0	0.0
c_000003761906__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003763628__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000003764761__full-cat_2	2	False	False	3	0	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000003766063__full-cat_2	2	False	False	3	2	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000003767002__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003767286__full-cat_2	2	False	False	7	2	1	False	0.14285714285714285	5	1.0	1.0	0.0	0.0	0.0
c_000003770085__full-cat_2	2	False	False	5	3	0	False	0.0	4	0.0	0.0	1.0	0.0	0.0
c_000003770567__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003771551__full-cat_2	2	False	False	9	4	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
c_000003772350__full-cat_2	2	False	False	13	5	0	False	0.0	13	0.0	0.0	0.0	0.0	0.0
c_000003776893__full-cat_2	2	False	False	6	3	0	False	0.3333333333333333	4	0.0	2.0	0.0	0.0	0.0
c_000003779792__full-cat_2	2	False	False	16	7	2	False	0.1875	13	0.0	3.0	0.0	0.0	0.0
c_000003780198__full-cat_2	2	False	False	10	3	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
c_000003785287__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
c_000003786250__full-cat_2	2	False	False	3	0	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
c_000003786315__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
c_000003786318__full-cat_2	2	False	False	3	2	0	True	0.0	2	0.0	0.0	1.0	0.0	0.0
c_000003788455__full-cat_2	2	False	False	2	1	0	False	0.0	2	0.0	0.0	0.0	0.0	0.0
c_000003790198__full-cat_2	2	False	False	26	8	0	False	0.0	26	0.0	0.0	0.0	0.0	0.0
c_000003791118__full-cat_2	2	False	False	5	1	0	False	0.2	4	0.0	1.0	0.0	0.0	0.0
c_000003791507__full-cat_2	2	False	False	7	0	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
c_000003799736__full-cat_2	2	False	False	21	10	6	False	0.047619047619047616	20	0.0	1.0	0.0	0.0	0.0
c_000003800220__full-cat_2	2	False	False	11	5	0	False	0.0	10	1.0	0.0	0.0	0.0	0.0
c_000003801244__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
c_000003805265__full-cat_2	2	False	False	14	6	0	False	0.0	13	1.0	0.0	0.0	0.0	0.0
c_000003805603__full-cat_2	2	False	False	9	2	0	False	0.0	8	1.0	0.0	0.0	0.0	0.0
c_000003806953__full-cat_2	2	False	False	10	4	0	False	0.1	9	0.0	1.0	0.0	0.0	0.0
c_000003809627__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
c_000003810164__full-cat_1	1	False	False	11	3	0	False	0.0	7	3.0	0.0	0.0	0.0	1.0
