	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with unknown function	Viral genes with host benefits	Viral genes with viral benefits	Viral structure genes	Viral replication genes
k141_12534916__full-cat_2	2	False	False	6	4	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_12539303__full-cat_1	1	False	False	18	1	0	False	0.0	14.0	2.0	1.0	0.0	0.0	1.0
k141_12540398__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_12544407__full-cat_1	1	False	False	6	0	0	False	0.0	4.0	2.0	0.0	0.0	0.0	0.0
k141_12560209__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_12563246__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	5.0	0.0	1.0	0.0	0.0	0.0
k141_12568296__full-cat_2	2	False	False	20	7	0	False	0.0	18.0	1.0	1.0	0.0	0.0	0.0
k141_12583099__full-cat_2	2	False	False	12	3	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k141_12587321__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_12596729__full-cat_2	2	False	False	6	2	0	False	0.3333333333333333	4.0	0.0	2.0	0.0	0.0	0.0
k141_12601022__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_12614981__full-cat_1	1	False	False	8	0	0	False	0.0	5.0	3.0	0.0	0.0	0.0	0.0
k141_12616059__full-cat_2	2	False	False	7	2	2	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_12621452__full-cat_2	2	False	False	4	1	0	False	0.25	3.0	0.0	1.0	0.0	0.0	0.0
k141_12628413__full-cat_1	1	False	False	15	0	3	False	0.06666666666666667	10.0	3.0	1.0	0.0	0.0	1.0
k141_12633388__full-cat_2	2	False	False	11	8	0	False	0.0	10.0	1.0	0.0	0.0	0.0	0.0
k141_12640848__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	6.0	0.0	1.0	0.0	0.0	0.0
k141_12647299__full-cat_2	2	False	False	8	2	0	False	0.0	7.0	0.0	1.0	0.0	0.0	0.0
k141_12660285__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_12663561__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_12665615__full-cat_2	2	False	False	8	1	1	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_12670809__full-cat_2	2	False	False	16	7	0	False	0.0	13.0	2.0	1.0	0.0	0.0	0.0
k141_12672958__full-cat_1	1	False	False	63	0	0	False	0.0	54.0	4.0	2.0	1.0	2.0	0.0
k141_12681860__full-cat_2	2	False	False	4	2	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_12885445__full_1-cat_2	2	False	False	7	2	0	False	0.0	2.0	2.0	1.0	1.0	1.0	0.0
k141_128859__full-cat_2	2	False	False	4	1	0	False	0.0	2.0	0.0	2.0	0.0	0.0	0.0
k141_12931231__full-cat_1	1	False	False	84	6	0	False	0.023809523809523808	74.0	6.0	3.0	0.0	1.0	0.0
k141_13116320__0_partial-cat_1	1	False	False	15	0	0	False	0.06666666666666667	14.0	0.0	1.0	0.0	0.0	0.0
k141_133972__full-cat_2	2	False	False	17	1	0	False	0.0	15.0	2.0	0.0	0.0	0.0	0.0
k141_13516341__0_partial_1-cat_1	1	False	False	16	1	2	False	0.0	13.0	1.0	0.0	1.0	1.0	0.0
k141_13605446__full-cat_1	1	False	False	72	2	0	False	0.0	63.0	5.0	4.0	0.0	0.0	0.0
k141_136306__full-cat_2	2	False	False	32	1	0	False	0.0	31.0	0.0	1.0	0.0	0.0	0.0
k141_13890542__full-cat_2	2	False	False	4	2	0	False	0.25	3.0	0.0	1.0	0.0	0.0	0.0
k141_13893860__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_13896500__full_1-cat_1	1	False	False	7	3	0	False	0.0	5.0	1.0	0.0	0.0	1.0	0.0
k141_13900174__full-cat_1	1	False	False	44	4	1	False	0.0	32.0	10.0	2.0	0.0	0.0	0.0
k141_13901088__full-cat_2	2	False	False	10	4	0	False	0.0	9.0	1.0	0.0	0.0	0.0	0.0
k141_13909643__full-cat_1	1	False	False	8	1	0	False	0.125	4.0	3.0	1.0	0.0	0.0	0.0
k141_13911023__full-cat_2	2	False	False	8	3	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_13914157__full-cat_2	2	False	False	7	5	0	True	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_13918586__full-cat_2	2	False	False	4	1	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
k141_13923254__full-cat_2	2	False	False	11	5	1	False	0.18181818181818182	9.0	0.0	2.0	0.0	0.0	0.0
k141_13926671__full-cat_1	1	False	False	15	2	0	False	0.0	8.0	6.0	0.0	0.0	1.0	0.0
k141_13930812__full-cat_1	1	False	False	22	1	0	False	0.0	18.0	3.0	0.0	1.0	0.0	0.0
k141_13956375__full-cat_1	1	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_13967655__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_13967896__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	6.0	0.0	1.0	0.0	0.0	0.0
k141_14002375__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_14008036__full-cat_2	2	False	False	13	0	0	False	0.07692307692307693	11.0	0.0	2.0	0.0	0.0	0.0
k141_14008144__full-cat_2	2	False	False	18	0	0	False	0.0	16.0	2.0	0.0	0.0	0.0	0.0
k141_14016578__full-cat_2	2	False	False	12	0	2	False	0.4166666666666667	7.0	0.0	5.0	0.0	0.0	0.0
k141_14023286__full-cat_1	1	False	False	19	1	0	False	0.10526315789473684	14.0	2.0	2.0	0.0	0.0	1.0
k141_14024963__full-cat_2	2	False	False	7	0	0	False	0.14285714285714285	6.0	0.0	1.0	0.0	0.0	0.0
k141_14035497__full-cat_1	1	False	False	8	2	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_14040707__full-cat_2	2	False	False	17	2	0	False	0.0	16.0	0.0	1.0	0.0	0.0	0.0
k141_14044969__full-cat_1	1	False	False	9	4	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_14061636__full-cat_1	1	False	False	7	0	0	False	0.0	3.0	2.0	1.0	0.0	1.0	0.0
k141_14072152__full-cat_1	1	False	False	4	1	0	False	0.25	3.0	0.0	1.0	0.0	0.0	0.0
k141_14076983__full-cat_2	2	False	False	21	2	0	False	0.047619047619047616	19.0	1.0	1.0	0.0	0.0	0.0
k141_14077882__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	4.0	0.0	2.0	0.0	0.0	0.0
k141_1407812__full-cat_2	2	False	False	8	6	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1411361__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1414399__full-cat_2	2	False	False	72	0	3	False	0.09722222222222222	55.0	7.0	10.0	0.0	0.0	0.0
k141_1416650__full-cat_2	2	False	False	5	3	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1420831__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	3.0	1.0	1.0	0.0	0.0	1.0
k141_1423579__full-cat_2	2	False	False	5	1	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_142442__full-cat_2	2	False	False	5	0	0	False	0.2	4.0	0.0	1.0	0.0	0.0	0.0
k141_1428170__full-cat_2	2	False	False	10	1	0	False	0.0	9.0	1.0	0.0	0.0	0.0	0.0
k141_1428265__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1428404__full_1-cat_1	1	False	False	5	0	0	False	0.0	1.0	1.0	0.0	0.0	1.0	2.0
k141_1428599__full-cat_1	1	False	False	46	0	0	False	0.021739130434782608	41.0	3.0	1.0	0.0	0.0	1.0
k141_1431029__full-cat_1	1	False	False	8	0	1	False	0.0	0.0	7.0	0.0	0.0	1.0	0.0
k141_14335166__full_1-cat_2	2	False	False	5	1	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_1447125__full-cat_1	1	False	False	15	0	0	False	0.13333333333333333	12.0	1.0	2.0	0.0	0.0	0.0
k141_1449176__full-cat_2	2	False	False	8	2	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1452993__full-cat_1	1	False	False	12	0	0	False	0.0	6.0	5.0	0.0	0.0	1.0	0.0
k141_1455948__full-cat_2	2	False	False	17	7	0	False	0.11764705882352941	14.0	1.0	2.0	0.0	0.0	0.0
k141_1457572__full-cat_2	2	False	False	10	4	0	False	0.0	9.0	0.0	0.0	1.0	0.0	0.0
k141_146931__full-cat_2	2	False	False	4	0	0	False	0.0	1.0	2.0	1.0	0.0	0.0	0.0
k141_14814004__full_1-cat_1	1	False	False	7	0	0	False	0.0	6.0	0.0	0.0	0.0	1.0	0.0
k141_1482454__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_1482484__full-cat_2	2	False	False	16	0	0	False	0.0	15.0	0.0	1.0	0.0	0.0	0.0
k141_1482530__full-cat_1	1	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_1488618__full-cat_2	2	False	False	10	5	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_1489399__full-cat_1	1	False	False	7	1	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_1491284__full-cat_1	1	False	False	8	0	0	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
k141_1495779__full-cat_2	2	False	False	10	0	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_1498542__full-cat_2	2	False	False	3	0	0	False	0.0	1.0	0.0	2.0	0.0	0.0	0.0
k141_150033__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1500540__full-cat_1	1	False	False	7	0	0	False	0.0	5.0	1.0	1.0	0.0	0.0	0.0
k141_1508087__full-cat_2	2	False	False	5	1	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_1509734__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	4.0	1.0	1.0	0.0	0.0	0.0
k141_1517188__full-cat_2	2	False	False	11	1	0	False	0.0	10.0	1.0	0.0	0.0	0.0	0.0
k141_1523930__full-cat_1	1	False	False	114	4	4	False	0.02631578947368421	94.0	12.0	4.0	0.0	1.0	3.0
k141_15279045__full-cat_2	2	False	False	28	3	0	False	0.0	26.0	1.0	1.0	0.0	0.0	0.0
k141_15279126__full-cat_2	2	False	False	7	4	0	False	0.2857142857142857	5.0	0.0	2.0	0.0	0.0	0.0
k141_15293914__full-cat_1	1	False	False	5	1	1	False	0.4	3.0	0.0	2.0	0.0	0.0	0.0
k141_15296622__full-cat_1	1	False	False	55	4	0	False	0.01818181818181818	47.0	5.0	3.0	0.0	0.0	0.0
k141_15301521__full-cat_2	2	False	False	16	9	0	False	0.0	14.0	2.0	0.0	0.0	0.0	0.0
k141_15306369__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_15306448__full-cat_2	2	False	False	8	3	1	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_15310305__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_15311225__full-cat_2	2	False	False	9	2	0	False	0.1111111111111111	7.0	0.0	2.0	0.0	0.0	0.0
k141_15315702__full-cat_2	2	False	False	7	0	0	False	0.2857142857142857	5.0	0.0	2.0	0.0	0.0	0.0
k141_15315909__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_15320266__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_15335428__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_15341421__full-cat_1	1	False	False	21	3	0	False	0.047619047619047616	12.0	1.0	2.0	1.0	5.0	0.0
k141_15356578__full-cat_2	2	False	False	10	1	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_15363937__full-cat_2	2	False	False	9	1	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_15375502__full-cat_2	2	False	False	5	2	0	True	0.0	3.0	0.0	2.0	0.0	0.0	0.0
k141_15377356__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	4.0	1.0	1.0	0.0	0.0	0.0
k141_1538368__full-cat_2	2	False	False	5	1	1	False	0.4	3.0	0.0	2.0	0.0	0.0	0.0
k141_15384934__full-cat_2	2	False	False	7	1	0	False	0.2857142857142857	5.0	0.0	2.0	0.0	0.0	0.0
k141_15402135__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_15407342__full-cat_2	2	False	False	10	3	0	False	0.0	8.0	1.0	1.0	0.0	0.0	0.0
k141_15409442__full-cat_1	1	False	False	12	0	0	False	0.16666666666666666	9.0	0.0	3.0	0.0	0.0	0.0
k141_15409914__full-cat_2	2	False	False	10	0	0	False	0.0	9.0	1.0	0.0	0.0	0.0	0.0
k141_15411621__full_1-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_15435655__full-cat_1	1	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_15443017__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_15450441__full-cat_2	2	False	False	5	3	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_15451622__full-cat_2	2	False	False	6	3	0	False	0.3333333333333333	4.0	0.0	2.0	0.0	0.0	0.0
k141_15455916__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_15456320__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	5.0	0.0	2.0	0.0	0.0	0.0
k141_15457194__full-cat_2	2	False	False	8	3	0	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
k141_1550967__full-cat_1	1	False	False	14	0	0	False	0.0	12.0	1.0	0.0	0.0	1.0	0.0
k141_1551740__full-cat_2	2	False	False	12	0	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k141_15531853__full_1-cat_1	1	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_15627096__full_1-cat_1	1	False	False	19	0	0	False	0.0	13.0	4.0	0.0	0.0	2.0	0.0
k141_1563018__full-cat_2	2	False	False	7	3	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_15650__full-cat_1	1	False	False	17	5	3	False	0.058823529411764705	16.0	0.0	1.0	0.0	0.0	0.0
k141_1572244__full-cat_2	2	False	False	7	2	0	True	0.0	5.0	2.0	0.0	0.0	0.0	0.0
k141_1572661__full-cat_2	2	False	False	3	0	0	False	0.0	2.0	1.0	0.0	0.0	0.0	0.0
k141_16522430__full-cat_1	1	False	False	70	4	0	False	0.0	63.0	5.0	0.0	0.0	0.0	2.0
k141_16640__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	3.0	1.0	2.0	0.0	0.0	0.0
k141_16679523__full-cat_2	2	False	False	12	3	0	False	0.16666666666666666	10.0	0.0	2.0	0.0	0.0	0.0
k141_16701215__full-cat_2	2	False	False	9	2	0	False	0.1111111111111111	7.0	1.0	1.0	0.0	0.0	0.0
k141_16701759__full-cat_2	2	False	False	11	3	0	False	0.0	11.0	0.0	0.0	0.0	0.0	0.0
k141_16705909__full-cat_2	2	False	False	7	2	1	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_16715359__full-cat_2	2	False	False	9	1	0	False	0.2222222222222222	7.0	0.0	2.0	0.0	0.0	0.0
k141_16730808__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_16747803__full-cat_2	2	False	False	33	2	1	False	0.030303030303030304	28.0	4.0	1.0	0.0	0.0	0.0
k141_16750302__full-cat_1	1	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_16750807__full-cat_2	2	False	False	10	3	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_16766962__full-cat_1	1	False	False	23	0	0	False	0.0	17.0	4.0	2.0	0.0	0.0	0.0
k141_16768971__full-cat_2	2	False	False	13	0	0	False	0.0	13.0	0.0	0.0	0.0	0.0	0.0
k141_16783278__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_16787801__full-cat_2	2	False	False	5	2	0	True	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_16792915__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	6.0	0.0	1.0	0.0	0.0	0.0
k141_16795404__full-cat_2	2	False	False	3	0	0	False	0.0	2.0	0.0	0.0	0.0	1.0	0.0
k141_167987__full-cat_1	1	False	False	11	5	1	False	0.0	10.0	1.0	0.0	0.0	0.0	0.0
k141_16799326__full-cat_1	1	False	False	15	4	0	False	0.0	15.0	0.0	0.0	0.0	0.0	0.0
k141_16800008__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_16804631__full-cat_2	2	False	False	6	3	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_16812043__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_16813484__full-cat_2	2	False	False	13	0	0	False	0.0	8.0	3.0	2.0	0.0	0.0	0.0
k141_16825243__full-cat_1	1	False	False	16	0	0	False	0.0	12.0	4.0	0.0	0.0	0.0	0.0
k141_16838472__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_16850546__full-cat_2	2	False	False	7	4	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_16985942__full-cat_1	1	False	False	82	8	1	False	0.036585365853658534	69.0	6.0	5.0	0.0	0.0	2.0
k141_17648421__full-cat_1	1	False	False	75	1	0	False	0.013333333333333334	67.0	2.0	5.0	0.0	1.0	0.0
k141_178681__full-cat_2	2	False	False	11	3	0	False	0.09090909090909091	10.0	0.0	1.0	0.0	0.0	0.0
k141_18036350__full_1-cat_1	1	False	False	8	0	0	False	0.0	5.0	3.0	0.0	0.0	0.0	0.0
k141_18065939__full-cat_1	1	False	False	14	0	2	False	0.0	13.0	0.0	1.0	0.0	0.0	0.0
k141_18071011__full-cat_2	2	False	False	8	3	0	False	0.375	5.0	0.0	3.0	0.0	0.0	0.0
k141_18071755__full-cat_2	2	False	False	7	5	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_18076760__full-cat_1	1	False	False	12	2	0	False	0.0	10.0	2.0	0.0	0.0	0.0	0.0
k141_18080770__full-cat_1	1	False	False	13	0	0	False	0.0	8.0	4.0	0.0	0.0	1.0	0.0
k141_18081755__full-cat_2	2	False	False	7	2	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_18090034__full-cat_1	1	False	False	15	2	0	False	0.06666666666666667	11.0	3.0	1.0	0.0	0.0	0.0
k141_18091691__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_18098624__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_18098725__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_18101503__full-cat_2	2	False	False	2	1	0	False	0.0	2.0	0.0	0.0	0.0	0.0	0.0
k141_18106412__full-cat_2	2	False	False	11	2	0	False	0.0	11.0	0.0	0.0	0.0	0.0	0.0
k141_18121394__full-cat_2	2	False	False	6	2	1	False	0.16666666666666666	4.0	1.0	1.0	0.0	0.0	0.0
k141_18125491__full-cat_1	1	False	False	11	1	0	False	0.0	7.0	1.0	2.0	0.0	1.0	0.0
k141_18134802__full-cat_1	1	False	False	4	0	0	False	0.0	1.0	1.0	0.0	0.0	2.0	0.0
k141_18140977__full-cat_2	2	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_18145848__full-cat_2	2	False	False	10	2	0	False	0.0	9.0	0.0	1.0	0.0	0.0	0.0
k141_18147858__full_1-cat_1	1	False	False	8	0	0	False	0.0	7.0	0.0	0.0	0.0	1.0	0.0
k141_18148603__full-cat_1	1	False	False	3	1	0	True	0.0	2.0	0.0	1.0	0.0	0.0	0.0
k141_18153850__full_1-cat_1	1	False	False	13	3	0	False	0.0	12.0	1.0	0.0	0.0	0.0	0.0
k141_18154277__full-cat_2	2	False	False	11	6	1	False	0.09090909090909091	10.0	0.0	1.0	0.0	0.0	0.0
k141_18155126__full-cat_2	2	False	False	7	1	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_18155925__full-cat_2	2	False	False	8	1	0	False	0.0	6.0	2.0	0.0	0.0	0.0	0.0
k141_18160612__full-cat_1	1	False	False	3	0	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_18165899__full-cat_1	1	False	False	35	3	0	False	0.0	31.0	2.0	1.0	0.0	1.0	0.0
