	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with host benefits	Viral genes with unknown function	Viral replication genes	Viral genes with viral benefits	Viral structure genes
k141_12297770__full-cat_1	1	False	False	20	7	0	False	0.0	18.0	1.0	1.0	0.0	0.0	0.0
k141_12316661__full-cat_2	2	False	False	18	1	0	False	0.1111111111111111	13.0	2.0	3.0	0.0	0.0	0.0
k141_12317134__full-cat_2	2	False	False	13	5	0	False	0.07692307692307693	12.0	1.0	0.0	0.0	0.0	0.0
k141_12318431__full-cat_1	1	False	False	71	2	1	False	0.014084507042253521	56.0	5.0	8.0	0.0	1.0	1.0
k141_123302__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_12349428__full-cat_1	1	False	False	5	0	0	False	0.0	3.0	0.0	2.0	0.0	0.0	0.0
k141_12363154__full-cat_1	1	False	False	11	0	0	False	0.0	9.0	1.0	1.0	0.0	0.0	0.0
k141_123721__full-cat_2	2	False	False	4	2	0	False	0.25	2.0	1.0	1.0	0.0	0.0	0.0
k141_12385194__full-cat_2	2	False	False	12	4	0	False	0.0	11.0	0.0	1.0	0.0	0.0	0.0
k141_12390034__full-cat_2	2	False	False	13	2	0	False	0.0	12.0	1.0	0.0	0.0	0.0	0.0
k141_12450029__full-cat_1	1	False	False	11	0	0	False	0.0	9.0	1.0	1.0	0.0	0.0	0.0
k141_12456150__full-cat_1	1	False	False	39	4	1	False	0.02564102564102564	37.0	1.0	1.0	0.0	0.0	0.0
k141_12460300__full-cat_2	2	False	False	7	2	0	False	0.0	6.0	1.0	0.0	0.0	0.0	0.0
k141_12493111__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_12495168__full-cat_2	2	False	False	5	1	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_12500215__full-cat_2	2	False	False	5	2	0	False	0.4	3.0	2.0	0.0	0.0	0.0	0.0
k141_12501230__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_12514988__full-cat_2	2	False	False	4	1	0	False	0.0	2.0	2.0	0.0	0.0	0.0	0.0
k141_12545687__full-cat_2	2	False	False	9	1	0	False	0.0	8.0	1.0	0.0	0.0	0.0	0.0
k141_12553907__full-cat_2	2	False	False	19	2	0	False	0.05263157894736842	15.0	2.0	2.0	0.0	0.0	0.0
k141_12562384__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_12574677__full-cat_1	1	False	False	7	0	0	False	0.14285714285714285	6.0	1.0	0.0	0.0	0.0	0.0
k141_12574765__full-cat_1	1	False	False	11	1	0	False	0.0	10.0	1.0	0.0	0.0	0.0	0.0
k141_12578937__full-cat_2	2	False	False	10	2	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_12579174__full-cat_1	1	False	False	15	0	0	False	0.0	10.0	1.0	3.0	0.0	0.0	1.0
k141_12599455__full-cat_1	1	False	False	17	0	0	False	0.0	15.0	1.0	1.0	0.0	0.0	0.0
k141_12602335__full-cat_2	2	False	False	8	4	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_12605219__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_12608124__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	5.0	1.0	0.0	0.0	0.0	0.0
k141_12613935__full-cat_1	1	False	False	26	5	0	False	0.0	25.0	0.0	1.0	0.0	0.0	0.0
k141_12624429__full-cat_2	2	False	False	9	0	0	False	0.0	6.0	1.0	2.0	0.0	0.0	0.0
k141_12812474__full-cat_1	1	False	False	179	28	4	True	0.0335195530726257	152.0	8.0	17.0	2.0	0.0	0.0
k141_12882802__full-cat_2	2	False	False	23	0	0	False	0.0	23.0	0.0	0.0	0.0	0.0	0.0
k141_13491199__full-cat_1	1	False	False	233	14	5	True	0.03862660944206009	135.0	25.0	65.0	6.0	1.0	1.0
k141_13694076__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_13708958__full-cat_2	2	False	False	22	0	0	False	0.0	21.0	0.0	1.0	0.0	0.0	0.0
k141_13722287__full-cat_2	2	False	False	6	0	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
k141_13742095__full-cat_2	2	False	False	23	1	0	False	0.0	23.0	0.0	0.0	0.0	0.0	0.0
k141_13757020__full-cat_2	2	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_13760000__full-cat_1	1	False	False	77	4	1	False	0.0	41.0	9.0	26.0	0.0	0.0	1.0
k141_13791382__full-cat_1	1	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_13798071__full-cat_2	2	False	False	8	0	0	False	0.125	5.0	3.0	0.0	0.0	0.0	0.0
k141_13806062__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_13824093__full-cat_2	2	False	False	13	1	0	False	0.07692307692307693	9.0	1.0	3.0	0.0	0.0	0.0
k141_13829239__full-cat_2	2	False	False	8	3	1	False	0.125	7.0	1.0	0.0	0.0	0.0	0.0
k141_13832986__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_13835307__full-cat_1	1	False	False	11	0	0	False	0.0	10.0	1.0	0.0	0.0	0.0	0.0
k141_13846994__full-cat_2	2	False	False	8	0	1	False	0.375	5.0	3.0	0.0	0.0	0.0	0.0
k141_13859690__full-cat_2	2	False	False	13	6	0	False	0.07692307692307693	11.0	2.0	0.0	0.0	0.0	0.0
k141_13883792__full-cat_1	1	False	False	12	1	0	False	0.0	11.0	0.0	0.0	1.0	0.0	0.0
k141_13908437__full-cat_2	2	False	False	5	2	0	False	0.2	4.0	1.0	0.0	0.0	0.0	0.0
k141_13927485__full-cat_2	2	False	False	8	4	1	False	0.0	7.0	0.0	1.0	0.0	0.0	0.0
k141_13959793__full-cat_1	1	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_13968745__full_1-cat_1	1	False	False	8	0	0	False	0.0	5.0	0.0	3.0	0.0	0.0	0.0
k141_13998513__full-cat_2	2	False	False	6	0	0	False	0.0	5.0	0.0	1.0	0.0	0.0	0.0
k141_14000673__full-cat_2	2	False	False	3	2	0	False	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k141_14011006__full-cat_1	1	False	False	9	0	0	False	0.0	6.0	2.0	0.0	0.0	0.0	1.0
k141_14031636__full-cat_2	2	False	False	9	1	0	False	0.0	5.0	1.0	2.0	0.0	1.0	0.0
k141_14032442__full-cat_1	1	False	False	8	0	0	False	0.0	5.0	0.0	2.0	0.0	0.0	1.0
k141_14047091__full-cat_2	2	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_14047367__full-cat_2	2	False	False	7	0	0	False	0.0	5.0	0.0	2.0	0.0	0.0	0.0
k141_14053712__full-cat_1	1	False	False	49	1	0	False	0.02040816326530612	45.0	3.0	1.0	0.0	0.0	0.0
k141_14060255__full-cat_2	2	False	False	25	1	0	False	0.0	22.0	1.0	2.0	0.0	0.0	0.0
k141_14062002__full-cat_2	2	False	False	6	3	0	False	0.0	4.0	0.0	2.0	0.0	0.0	0.0
k141_14087222__full-cat_2	2	False	False	12	0	0	False	0.08333333333333333	9.0	2.0	1.0	0.0	0.0	0.0
k141_14094635__full-cat_2	2	False	False	6	2	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_14099230__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_14103491__full-cat_1	1	False	False	8	0	0	False	0.0	4.0	0.0	3.0	0.0	0.0	1.0
k141_14115033__full-cat_1	1	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_14122659__full-cat_1	1	False	False	12	0	0	False	0.0	10.0	0.0	2.0	0.0	0.0	0.0
k141_144080__full-cat_1	1	False	False	18	2	0	False	0.0	12.0	0.0	5.0	0.0	0.0	1.0
k141_14465__full-cat_2	2	False	False	10	0	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_15224294__full-cat_2	2	False	False	18	0	1	False	0.05555555555555555	17.0	1.0	0.0	0.0	0.0	0.0
k141_15237403__full-cat_2	2	False	False	10	2	0	False	0.1	9.0	1.0	0.0	0.0	0.0	0.0
k141_15245161__full-cat_2	2	False	False	24	1	0	False	0.0	23.0	0.0	1.0	0.0	0.0	0.0
k141_15265539__full-cat_2	2	False	False	8	1	0	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
k141_15280723__full-cat_2	2	False	False	10	3	0	False	0.1	8.0	1.0	1.0	0.0	0.0	0.0
k141_15285650__full-cat_2	2	False	False	9	4	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_15290804__full-cat_1	1	False	False	66	4	0	False	0.0	49.0	1.0	14.0	0.0	0.0	2.0
k141_15291054__full-cat_2	2	False	False	17	0	1	False	0.058823529411764705	14.0	1.0	2.0	0.0	0.0	0.0
k141_15296629__full-cat_2	2	False	False	18	2	1	False	0.1111111111111111	14.0	3.0	1.0	0.0	0.0	0.0
k141_15307672__full-cat_1	1	False	False	25	0	0	False	0.0	22.0	1.0	2.0	0.0	0.0	0.0
k141_153084__full-cat_2	2	False	False	9	0	0	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
k141_1531156__full-cat_2	2	False	False	4	2	0	False	0.25	3.0	1.0	0.0	0.0	0.0	0.0
k141_15342771__full-cat_1	1	False	False	8	0	0	False	0.0	3.0	1.0	2.0	0.0	0.0	2.0
k141_15354466__full-cat_2	2	False	False	12	1	0	False	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k141_15357206__full-cat_2	2	False	False	8	3	0	False	0.125	7.0	1.0	0.0	0.0	0.0	0.0
k141_15358384__full-cat_1	1	False	False	12	1	0	False	0.0	7.0	0.0	4.0	0.0	0.0	1.0
k141_15372157__full-cat_2	2	False	False	9	0	0	False	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k141_15381645__full-cat_2	2	False	False	8	2	0	False	0.0	6.0	0.0	2.0	0.0	0.0	0.0
k141_15392626__full-cat_2	2	False	False	22	1	0	False	0.0	20.0	0.0	2.0	0.0	0.0	0.0
k141_15395625__full-cat_1	1	False	False	5	0	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
k141_15421816__full-cat_1	1	False	False	11	0	0	False	0.0	6.0	2.0	2.0	0.0	0.0	1.0
k141_15433880__full-cat_1	1	False	False	11	1	0	False	0.0	8.0	0.0	2.0	0.0	0.0	1.0
k141_15439715__full-cat_1	1	False	False	7	0	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_15444178__full-cat_1	1	False	False	10	0	0	False	0.0	10.0	0.0	0.0	0.0	0.0	0.0
k141_15447133__full-cat_1	1	False	False	67	0	0	False	0.0	49.0	3.0	10.0	2.0	0.0	3.0
k141_15467247__full-cat_2	2	False	False	9	0	1	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
k141_15477708__full-cat_2	2	False	False	87	11	0	False	0.0	84.0	1.0	1.0	0.0	1.0	0.0
k141_15479828__full-cat_1	1	False	False	44	1	1	False	0.022727272727272728	38.0	3.0	1.0	1.0	0.0	1.0
k141_1548739__full-cat_2	2	False	False	4	0	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_15496032__full-cat_2	2	False	False	26	0	0	False	0.0	26.0	0.0	0.0	0.0	0.0	0.0
k141_15497973__full-cat_2	2	False	False	3	1	0	False	0.0	2.0	0.0	1.0	0.0	0.0	0.0
k141_15501499__full-cat_2	2	False	False	7	3	0	False	0.2857142857142857	5.0	2.0	0.0	0.0	0.0	0.0
k141_1551652__full-cat_2	2	False	False	4	2	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_15523880__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_15531234__0_partial-cat_1	1	False	False	15	1	0	False	0.06666666666666667	14.0	1.0	0.0	0.0	0.0	0.0
k141_15546689__full-cat_1	1	False	False	25	3	0	False	0.0	20.0	1.0	3.0	1.0	0.0	0.0
k141_15554332__full-cat_2	2	False	False	5	0	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_15567170__full-cat_2	2	False	False	8	0	0	False	0.0	7.0	1.0	0.0	0.0	0.0	0.0
k141_15569573__full-cat_1	1	False	False	22	1	0	False	0.0	22.0	0.0	0.0	0.0	0.0	0.0
k141_15600434__full-cat_2	2	False	False	6	3	0	True	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_156034__full-cat_2	2	False	False	13	0	2	False	0.15384615384615385	8.0	2.0	3.0	0.0	0.0	0.0
k141_15620896__full-cat_2	2	False	False	4	1	0	False	0.75	1.0	3.0	0.0	0.0	0.0	0.0
k141_15622619__full-cat_1	1	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_15625933__full-cat_2	2	False	False	29	1	4	False	0.13793103448275862	24.0	4.0	1.0	0.0	0.0	0.0
k141_15626721__full-cat_2	2	False	False	8	3	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_15628776__full-cat_1	1	False	False	20	1	0	False	0.0	19.0	1.0	0.0	0.0	0.0	0.0
k141_15641990__full-cat_2	2	False	False	5	1	0	False	0.0	3.0	1.0	1.0	0.0	0.0	0.0
k141_15649179__full-cat_2	2	False	False	6	0	0	False	0.8333333333333334	1.0	5.0	0.0	0.0	0.0	0.0
k141_1565421__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	1.0	1.0	0.0	2.0	0.0
k141_15657148__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_15664706__full-cat_1	1	False	False	40	0	0	False	0.0	37.0	1.0	0.0	0.0	0.0	2.0
k141_15668775__full-cat_2	2	False	False	7	1	1	False	0.14285714285714285	5.0	1.0	1.0	0.0	0.0	0.0
k141_15677847__full-cat_1	1	False	False	39	0	0	False	0.0	33.0	1.0	4.0	1.0	0.0	0.0
k141_1568303__full-cat_2	2	False	False	6	0	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_1586921__full-cat_2	2	False	False	10	5	1	False	0.1	7.0	2.0	1.0	0.0	0.0	0.0
k141_1593893__full-cat_2	2	False	False	12	0	0	False	0.08333333333333333	10.0	1.0	1.0	0.0	0.0	0.0
k141_1616106__full-cat_1	1	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_1636577__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5.0	1.0	0.0	0.0	0.0	0.0
k141_1638566__full-cat_2	2	False	False	11	0	0	False	0.09090909090909091	10.0	1.0	0.0	0.0	0.0	0.0
k141_1652057__full-cat_2	2	False	False	8	3	0	False	0.125	7.0	1.0	0.0	0.0	0.0	0.0
k141_1669673__full-cat_1	1	False	False	6	1	0	False	0.0	4.0	1.0	1.0	0.0	0.0	0.0
k141_16758813__full-cat_1	1	False	False	9	4	0	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
k141_16759892__full-cat_2	2	False	False	13	1	0	False	0.0	11.0	1.0	1.0	0.0	0.0	0.0
k141_16759946__full-cat_2	2	False	False	17	0	0	False	0.0	15.0	1.0	1.0	0.0	0.0	0.0
k141_16761130__full-cat_1	1	False	False	12	1	0	False	0.0	6.0	3.0	3.0	0.0	0.0	0.0
k141_16776336__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_16796399__full-cat_1	1	False	False	13	1	0	False	0.07692307692307693	9.0	1.0	3.0	0.0	0.0	0.0
k141_16814535__full-cat_2	2	False	False	6	0	0	False	0.3333333333333333	4.0	2.0	0.0	0.0	0.0	0.0
k141_16822522__full-cat_2	2	False	False	33	1	4	False	0.06060606060606061	29.0	2.0	2.0	0.0	0.0	0.0
k141_16834963__full-cat_2	2	False	False	13	6	0	False	0.0	13.0	0.0	0.0	0.0	0.0	0.0
k141_16839365__full-cat_2	2	False	False	13	5	2	False	0.07692307692307693	11.0	2.0	0.0	0.0	0.0	0.0
k141_16841964__full-cat_2	2	False	False	18	1	0	False	0.0	17.0	0.0	1.0	0.0	0.0	0.0
k141_16843962__full-cat_1	1	False	False	8	2	0	False	0.0	6.0	1.0	1.0	0.0	0.0	0.0
k141_16859574__full-cat_2	2	False	False	4	1	0	False	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k141_16869607__full-cat_2	2	False	False	18	3	0	False	0.0	16.0	1.0	1.0	0.0	0.0	0.0
k141_16874778__full-cat_1	1	False	False	4	0	0	False	0.0	3.0	0.0	1.0	0.0	0.0	0.0
k141_16875565__full-cat_2	2	False	False	7	1	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
k141_16883277__full-cat_2	2	False	False	21	2	0	False	0.0	16.0	1.0	3.0	1.0	0.0	0.0
k141_16894925__full-cat_2	2	False	False	11	0	0	False	0.0	11.0	0.0	0.0	0.0	0.0	0.0
k141_16896374__full-cat_2	2	False	False	7	2	0	False	0.0	5.0	1.0	1.0	0.0	0.0	0.0
k141_16912309__full-cat_2	2	False	False	10	0	0	False	0.2	8.0	2.0	0.0	0.0	0.0	0.0
k141_16951296__full-cat_2	2	False	False	8	0	0	False	0.125	4.0	1.0	2.0	1.0	0.0	0.0
k141_16961488__full-cat_2	2	False	False	17	0	0	False	0.058823529411764705	16.0	1.0	0.0	0.0	0.0	0.0
k141_16964153__full-cat_2	2	False	False	6	1	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_16964157__full-cat_2	2	False	False	9	3	0	False	0.1111111111111111	7.0	1.0	1.0	0.0	0.0	0.0
k141_16966937__full-cat_2	2	False	False	5	0	0	False	0.2	4.0	1.0	0.0	0.0	0.0	0.0
k141_16968989__full-cat_2	2	False	False	7	3	0	False	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k141_16993870__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	0.0	1.0	0.0	0.0	0.0
k141_17004431__full-cat_2	2	False	False	5	0	0	False	0.0	4.0	1.0	0.0	0.0	0.0	0.0
k141_17006484__full-cat_1	1	False	False	19	0	0	False	0.0	15.0	2.0	2.0	0.0	0.0	0.0
k141_17023737__full-cat_2	2	False	False	7	1	0	False	0.0	6.0	0.0	1.0	0.0	0.0	0.0
k141_17024196__full-cat_2	2	False	False	8	0	0	False	0.0	7.0	0.0	1.0	0.0	0.0	0.0
k141_17030857__full-cat_1	1	False	False	104	4	0	False	0.038461538461538464	86.0	6.0	10.0	2.0	0.0	0.0
k141_17038397__full-cat_1	1	False	False	66	3	2	False	0.015151515151515152	61.0	2.0	3.0	0.0	0.0	0.0
k141_17049214__full-cat_2	2	False	False	13	1	0	True	0.0	12.0	1.0	0.0	0.0	0.0	0.0
k141_17074718__full-cat_2	2	False	False	13	0	0	False	0.0	12.0	0.0	1.0	0.0	0.0	0.0
k141_1707753__full-cat_2	2	False	False	6	2	0	False	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k141_17089395__full-cat_2	2	False	False	4	1	0	False	0.25	1.0	2.0	0.0	0.0	1.0	0.0
k141_17100703__full-cat_1	1	False	False	12	2	0	False	0.08333333333333333	9.0	1.0	2.0	0.0	0.0	0.0
k141_17110189__full-cat_2	2	False	False	5	2	0	False	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k141_17127281__full-cat_2	2	False	False	9	5	0	False	0.0	8.0	0.0	1.0	0.0	0.0	0.0
k141_17128299__full-cat_1	1	False	False	6	0	0	False	0.0	5.0	1.0	0.0	0.0	0.0	0.0
k141_17131181__full-cat_2	2	False	False	17	0	1	False	0.058823529411764705	15.0	2.0	0.0	0.0	0.0	0.0
k141_17140928__full-cat_1	1	False	False	8	0	0	False	0.0	8.0	0.0	0.0	0.0	0.0	0.0
k141_17151422__full-cat_2	2	False	False	27	1	2	False	0.037037037037037035	25.0	1.0	1.0	0.0	0.0	0.0
