	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with host benefits	Viral genes with unknown function	Viral genes with viral benefits	Viral replication genes	Viral structure genes
k141_13790395__full-cat_1	1	False	False	20	2	0	False	0.0	17	0.0	3.0	0.0	0.0	0.0
k141_13790634__full-cat_1	1	False	False	6	0	0	False	0.0	3	2.0	0.0	1.0	0.0	0.0
k141_13806014__full-cat_2	2	False	False	3	0	1	False	0.0	3	0.0	0.0	0.0	0.0	0.0
k141_13812023__full-cat_1	1	False	False	26	2	0	False	0.0	23	0.0	2.0	0.0	1.0	0.0
k141_14895834__full-cat_2	2	False	False	8	3	0	False	0.25	6	2.0	0.0	0.0	0.0	0.0
k141_14901286__full-cat_2	2	False	False	13	1	2	False	0.07692307692307693	12	1.0	0.0	0.0	0.0	0.0
k141_14905620__full-cat_2	2	False	False	6	1	0	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_14908563__full-cat_2	2	False	False	5	0	0	False	0.4	3	2.0	0.0	0.0	0.0	0.0
k141_14908913__full-cat_1	1	False	False	29	2	1	False	0.06896551724137931	25	2.0	2.0	0.0	0.0	0.0
k141_14914003__full-cat_2	2	False	False	14	0	0	False	0.0	13	0.0	1.0	0.0	0.0	0.0
k141_14918539__full-cat_2	2	False	False	9	0	0	False	0.0	7	0.0	0.0	1.0	1.0	0.0
k141_14922325__full-cat_2	2	False	False	5	3	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_14929914__full-cat_2	2	False	False	9	3	1	False	0.0	8	0.0	1.0	0.0	0.0	0.0
k141_14934823__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_14941461__full-cat_2	2	False	False	10	3	0	False	0.1	9	1.0	0.0	0.0	0.0	0.0
k141_14947540__full-cat_2	2	False	False	5	3	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_14962367__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_14972488__full-cat_2	2	False	False	10	3	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
k141_14983675__full-cat_1	1	False	False	31	0	0	False	0.0	19	2.0	6.0	0.0	2.0	2.0
k141_14984380__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_14986202__full-cat_1	1	False	False	19	0	0	False	0.0	17	0.0	1.0	0.0	1.0	0.0
k141_14991879__full-cat_2	2	False	False	5	1	0	False	0.0	4	0.0	1.0	0.0	0.0	0.0
k141_15010832__full-cat_1	1	False	False	10	2	0	False	0.0	9	0.0	1.0	0.0	0.0	0.0
k141_15025492__full-cat_1	1	False	False	8	0	0	False	0.0	6	0.0	1.0	0.0	1.0	0.0
k141_15031555__full-cat_2	2	False	False	11	0	0	False	0.09090909090909091	8	1.0	2.0	0.0	0.0	0.0
k141_15033522__full-cat_1	1	False	False	11	0	0	False	0.0	9	0.0	1.0	0.0	1.0	0.0
k141_15037247__full-cat_2	2	False	False	7	5	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_15056982__full-cat_2	2	False	False	5	0	0	False	0.0	3	0.0	2.0	0.0	0.0	0.0
k141_15057713__full-cat_2	2	False	False	5	1	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
k141_15060000__full-cat_2	2	False	False	3	0	0	False	0.0	2	0.0	1.0	0.0	0.0	0.0
k141_15076601__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	4	1.0	1.0	0.0	0.0	0.0
k141_15089322__full-cat_2	2	False	False	5	1	0	False	0.0	4	0.0	0.0	0.0	1.0	0.0
k141_15089792__full-cat_1	1	False	False	4	0	0	False	0.0	2	0.0	2.0	0.0	0.0	0.0
k141_15092198__full-cat_2	2	False	False	8	3	0	True	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_15094762__full-cat_2	2	False	False	6	2	1	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_15101127__full-cat_2	2	False	False	7	1	0	False	0.42857142857142855	4	3.0	0.0	0.0	0.0	0.0
k141_15102346__full-cat_2	2	False	False	8	3	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_15102584__full-cat_1	1	False	False	5	3	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
k141_15114894__full-cat_2	2	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_15117225__full-cat_2	2	False	False	6	2	0	False	0.3333333333333333	4	2.0	0.0	0.0	0.0	0.0
k141_15118799__full-cat_2	2	False	False	8	1	0	False	0.0	7	0.0	0.0	0.0	1.0	0.0
k141_15122752__full-cat_2	2	False	False	4	2	0	False	0.0	3	0.0	0.0	0.0	1.0	0.0
k141_15129435__full-cat_2	2	False	False	3	0	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
k141_15148626__full-cat_1	1	False	False	19	0	0	False	0.0	13	1.0	2.0	0.0	1.0	2.0
k141_15173894__full-cat_2	2	False	False	5	0	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
k141_15174342__full-cat_2	2	False	False	7	1	0	False	0.0	5	0.0	0.0	0.0	2.0	0.0
k141_15188820__full-cat_2	2	False	False	3	2	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
k141_15198777__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_16306118__full-cat_2	2	False	False	5	3	0	False	0.0	4	0.0	0.0	0.0	1.0	0.0
k141_16320407__full-cat_2	2	False	False	7	0	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_16336264__full-cat_2	2	False	False	7	0	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_16373468__full-cat_2	2	False	False	4	2	0	False	0.5	2	2.0	0.0	0.0	0.0	0.0
k141_16375158__full-cat_2	2	False	False	5	1	1	False	0.2	3	1.0	1.0	0.0	0.0	0.0
k141_16381629__full-cat_2	2	False	False	5	2	0	True	0.0	3	0.0	0.0	0.0	2.0	0.0
k141_16391738__full-cat_2	2	False	False	6	1	0	False	0.0	5	0.0	0.0	0.0	1.0	0.0
k141_16398377__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_16399353__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_16402344__full-cat_2	2	False	False	7	3	0	False	0.2857142857142857	5	2.0	0.0	0.0	0.0	0.0
k141_16407949__full-cat_2	2	False	False	4	0	0	False	0.25	3	1.0	0.0	0.0	0.0	0.0
k141_16415367__full-cat_2	2	False	False	6	3	0	False	0.0	5	1.0	0.0	0.0	0.0	0.0
k141_16435038__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_16438494__full-cat_1	1	False	False	10	1	0	False	0.0	7	0.0	2.0	0.0	1.0	0.0
k141_16457138__full-cat_2	2	False	False	17	6	1	False	0.0	16	0.0	1.0	0.0	0.0	0.0
k141_16457282__full-cat_1	1	False	False	3	1	0	False	0.0	2	0.0	0.0	0.0	1.0	0.0
k141_16461125__full-cat_1	1	False	False	11	0	0	False	0.0	9	0.0	1.0	0.0	1.0	0.0
k141_16463943__full-cat_2	2	False	False	8	3	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_16476939__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_16481864__full-cat_2	2	False	False	7	0	1	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_16483380__full-cat_1	1	False	False	16	0	0	False	0.0	13	0.0	2.0	0.0	0.0	1.0
k141_16497680__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_16504172__full-cat_2	2	False	False	7	1	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_16506310__full-cat_2	2	False	False	7	0	0	False	0.2857142857142857	4	2.0	0.0	0.0	1.0	0.0
k141_16523611__full-cat_2	2	False	False	12	0	0	False	0.0	12	0.0	0.0	0.0	0.0	0.0
k141_16525843__full-cat_2	2	False	False	7	0	0	False	0.14285714285714285	6	1.0	0.0	0.0	0.0	0.0
k141_16529852__full-cat_2	2	False	False	7	0	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_16534618__full-cat_2	2	False	False	6	0	0	False	0.3333333333333333	4	2.0	0.0	0.0	0.0	0.0
k141_16548895__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_16558627__full-cat_2	2	False	False	8	3	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_16559871__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_16576932__full-cat_2	2	False	False	7	3	1	False	0.0	6	0.0	1.0	0.0	0.0	0.0
k141_16589898__full-cat_2	2	False	False	11	0	0	False	0.09090909090909091	10	1.0	0.0	0.0	0.0	0.0
k141_16590770__full-cat_1	1	False	False	78	4	1	False	0.01282051282051282	68	2.0	6.0	0.0	2.0	0.0
k141_16614092__full-cat_2	2	False	False	4	1	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_17690756__full-cat_2	2	False	False	25	0	0	False	0.04	21	1.0	2.0	0.0	1.0	0.0
k141_17695513__full-cat_2	2	False	False	21	2	0	False	0.0	20	0.0	1.0	0.0	0.0	0.0
k141_17712443__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_17721513__full-cat_2	2	False	False	15	0	0	False	0.0	15	0.0	0.0	0.0	0.0	0.0
k141_17722567__full-cat_1	1	False	False	11	4	0	False	0.0	8	0.0	0.0	1.0	2.0	0.0
k141_17758867__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_17763579__full-cat_2	2	False	False	13	0	0	False	0.0	10	1.0	2.0	0.0	0.0	0.0
k141_17767927__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_17777340__full-cat_2	2	False	False	5	2	0	False	0.4	3	2.0	0.0	0.0	0.0	0.0
k141_17788077__full-cat_2	2	False	False	3	1	0	False	0.0	2	0.0	0.0	0.0	0.0	1.0
k141_17792942__full-cat_1	1	False	False	5	3	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
k141_17793318__full-cat_2	2	False	False	6	1	0	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_17803434__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_17813272__full-cat_1	1	False	False	8	1	0	False	0.0	5	0.0	0.0	1.0	2.0	0.0
k141_17819065__full-cat_2	2	False	False	6	4	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
