	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral genes with host benefits	Viral hypothetical genes	Viral genes with unknown function	Viral replication genes	Viral structure genes	Viral genes with viral benefits
k141_1139773__full-cat_1	1	False	False	15	2	0	False	0.0	0.0	13	2.0	0.0	0.0	0.0
k141_11433740__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	3	2.0	0.0	0.0	0.0
k141_11436037__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	1.0	5	1.0	0.0	0.0	0.0
k141_11445948__full-cat_1	1	False	False	26	0	0	False	0.0	0.0	23	3.0	0.0	0.0	0.0
k141_11466940__full-cat_2	2	False	False	15	0	0	False	0.0	0.0	11	3.0	1.0	0.0	0.0
k141_11500908__full-cat_1	1	False	False	9	2	0	False	0.1111111111111111	1.0	8	0.0	0.0	0.0	0.0
k141_11543620__full-cat_1	1	False	False	8	3	0	False	0.0	0.0	7	1.0	0.0	0.0	0.0
k141_11608472__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_1169176__full-cat_1	1	False	False	17	1	0	False	0.0	0.0	14	2.0	0.0	0.0	1.0
k141_11702180__full-cat_1	1	False	False	7	1	0	False	0.0	0.0	7	0.0	0.0	0.0	0.0
k141_11716605__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_1172189__full-cat_2	2	False	False	13	0	0	False	0.07692307692307693	1.0	9	3.0	0.0	0.0	0.0
k141_11753068__full-cat_1	1	False	False	7	4	0	False	0.0	0.0	7	0.0	0.0	0.0	0.0
k141_12646796__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	7	1.0	0.0	0.0	0.0
k141_12663922__full-cat_2	2	False	False	9	2	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_12665334__full-cat_1	1	False	False	10	1	0	False	0.0	0.0	5	3.0	0.0	1.0	1.0
k141_12676774__full-cat_2	2	False	False	13	2	0	False	0.07692307692307693	1.0	11	0.0	1.0	0.0	0.0
k141_12707176__full-cat_1	1	False	False	6	0	0	False	0.0	0.0	4	1.0	0.0	1.0	0.0
k141_12778615__full-cat_1	1	False	False	9	0	1	False	0.0	0.0	6	2.0	0.0	1.0	0.0
k141_12790137__full-cat_2	2	False	False	9	1	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_12796294__full-cat_1	1	False	False	12	1	0	False	0.0	0.0	11	1.0	0.0	0.0	0.0
k141_12798643__full-cat_1	1	False	False	10	0	0	False	0.0	0.0	8	1.0	0.0	1.0	0.0
k141_12829732__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_12856838__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	6	1.0	0.0	0.0	0.0
k141_12862503__full-cat_2	2	False	False	18	0	0	False	0.0	0.0	16	2.0	0.0	0.0	0.0
k141_12862798__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	4	1.0	0.0	0.0	0.0
k141_12872736__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_12877207__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	1.0	5	0.0	0.0	0.0	0.0
k141_12898834__full-cat_1	1	False	False	16	0	0	False	0.0	0.0	15	0.0	1.0	0.0	0.0
k141_12899677__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_12910488__full-cat_2	2	False	False	14	0	0	False	0.0	0.0	13	1.0	0.0	0.0	0.0
k141_12926758__full-cat_1	1	False	False	36	2	0	False	0.0	0.0	30	4.0	1.0	0.0	1.0
k141_12928249__full-cat_2	2	False	False	5	4	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_13044352__full-cat_2	2	False	False	14	1	3	False	0.0	0.0	13	1.0	0.0	0.0	0.0
k141_13052507__full-cat_1	1	False	False	111	3	4	False	0.02702702702702703	3.0	103	4.0	0.0	1.0	0.0
k141_13071063__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3	0.0	0.0	0.0	0.0
k141_13076377__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_13113388__full-cat_2	2	False	False	10	2	0	False	0.2	2.0	8	0.0	0.0	0.0	0.0
k141_13135342__full-cat_2	2	False	False	23	1	2	False	0.043478260869565216	1.0	21	0.0	0.0	0.0	1.0
k141_13140296__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_13152977__full-cat_2	2	False	False	16	1	0	False	0.0	0.0	16	0.0	0.0	0.0	0.0
k141_13158998__full-cat_2	2	False	False	8	2	0	False	0.125	1.0	7	0.0	0.0	0.0	0.0
k141_13277954__full-cat_1	1	False	False	17	1	0	False	0.0	0.0	16	1.0	0.0	0.0	0.0
k141_13283757__full-cat_1	1	False	False	5	0	0	False	0.0	0.0	3	1.0	0.0	0.0	1.0
k141_13309063__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	1.0	6	0.0	0.0	0.0	0.0
k141_13314303__full-cat_1	1	False	False	10	0	0	False	0.0	0.0	7	0.0	0.0	2.0	1.0
k141_13327467__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_13332422__full-cat_2	2	False	False	7	2	1	False	0.14285714285714285	1.0	4	1.0	1.0	0.0	0.0
k141_13339938__full-cat_2	2	False	False	11	2	0	False	0.0	0.0	11	0.0	0.0	0.0	0.0
k141_13348044__full-cat_2	2	False	False	10	1	0	False	0.0	0.0	7	3.0	0.0	0.0	0.0
k141_14153100__full-cat_2	2	False	False	4	1	0	False	0.25	1.0	3	0.0	0.0	0.0	0.0
k141_14158698__full-cat_1	1	False	False	7	0	0	False	0.0	0.0	6	0.0	0.0	0.0	1.0
k141_14162914__full-cat_1	1	False	False	24	0	0	False	0.0	0.0	22	0.0	1.0	0.0	1.0
k141_14164466__full-cat_2	2	False	False	7	3	1	False	0.14285714285714285	1.0	5	1.0	0.0	0.0	0.0
k141_14165665__full-cat_2	2	False	False	9	2	0	False	0.0	0.0	6	2.0	1.0	0.0	0.0
k141_14171090__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_14279897__full-cat_2	2	False	False	12	0	0	False	0.0	0.0	11	1.0	0.0	0.0	0.0
k141_14289959__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	4	1.0	0.0	0.0	0.0
k141_14295944__full-cat_2	2	False	False	8	1	1	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_14308097__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_14345786__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_14363759__full-cat_2	2	False	False	10	2	0	False	0.0	0.0	10	0.0	0.0	0.0	0.0
k141_14374021__full-cat_2	2	False	False	8	4	0	False	0.0	0.0	7	0.0	1.0	0.0	0.0
k141_14374377__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_14407596__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_14407985__full-cat_1	1	False	False	12	0	0	False	0.0	0.0	10	0.0	1.0	0.0	1.0
k141_14408422__full-cat_1	1	False	False	10	0	0	False	0.1	1.0	7	2.0	0.0	0.0	0.0
k141_14436758__full-cat_2	2	False	False	8	3	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_14443167__full-cat_1	1	False	False	82	2	0	False	0.024390243902439025	2.0	66	7.0	1.0	3.0	3.0
k141_14448873__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	3	0.0	0.0	0.0	1.0
k141_14460311__full-cat_1	1	False	False	17	1	0	False	0.0	0.0	14	1.0	1.0	0.0	1.0
k141_14524628__full-cat_2	2	False	False	21	0	0	False	0.0	0.0	19	2.0	0.0	0.0	0.0
k141_14535348__full-cat_1	1	False	False	20	0	0	False	0.0	0.0	15	4.0	0.0	0.0	1.0
k141_14540032__full-cat_2	2	False	False	8	2	1	False	0.125	1.0	5	1.0	1.0	0.0	0.0
k141_14552032__full-cat_1	1	False	False	52	3	0	False	0.0	0.0	35	12.0	1.0	3.0	1.0
k141_14565793__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	4	1.0	0.0	0.0	0.0
k141_14574236__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	3	0.0	1.0	0.0	0.0
k141_14600690__full-cat_2	2	False	False	9	0	0	False	0.1111111111111111	1.0	8	0.0	0.0	0.0	0.0
k141_14624550__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	1.0	3	0.0	2.0	0.0	0.0
k141_14624945__full-cat_2	2	False	False	16	0	1	False	0.125	2.0	9	1.0	4.0	0.0	0.0
k141_14658685__full-cat_2	2	False	False	11	0	0	False	0.0	0.0	9	1.0	0.0	1.0	0.0
k141_14662824__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	6	1.0	0.0	0.0	0.0
k141_14669123__full-cat_2	2	False	False	12	0	0	False	0.16666666666666666	2.0	8	1.0	1.0	0.0	0.0
k141_14679213__full-cat_1	1	False	False	4	0	0	False	0.0	0.0	3	1.0	0.0	0.0	0.0
k141_14683947__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_14706181__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_14718342__full-cat_2	2	False	False	6	0	0	False	0.3333333333333333	2.0	3	1.0	0.0	0.0	0.0
k141_14737575__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	1.0	5	0.0	0.0	0.0	0.0
k141_14778714__full-cat_1	1	False	False	26	1	0	False	0.0	0.0	23	1.0	1.0	0.0	1.0
k141_14785665__full-cat_1	1	False	False	18	0	0	False	0.05555555555555555	1.0	17	0.0	0.0	0.0	0.0
k141_14808203__full-cat_2	2	False	False	14	1	0	False	0.0	0.0	11	3.0	0.0	0.0	0.0
k141_15685395__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_15694311__full-cat_2	2	False	False	20	0	0	False	0.05	1.0	17	2.0	0.0	0.0	0.0
k141_15711469__full-cat_2	2	False	False	6	2	1	False	0.0	0.0	4	0.0	1.0	1.0	0.0
k141_15720128__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	4	3.0	0.0	0.0	0.0
k141_15725251__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_15734366__full-cat_2	2	False	False	9	0	0	False	0.2222222222222222	2.0	7	0.0	0.0	0.0	0.0
k141_15734476__full-cat_2	2	False	False	5	1	1	False	0.0	0.0	2	1.0	0.0	0.0	2.0
k141_15738308__full-cat_2	2	False	False	5	0	0	True	0.0	0.0	2	0.0	3.0	0.0	0.0
k141_15753169__full-cat_1	1	False	False	12	0	2	False	0.0	0.0	12	0.0	0.0	0.0	0.0
k141_15754474__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_15767805__full-cat_2	2	False	False	8	3	0	False	0.125	1.0	6	1.0	0.0	0.0	0.0
k141_15781660__full-cat_2	2	False	False	8	3	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_15786825__full-cat_2	2	False	False	8	2	0	False	0.125	1.0	6	1.0	0.0	0.0	0.0
k141_15810169__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	1.0	3	1.0	1.0	0.0	0.0
k141_15822814__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3	0.0	0.0	0.0	0.0
k141_15835921__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	4	0.0	0.0	0.0	1.0
k141_15853529__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_15918917__full-cat_1	1	False	False	7	0	0	False	0.0	0.0	5	1.0	0.0	0.0	1.0
k141_15924227__full-cat_2	2	False	False	37	0	0	False	0.0	0.0	37	0.0	0.0	0.0	0.0
k141_15954387__full-cat_2	2	False	False	17	0	0	False	0.0	0.0	16	1.0	0.0	0.0	0.0
k141_15954422__full-cat_1	1	False	False	91	4	0	False	0.01098901098901099	1.0	79	7.0	3.0	0.0	1.0
k141_15968673__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_15975327__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	3	0.0	1.0	0.0	1.0
k141_16003094__full-cat_2	2	False	False	16	2	0	False	0.0	0.0	15	0.0	0.0	1.0	0.0
k141_16008279__full-cat_1	1	False	False	8	0	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_16055419__full-cat_2	2	False	False	12	4	0	False	0.0	0.0	11	1.0	0.0	0.0	0.0
k141_16068194__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_16119072__full-cat_2	2	False	False	5	2	0	False	0.2	1.0	4	0.0	0.0	0.0	0.0
k141_16121384__full-cat_1	1	False	False	12	1	0	False	0.08333333333333333	1.0	9	2.0	0.0	0.0	0.0
k141_16142682__full-cat_2	2	False	False	7	2	0	True	0.0	0.0	6	0.0	1.0	0.0	0.0
k141_16168524__full-cat_2	2	False	False	4	2	0	False	0.0	0.0	3	0.0	0.0	1.0	0.0
k141_16175790__full-cat_1	1	False	False	54	2	2	False	0.0	0.0	49	1.0	3.0	0.0	1.0
k141_16197076__full-cat_2	2	False	False	11	0	0	False	0.09090909090909091	1.0	7	3.0	0.0	0.0	0.0
k141_16251645__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_16256580__full-cat_2	2	False	False	10	1	0	False	0.0	0.0	7	2.0	1.0	0.0	0.0
k141_16261143__full-cat_1	1	False	False	15	0	0	False	0.0	0.0	15	0.0	0.0	0.0	0.0
k141_16275049__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_16298677__full-cat_2	2	False	False	9	3	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_16305895__full-cat_2	2	False	False	12	6	1	False	0.3333333333333333	4.0	7	1.0	0.0	0.0	0.0
k141_16310942__full-cat_2	2	False	False	3	2	0	False	0.0	0.0	3	0.0	0.0	0.0	0.0
k141_16312954__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	5	1.0	1.0	0.0	0.0
k141_16336534__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_16354481__full-cat_2	2	False	False	9	2	0	False	0.2222222222222222	2.0	7	0.0	0.0	0.0	0.0
k141_16363758__full-cat_1	1	False	False	16	0	0	False	0.0	0.0	15	1.0	0.0	0.0	0.0
k141_16366535__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	4	0.0	1.0	0.0	0.0
k141_16366536__full-cat_1	1	False	False	25	1	0	False	0.0	0.0	21	4.0	0.0	0.0	0.0
k141_16383801__full-cat_2	2	False	False	4	3	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_16389222__full-cat_1	1	False	False	7	2	0	False	0.0	0.0	6	0.0	0.0	0.0	1.0
k141_17190871__full-cat_2	2	False	False	8	4	1	False	0.0	0.0	7	0.0	1.0	0.0	0.0
k141_17197015__full-cat_2	2	False	False	4	2	0	False	0.0	0.0	3	1.0	0.0	0.0	0.0
k141_17200216__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_17214406__full-cat_1	1	False	False	17	1	0	False	0.0	0.0	13	3.0	0.0	0.0	1.0
k141_17226376__full-cat_2	2	False	False	22	0	0	False	0.0	0.0	22	0.0	0.0	0.0	0.0
k141_17231244__full-cat_1	1	False	False	8	0	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_17277096__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	1.0	4	1.0	0.0	0.0	0.0
k141_17292065__full-cat_2	2	False	False	5	2	1	False	0.4	2.0	1	2.0	0.0	0.0	0.0
k141_17297169__full-cat_2	2	False	False	31	0	0	False	0.03225806451612903	1.0	25	2.0	2.0	0.0	1.0
k141_17314658__full-cat_2	2	False	False	12	2	0	False	0.0	0.0	12	0.0	0.0	0.0	0.0
k141_17351860__full-cat_2	2	False	False	9	3	1	False	0.0	0.0	8	1.0	0.0	0.0	0.0
k141_17392256__full-cat_2	2	False	False	6	0	0	False	0.6666666666666666	4.0	2	0.0	0.0	0.0	0.0
k141_17397172__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	5	0.0	1.0	0.0	0.0
k141_17399322__full-cat_2	2	False	False	9	2	0	False	0.0	0.0	7	0.0	2.0	0.0	0.0
k141_17403096__full-cat_2	2	False	False	9	4	0	False	0.2222222222222222	2.0	6	1.0	0.0	0.0	0.0
k141_17408569__full-cat_2	2	False	False	10	2	0	False	0.1	1.0	9	0.0	0.0	0.0	0.0
k141_17418969__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	6	0.0	0.0	0.0	1.0
k141_17455949__full-cat_1	1	False	False	25	0	0	False	0.0	0.0	22	2.0	0.0	1.0	0.0
k141_17486330__full-cat_1	1	False	False	16	0	1	False	0.0	0.0	16	0.0	0.0	0.0	0.0
k141_17497229__full-cat_2	2	False	False	21	0	0	False	0.047619047619047616	1.0	19	1.0	0.0	0.0	0.0
k141_17501096__full-cat_1	1	False	False	8	0	0	False	0.0	0.0	7	1.0	0.0	0.0	0.0
k141_17517364__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	4	0.0	1.0	0.0	0.0
k141_17525299__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_17538842__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	7	0.0	0.0	0.0	0.0
k141_17569392__full-cat_1	1	False	False	10	0	0	False	0.0	0.0	9	0.0	0.0	1.0	0.0
k141_17591565__full-cat_2	2	False	False	4	2	0	False	0.5	2.0	1	0.0	0.0	1.0	0.0
k141_17593334__full-cat_1	1	False	False	8	2	0	False	0.0	0.0	7	1.0	0.0	0.0	0.0
k141_17617822__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	1.0	5	0.0	0.0	0.0	0.0
k141_17618718__full-cat_2	2	False	False	12	0	0	False	0.08333333333333333	1.0	11	0.0	0.0	0.0	0.0
k141_17619805__full-cat_2	2	False	False	12	2	0	False	0.0	0.0	11	1.0	0.0	0.0	0.0
k141_17632347__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	6	0.0	1.0	0.0	0.0
k141_17632610__full-cat_2	2	False	False	11	1	0	False	0.0	0.0	10	1.0	0.0	0.0	0.0
k141_17655599__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	1.0	5	0.0	0.0	0.0	0.0
k141_17659960__full-cat_1	1	False	False	12	3	0	False	0.0	0.0	11	1.0	0.0	0.0	0.0
k141_17683379__full-cat_1	1	False	False	19	3	0	False	0.0	0.0	17	1.0	1.0	0.0	0.0
k141_17701204__full-cat_1	1	False	False	11	0	0	False	0.0	0.0	9	0.0	1.0	0.0	1.0
k141_17701726__full-cat_2	2	False	False	17	0	3	False	0.0	0.0	16	1.0	0.0	0.0	0.0
k141_17717150__full-cat_2	2	False	False	8	4	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_17759288__full-cat_2	2	False	False	14	2	0	False	0.0	0.0	14	0.0	0.0	0.0	0.0
k141_17795146__full-cat_2	2	False	False	2	0	0	False	0.0	0.0	2	0.0	0.0	0.0	0.0
k141_17800781__full-cat_2	2	False	False	15	0	0	False	0.0	0.0	15	0.0	0.0	0.0	0.0
k141_17824351__full-cat_2	2	False	False	5	2	0	False	0.2	1.0	4	0.0	0.0	0.0	0.0
k141_17833920__full-cat_1	1	False	False	10	0	0	False	0.0	0.0	10	0.0	0.0	0.0	0.0
k141_17836331__full-cat_2	2	False	False	2	0	0	False	0.0	0.0	2	0.0	0.0	0.0	0.0
k141_17843637__full-cat_2	2	False	False	8	2	0	False	0.375	3.0	5	0.0	0.0	0.0	0.0
k141_17847798__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	4	1.0	0.0	0.0	0.0
k141_18731190__full-cat_1	1	False	False	26	2	0	False	0.038461538461538464	1.0	22	0.0	0.0	2.0	1.0
k141_18747114__full-cat_1	1	False	False	6	1	0	False	0.0	0.0	3	0.0	1.0	1.0	1.0
k141_18755439__full-cat_2	2	False	False	14	0	0	False	0.0	0.0	14	0.0	0.0	0.0	0.0
k141_18774765__full-cat_2	2	False	False	20	0	0	False	0.0	0.0	20	0.0	0.0	0.0	0.0
k141_18783908__full-cat_1	1	False	False	38	2	0	False	0.07894736842105263	3.0	25	7.0	1.0	0.0	2.0
k141_18786588__full-cat_1	1	False	False	9	0	0	False	0.0	0.0	8	1.0	0.0	0.0	0.0
k141_18787324__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	3	1.0	0.0	0.0	0.0
k141_18792931__full-cat_2	2	False	False	23	1	1	False	0.08695652173913043	2.0	18	2.0	1.0	0.0	0.0
k141_18843255__full-cat_2	2	False	False	15	0	0	False	0.06666666666666667	1.0	14	0.0	0.0	0.0	0.0
k141_18847762__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	4	0.0	0.0	0.0	1.0
k141_18853978__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	7	0.0	0.0	0.0	0.0
k141_18859354__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	4	0.0	1.0	0.0	0.0
k141_18867755__full-cat_1	1	False	False	5	1	1	False	0.0	0.0	4	1.0	0.0	0.0	0.0
k141_18870158__full-cat_2	2	False	False	10	5	0	False	0.1	1.0	8	0.0	1.0	0.0	0.0
k141_18891855__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_18896683__full-cat_1	1	False	False	9	0	0	False	0.0	0.0	7	0.0	1.0	0.0	1.0
k141_18918129__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	5	0.0	1.0	0.0	0.0
k141_18928944__full-cat_2	2	False	False	5	0	0	True	0.0	0.0	2	0.0	3.0	0.0	0.0
k141_18940147__full-cat_2	2	False	False	15	3	0	False	0.0	0.0	13	2.0	0.0	0.0	0.0
k141_18944545__full-cat_2	2	False	False	6	0	0	False	0.3333333333333333	2.0	4	0.0	0.0	0.0	0.0
k141_18976741__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_18993333__full-cat_2	2	False	False	4	2	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_19010931__full-cat_2	2	False	False	13	0	0	False	0.0	0.0	9	3.0	0.0	0.0	1.0
k141_19018557__full-cat_2	2	False	False	14	2	0	False	0.0	0.0	13	0.0	1.0	0.0	0.0
k141_19027021__full-cat_2	2	False	False	7	0	0	False	0.14285714285714285	1.0	6	0.0	0.0	0.0	0.0
k141_19033422__full-cat_1	1	False	False	10	1	0	False	0.0	0.0	9	1.0	0.0	0.0	0.0
k141_19058449__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	3	2.0	0.0	0.0	0.0
k141_19096819__full-cat_2	2	False	False	8	0	1	False	0.0	0.0	5	3.0	0.0	0.0	0.0
k141_19102275__full-cat_2	2	False	False	14	8	0	False	0.0	0.0	13	0.0	1.0	0.0	0.0
k141_19129891__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	3	0.0	2.0	0.0	0.0
k141_19154806__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3	0.0	0.0	0.0	0.0
k141_19175629__full-cat_2	2	False	False	23	0	2	False	0.043478260869565216	1.0	20	1.0	1.0	0.0	0.0
k141_19182447__full-cat_2	2	False	False	7	2	0	False	0.2857142857142857	2.0	4	1.0	0.0	0.0	0.0
k141_19205501__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	4	1.0	0.0	0.0	0.0
k141_19210306__full-cat_2	2	False	False	15	0	0	False	0.0	0.0	11	1.0	3.0	0.0	0.0
k141_19218772__full-cat_2	2	False	False	10	0	0	False	0.0	0.0	10	0.0	0.0	0.0	0.0
