genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
SoginMETA_k141_23704126.fa,66_0,0.050000000000000044,single,ANImf,66
SoginMETA_k141_205556.fa,67_0,0.050000000000000044,single,ANImf,67
SoginMETA_k141_26569050.fa,68_0,0.050000000000000044,single,ANImf,68
SoginMETA_k141_17109305.fa,69_0,0.050000000000000044,single,ANImf,69
SoginMETA_k141_8353038.fa,70_0,0.050000000000000044,single,ANImf,70
SoginMETA_k141_16825243.fa,71_0,0.050000000000000044,single,ANImf,71
SoginMETA_k141_3972205.fa,72_0,0.050000000000000044,single,ANImf,72
SoginMETA_k141_16298635.fa,73_0,0.050000000000000044,single,ANImf,73
SoginMETA_k141_30259330.fa,74_0,0.050000000000000044,single,ANImf,74
SoginMETA_k141_15650.fa,75_0,0.050000000000000044,single,ANImf,75
SoginMETA_k141_27814897.fa,76_0,0.050000000000000044,single,ANImf,76
SoginMETA_k141_15279045.fa,77_0,0.050000000000000044,single,ANImf,77
SoginMETA_k141_17224677.fa,78_0,0.050000000000000044,single,ANImf,78
SoginMETA_k141_1414399.fa,79_0,0.050000000000000044,single,ANImf,79
SoginMETA_k141_15871178.fa,80_0,0.050000000000000044,single,ANImf,80
SoginMETA_k141_14141383.fa,81_0,0.050000000000000044,single,ANImf,81
SoginMETA_k141_23580378.fa,82_0,0.050000000000000044,single,ANImf,82
SoginMETA_k141_21177492.fa,83_0,0.050000000000000044,single,ANImf,83
SoginMETA_k141_14129817.fa,84_0,0.050000000000000044,single,ANImf,84
SoginMETA_k141_2601856.fa,85_0,0.050000000000000044,single,ANImf,85
SoginMETA_k141_29776903.fa,86_0,0.050000000000000044,single,ANImf,86
SoginMETA_k141_9690970.fa,87_0,0.050000000000000044,single,ANImf,87
SoginMETA_k141_13930812.fa,88_0,0.050000000000000044,single,ANImf,88
SoginMETA_k141_3887732.fa,89_0,0.050000000000000044,single,ANImf,89
SoginMETA_k141_15657142.fa,90_0,0.050000000000000044,single,ANImf,90
SoginMETA_k141_13812023.fa,91_0,0.050000000000000044,single,ANImf,91
SoginMETA_k141_17072604.fa,92_0,0.050000000000000044,single,ANImf,92
SoginMETA_k141_20897726.fa,93_0,0.050000000000000044,single,ANImf,93
SoginMETA_k141_13412951.fa,94_0,0.050000000000000044,single,ANImf,94
SoginMETA_k141_16083424.fa,95_0,0.050000000000000044,single,ANImf,95
SoginMETA_k141_13320019.fa,96_0,0.050000000000000044,single,ANImf,96
SoginMETA_k141_27613668.fa,97_0,0.050000000000000044,single,ANImf,97
SoginMETA_k141_12900219.fa,98_0,0.050000000000000044,single,ANImf,98
SoginMETA_k141_8425614.fa,99_0,0.050000000000000044,single,ANImf,99
SoginMETA_k141_26492558.fa,100_0,0.050000000000000044,single,ANImf,100
SoginMETA_k141_12869390.fa,101_0,0.050000000000000044,single,ANImf,101
SoginMETA_k141_3059019.fa,102_0,0.050000000000000044,single,ANImf,102
SoginMETA_k141_12765257.fa,103_0,0.050000000000000044,single,ANImf,103
SoginMETA_k141_31049140.fa,104_0,0.050000000000000044,single,ANImf,104
SoginMETA_k141_1264138.fa,105_0,0.050000000000000044,single,ANImf,105
SoginMETA_k141_19720028.fa,106_0,0.050000000000000044,single,ANImf,106
SoginMETA_k141_1690449.fa,107_0,0.050000000000000044,single,ANImf,107
SoginMETA_k141_299489.fa,108_0,0.050000000000000044,single,ANImf,108
SoginMETA_k141_8159951.fa,109_0,0.050000000000000044,single,ANImf,109
SoginMETA_k141_12507281.fa,110_0,0.050000000000000044,single,ANImf,110
SoginMETA_k141_17159067.fa,111_0,0.050000000000000044,single,ANImf,111
SoginMETA_k141_25019834.fa,112_0,0.050000000000000044,single,ANImf,112
SoginMETA_k141_11525280.fa,113_0,0.050000000000000044,single,ANImf,113
SoginMETA_k141_345652.fa,114_0,0.050000000000000044,single,ANImf,114
SoginMETA_k141_4922385.fa,115_0,0.050000000000000044,single,ANImf,115
SoginMETA_k141_20736845.fa,116_0,0.050000000000000044,single,ANImf,116
SoginMETA_k141_11144910.fa,117_0,0.050000000000000044,single,ANImf,117
SoginMETA_k141_25089422.fa,118_0,0.050000000000000044,single,ANImf,118
SoginMETA_k141_10999385.fa,119_0,0.050000000000000044,single,ANImf,119
SoginMETA_k141_30937100.fa,120_0,0.050000000000000044,single,ANImf,120
SoginMETA_k141_10788626.fa,121_0,0.050000000000000044,single,ANImf,121
SoginMETA_k141_21312284.fa,122_0,0.050000000000000044,single,ANImf,122
SoginMETA_k141_1032502.fa,123_0,0.050000000000000044,single,ANImf,123
SoginMETA_k141_15315702.fa,124_0,0.050000000000000044,single,ANImf,124
SoginMETA_k141_22183579.fa,125_0,0.050000000000000044,single,ANImf,125
SoginMETA_k141_10318166.fa,126_0,0.050000000000000044,single,ANImf,126
SoginMETA_k141_14350545.fa,127_0,0.050000000000000044,single,ANImf,127
SoginMETA_k141_10107454.fa,128_0,0.050000000000000044,single,ANImf,128
SoginMETA_k141_18336074.fa,129_0,0.050000000000000044,single,ANImf,129
SoginMETA_k141_10072373.fa,130_0,0.050000000000000044,single,ANImf,130
SoginMETA_k141_28539305.fa,131_0,0.050000000000000044,single,ANImf,131
Schorn_k141_7980104.fa,132_0,0.050000000000000044,single,ANImf,132
SoginMETA_k141_8358215.fa,133_0,0.050000000000000044,single,ANImf,133
Schorn_k141_35666556.fa,134_0,0.050000000000000044,single,ANImf,134
Schorn_k141_7469315.fa,135_0,0.050000000000000044,single,ANImf,135
Schorn_k141_33811374.fa,136_0,0.050000000000000044,single,ANImf,136
SoginMETA_k141_22002298.fa,137_0,0.050000000000000044,single,ANImf,137
Schorn_k141_33207297.fa,138_1,0.050000000000000044,single,ANImf,138
SoginMETA_k141_22452824.fa,138_1,0.050000000000000044,single,ANImf,138
SoginMETA_k141_21136516.fa,139_0,0.050000000000000044,single,ANImf,139
Schorn_k141_33029840.fa,140_0,0.050000000000000044,single,ANImf,140
Schorn_k141_4452272.fa,141_0,0.050000000000000044,single,ANImf,141
Schorn_k141_3404148.fa,142_0,0.050000000000000044,single,ANImf,142
Schorn_k141_31301249.fa,143_0,0.050000000000000044,single,ANImf,143
Schorn_k141_32785865.fa,144_0,0.050000000000000044,single,ANImf,144
Schorn_k141_30762624.fa,145_0,0.050000000000000044,single,ANImf,145
Schorn_k141_568767.fa,146_0,0.050000000000000044,single,ANImf,146
Schorn_k141_28771259.fa,147_0,0.050000000000000044,single,ANImf,147
Schorn_k141_5210944.fa,148_0,0.050000000000000044,single,ANImf,148
Schorn_k141_31162931.fa,149_0,0.050000000000000044,single,ANImf,149
Schorn_k141_9198813.fa,150_0,0.050000000000000044,single,ANImf,150
Schorn_k141_27951273.fa,151_0,0.050000000000000044,single,ANImf,151
Schorn_k141_7309092.fa,152_0,0.050000000000000044,single,ANImf,152
Schorn_k141_27596671.fa,153_0,0.050000000000000044,single,ANImf,153
Schorn_k141_7800135.fa,154_0,0.050000000000000044,single,ANImf,154
Schorn_k141_27051785.fa,155_0,0.050000000000000044,single,ANImf,155
Schorn_k141_5065054.fa,156_0,0.050000000000000044,single,ANImf,156
Schorn_k141_26919022.fa,157_0,0.050000000000000044,single,ANImf,157
Schorn_k141_34806848.fa,158_0,0.050000000000000044,single,ANImf,158
Schorn_k141_25619811.fa,159_0,0.050000000000000044,single,ANImf,159
Schorn_k141_31856018.fa,160_0,0.050000000000000044,single,ANImf,160
Schorn_k141_25163526.fa,161_0,0.050000000000000044,single,ANImf,161
SoginMETA_k141_32046467.fa,162_0,0.050000000000000044,single,ANImf,162
Schorn_k141_25078850.fa,163_0,0.050000000000000044,single,ANImf,163
Schorn_k141_26219069.fa,164_0,0.050000000000000044,single,ANImf,164
SoginMETA_k141_1614799.fa,165_0,0.050000000000000044,single,ANImf,165
SoginMETA_k141_26652444.fa,166_0,0.050000000000000044,single,ANImf,166
SoginMETA_k141_2232658.fa,167_0,0.050000000000000044,single,ANImf,167
SoginMETA_k141_3852028.fa,168_0,0.050000000000000044,single,ANImf,168
Schorn_k141_22883398.fa,169_0,0.050000000000000044,single,ANImf,169
Schorn_k141_22382672.fa,170_0,0.050000000000000044,single,ANImf,170
Schorn_k141_24493227.fa,171_0,0.050000000000000044,single,ANImf,171
Schorn_k141_34999369.fa,172_0,0.050000000000000044,single,ANImf,172
Schorn_k141_22167387.fa,173_0,0.050000000000000044,single,ANImf,173
SoginMETA_k141_21638935.fa,174_0,0.050000000000000044,single,ANImf,174
Schorn_k141_22346805.fa,175_0,0.050000000000000044,single,ANImf,175
Schorn_k141_22904762.fa,176_0,0.050000000000000044,single,ANImf,176
Schorn_k141_21518893.fa,177_0,0.050000000000000044,single,ANImf,177
Schorn_k141_21306950.fa,178_0,0.050000000000000044,single,ANImf,178
Schorn_k141_25021924.fa,179_0,0.050000000000000044,single,ANImf,179
Schorn_k141_20837154.fa,180_0,0.050000000000000044,single,ANImf,180
Schorn_k141_35709698.fa,181_0,0.050000000000000044,single,ANImf,181
Schorn_k141_20592460.fa,182_0,0.050000000000000044,single,ANImf,182
Schorn_k141_2111549.fa,183_0,0.050000000000000044,single,ANImf,183
Schorn_k141_20400532.fa,184_0,0.050000000000000044,single,ANImf,184
Schorn_k141_35350731.fa,185_0,0.050000000000000044,single,ANImf,185
Schorn_k141_18783908.fa,186_0,0.050000000000000044,single,ANImf,186
Schorn_k141_27708502.fa,187_0,0.050000000000000044,single,ANImf,187
Schorn_k141_18456966.fa,188_0,0.050000000000000044,single,ANImf,188
Schorn_k141_22982002.fa,189_0,0.050000000000000044,single,ANImf,189
Schorn_k141_18421923.fa,190_0,0.050000000000000044,single,ANImf,190
Schorn_k141_30333371.fa,191_0,0.050000000000000044,single,ANImf,191
Schorn_k141_18086219.fa,192_0,0.050000000000000044,single,ANImf,192
Schorn_k141_32501582.fa,193_0,0.050000000000000044,single,ANImf,193
Schorn_k141_17668976.fa,194_0,0.050000000000000044,single,ANImf,194
Schorn_k141_28919149.fa,195_0,0.050000000000000044,single,ANImf,195
Schorn_k141_17038397.fa,196_0,0.050000000000000044,single,ANImf,196
Schorn_k141_33082232.fa,197_0,0.050000000000000044,single,ANImf,197
Schorn_k141_26208418.fa,198_0,0.050000000000000044,single,ANImf,198
Schorn_k141_17006484.fa,199_0,0.050000000000000044,single,ANImf,199
Schorn_k141_21372918.fa,200_0,0.050000000000000044,single,ANImf,200
Schorn_k141_15625933.fa,201_0,0.050000000000000044,single,ANImf,201
Schorn_k141_36473227.fa,202_0,0.050000000000000044,single,ANImf,202
Schorn_k141_15546689.fa,203_0,0.050000000000000044,single,ANImf,203
Schorn_k141_1745376.fa,204_0,0.050000000000000044,single,ANImf,204
Schorn_k141_17140928.fa,205_0,0.050000000000000044,single,ANImf,205
Schorn_k141_3985508.fa,206_0,0.050000000000000044,single,ANImf,206
Schorn_k141_15531234.fa,207_0,0.050000000000000044,single,ANImf,207
SoginMETA_k141_4805677.fa,208_0,0.050000000000000044,single,ANImf,208
Schorn_k141_14443167.fa,209_0,0.050000000000000044,single,ANImf,209
SoginMETA_k141_22457195.fa,210_0,0.050000000000000044,single,ANImf,210
Schorn_k141_14060255.fa,211_0,0.050000000000000044,single,ANImf,211
Schorn_k141_30253129.fa,212_0,0.050000000000000044,single,ANImf,212
Schorn_k141_14053712.fa,213_0,0.050000000000000044,single,ANImf,213
Schorn_k141_6874894.fa,214_0,0.050000000000000044,single,ANImf,214
Schorn_k141_21378801.fa,215_0,0.050000000000000044,single,ANImf,215
Schorn_k141_4095905.fa,216_0,0.050000000000000044,single,ANImf,216
Schorn_k141_1385032.fa,217_0,0.050000000000000044,single,ANImf,217
Schorn_k141_13523794.fa,218_0,0.050000000000000044,single,ANImf,218
Schorn_k141_17683379.fa,219_0,0.050000000000000044,single,ANImf,219
Schorn_k141_12599455.fa,220_0,0.050000000000000044,single,ANImf,220
Schorn_k141_15924227.fa,221_0,0.050000000000000044,single,ANImf,221
Schorn_k141_12456150.fa,222_0,0.050000000000000044,single,ANImf,222
Schorn_k141_4865921.fa,223_0,0.050000000000000044,single,ANImf,223
Schorn_k141_11980654.fa,224_1,0.050000000000000044,single,ANImf,224
Schorn_k141_22209924.fa,224_1,0.050000000000000044,single,ANImf,224
SoginMETA_k141_9345821.fa,224_1,0.050000000000000044,single,ANImf,224
Schorn_k141_11784795.fa,225_0,0.050000000000000044,single,ANImf,225
Schorn_k141_35100650.fa,226_0,0.050000000000000044,single,ANImf,226
SoginMETA_k141_13861103.fa,227_0,0.050000000000000044,single,ANImf,227
SoginMETA_k141_32150652.fa,228_0,0.050000000000000044,single,ANImf,228
SoginMETA_k141_31995805.fa,229_0,0.050000000000000044,single,ANImf,229
Schorn_k141_11348091.fa,230_0,0.050000000000000044,single,ANImf,230
Schorn_k141_10797621.fa,231_0,0.050000000000000044,single,ANImf,231
Schorn_k141_30861971.fa,232_0,0.050000000000000044,single,ANImf,232
Schorn_k141_1079511.fa,233_0,0.050000000000000044,single,ANImf,233
Schorn_k141_17455949.fa,234_0,0.050000000000000044,single,ANImf,234
Schorn_k141_10499560.fa,235_0,0.050000000000000044,single,ANImf,235
Schorn_k141_23379099.fa,236_0,0.050000000000000044,single,ANImf,236
Schorn_k141_31930249.fa,237_0,0.050000000000000044,single,ANImf,237
SoginMETA_k141_25128105.fa,238_0,0.050000000000000044,single,ANImf,238
Schorn_k141_10218566.fa,239_0,0.050000000000000044,single,ANImf,239
SoginMETA_k141_5965886.fa,240_0,0.050000000000000044,single,ANImf,240
SoginMETA_k141_21429817.fa,241_0,0.050000000000000044,single,ANImf,241
SoginMETA_k141_30812291.fa,242_0,0.050000000000000044,single,ANImf,242
Rubio_Protillo_k141_804902.fa,243_0,0.050000000000000044,single,ANImf,243
SoginMETA_k141_467277.fa,244_0,0.050000000000000044,single,ANImf,244
SoginMETA_k141_117909.fa,245_0,0.050000000000000044,single,ANImf,245
SoginMETA_k141_17722567.fa,246_0,0.050000000000000044,single,ANImf,246
Rubio_Protillo_k141_772741.fa,247_0,0.050000000000000044,single,ANImf,247
SoginMETA_k141_16483380.fa,248_0,0.050000000000000044,single,ANImf,248
Rubio_Protillo_k141_6577578.fa,249_0,0.050000000000000044,single,ANImf,249
SoginMETA_k141_9536280.fa,250_0,0.050000000000000044,single,ANImf,250
Rubio_Protillo_k141_6510882.fa,251_0,0.050000000000000044,single,ANImf,251
Rubio_Protillo_k141_6553657.fa,252_0,0.050000000000000044,single,ANImf,252
Rubio_Protillo_k141_6481653.fa,253_0,0.050000000000000044,single,ANImf,253
Rubio_Protillo_k141_6652983.fa,254_0,0.050000000000000044,single,ANImf,254
Rubio_Protillo_k141_637224.fa,255_0,0.050000000000000044,single,ANImf,255
Rubio_Protillo_k141_879040.fa,256_0,0.050000000000000044,single,ANImf,256
Rubio_Protillo_k141_6337094.fa,257_0,0.050000000000000044,single,ANImf,257
Schorn_k141_34310163.fa,258_0,0.050000000000000044,single,ANImf,258
Rubio_Protillo_k141_6248514.fa,259_0,0.050000000000000044,single,ANImf,259
Rubio_Protillo_k141_6736883.fa,260_0,0.050000000000000044,single,ANImf,260
Rubio_Protillo_k141_6052946.fa,261_0,0.050000000000000044,single,ANImf,261
Rubio_Protillo_k141_846.fa,262_0,0.050000000000000044,single,ANImf,262
Rubio_Protillo_k141_6049676.fa,263_0,0.050000000000000044,single,ANImf,263
Rubio_Protillo_k141_6386516.fa,264_0,0.050000000000000044,single,ANImf,264
Rubio_Protillo_k141_5961757.fa,265_0,0.050000000000000044,single,ANImf,265
Rubio_Protillo_k141_6847251.fa,266_0,0.050000000000000044,single,ANImf,266
Rubio_Protillo_k141_755921.fa,267_0,0.050000000000000044,single,ANImf,267
Rubio_Protillo_k141_761555.fa,268_0,0.050000000000000044,single,ANImf,268
SoginMETA_k141_5543069.fa,269_0,0.050000000000000044,single,ANImf,269
Rubio_Protillo_k141_578995.fa,270_0,0.050000000000000044,single,ANImf,270
Rubio_Protillo_k141_6291257.fa,271_0,0.050000000000000044,single,ANImf,271
Rubio_Protillo_k141_57765.fa,272_0,0.050000000000000044,single,ANImf,272
Rubio_Protillo_k141_58538.fa,273_0,0.050000000000000044,single,ANImf,273
Rubio_Protillo_k141_5504622.fa,274_0,0.050000000000000044,single,ANImf,274
SoginMETA_k141_5087840.fa,275_0,0.050000000000000044,single,ANImf,275
Rubio_Protillo_k141_5498755.fa,276_0,0.050000000000000044,single,ANImf,276
SoginMETA_k141_15606108.fa,277_0,0.050000000000000044,single,ANImf,277
Rubio_Protillo_k141_5014266.fa,278_0,0.050000000000000044,single,ANImf,278
SoginMETA_k141_16576932.fa,279_0,0.050000000000000044,single,ANImf,279
Rubio_Protillo_k141_4914177.fa,280_0,0.050000000000000044,single,ANImf,280
Rubio_Protillo_k141_6722754.fa,281_0,0.050000000000000044,single,ANImf,281
Rubio_Protillo_k141_4913997.fa,282_0,0.050000000000000044,single,ANImf,282
SoginMETA_k141_10648943.fa,283_0,0.050000000000000044,single,ANImf,283
Rubio_Protillo_k141_4733793.fa,284_0,0.050000000000000044,single,ANImf,284
Schorn_k141_3781147.fa,285_0,0.050000000000000044,single,ANImf,285
Rubio_Protillo_k141_4654880.fa,286_0,0.050000000000000044,single,ANImf,286
Rubio_Protillo_k141_6443682.fa,287_0,0.050000000000000044,single,ANImf,287
Rubio_Protillo_k141_4636899.fa,288_0,0.050000000000000044,single,ANImf,288
Rubio_Protillo_k141_4972312.fa,289_0,0.050000000000000044,single,ANImf,289
Rubio_Protillo_k141_4584423.fa,290_0,0.050000000000000044,single,ANImf,290
SoginMETA_k141_27089389.fa,291_0,0.050000000000000044,single,ANImf,291
Rubio_Protillo_k141_4426701.fa,292_0,0.050000000000000044,single,ANImf,292
Schorn_k141_9164538.fa,293_0,0.050000000000000044,single,ANImf,293
Rubio_Protillo_k141_4342363.fa,294_0,0.050000000000000044,single,ANImf,294
Rubio_Protillo_k141_6734364.fa,295_0,0.050000000000000044,single,ANImf,295
Rubio_Protillo_k141_4209579.fa,296_0,0.050000000000000044,single,ANImf,296
SoginMETA_k141_15809816.fa,297_0,0.050000000000000044,single,ANImf,297
Rubio_Protillo_k141_418855.fa,298_0,0.050000000000000044,single,ANImf,298
Rubio_Protillo_k141_5231630.fa,299_0,0.050000000000000044,single,ANImf,299
Rubio_Protillo_k141_6590808.fa,300_0,0.050000000000000044,single,ANImf,300
Rubio_Protillo_k141_4177691.fa,301_0,0.050000000000000044,single,ANImf,301
Schorn_k141_32318198.fa,302_0,0.050000000000000044,single,ANImf,302
Schorn_k141_9482113.fa,303_1,0.050000000000000044,single,ANImf,303
SoginMETA_k141_11022855.fa,303_1,0.050000000000000044,single,ANImf,303
SoginMETA_k141_20964342.fa,303_1,0.050000000000000044,single,ANImf,303
SoginMETA_k141_32566833.fa,303_1,0.050000000000000044,single,ANImf,303
SoginMETA_k141_3468086.fa,303_1,0.050000000000000044,single,ANImf,303
Schorn_k141_1169176.fa,304_0,0.050000000000000044,single,ANImf,304
Rubio_Protillo_k141_411599.fa,305_0,0.050000000000000044,single,ANImf,305
Rubio_Protillo_k141_4586802.fa,306_0,0.050000000000000044,single,ANImf,306
Rubio_Protillo_k141_6437009.fa,307_0,0.050000000000000044,single,ANImf,307
Rubio_Protillo_k141_408981.fa,308_0,0.050000000000000044,single,ANImf,308
Rubio_Protillo_k141_4889339.fa,309_0,0.050000000000000044,single,ANImf,309
Rubio_Protillo_k141_3840125.fa,310_0,0.050000000000000044,single,ANImf,310
SoginMETA_k141_28535939.fa,311_0,0.050000000000000044,single,ANImf,311
Rubio_Protillo_k141_4686786.fa,312_0,0.050000000000000044,single,ANImf,312
Rubio_Protillo_k141_5175710.fa,313_0,0.050000000000000044,single,ANImf,313
Rubio_Protillo_k141_3736791.fa,314_0,0.050000000000000044,single,ANImf,314
Rubio_Protillo_k141_3716447.fa,315_0,0.050000000000000044,single,ANImf,315
Rubio_Protillo_k141_4103147.fa,316_0,0.050000000000000044,single,ANImf,316
Rubio_Protillo_k141_894632.fa,317_0,0.050000000000000044,single,ANImf,317
Schorn_k141_18275061.fa,318_0,0.050000000000000044,single,ANImf,318
Rubio_Protillo_k141_361699.fa,319_0,0.050000000000000044,single,ANImf,319
Rubio_Protillo_k141_4725430.fa,320_0,0.050000000000000044,single,ANImf,320
Rubio_Protillo_k141_3579027.fa,321_0,0.050000000000000044,single,ANImf,321
Rubio_Protillo_k141_4947430.fa,322_0,0.050000000000000044,single,ANImf,322
Rubio_Protillo_k141_5279356.fa,323_0,0.050000000000000044,single,ANImf,323
Rubio_Protillo_k141_3578995.fa,324_0,0.050000000000000044,single,ANImf,324
Rubio_Protillo_k141_5290998.fa,325_0,0.050000000000000044,single,ANImf,325
Rubio_Protillo_k141_3565071.fa,326_0,0.050000000000000044,single,ANImf,326
Rubio_Protillo_k141_571560.fa,327_0,0.050000000000000044,single,ANImf,327
Rubio_Protillo_k141_4483175.fa,328_0,0.050000000000000044,single,ANImf,328
SoginMETA_k141_28823555.fa,329_0,0.050000000000000044,single,ANImf,329
Rubio_Protillo_k141_6338241.fa,330_0,0.050000000000000044,single,ANImf,330
Rubio_Protillo_k141_3557151.fa,331_0,0.050000000000000044,single,ANImf,331
Rubio_Protillo_k141_3534511.fa,332_0,0.050000000000000044,single,ANImf,332
Rubio_Protillo_k141_3574377.fa,333_0,0.050000000000000044,single,ANImf,333
Rubio_Protillo_k141_345605.fa,334_0,0.050000000000000044,single,ANImf,334
Rubio_Protillo_k141_4964702.fa,335_0,0.050000000000000044,single,ANImf,335
Rubio_Protillo_k141_6056376.fa,336_0,0.050000000000000044,single,ANImf,336
Rubio_Protillo_k141_6159642.fa,337_0,0.050000000000000044,single,ANImf,337
Rubio_Protillo_k141_3275580.fa,338_0,0.050000000000000044,single,ANImf,338
Rubio_Protillo_k141_488179.fa,339_0,0.050000000000000044,single,ANImf,339
Rubio_Protillo_k141_3270252.fa,340_0,0.050000000000000044,single,ANImf,340
Rubio_Protillo_k141_3909155.fa,341_0,0.050000000000000044,single,ANImf,341
Rubio_Protillo_k141_3269041.fa,342_0,0.050000000000000044,single,ANImf,342
Rubio_Protillo_k141_5782567.fa,343_0,0.050000000000000044,single,ANImf,343
Rubio_Protillo_k141_3022440.fa,344_0,0.050000000000000044,single,ANImf,344
Rubio_Protillo_k141_5380198.fa,345_0,0.050000000000000044,single,ANImf,345
Rubio_Protillo_k141_5673111.fa,346_0,0.050000000000000044,single,ANImf,346
Rubio_Protillo_k141_5052829.fa,347_0,0.050000000000000044,single,ANImf,347
Rubio_Protillo_k141_2998503.fa,348_0,0.050000000000000044,single,ANImf,348
Rubio_Protillo_k141_3930199.fa,349_0,0.050000000000000044,single,ANImf,349
