genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
SoginMETA_k141_11525280.fa,3.1536327052097413,NA,NA,NA,NA,NA,113_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_345652.fa,3.0869082229202185,NA,NA,NA,NA,NA,114_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_4922385.fa,3.1236450455131517,NA,NA,NA,NA,NA,115_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_20736845.fa,3.152296466153601,NA,NA,NA,NA,NA,116_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_11144910.fa,3.2304699616591983,NA,NA,NA,NA,NA,117_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_25089422.fa,3.1054165598404886,NA,NA,NA,NA,NA,118_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_10999385.fa,3.11475739942968,NA,NA,NA,NA,NA,119_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_30937100.fa,3.4172067814359868,NA,NA,NA,NA,NA,120_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_10788626.fa,3.292640797817615,NA,NA,NA,NA,NA,121_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_21312284.fa,3.052900068611387,NA,NA,NA,NA,NA,122_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_1032502.fa,3.106447458474917,NA,NA,NA,NA,NA,123_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_15315702.fa,3.0901670364828466,NA,NA,NA,NA,NA,124_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_22183579.fa,3.2232154147148853,NA,NA,NA,NA,NA,125_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_10318166.fa,3.285351663177412,NA,NA,NA,NA,NA,126_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_14350545.fa,3.644171479114912,NA,NA,NA,NA,NA,127_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_10107454.fa,3.0605967362065254,NA,NA,NA,NA,NA,128_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_18336074.fa,3.2118469595285184,NA,NA,NA,NA,NA,129_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_10072373.fa,3.5723659751978087,NA,NA,NA,NA,NA,130_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_28539305.fa,3.569985413392703,NA,NA,NA,NA,NA,131_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_7980104.fa,3.2468943469112803,NA,NA,NA,NA,NA,132_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_8358215.fa,3.3467090561756034,NA,NA,NA,NA,NA,133_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_35666556.fa,3.2691127803061684,NA,NA,NA,NA,NA,134_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_7469315.fa,3.5910547788827003,NA,NA,NA,NA,NA,135_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_33811374.fa,3.1714285183679625,NA,NA,NA,NA,NA,136_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_22002298.fa,3.2943018662211765,NA,NA,NA,NA,NA,137_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_33207297.fa,4.37677569075473,NA,NA,NA,NA,NA,138_1,NA,NA,2,99.77,99.77,NA,NA
SoginMETA_k141_21136516.fa,3.3352646804811537,NA,NA,NA,NA,NA,139_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_33029840.fa,3.6820724319577622,NA,NA,NA,NA,NA,140_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_4452272.fa,3.494887571257938,NA,NA,NA,NA,NA,141_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_3404148.fa,3.074198232206868,NA,NA,NA,NA,NA,142_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_31301249.fa,3.7004823716138944,NA,NA,NA,NA,NA,143_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_32785865.fa,3.31030994579492,NA,NA,NA,NA,NA,144_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_30762624.fa,3.419976134872427,NA,NA,NA,NA,NA,145_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_568767.fa,3.5821298706718503,NA,NA,NA,NA,NA,146_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_28771259.fa,3.2371539537854157,NA,NA,NA,NA,NA,147_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_5210944.fa,3.2702388799344035,NA,NA,NA,NA,NA,148_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_31162931.fa,3.496443960831864,NA,NA,NA,NA,NA,149_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_9198813.fa,3.7241719665938713,NA,NA,NA,NA,NA,150_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_27951273.fa,3.0644365278316723,NA,NA,NA,NA,NA,151_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_7309092.fa,3.109298292408071,NA,NA,NA,NA,NA,152_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_27596671.fa,3.1569723998866737,NA,NA,NA,NA,NA,153_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_7800135.fa,3.613445486027048,NA,NA,NA,NA,NA,154_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_27051785.fa,3.853934849863841,NA,NA,NA,NA,NA,155_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_5065054.fa,3.0733347825383084,NA,NA,NA,NA,NA,156_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_26919022.fa,3.1690908524217214,NA,NA,NA,NA,NA,157_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_34806848.fa,3.092063349432156,NA,NA,NA,NA,NA,158_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_25619811.fa,3.705877643299285,NA,NA,NA,NA,NA,159_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_31856018.fa,3.2418979344754217,NA,NA,NA,NA,NA,160_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_25163526.fa,3.3108819504635862,NA,NA,NA,NA,NA,161_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_32046467.fa,3.2498648337322558,NA,NA,NA,NA,NA,162_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_25078850.fa,3.1219188103638063,NA,NA,NA,NA,NA,163_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_26219069.fa,3.1068286526378115,NA,NA,NA,NA,NA,164_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_1614799.fa,3.3443118809020134,NA,NA,NA,NA,NA,165_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_26652444.fa,3.141385542078368,NA,NA,NA,NA,NA,166_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_2232658.fa,3.3066455980444514,NA,NA,NA,NA,NA,167_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_3852028.fa,3.077186461836736,NA,NA,NA,NA,NA,168_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_22883398.fa,3.3148886261206187,NA,NA,NA,NA,NA,169_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_22382672.fa,3.2367021225651014,NA,NA,NA,NA,NA,170_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_24493227.fa,3.55312307207684,NA,NA,NA,NA,NA,171_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_34999369.fa,3.7446227458308816,NA,NA,NA,NA,NA,172_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_22167387.fa,3.0579183906455984,NA,NA,NA,NA,NA,173_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_21638935.fa,3.1204073217401187,NA,NA,NA,NA,NA,174_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_22346805.fa,3.2218726561396824,NA,NA,NA,NA,NA,175_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_22904762.fa,3.3556952289118582,NA,NA,NA,NA,NA,176_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_21518893.fa,3.3271506139637967,NA,NA,NA,NA,NA,177_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_21306950.fa,3.7874232506984233,NA,NA,NA,NA,NA,178_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_25021924.fa,3.1745368283012767,NA,NA,NA,NA,NA,179_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_20837154.fa,3.062035359149529,NA,NA,NA,NA,NA,180_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_35709698.fa,3.0588555639962127,NA,NA,NA,NA,NA,181_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_20592460.fa,3.190256569677416,NA,NA,NA,NA,NA,182_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_2111549.fa,3.1088813393495607,NA,NA,NA,NA,NA,183_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_20400532.fa,3.2769605935324524,NA,NA,NA,NA,NA,184_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_35350731.fa,3.1884290200060037,NA,NA,NA,NA,NA,185_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_18783908.fa,3.3815285188686905,NA,NA,NA,NA,NA,186_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_27708502.fa,3.3317830715064467,NA,NA,NA,NA,NA,187_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_18456966.fa,3.145169351431755,NA,NA,NA,NA,NA,188_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_22982002.fa,3.80558522946509,NA,NA,NA,NA,NA,189_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_18421923.fa,3.4976695770227924,NA,NA,NA,NA,NA,190_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_30333371.fa,3.359864282709357,NA,NA,NA,NA,NA,191_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_18086219.fa,3.4236474722092174,NA,NA,NA,NA,NA,192_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_32501582.fa,3.2644464457183933,NA,NA,NA,NA,NA,193_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_17668976.fa,3.167867626566016,NA,NA,NA,NA,NA,194_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_28919149.fa,3.1930148002540952,NA,NA,NA,NA,NA,195_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_17038397.fa,3.768144473878805,NA,NA,NA,NA,NA,196_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_33082232.fa,3.343958885621697,NA,NA,NA,NA,NA,197_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_26208418.fa,3.4051065529544915,NA,NA,NA,NA,NA,198_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_17006484.fa,3.0739106063509203,NA,NA,NA,NA,NA,199_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_21372918.fa,3.536529653871529,NA,NA,NA,NA,NA,200_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_15625933.fa,3.2390971090714182,NA,NA,NA,NA,NA,201_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_36473227.fa,3.112205808819713,NA,NA,NA,NA,NA,202_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_15546689.fa,3.3249886817706846,NA,NA,NA,NA,NA,203_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_1745376.fa,3.128348049555357,NA,NA,NA,NA,NA,204_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_17140928.fa,3.1613633443251308,NA,NA,NA,NA,NA,205_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_3985508.fa,3.2928642961407064,NA,NA,NA,NA,NA,206_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_15531234.fa,3.2745330626060856,NA,NA,NA,NA,NA,207_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_4805677.fa,3.076328938722349,NA,NA,NA,NA,NA,208_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_14443167.fa,3.7424238707996804,NA,NA,NA,NA,NA,209_0,NA,NA,1,NA,NA,NA,NA
SoginMETA_k141_22457195.fa,3.759490445164845,NA,NA,NA,NA,NA,210_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_14060255.fa,3.351594211829356,NA,NA,NA,NA,NA,211_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_30253129.fa,3.1493698263898384,NA,NA,NA,NA,NA,212_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_14053712.fa,3.493904174221353,NA,NA,NA,NA,NA,213_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_6874894.fa,3.1399757226877285,NA,NA,NA,NA,NA,214_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_21378801.fa,3.1144954267927285,NA,NA,NA,NA,NA,215_0,NA,NA,1,NA,NA,NA,NA
Schorn_k141_4095905.fa,3.3725913877013363,NA,NA,NA,NA,NA,216_0,NA,NA,1,NA,NA,NA,NA
