user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Bin_Bin_27-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JAFMDF01;s__	N/A	N/A	N/A	N/A	N/A	GCA_017857395.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JAFMDF01;s__JAFMDF01 sp017857395	75.29	0.044	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JAFMDF01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	91.12	11	0.86773	N/A
Bin_Bin_271_sub_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__MH13;g__MH13;s__	N/A	N/A	N/A	N/A	N/A	GCA_017642935.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__MH13;g__MH13;s__MH13 sp017642935	78.12	0.401	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__MH13;g__MH13;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_019192585.1, s__MH13 sp019192585, 95.0, 76.98, 0.23	72.48	11	0.98002	N/A
Bin_Bin_282-contigs.cleaned	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61.2	11	0.75303	N/A
Bin_Bin_288-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Lentibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_016744435.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Lentibacter;s__Lentibacter sp016744435	82.83	0.825	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Lentibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_018860975.1, s__Lentibacter algarum_A, 95.0, 79.5, 0.66; GCF_900107355.1, s__Lentibacter algarum, 95.0, 77.52, 0.344; GCA_018500075.1, s__Lentibacter sp018500075, 95.0, 77.45, 0.335; GCA_003417655.1, s__Lentibacter sp003417655, 95.0, 77.05, 0.316	47.52	11	0.99204	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Bin_Bin_293_sub-contigs.cleaned	d__Bacteria;p__Myxococcota;c__UBA6777;o__UBA6777;f__UBA6777;g__M3003;s__	N/A	N/A	N/A	N/A	N/A	GCA_006226375.1	95.0	d__Bacteria;p__Myxococcota;c__UBA6777;o__UBA6777;f__UBA6777;g__M3003;s__M3003 sp006226375	76.17	0.035	d__Bacteria;p__Myxococcota;c__UBA6777;o__UBA6777;f__UBA6777;g__M3003;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	25.66	11	0.8784	N/A
Bin_Bin_294_sub_1-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__ASP10-05a;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__ASP10-05a;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	60.11	11	0.92975	Genome has more than 17.5% of markers with multiple hits
Bin_Bin_310_sub_1-contigs.cleaned	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	77.26	11	0.82139	N/A
Bin_Bin_312-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.32	11	0.82626	N/A
Bin_Bin_32_sub-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limibaculum;s__	N/A	N/A	N/A	N/A	N/A	GCF_016623495.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limibaculum;s__Limibaculum sp016623495	76.1	0.078	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limibaculum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	66.14	11	0.85937	N/A
Bin_Bin_51_sub-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	88.38	11	0.68131	N/A
Bin_Bin_53_sub-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__UBA2359;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__UBA2359;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.0	11	0.76973	N/A
Bin_Bin_6_sub-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA6940;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002450655.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA6940;g__UBA6940;s__UBA6940 sp002450655	74.89	0.013	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA6940;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	58.7	11	0.78465	Genome has more than 12.5% of markers with multiple hits
Bin_Bin_72-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA1994;s__	N/A	N/A	N/A	N/A	N/A	GCA_002335865.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA1994;s__UBA1994 sp002335865	75.47	0.034	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA1994;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	62.79	11	0.86307	N/A
Bin_Bin_85_sub-contigs.cleaned	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__	ANI	classification based on placement in class-level tree	GCA_011523945.1, s__Mariniblastus sp011523945, 95.0, 76.27, 0.031; GCF_008087665.1, s__Mariniblastus fucicola, 95.0, 76.03, 0.042; GCA_011087765.1, s__Mariniblastus sp011087765, 95.0, 75.77, 0.024; GCA_014237975.1, s__Mariniblastus sp014237975, 95.0, 75.15, 0.012	69.34	11	0.93964	N/A
Bin_Bin_93_sub-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__	N/A	N/A	N/A	N/A	N/A	GCA_902727945.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__Thiolinea sp902727945	84.12	0.452	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002746895.1, s__Thiolinea nivea_A, 95.0, 78.1, 0.187; GCA_002747435.1, s__Thiolinea sp002747435, 95.0, 76.91, 0.052; GCA_008015155.1, s__Thiolinea sp008015155, 95.0, 76.6, 0.038; GCF_000371925.1, s__Thiolinea disciformis, 95.0, 76.43, 0.04; GCF_900167255.1, s__Thiolinea eikelboomii, 95.0, 76.25, 0.056	66.22	11	0.98523	Genome has more than 10.0% of markers with multiple hits
Bin_Bin_97_sub_1-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	64.12	11	0.93301	N/A
Bin_METABAT__101_sub-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseicyclus;s__	N/A	N/A	N/A	N/A	N/A	GCF_000013565.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseicyclus;s__Roseicyclus sp000013565	80.97	0.7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseicyclus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_019195455.1, s__Roseicyclus sp001650845, 95.0, 81.43, 0.719; GCA_015689645.1, s__Roseicyclus sp015689645, 95.0, 78.53, 0.451; GCA_016763475.1, s__Roseicyclus sp016763475, 95.0, 78.13, 0.494; GCA_015689745.1, s__Roseicyclus sp015689745, 95.0, 77.59, 0.301; GCF_012395815.1, s__Roseicyclus sp012395815, 95.0, 77.55, 0.344; GCF_003148775.1, s__Roseicyclus mahoneyensis, 95.0, 77.45, 0.288; GCA_001314805.1, s__Roseicyclus sp001314805, 95.0, 77.42, 0.269; GCA_018401055.1, s__Roseicyclus sp018401055, 95.0, 77.39, 0.232; GCF_000590925.1, s__Roseicyclus elongatus, 95.0, 77.25, 0.284; GCA_018401965.1, s__Roseicyclus sp018401965, 95.0, 76.92, 0.291; GCA_018402035.1, s__Roseicyclus sp018402035, 95.0, 76.69, 0.213; GCA_015689735.1, s__Roseicyclus sp015689735, 95.0, 76.63, 0.214	75.56	11	0.99298	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Bin_METABAT__103_sub_1-contigs.cleaned	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	74.21	11	0.85179	N/A
Bin_METABAT__106_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__GCA-2402195;s__	N/A	N/A	N/A	N/A	N/A	GCA_003963235.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__GCA-2402195;s__GCA-2402195 sp003963235	76.95	0.131	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__GCA-2402195;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002402195.1, s__GCA-2402195 sp002402195, 95.0, 76.86, 0.044; GCA_905479865.1, s__GCA-2402195 sp905479865, 95.0, 76.3, 0.095; GCA_017302595.1, s__GCA-2402195 sp017302595, 95.0, 76.19, 0.084; GCA_013298405.1, s__GCA-2402195 sp013298405, 95.0, 75.56, 0.075; GCA_905479885.1, s__GCA-2402195 sp905479885, 95.0, 75.53, 0.097	92.08	11	0.92932	N/A
Bin_METABAT__108_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__	ANI	classification based on placement in class-level tree	GCA_004354085.1, s__Halioglobus sp004354085, 95.0, 77.09, 0.049; GCA_905480565.1, s__Halioglobus sp905480565, 95.0, 76.99, 0.05; GCF_008370495.1, s__Halioglobus sp008370495, 95.0, 76.81, 0.049; GCF_902705825.1, s__Halioglobus japonicus_A, 95.0, 76.73, 0.072; GCF_009388985.1, s__Halioglobus maricola, 95.0, 76.71, 0.053; GCA_016744355.1, s__Halioglobus sp016744355, 95.0, 76.7, 0.04; GCF_002866825.1, s__Halioglobus lutimaris, 95.0, 76.66, 0.04; GCF_003457605.1, s__Halioglobus sediminis, 95.0, 76.6, 0.053; GCA_003646405.1, s__Halioglobus sp003646405, 95.0, 76.58, 0.06; GCA_000156295.1, s__Halioglobus sp000156295, 95.0, 76.55, 0.044; GCA_003646415.1, s__Halioglobus sp003646415, 95.0, 76.54, 0.06; GCF_001983995.1, s__Halioglobus japonicus, 95.0, 76.53, 0.061; GCA_002862465.1, s__Halioglobus sp002862465, 95.0, 76.52, 0.031; GCA_016704305.1, s__Halioglobus sp016704305, 95.0, 76.44, 0.051; GCA_013214285.1, s__Halioglobus sp013214285, 95.0, 76.38, 0.037; GCA_002699145.1, s__Halioglobus sp002699145, 95.0, 76.34, 0.067; GCA_018657645.1, s__Halioglobus sp018657645, 95.0, 76.25, 0.03; GCF_004745945.1, s__Halioglobus sp004745945, 95.0, 76.22, 0.051; GCA_009937575.1, s__Halioglobus sp009937575, 95.0, 76.21, 0.052; GCA_002862985.1, s__Halioglobus sp002862985, 95.0, 75.88, 0.051; GCA_015222725.1, s__Halioglobus sp015222725, 95.0, 75.76, 0.043	94.14	11	0.91815	N/A
Bin_METABAT__10_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tateyamaria;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tateyamaria;s__	ANI	classification based on placement in class-level tree	GCF_001969365.1, s__Tateyamaria omphalii_A, 95.0, 78.89, 0.415; GCF_000814025.1, s__Tateyamaria sp000814025, 95.0, 78.72, 0.4; GCF_007995245.1, s__Tateyamaria sp007995245, 95.0, 78.72, 0.407; GCF_900143535.1, s__Tateyamaria sp900143535, 95.0, 78.58, 0.383; GCF_014651375.1, s__Tateyamaria omphalii, 95.0, 78.41, 0.385; GCA_905480645.1, s__Tateyamaria sp003445215, 95.0, 77.43, 0.035; GCA_018668195.1, s__Tateyamaria sp018668195, 95.0, 76.88, 0.205	73.67	11	0.97466	N/A
Bin_METABAT__110-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudaestuariivita;s__	N/A	N/A	N/A	N/A	N/A	GCF_001205715.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudaestuariivita;s__Pseudaestuariivita atlantica	77.76	0.354	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudaestuariivita;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	44.96	11	0.97753	N/A
Bin_METABAT__113_1-contigs.cleaned	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	72.14	11	0.89911	N/A
