contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
c_000003319275||0_partial	23628	Yes	14006	27	11	8	Low-quality	Genome-fragment	22.63	AAI-based (medium-confidence)	40.72	1.0	low-confidence Provirus
c_000003504915||0_partial	37403	Yes	15836	38	10	14	Low-quality	Genome-fragment	28.02	AAI-based (medium-confidence)	57.66	1.0	
c_000003544002||0_partial	1545	No	NA	3	1	0	Low-quality	Genome-fragment	48.62	AAI-based (medium-confidence)	0.0	1.0	
c_000003665954||0_partial	10916	No	NA	14	0	10	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000003742639||0_partial	34161	No	NA	21	2	2	Low-quality	Genome-fragment	22.82	HMM-based (lower-bound)	0.0	1.0	
c_000003975594||0_partial	25733	Yes	13721	30	12	12	Low-quality	Genome-fragment	24.6	AAI-based (medium-confidence)	46.68	1.0	low-confidence Provirus
c_000004075669||0_partial	27808	Yes	13533	33	9	9	Low-quality	Genome-fragment	16.74	HMM-based (lower-bound)	51.33	1.0	low-confidence Provirus
c_000004972152||0_partial	16074	No	NA	6	1	0	Low-quality	Genome-fragment	7.15	HMM-based (lower-bound)	0.0	1.0	
c_000005324100||0_partial	13584	No	NA	9	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000005499271||0_partial	35843	Yes	14477	41	11	17	Low-quality	Genome-fragment	31.69	AAI-based (medium-confidence)	59.61	1.0	low-confidence Provirus
c_000000000521||full	5544	No	NA	5	0	3	Low-quality	Genome-fragment	1.97	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000002292||lt2gene	23772	No	NA	1	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000003380||full	5289	No	NA	7	3	0	Low-quality	Genome-fragment	2.29	AAI-based (medium-confidence)	0.0	1.01	
c_000000006091||full	6286	No	NA	10	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000006541||full	5670	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000007383||full	5736	Yes	771	7	1	5	Low-quality	Genome-fragment	0.86	HMM-based (lower-bound)	86.56	1.0	
c_000000008518||full	16819	No	NA	21	0	9	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000009194||full	13312	No	NA	11	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000009293||full	5767	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000009324||full	6689	No	NA	9	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000009438||full	6787	No	NA	7	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000012432||full	12212	No	NA	10	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000012667||full	10668	No	NA	23	6	0	Low-quality	Genome-fragment	11.46	HMM-based (lower-bound)	0.0	1.0	
c_000000013063||full	6509	No	NA	9	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000016440||full	33595	Yes	10607	33	3	17	Low-quality	Genome-fragment	10.67	HMM-based (lower-bound)	68.43	1.0	
c_000000017201||full	11500	No	NA	14	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000021360||full	12137	No	NA	19	5	0	Low-quality	Genome-fragment	18.58	HMM-based (lower-bound)	0.0	1.0	
c_000000022329||full	9024	No	NA	8	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000022802||full	5997	No	NA	4	0	2	Low-quality	Genome-fragment	3.99	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
c_000000023029||full	6068	No	NA	6	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000024372||full	11428	No	NA	6	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000024595||full	10719	No	NA	10	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000025305||full	5808	No	NA	9	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000027735||full	5933	No	NA	7	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000029797||full	12631	No	NA	6	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000029965||full	8579	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000030623||full	7848	No	NA	10	1	0	Low-quality	Genome-fragment	11.74	HMM-based (lower-bound)	0.0	1.0	
c_000000031835||full	6039	No	NA	6	5	0	Low-quality	Genome-fragment	1.62	HMM-based (lower-bound)	0.0	1.0	
c_000000032738||full	6565	No	NA	9	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000033367||full	5405	No	NA	7	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.02	no viral genes detected
c_000000033761||full	6336	No	NA	7	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000034469||full	14317	No	NA	16	0	11	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000036284||full	8894	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.03	no viral genes detected
c_000000036570||full	5436	No	NA	7	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000038187||full	5568	No	NA	7	0	5	Low-quality	Genome-fragment	1.45	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000039684||full	8681	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000039909||full	21011	No	NA	18	5	1	Medium-quality	Genome-fragment	56.95	AAI-based (medium-confidence)	0.0	1.0	
c_000000043415||full	12169	No	NA	11	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000043974||full	9504	Yes	1956	6	1	2	Low-quality	Genome-fragment	1.2	HMM-based (lower-bound)	79.42	1.0	
c_000000044829||full	11788	No	NA	15	2	1	Low-quality	Genome-fragment	21.43	AAI-based (medium-confidence)	0.0	1.0	
c_000000046106||full	8502	No	NA	2	2	0	Low-quality	Genome-fragment	8.56	HMM-based (lower-bound)	0.0	1.0	low-confidence ITR
c_000000052535||full	8997	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
c_000000052723||full	8737	No	NA	8	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000054211||full	8832	No	NA	15	1	1	Low-quality	Genome-fragment	5.44	HMM-based (lower-bound)	0.0	1.0	
c_000000054215||full	6074	No	NA	4	0	1	Low-quality	Genome-fragment	6.45	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000057104||full	13196	No	NA	15	9	0	Low-quality	Genome-fragment	30.18	AAI-based (medium-confidence)	0.0	1.0	
c_000000057613||full	6172	No	NA	9	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000057791||full	10858	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000058152||full	12142	No	NA	9	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000061447||full	7044	No	NA	6	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000062240||full	7400	No	NA	6	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000063537||full	8052	No	NA	9	0	2	Low-quality	Genome-fragment	11.58	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000063648||full	8710	No	NA	20	2	0	Low-quality	Genome-fragment	12.65	HMM-based (lower-bound)	0.0	1.0	
c_000000064377||full	12691	No	NA	20	3	0	Low-quality	Genome-fragment	12.72	HMM-based (lower-bound)	0.0	1.0	
c_000000064975||full	5856	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000065067||full	6745	No	NA	14	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000065829||full	5290	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.02	no viral genes detected; low-confidence DTR
c_000000066087||full	9411	No	NA	3	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000067023||full	7132	No	NA	10	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000067081||full	6760	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000069096||full	7534	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000072374||full	19327	Yes	13722	23	11	4	Low-quality	Genome-fragment	21.74	AAI-based (medium-confidence)	29.0	1.0	low-confidence Provirus
c_000000072560||full	6478	No	NA	4	0	3	Low-quality	Genome-fragment	8.43	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000073931||full	9874	No	NA	15	5	0	Low-quality	Genome-fragment	23.68	AAI-based (medium-confidence)	0.0	1.0	
c_000000074705||full	5005	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000076907||full	5279	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000078678||full	6306	No	NA	5	0	0	Low-quality	Genome-fragment	11.56	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000079204||full	7461	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000080041||full	8006	No	NA	11	2	2	Low-quality	Genome-fragment	5.28	AAI-based (medium-confidence)	0.0	1.0	
c_000000080392||full	6797	No	NA	6	0	2	Low-quality	Genome-fragment	4.6	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000080399||full	7591	No	NA	9	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000080577||full	6401	No	NA	7	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000080648||full	25884	No	NA	10	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000081015||full	11980	No	NA	8	1	0	Low-quality	Genome-fragment	25.3	AAI-based (medium-confidence)	0.0	1.0	
c_000000083870||full	5042	No	NA	10	0	0	Low-quality	Genome-fragment	7.06	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
c_000000086240||full	7218	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000087002||full	11438	No	NA	7	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000088005||full	8639	No	NA	6	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000088180||full	5662	No	NA	5	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000091230||full	7777	No	NA	8	0	1	Low-quality	Genome-fragment	16.47	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000093374||full	8336	No	NA	7	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000094056||full	9459	No	NA	7	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000095594||full	7160	No	NA	10	0	1	Low-quality	Genome-fragment	12.71	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
c_000000095732||full	10674	No	NA	5	1	0	Low-quality	Genome-fragment	9.08	AAI-based (medium-confidence)	0.0	1.0	
c_000000096161||full	7262	No	NA	20	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000096769||full	7028	No	NA	10	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000097399||full	6892	No	NA	8	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000097555||full	6487	No	NA	7	1	0	Low-quality	Genome-fragment	18.14	AAI-based (medium-confidence)	0.0	1.0	
c_000000098432||full	10868	No	NA	7	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000100056||full	7575	No	NA	7	0	3	Low-quality	Genome-fragment	1.31	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000100736||full	5805	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected; low-confidence ITR
c_000000101933||full	5370	No	NA	6	2	0	Low-quality	Genome-fragment	1.6	AAI-based (high-confidence)	0.0	1.0	
c_000000102296||full	6510	No	NA	9	4	0	Low-quality	Genome-fragment	11.13	AAI-based (medium-confidence)	0.0	1.0	
c_000000102873||full	5701	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000103319||full	6285	No	NA	7	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000103653||full	5296	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000104979||full	5934	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000105084||full	26979	No	NA	31	7	1	Low-quality	Genome-fragment	6.17	AAI-based (medium-confidence)	0.0	1.01	
c_000000105133||full	9479	Yes	7994	9	2	2	Low-quality	Genome-fragment	15.88	AAI-based (medium-confidence)	15.67	1.0	
c_000000105953||full	5703	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000107020||full	11390	No	NA	13	7	0	Low-quality	Genome-fragment	7.6	AAI-based (medium-confidence)	0.0	1.0	
c_000000107433||full	9893	Yes	2991	12	3	4	Low-quality	Genome-fragment	0.7	AAI-based (medium-confidence)	69.77	1.0	
c_000000107496||full	7957	No	NA	6	0	1	Low-quality	Genome-fragment	5.32	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000107826||full	20736	No	NA	19	1	1	Low-quality	Genome-fragment	4.6	HMM-based (lower-bound)	0.0	1.0	
c_000000108167||full	20147	No	NA	24	0	16	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000109276||full	8816	No	NA	15	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000109383||full	8543	Yes	5817	12	5	2	Low-quality	Genome-fragment	10.33	AAI-based (high-confidence)	31.91	1.0	
c_000000110907||full	11013	No	NA	18	3	0	Low-quality	Genome-fragment	26.61	AAI-based (medium-confidence)	0.0	1.0	
c_000000113014||full	12854	No	NA	12	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
c_000000113600||full	5435	Yes	2308	7	1	2	Low-quality	Genome-fragment	3.78	HMM-based (lower-bound)	57.53	1.0	
c_000000114509||full	6094	Yes	3302	4	1	1	Low-quality	Genome-fragment	5.45	HMM-based (lower-bound)	45.82	1.0	
c_000000114528||full	10202	No	NA	15	5	0	Low-quality	Genome-fragment	19.28	AAI-based (high-confidence)	0.0	1.0	
c_000000115437||full	22457	No	NA	31	9	0	Low-quality	Genome-fragment	19.69	HMM-based (lower-bound)	0.0	1.0	
c_000000118560||full	5218	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000118651||full	5550	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000124353||full	6608	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000126005||full	7767	No	NA	7	0	6	Low-quality	Genome-fragment	15.35	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000126699||full	5116	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000126788||full	32898	No	NA	30	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
c_000000127381||full	39371	No	NA	59	25	0	Medium-quality	Genome-fragment	73.11	AAI-based (medium-confidence)	0.0	1.0	low-confidence DTR
c_000000128912||full	7082	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000130601||full	9443	No	NA	7	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000131982||full	9332	No	NA	10	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000133365||full	6212	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000133629||full	12774	No	NA	8	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000133810||full	6466	No	NA	11	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000135951||full	8877	No	NA	9	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
c_000000136259||full	6780	No	NA	9	1	0	Low-quality	Genome-fragment	0.33	HMM-based (lower-bound)	0.0	1.0	
c_000000137271||full	11309	No	NA	13	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000138834||full	27769	No	NA	19	0	13	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000140990||full	5493	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000141126||full	17028	No	NA	14	0	9	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000142548||full	15774	No	NA	8	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000143671||full	10079	No	NA	12	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000144364||full	5308	No	NA	4	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000144851||full	5222	No	NA	7	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000145358||full	19445	No	NA	22	6	0	Low-quality	Genome-fragment	5.79	AAI-based (high-confidence)	0.0	1.0	
c_000000145541||full	5757	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000147296||full	8545	No	NA	7	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000147451||full	8483	No	NA	7	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000148203||full	8729	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000148543||full	5305	No	NA	4	0	2	Low-quality	Genome-fragment	6.79	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000148650||full	8726	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000149576||full	7020	No	NA	7	1	0	Low-quality	Genome-fragment	0.55	HMM-based (lower-bound)	0.0	1.0	
c_000000152049||full	5803	No	NA	3	0	2	Low-quality	Genome-fragment	5.84	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000153673||full	5167	No	NA	10	1	0	Low-quality	Genome-fragment	5.96	HMM-based (lower-bound)	0.0	1.01	
c_000000154804||full	12879	No	NA	19	2	0	Low-quality	Genome-fragment	28.02	AAI-based (medium-confidence)	0.0	1.0	
c_000000154940||full	5055	No	NA	7	4	0	Low-quality	Genome-fragment	7.02	HMM-based (lower-bound)	0.0	1.0	
c_000000156065||full	6456	No	NA	6	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
c_000000156474||full	17144	No	NA	32	3	0	Low-quality	Genome-fragment	15.41	AAI-based (medium-confidence)	0.0	1.0	
c_000000159889||full	48243	No	NA	52	22	1	Medium-quality	Genome-fragment	65.17	AAI-based (medium-confidence)	0.0	1.0	
c_000000160033||full	14911	No	NA	8	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000160556||full	21969	No	NA	14	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000164088||full	8639	No	NA	6	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000165989||full	16490	No	NA	12	3	0	Low-quality	Genome-fragment	19.2	HMM-based (lower-bound)	0.0	1.02	
c_000000168081||full	14325	No	NA	14	0	1	Low-quality	Genome-fragment	37.73	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
c_000000170150||full	12790	No	NA	9	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000173016||full	5829	No	NA	7	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000173440||full	6399	No	NA	9	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
c_000000175403||full	8643	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.03	no viral genes detected
c_000000176917||full	10408	No	NA	12	1	9	Low-quality	Genome-fragment	5.79	HMM-based (lower-bound)	0.0	1.0	
c_000000177003||full	10771	Yes	6549	11	3	4	Low-quality	Genome-fragment	12.28	AAI-based (medium-confidence)	39.2	1.0	
c_000000177213||full	6933	No	NA	4	0	1	Low-quality	Genome-fragment	4.67	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
c_000000177479||full	17944	No	NA	29	3	1	Low-quality	Genome-fragment	12.36	AAI-based (medium-confidence)	0.0	1.01	
